hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,62,1.250000,P1,5,62,0.000000
RH,65,1.250000,P1,5,65,0.000000
RH,86,1.250000,P1,1,86,0.000000
RH,89,1.250000,P1,1,89,0.000000
LH,46,2.125000,P1,5,46,1.000000
LH,58,2.125000,P1,1,58,1.000000
LH,50,2.375000,P1,5,50,1.250000
LH,46,2.500000,P1,5,46,1.000000
LH,58,2.500000,P1,1,58,1.000000
RH,62,2.666667,P1,1,62,1.250000
LH,50,2.750000,P1,5,50,1.250000
LH,50,2.875000,P1,5,50,1.500000
RH,65,2.875000,P1,1,65,1.500000
RH,62,3.000000,P1,1,62,1.750000
LH,53,3.125000,P1,5,53,1.750000
LH,50,3.250000,P1,5,50,2.000000
RH,65,3.250000,P1,1,65,2.000000
RH,68,3.375000,P1,1,68,2.250000
LH,53,3.500000,P1,5,53,2.250000
LH,50,3.625000,P1,5,50,2.500000
RH,65,3.625000,P1,1,65,2.500000
LH,53,3.750000,P1,5,53,2.750000
RH,62,3.750000,P1,1,62,2.750000
LH,53,3.875000,P1,5,53,3.000000
RH,68,3.875000,P1,1,68,3.000000
LH,56,4.125000,P1,5,56,3.250000
RH,65,4.125000,P1,1,65,3.250000
LH,53,4.333333,P1,5,53,3.500000
RH,68,4.333333,P1,1,68,3.500000
LH,56,4.500000,P1,5,56,3.750000
RH,70,4.500000,P1,1,70,3.750000
LH,53,4.625000,P1,5,53,4.000000
RH,68,4.625000,P1,1,68,4.000000
LH,56,4.750000,P1,5,56,4.250000
RH,65,4.750000,P1,1,65,4.250000
LH,58,5.000000,P1,5,58,4.500000
RH,70,5.000000,P1,1,70,4.500000
RH,62,5.125000,P1,5,62,4.750000
RH,68,5.125000,P1,1,68,4.750000
LH,58,5.333333,P1,5,58,5.000000
RH,70,5.333333,P1,1,70,5.000000
RH,62,5.500000,P1,5,62,5.250000
RH,74,5.500000,P1,1,74,5.250000
LH,58,5.666667,P1,5,58,5.500000
RH,70,5.666667,P1,1,70,5.500000
RH,62,5.875000,P1,5,62,5.750000
RH,68,5.875000,P1,1,68,5.750000
RH,62,6.000000,P1,5,62,6.000000
RH,77,6.000000,P1,1,77,6.000000
RH,65,6.125000,P1,5,65,6.250000
RH,74,6.125000,P1,1,74,6.250000
RH,62,6.375000,P1,5,62,6.500000
RH,77,6.375000,P1,1,77,6.500000
RH,65,6.500000,P1,5,65,6.750000
RH,80,6.500000,P1,1,80,6.750000
RH,62,6.666667,P1,5,62,7.000000
RH,77,6.666667,P1,1,77,7.000000
RH,65,6.875000,P1,5,65,7.250000
RH,74,6.875000,P1,1,74,7.250000
RH,80,7.000000,P1,1,80,7.500000
RH,65,7.125000,P1,5,65,7.500000
RH,68,7.250000,P1,5,68,7.750000
RH,77,7.250000,P1,1,77,7.750000
RH,65,7.375000,P1,5,65,8.000000
RH,80,7.375000,P1,1,80,8.000000
RH,68,7.500000,P1,5,68,8.250000
RH,82,7.500000,P1,1,82,8.250000
RH,65,7.750000,P1,5,65,8.500000
RH,80,7.750000,P1,1,80,8.500000
RH,68,7.875000,P1,5,68,8.750000
RH,77,7.875000,P1,1,77,8.750000
RH,74,8.125000,P1,5,74,9.000000
RH,82,8.125000,P1,1,82,9.000000
RH,77,8.250000,P1,5,77,9.250000
RH,80,8.250000,P1,1,80,9.250000
RH,74,8.375000,P1,5,74,9.500000
RH,82,8.375000,P1,1,82,9.500000
RH,77,8.625000,P1,5,77,9.750000
RH,86,8.625000,P1,1,86,9.750000
RH,74,8.750000,P1,5,74,10.000000
RH,82,8.750000,P1,1,82,10.000000
RH,77,9.000000,P1,5,77,10.250000
RH,80,9.000000,P1,1,80,10.250000
RH,77,9.125000,P1,5,77,10.500000
RH,86,9.125000,P1,1,86,10.500000
RH,80,9.333333,P1,5,80,10.750000
RH,82,9.333333,P1,1,82,10.750000
RH,77,9.500000,P1,5,77,11.000000
RH,86,9.500000,P1,1,86,11.000000
RH,89,9.666667,P1,1,89,11.250000
RH,80,9.750000,P1,5,80,11.250000
RH,77,9.875000,P1,5,77,11.500000
RH,86,9.875000,P1,1,86,11.500000
RH,80,10.000000,P1,5,80,11.750000
RH,82,10.000000,P1,1,82,11.750000
RH,89,10.125000,P1,1,89,12.000000
RH,86,10.333333,P1,1,86,12.250000
RH,89,10.500000,P1,1,89,12.500000
RH,92,10.666667,P1,1,92,12.750000
RH,77,10.875000,P1,5,77,13.000000
RH,80,10.875000,P1,5,80,13.000000
RH,89,10.875000,P1,1,89,13.000000
RH,86,11.000000,P1,1,86,13.250000
RH,74,11.250000,P1,5,74,13.500000
