hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,58,1.000000,P1,5,58,0.000000
RH,62,1.000000,P1,5,62,0.000000
RH,65,1.000000,P1,5,65,0.000000
RH,68,1.000000,P1,5,68,0.000000
LH,58,1.875000,P1,1,58,1.000000
LH,50,2.125000,P1,5,50,1.250000
LH,46,2.250000,P1,5,46,1.000000
LH,58,2.250000,P1,1,58,1.000000
LH,50,2.375000,P1,5,50,1.250000
RH,62,2.375000,P1,1,62,1.250000
RH,65,2.500000,P1,1,65,1.500000
LH,50,2.666667,P1,5,50,1.500000
RH,62,2.750000,P1,1,62,1.750000
LH,53,2.875000,P1,5,53,1.750000
RH,65,2.875000,P1,1,65,2.000000
LH,50,3.000000,P1,5,50,2.000000
LH,53,3.125000,P1,5,53,2.250000
RH,68,3.125000,P1,1,68,2.250000
RH,65,3.250000,P1,1,65,2.500000
RH,62,3.375000,P1,1,62,2.750000
LH,53,3.625000,P1,5,53,3.000000
RH,68,3.625000,P1,1,68,3.000000
LH,56,3.750000,P1,5,56,3.250000
RH,65,3.750000,P1,1,65,3.250000
LH,53,3.875000,P1,5,53,3.500000
RH,68,3.875000,P1,1,68,3.500000
LH,56,4.125000,P1,5,56,3.750000
RH,70,4.125000,P1,1,70,3.750000
LH,53,4.250000,P1,5,53,4.000000
RH,68,4.250000,P1,1,68,4.000000
LH,56,4.333333,P1,5,56,4.250000
RH,65,4.333333,P1,1,65,4.250000
LH,58,4.625000,P1,5,58,4.500000
RH,70,4.625000,P1,1,70,4.500000
RH,62,4.750000,P1,5,62,4.750000
RH,68,4.750000,P1,1,68,4.750000
LH,58,5.000000,P1,5,58,5.000000
RH,70,5.000000,P1,1,70,5.000000
RH,62,5.125000,P1,5,62,5.250000
RH,74,5.125000,P1,1,74,5.250000
RH,70,5.250000,P1,1,70,5.500000
LH,58,5.333333,P1,5,58,5.500000
RH,68,5.333333,P1,1,68,5.750000
RH,62,5.500000,P1,5,62,5.750000
RH,62,5.625000,P1,5,62,6.000000
RH,77,5.625000,P1,1,77,6.000000
RH,74,5.750000,P1,1,74,6.250000
RH,65,5.875000,P1,5,65,6.250000
RH,62,6.000000,P1,5,62,6.500000
RH,77,6.000000,P1,1,77,6.500000
RH,65,6.125000,P1,5,65,6.750000
RH,80,6.125000,P1,1,80,6.750000
RH,77,6.250000,P1,1,77,7.000000
RH,62,6.333333,P1,5,62,7.000000
RH,65,6.375000,P1,5,65,7.250000
RH,74,6.375000,P1,1,74,7.250000
RH,65,6.625000,P1,5,65,7.500000
RH,80,6.625000,P1,1,80,7.500000
RH,68,6.750000,P1,5,68,7.750000
RH,77,6.750000,P1,1,77,7.750000
RH,65,7.000000,P1,5,65,8.000000
RH,80,7.000000,P1,1,80,8.000000
RH,68,7.125000,P1,5,68,8.250000
RH,82,7.125000,P1,1,82,8.250000
RH,65,7.250000,P1,5,65,8.500000
RH,80,7.250000,P1,1,80,8.500000
RH,68,7.375000,P1,5,68,8.750000
RH,77,7.375000,P1,1,77,8.750000
RH,74,7.666667,P1,5,74,9.000000
RH,82,7.666667,P1,1,82,9.000000
RH,77,7.875000,P1,5,77,9.250000
RH,80,7.875000,P1,1,80,9.250000
RH,74,8.000000,P1,5,74,9.500000
RH,82,8.000000,P1,1,82,9.500000
RH,77,8.125000,P1,5,77,9.750000
RH,86,8.125000,P1,1,86,9.750000
RH,82,8.333333,P1,1,82,10.000000
RH,74,8.375000,P1,5,74,10.000000
RH,77,8.500000,P1,5,77,10.250000
RH,80,8.500000,P1,1,80,10.250000
RH,77,8.666667,P1,5,77,10.500000
RH,86,8.666667,P1,1,86,10.500000
RH,80,8.875000,P1,5,80,10.750000
RH,82,8.875000,P1,1,82,10.750000
RH,77,9.125000,P1,5,77,11.000000
RH,86,9.125000,P1,1,86,11.000000
RH,80,9.250000,P1,5,80,11.250000
RH,89,9.250000,P1,1,89,11.250000
RH,77,9.375000,P1,5,77,11.500000
RH,86,9.375000,P1,1,86,11.500000
RH,80,9.500000,P1,5,80,11.750000
RH,82,9.500000,P1,1,82,11.750000
RH,89,9.750000,P1,1,89,12.000000
RH,86,9.875000,P1,1,86,12.250000
RH,89,10.125000,P1,1,89,12.500000
RH,92,10.250000,P1,1,92,12.750000
RH,77,10.375000,P1,5,77,13.000000
RH,80,10.375000,P1,5,80,13.000000
RH,89,10.375000,P1,1,89,13.000000
RH,86,10.625000,P1,1,86,13.250000
RH,74,10.875000,P1,5,74,13.500000
RH,77,10.875000,P1,5,77,13.500000
RH,82,10.875000,P1,1,82,13.500000
RH,81,11.000000,P1,1,81,13.750000
RH,82,11.250000,P1,1,82,14.000000
RH,86,11.375000,P1,1,86,14.250000
RH,89,11.500000,P1,1,89,14.500000
RH,86,11.750000,P1,1,86,14.750000
RH,89,11.875000,P1,1,89,15.000000
RH,86,12.125000,P1,1,86,15.250000
RH,89,12.250000,P1,1,89,15.500000
RH,92,12.375000,P1,1,92,15.750000
RH,77,12.500000,P1,5,77,16.000000
RH,80,12.500000,P1,5,80,16.000000
RH,89,12.500000,P1,1,89,16.000000
RH,86,12.750000,P1,1,86,16.250000
RH,74,13.000000,P1,5,74,16.500000
RH,77,13.000000,P1,5,77,16.500000
RH,82,13.000000,P1,1,82,16.500000
RH,81,13.125000,P1,1,81,16.750000
RH,82,13.333333,P1,1,82,17.000000
RH,86,13.500000,P1,1,86,17.250000
RH,89,13.666667,P1,1,89,17.500000
RH,86,13.750000,P1,1,86,17.750000
RH,77,14.000000,P1,1,77,18.000000
RH,74,14.250000,P1,1,74,18.250000
RH,77,14.375000,P1,1,77,18.500000
RH,80,14.500000,P1,1,80,18.750000
RH,65,14.750000,P1,5,65,19.000000
RH,68,14.750000,P1,5,68,19.000000
RH,77,14.750000,P1,1,77,19.000000
RH,74,14.875000,P1,1,74,19.250000
RH,62,15.125000,P1,5,62,19.500000
RH,65,15.125000,P1,5,65,19.500000
RH,70,15.125000,P1,1,70,19.500000
RH,69,15.333333,P1,1,69,19.750000
RH,70,15.500000,P1,1,70,20.000000
RH,74,15.666667,P1,1,74,20.250000
RH,77,15.875000,P1,1,77,20.500000
RH,74,16.000000,P1,1,74,20.750000
RH,77,16.250000,P1,1,77,21.000000
RH,74,16.375000,P1,1,74,21.250000
RH,77,16.625000,P1,1,77,21.500000
RH,80,16.750000,P1,1,80,21.750000
RH,65,17.000000,P1,5,65,22.000000
RH,68,17.000000,P1,5,68,22.000000
RH,77,17.000000,P1,1,77,22.000000
RH,74,17.125000,P1,1,74,22.250000
RH,70,17.333333,P1,1,70,22.500000
RH,62,17.375000,P1,5,62,22.500000
RH,65,17.375000,P1,5,65,22.500000
RH,69,17.500000,P1,1,69,22.750000
RH,70,17.666667,P1,1,70,23.000000
RH,74,18.250000,P1,1,74,23.250000
LH,46,18.666667,P1,5,46,24.000000
LH,58,18.666667,P1,5,58,24.000000
RH,68,18.666667,P1,1,68,24.000000
RH,74,18.666667,P1,1,74,24.000000
RH,77,18.666667,P1,1,77,24.000000
RH,80,18.666667,P1,1,80,24.000000
LH,50,18.750000,P1,5,50,24.000000
LH,53,18.750000,P1,5,53,24.000000
LH,46,19.375000,P1,5,46,24.500000
LH,57,19.500000,P1,1,57,24.750000
LH,57,19.625000,P1,1,57,24.750000
LH,46,19.750000,P1,5,46,25.000000
LH,58,19.750000,P1,1,58,25.000000
LH,57,20.000000,P1,1,57,25.250000
LH,50,20.125000,P1,5,50,25.500000
RH,60,20.125000,P1,1,60,25.500000
LH,58,20.375000,P1,1,58,25.750000
LH,53,20.500000,P1,5,53,26.000000
RH,63,20.500000,P1,1,63,26.000000
RH,62,20.750000,P1,1,62,26.250000
LH,58,20.875000,P1,5,58,26.500000
RH,67,20.875000,P1,1,67,26.500000
RH,65,21.125000,P1,1,65,26.750000
RH,62,21.250000,P1,5,62,27.000000
RH,70,21.250000,P1,1,70,27.000000
RH,65,21.500000,P1,5,65,27.500000
RH,69,21.500000,P1,1,69,27.250000
RH,72,21.666667,P1,1,72,27.500000
RH,70,21.875000,P1,1,70,27.750000
RH,68,22.000000,P1,5,68,28.000000
RH,75,22.000000,P1,1,75,28.000000
RH,74,22.125000,P1,1,74,28.250000
RH,68,22.333333,P1,5,68,28.500000
RH,70,22.333333,P1,5,70,28.500000
RH,79,22.333333,P1,1,79,28.500000
RH,77,22.500000,P1,1,77,28.750000
RH,68,22.750000,P1,5,68,29.000000
RH,70,22.750000,P1,5,70,29.000000
RH,82,22.750000,P1,1,82,29.000000
RH,68,23.125000,P1,5,68,29.000000
RH,70,23.250000,P1,5,70,29.000000
RH,82,24.125000,P1,1,82,30.000000
RH,63,24.250000,P1,5,63,30.000000
RH,67,24.250000,P1,5,67,30.000000
RH,70,24.250000,P1,5,70,30.000000
RH,79,24.625000,P1,1,79,30.500000
RH,75,25.000000,P1,1,75,31.000000
RH,65,25.375000,P1,5,65,31.500000
RH,70,25.375000,P1,5,70,31.500000
RH,74,25.375000,P1,1,74,31.500000
LH,58,25.500000,P1,5,58,31.500000
RH,68,25.500000,P1,5,68,31.500000
RH,77,25.875000,P1,1,77,32.000000
RH,82,26.250000,P1,1,82,32.500000
RH,82,26.666667,P1,1,82,33.000000
RH,63,26.750000,P1,5,63,33.000000
RH,67,26.750000,P1,5,67,33.000000
RH,70,26.750000,P1,5,70,33.000000
RH,79,27.125000,P1,1,79,33.500000
RH,75,27.500000,P1,1,75,34.000000
RH,75,27.875000,P1,1,75,34.500000
RH,79,28.333333,P1,1,79,35.000000
RH,64,28.666667,P1,5,64,35.500000
RH,70,28.666667,P1,5,70,35.500000
RH,72,28.666667,P1,5,72,35.500000
RH,84,28.666667,P1,1,84,35.500000
RH,67,28.750000,P1,5,67,35.500000
RH,84,29.125000,P1,1,84,36.000000
RH,65,29.250000,P1,5,65,36.000000
RH,68,29.250000,P1,5,68,36.000000
RH,72,29.250000,P1,5,72,36.000000
RH,80,29.625000,P1,1,80,36.500000
RH,77,30.000000,P1,1,77,37.000000
RH,60,30.375000,P1,5,60,37.500000
RH,70,30.375000,P1,5,70,37.500000
RH,72,30.375000,P1,5,72,37.500000
RH,76,30.375000,P1,1,76,37.500000
RH,67,30.500000,P1,5,67,37.500000
RH,79,30.750000,P1,1,79,38.000000
RH,84,31.250000,P1,1,84,38.500000
