hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,40,3.875000,P1,5,40,0.000000
LH,52,3.875000,P1,5,52,0.000000
LH,59,3.875000,P1,1,59,0.000000
LH,40,6.250000,P1,5,40,3.000000
LH,52,6.250000,P1,5,52,3.000000
LH,55,6.250000,P1,2,55,3.000000
RH,64,6.250000,P1,2,64,3.000000
RH,69,8.750000,P1,1,69,6.000000
RH,66,8.875000,P1,1,66,6.000000
RH,66,11.375000,P1,1,66,9.000000
RH,69,11.375000,P1,1,69,9.000000
RH,60,11.500000,P1,5,60,9.000000
LH,55,14.000000,P1,5,55,12.000000
LH,59,14.000000,P1,5,59,12.000000
RH,67,14.000000,P1,1,67,12.000000
RH,71,14.000000,P1,1,71,12.000000
LH,43,16.375000,P1,5,43,15.000000
LH,59,16.375000,P1,2,59,15.000000
RH,67,16.375000,P1,2,67,15.000000
RH,70,19.125000,P1,1,70,18.000000
RH,73,19.125000,P1,1,73,18.000000
RH,70,22.000000,P1,1,70,21.000000
RH,73,22.000000,P1,1,73,21.000000
RH,64,22.125000,P1,5,64,21.000000
RH,74,26.125000,P1,1,74,24.000000
RH,64,41.875000,P1,5,64,41.000000
RH,64,64.500000,P1,1,64,54.000000
RH,66,64.500000,P1,1,66,54.000000
RH,64,79.875000,P1,1,64,66.000000
RH,66,79.875000,P1,1,66,66.000000
LH,55,111.375000,P1,1,55,93.000000
LH,52,121.250000,P1,1,52,105.000000
RH,64,135.375000,P1,5,64,120.000000
LH,58,137.875000,P1,5,58,123.000000
RH,64,137.875000,P1,5,64,123.000000
RH,67,137.875000,P1,1,67,123.000000
LH,58,140.375000,P1,5,58,126.000000
RH,67,140.375000,P1,1,67,126.000000
RH,73,140.375000,P1,1,73,126.000000
RH,64,140.500000,P1,5,64,126.000000
RH,66,146.666667,P1,5,66,134.000000
LH,59,147.375000,P1,5,59,135.000000
RH,62,147.375000,P1,5,62,135.000000
RH,66,147.375000,P1,5,66,135.000000
LH,59,147.666667,P1,5,59,135.500000
RH,62,147.666667,P1,5,62,135.500000
RH,66,147.666667,P1,5,66,135.500000
LH,59,148.125000,P1,5,59,136.000000
LH,59,148.375000,P1,5,59,136.500000
LH,59,148.750000,P1,5,59,137.000000
LH,59,149.125000,P1,5,59,137.500000
LH,50,149.500000,P1,5,50,138.000000
LH,54,149.500000,P1,5,54,138.000000
LH,59,149.500000,P1,5,59,138.000000
LH,50,149.750000,P1,5,50,138.500000
LH,54,149.750000,P1,5,54,138.500000
LH,59,149.875000,P1,5,59,138.500000
LH,54,150.250000,P1,5,54,139.000000
LH,54,150.500000,P1,5,54,139.500000
LH,52,152.250000,P1,5,52,142.000000
LH,55,152.250000,P1,5,55,142.000000
RH,72,152.250000,P1,1,72,142.000000
LH,52,152.625000,P1,5,52,142.500000
LH,54,154.375000,P1,5,54,145.000000
LH,57,154.375000,P1,5,57,145.000000
RH,75,154.375000,P1,1,75,145.000000
LH,54,154.750000,P1,5,54,145.500000
LH,57,154.750000,P1,5,57,145.500000
LH,59,156.500000,P1,5,59,148.000000
RH,76,156.500000,P1,1,76,148.000000
LH,59,156.875000,P1,5,59,148.500000
LH,59,157.625000,P1,5,59,149.500000
LH,59,157.875000,P1,5,59,149.500000
LH,59,158.250000,P1,5,59,150.000000
LH,56,158.333333,P1,5,56,150.000000
RH,61,159.750000,P1,5,61,151.500000
RH,61,160.125000,P1,5,61,152.000000
RH,61,160.500000,P1,5,61,152.500000
RH,61,160.875000,P1,5,61,153.000000
RH,68,160.875000,P1,1,68,153.000000
RH,71,160.875000,P1,1,71,153.000000
RH,61,161.250000,P1,5,61,153.500000
RH,68,161.250000,P1,1,68,153.500000
RH,71,161.250000,P1,1,71,153.500000
RH,77,161.250000,P1,1,77,153.500000
RH,61,161.625000,P1,5,61,154.000000
RH,68,161.625000,P1,1,68,154.000000
RH,71,161.625000,P1,1,71,154.000000
RH,77,161.625000,P1,1,77,154.000000
RH,61,162.000000,P1,5,61,154.500000
RH,68,162.000000,P1,1,68,154.500000
RH,71,162.000000,P1,1,71,154.500000
RH,77,162.000000,P1,1,77,154.500000
RH,68,162.333333,P1,1,68,155.000000
RH,71,162.333333,P1,1,71,155.000000
RH,77,162.333333,P1,1,77,155.000000
RH,61,162.375000,P1,5,61,155.000000
RH,61,162.666667,P1,5,61,155.500000
RH,68,162.666667,P1,1,68,155.500000
RH,71,162.666667,P1,1,71,155.500000
RH,77,162.666667,P1,1,77,155.500000
RH,61,163.125000,P1,5,61,156.000000
RH,68,163.125000,P1,1,68,156.000000
RH,71,163.125000,P1,1,71,156.000000
RH,77,163.125000,P1,1,77,156.000000
RH,61,163.500000,P1,5,61,156.500000
RH,68,163.500000,P1,1,68,156.500000
RH,71,163.500000,P1,1,71,156.500000
RH,77,163.500000,P1,1,77,156.500000
RH,61,164.000000,P1,5,61,157.000000
RH,61,164.750000,P1,5,61,157.500000
RH,61,165.125000,P1,5,61,158.000000
RH,61,165.625000,P1,5,61,158.500000
LH,54,165.875000,P1,5,54,159.000000
LH,58,165.875000,P1,5,58,159.000000
RH,61,165.875000,P1,5,61,159.000000
RH,64,165.875000,P1,5,64,159.000000
RH,82,165.875000,P1,1,82,159.000000
RH,85,165.875000,P1,1,85,159.000000
RH,88,165.875000,P1,1,88,159.000000
LH,54,166.250000,P1,5,54,159.500000
RH,64,166.250000,P1,5,64,159.500000
RH,79,166.250000,P1,1,79,159.500000
RH,82,166.250000,P1,1,82,159.500000
RH,85,166.250000,P1,1,85,159.500000
RH,88,166.250000,P1,1,88,159.500000
RH,91,166.250000,P1,1,91,159.500000
LH,58,166.333333,P1,5,58,159.500000
RH,61,166.333333,P1,5,61,159.500000
LH,54,166.666667,P1,5,54,160.000000
RH,64,166.666667,P1,5,64,160.000000
RH,79,166.666667,P1,1,79,160.000000
RH,82,166.666667,P1,1,82,160.000000
RH,85,166.666667,P1,1,85,160.000000
RH,88,166.666667,P1,1,88,160.000000
RH,91,166.666667,P1,1,91,160.000000
LH,58,166.750000,P1,5,58,160.000000
RH,61,166.750000,P1,5,61,160.000000
LH,54,167.125000,P1,5,54,160.500000
LH,58,167.125000,P1,5,58,160.500000
RH,61,167.125000,P1,5,61,160.500000
RH,64,167.125000,P1,5,64,160.500000
RH,79,167.125000,P1,1,79,160.500000
RH,82,167.125000,P1,1,82,160.500000
RH,85,167.125000,P1,1,85,160.500000
RH,88,167.125000,P1,1,88,160.500000
RH,91,167.125000,P1,1,91,160.500000
LH,54,167.625000,P1,5,54,161.000000
LH,58,167.625000,P1,5,58,161.000000
RH,61,167.625000,P1,5,61,161.000000
RH,64,167.625000,P1,5,64,161.000000
RH,79,167.625000,P1,1,79,161.000000
RH,82,167.625000,P1,1,82,161.000000
RH,85,167.625000,P1,1,85,161.000000
RH,88,167.625000,P1,1,88,161.000000
RH,91,167.625000,P1,1,91,161.000000
LH,58,168.125000,P1,5,58,161.500000
RH,61,168.125000,P1,5,61,161.500000
RH,64,168.125000,P1,5,64,161.500000
RH,79,168.125000,P1,1,79,161.500000
RH,82,168.125000,P1,1,82,161.500000
RH,85,168.125000,P1,1,85,161.500000
RH,88,168.125000,P1,1,88,161.500000
RH,91,168.125000,P1,1,91,161.500000
LH,54,168.250000,P1,5,54,161.500000
LH,54,168.750000,P1,5,54,162.000000
LH,58,168.750000,P1,5,58,162.000000
RH,61,168.750000,P1,5,61,162.000000
RH,64,168.750000,P1,5,64,162.000000
RH,79,168.750000,P1,1,79,162.000000
RH,82,168.750000,P1,1,82,162.000000
RH,85,168.750000,P1,1,85,162.000000
RH,88,168.750000,P1,1,88,162.000000
RH,91,168.750000,P1,1,91,162.000000
LH,58,169.500000,P1,5,58,162.500000
RH,61,169.500000,P1,5,61,162.500000
RH,79,169.500000,P1,1,79,162.500000
RH,82,169.500000,P1,1,82,162.500000
RH,88,169.500000,P1,1,88,162.500000
RH,91,169.500000,P1,1,91,162.500000
RH,85,169.625000,P1,1,85,162.500000
RH,91,171.125000,P1,1,91,163.000000
RH,79,171.250000,P1,1,79,163.000000
LH,54,172.000000,P1,5,54,163.500000
LH,54,172.875000,P1,5,54,164.500000
LH,54,173.666667,P1,5,54,165.500000
LH,54,174.625000,P1,5,54,166.500000
LH,54,175.333333,P1,5,54,167.500000
LH,54,176.000000,P1,5,54,168.500000
LH,54,176.750000,P1,5,54,169.500000
LH,54,177.500000,P1,5,54,170.500000
LH,54,178.125000,P1,5,54,171.500000
LH,54,179.000000,P1,5,54,172.500000
LH,54,179.750000,P1,5,54,173.500000
LH,54,180.375000,P1,5,54,174.500000
RH,62,182.375000,P1,5,62,177.250000
LH,59,182.625000,P1,5,59,177.500000
RH,62,182.750000,P1,5,62,177.750000
RH,62,183.250000,P1,5,62,178.250000
LH,59,183.500000,P1,5,59,178.500000
RH,62,183.625000,P1,5,62,178.750000
LH,54,183.875000,P1,5,54,179.000000
RH,62,184.000000,P1,5,62,179.250000
LH,59,184.125000,P1,5,59,179.500000
RH,62,184.375000,P1,5,62,179.750000
LH,54,184.500000,P1,5,54,180.000000
RH,62,185.666667,P1,5,62,181.250000
RH,62,186.000000,P1,5,62,181.750000
RH,64,186.500000,P1,5,64,182.250000
RH,64,186.875000,P1,5,64,182.750000
LH,54,187.375000,P1,5,54,183.500000
LH,54,188.250000,P1,5,54,184.500000
LH,54,189.000000,P1,5,54,185.500000
LH,54,189.625000,P1,5,54,186.500000
LH,54,190.500000,P1,5,54,187.500000
LH,54,191.250000,P1,5,54,188.500000
LH,54,191.875000,P1,5,54,189.500000
LH,54,192.666667,P1,5,54,190.500000
LH,54,193.375000,P1,5,54,191.500000
LH,54,194.125000,P1,5,54,192.500000
LH,54,198.666667,P1,5,54,198.000000
LH,59,199.500000,P1,1,59,199.000000
RH,71,248.875000,P1,1,71,252.000000
RH,71,250.375000,P1,1,71,254.000000
RH,71,250.750000,P1,1,71,254.500000
RH,66,251.125000,P1,5,66,255.000000
RH,69,251.125000,P1,5,69,255.000000
RH,71,251.125000,P1,2,71,255.000000
RH,71,251.500000,P1,2,71,255.500000
RH,71,251.875000,P1,2,71,256.000000
RH,71,252.250000,P1,2,71,256.500000
RH,71,252.625000,P1,2,71,257.000000
