hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,40,2.125000,P1,5,40,0.000000
LH,59,2.125000,P1,1,59,0.000000
RH,64,2.125000,P1,1,64,0.000000
LH,40,4.250000,P1,5,40,3.000000
LH,52,4.250000,P1,5,52,3.000000
LH,55,4.250000,P1,2,55,3.000000
RH,64,4.250000,P1,2,64,3.000000
RH,69,6.625000,P1,1,69,6.000000
RH,66,6.666667,P1,1,66,6.000000
RH,60,9.000000,P1,5,60,9.000000
RH,66,9.000000,P1,1,66,9.000000
RH,69,9.000000,P1,1,69,9.000000
LH,55,11.375000,P1,5,55,12.000000
LH,59,11.375000,P1,5,59,12.000000
RH,67,11.375000,P1,1,67,12.000000
RH,71,11.375000,P1,1,71,12.000000
LH,43,13.666667,P1,5,43,15.000000
LH,59,13.666667,P1,2,59,15.000000
RH,67,13.666667,P1,2,67,15.000000
RH,73,16.333333,P1,1,73,18.000000
RH,70,16.375000,P1,1,70,18.000000
RH,64,18.750000,P1,5,64,21.000000
RH,70,18.750000,P1,1,70,21.000000
RH,73,18.750000,P1,1,73,21.000000
RH,74,21.500000,P1,1,74,24.000000
RH,64,35.333333,P1,5,64,41.000000
RH,64,49.875000,P1,1,64,54.000000
RH,66,49.875000,P1,1,66,54.000000
RH,64,62.000000,P1,1,64,66.000000
RH,66,62.000000,P1,1,66,66.000000
LH,55,86.625000,P1,1,55,93.000000
LH,52,95.333333,P1,1,52,105.000000
RH,64,107.500000,P1,5,64,120.000000
LH,58,109.750000,P1,5,58,123.000000
RH,64,109.750000,P1,5,64,123.000000
RH,67,109.750000,P1,1,67,123.000000
LH,58,112.125000,P1,5,58,126.000000
RH,64,112.125000,P1,5,64,126.000000
RH,67,112.125000,P1,1,67,126.000000
RH,73,112.125000,P1,1,73,126.000000
RH,66,118.250000,P1,5,66,134.000000
LH,59,118.875000,P1,5,59,135.000000
RH,62,118.875000,P1,5,62,135.000000
RH,66,118.875000,P1,5,66,135.000000
LH,59,119.250000,P1,5,59,135.500000
RH,62,119.250000,P1,5,62,135.500000
RH,66,119.250000,P1,5,66,135.500000
LH,59,119.500000,P1,5,59,136.000000
LH,59,120.000000,P1,5,59,136.500000
LH,59,120.333333,P1,5,59,137.000000
LH,59,120.666667,P1,5,59,137.500000
LH,50,121.000000,P1,5,50,138.000000
LH,54,121.000000,P1,5,54,138.000000
LH,59,121.000000,P1,5,59,138.000000
LH,50,121.250000,P1,5,50,138.500000
LH,54,121.250000,P1,5,54,138.500000
LH,59,121.250000,P1,5,59,138.500000
LH,54,121.666667,P1,5,54,139.000000
LH,54,122.000000,P1,5,54,139.500000
LH,52,123.666667,P1,5,52,142.000000
LH,55,123.666667,P1,5,55,142.000000
RH,72,123.666667,P1,1,72,142.000000
LH,52,124.000000,P1,5,52,142.500000
LH,55,124.000000,P1,5,55,142.500000
LH,54,125.750000,P1,5,54,145.000000
LH,57,125.750000,P1,5,57,145.000000
RH,75,125.750000,P1,1,75,145.000000
LH,54,126.000000,P1,5,54,145.500000
LH,57,126.000000,P1,5,57,145.500000
LH,59,127.750000,P1,5,59,148.000000
RH,76,127.750000,P1,1,76,148.000000
LH,59,128.125000,P1,5,59,148.500000
LH,59,128.500000,P1,5,59,149.000000
LH,59,128.750000,P1,5,59,149.500000
LH,56,129.125000,P1,5,56,150.000000
LH,59,129.125000,P1,5,59,150.000000
LH,56,129.500000,P1,5,56,150.500000
LH,59,129.500000,P1,5,59,150.500000
RH,61,129.875000,P1,5,61,151.000000
RH,61,130.333333,P1,5,61,151.500000
RH,61,130.666667,P1,5,61,152.000000
RH,61,131.000000,P1,5,61,152.500000
RH,61,131.333333,P1,5,61,153.000000
RH,68,131.333333,P1,1,68,153.000000
RH,71,131.333333,P1,1,71,153.000000
RH,61,131.666667,P1,5,61,153.500000
RH,68,131.666667,P1,1,68,153.500000
RH,71,131.666667,P1,1,71,153.500000
RH,77,131.666667,P1,1,77,153.500000
RH,61,132.000000,P1,5,61,154.000000
RH,68,132.000000,P1,1,68,154.000000
RH,71,132.000000,P1,1,71,154.000000
RH,77,132.000000,P1,1,77,154.000000
RH,61,132.333333,P1,5,61,154.500000
RH,68,132.333333,P1,1,68,154.500000
RH,71,132.333333,P1,1,71,154.500000
RH,77,132.333333,P1,1,77,154.500000
RH,61,132.666667,P1,5,61,155.000000
RH,68,132.666667,P1,1,68,155.000000
RH,71,132.666667,P1,1,71,155.000000
RH,77,132.666667,P1,1,77,155.000000
RH,61,133.000000,P1,5,61,155.500000
RH,68,133.000000,P1,1,68,155.500000
RH,71,133.000000,P1,1,71,155.500000
RH,77,133.000000,P1,1,77,155.500000
RH,61,133.250000,P1,5,61,156.000000
RH,68,133.333333,P1,1,68,156.000000
RH,71,133.333333,P1,1,71,156.000000
RH,77,133.333333,P1,1,77,156.000000
RH,61,133.625000,P1,5,61,156.500000
RH,71,133.625000,P1,1,71,156.500000
RH,77,133.625000,P1,1,77,156.500000
RH,61,134.000000,P1,5,61,157.000000
RH,61,134.375000,P1,5,61,157.500000
RH,61,134.750000,P1,5,61,158.000000
RH,61,135.000000,P1,5,61,158.500000
RH,64,135.333333,P1,5,64,159.000000
RH,82,135.333333,P1,1,82,159.000000
RH,85,135.333333,P1,1,85,159.000000
LH,54,135.375000,P1,5,54,159.000000
LH,58,135.375000,P1,5,58,159.000000
RH,61,135.375000,P1,5,61,159.000000
RH,88,135.375000,P1,1,88,159.000000
RH,64,135.666667,P1,5,64,159.500000
RH,79,135.666667,P1,1,79,159.500000
RH,82,135.666667,P1,1,82,159.500000
RH,85,135.666667,P1,1,85,159.500000
RH,88,135.666667,P1,1,88,159.500000
RH,91,135.666667,P1,1,91,159.500000
LH,54,135.750000,P1,5,54,159.500000
LH,58,135.750000,P1,5,58,159.500000
RH,61,135.750000,P1,5,61,159.500000
RH,64,136.000000,P1,5,64,160.000000
RH,79,136.000000,P1,1,79,160.000000
RH,82,136.000000,P1,1,82,160.000000
RH,85,136.000000,P1,1,85,160.000000
RH,91,136.000000,P1,1,91,160.000000
LH,54,136.125000,P1,5,54,160.000000
LH,58,136.125000,P1,5,58,160.000000
RH,61,136.125000,P1,5,61,160.000000
RH,88,136.125000,P1,1,88,160.000000
RH,64,136.375000,P1,5,64,160.500000
RH,79,136.375000,P1,1,79,160.500000
RH,91,136.375000,P1,1,91,160.500000
LH,54,136.500000,P1,5,54,160.500000
LH,58,136.500000,P1,5,58,160.500000
RH,61,136.500000,P1,5,61,160.500000
RH,64,136.750000,P1,5,64,161.000000
RH,79,136.750000,P1,1,79,161.000000
RH,91,136.750000,P1,1,91,161.000000
LH,54,136.875000,P1,5,54,161.000000
LH,58,136.875000,P1,5,58,161.000000
RH,61,136.875000,P1,5,61,161.000000
LH,54,137.250000,P1,5,54,161.500000
LH,58,137.250000,P1,5,58,161.500000
RH,61,137.250000,P1,5,61,161.500000
RH,64,137.250000,P1,5,64,161.500000
RH,79,137.250000,P1,1,79,161.500000
RH,91,137.250000,P1,1,91,161.500000
RH,64,137.625000,P1,5,64,162.000000
RH,79,137.625000,P1,1,79,162.000000
RH,91,137.625000,P1,1,91,162.000000
LH,54,137.666667,P1,5,54,162.000000
LH,58,137.666667,P1,5,58,162.000000
RH,61,137.666667,P1,5,61,162.000000
LH,54,138.125000,P1,5,54,162.500000
LH,58,138.125000,P1,5,58,162.500000
RH,61,138.125000,P1,5,61,162.500000
RH,64,138.125000,P1,5,64,162.500000
RH,79,138.125000,P1,1,79,162.500000
RH,91,138.125000,P1,1,91,162.500000
RH,79,138.666667,P1,1,79,163.000000
RH,91,138.666667,P1,1,91,163.000000
LH,54,139.125000,P1,5,54,163.500000
LH,54,139.875000,P1,5,54,164.500000
LH,54,140.625000,P1,5,54,165.500000
LH,54,141.333333,P1,5,54,166.500000
LH,54,142.125000,P1,5,54,167.500000
LH,54,142.750000,P1,5,54,168.500000
LH,54,143.500000,P1,5,54,169.500000
