hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,48,2.000000,P1,5,48,0.000000
RH,60,2.000000,P1,1,60,0.000000
LH,59,3.875000,P1,1,59,2.000000
RH,62,3.875000,P1,1,62,2.000000
RH,60,4.125000,P1,1,60,2.250000
RH,64,4.125000,P1,1,64,2.250000
LH,59,4.250000,P1,1,59,2.500000
RH,62,4.250000,P1,1,62,2.500000
RH,64,4.375000,P1,1,64,2.750000
RH,60,4.500000,P1,1,60,2.750000
RH,62,4.625000,P1,1,62,3.000000
RH,65,4.625000,P1,1,65,3.000000
RH,60,5.000000,P1,1,60,3.500000
RH,64,5.000000,P1,1,64,3.500000
LH,43,5.375000,P1,5,43,4.000000
LH,59,5.375000,P1,1,59,4.000000
RH,62,5.375000,P1,1,62,4.000000
LH,55,5.500000,P1,5,55,4.000000
LH,43,6.250000,P1,5,43,5.000000
LH,59,6.250000,P1,1,59,5.000000
RH,67,6.250000,P1,1,67,5.000000
LH,55,6.333333,P1,5,55,5.000000
LH,43,9.125000,P1,5,43,8.000000
RH,62,9.125000,P1,1,62,8.000000
RH,65,9.125000,P1,1,65,8.000000
LH,59,9.250000,P1,5,59,8.000000
RH,61,10.875000,P1,1,61,10.000000
RH,64,10.875000,P1,1,64,10.000000
RH,65,11.125000,P1,1,65,10.250000
RH,61,11.250000,P1,1,61,10.500000
RH,62,11.250000,P1,1,62,10.250000
RH,64,11.250000,P1,1,64,10.500000
RH,65,11.375000,P1,1,65,10.750000
RH,62,11.500000,P1,1,62,10.750000
RH,64,11.625000,P1,1,64,11.000000
RH,67,11.625000,P1,1,67,11.000000
RH,62,12.000000,P1,1,62,11.500000
RH,65,12.000000,P1,1,65,11.500000
LH,48,12.375000,P1,5,48,12.000000
RH,60,12.375000,P1,1,60,12.000000
RH,64,12.375000,P1,1,64,12.000000
LH,55,12.500000,P1,5,55,12.000000
LH,48,13.250000,P1,5,48,13.000000
LH,55,13.250000,P1,5,55,13.000000
RH,64,13.250000,P1,1,64,13.000000
RH,72,13.250000,P1,1,72,13.000000
RH,64,16.125000,P1,2,64,16.000000
RH,72,16.125000,P1,1,72,16.000000
LH,55,16.250000,P1,5,55,16.000000
LH,48,17.000000,P1,6,48,17.000000
LH,50,17.875000,P1,6,50,18.000000
