hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,48,4.000000,P1,5,48,0.000000
LH,55,4.000000,P1,5,55,0.000000
LH,59,5.750000,P1,1,59,2.000000
RH,62,5.750000,P1,1,62,2.000000
RH,60,6.000000,P1,1,60,2.250000
RH,64,6.000000,P1,1,64,2.250000
LH,59,6.125000,P1,1,59,2.500000
RH,62,6.125000,P1,1,62,2.500000
RH,60,6.333333,P1,1,60,2.750000
RH,64,6.333333,P1,1,64,2.750000
RH,62,6.500000,P1,1,62,3.000000
RH,65,6.500000,P1,1,65,3.000000
RH,60,6.875000,P1,1,60,3.500000
RH,64,6.875000,P1,1,64,3.500000
LH,43,7.375000,P1,5,43,4.000000
LH,55,7.375000,P1,5,55,4.000000
LH,59,7.375000,P1,1,59,4.000000
RH,62,7.375000,P1,1,62,4.000000
RH,67,8.333333,P1,1,67,5.000000
LH,43,8.375000,P1,5,43,5.000000
LH,55,8.375000,P1,5,55,5.000000
LH,59,8.375000,P1,1,59,5.000000
LH,59,11.625000,P1,5,59,8.000000
RH,62,11.625000,P1,1,62,8.000000
RH,65,11.625000,P1,1,65,8.000000
LH,43,11.666667,P1,5,43,8.000000
RH,61,13.333333,P1,1,61,10.000000
RH,64,13.333333,P1,1,64,10.000000
RH,62,13.500000,P1,1,62,10.250000
RH,65,13.500000,P1,1,65,10.250000
RH,61,13.666667,P1,1,61,10.500000
RH,64,13.666667,P1,1,64,10.500000
RH,62,13.875000,P1,1,62,10.750000
RH,65,13.875000,P1,1,65,10.750000
RH,64,14.000000,P1,1,64,11.000000
RH,67,14.000000,P1,1,67,11.000000
RH,62,14.500000,P1,1,62,11.500000
RH,65,14.500000,P1,1,65,11.500000
LH,55,14.875000,P1,5,55,12.000000
RH,60,14.875000,P1,1,60,12.000000
RH,64,14.875000,P1,1,64,12.000000
LH,48,15.000000,P1,5,48,12.000000
RH,64,15.750000,P1,1,64,13.000000
RH,72,15.750000,P1,1,72,13.000000
LH,48,15.875000,P1,5,48,13.000000
LH,55,15.875000,P1,5,55,13.000000
LH,55,18.875000,P1,5,55,16.000000
RH,64,18.875000,P1,2,64,16.000000
RH,72,18.875000,P1,1,72,16.000000
LH,48,19.750000,P1,6,48,17.000000
LH,50,20.500000,P1,6,50,18.000000
RH,65,20.500000,P1,2,65,18.000000
RH,71,20.500000,P1,1,71,18.000000
RH,72,20.750000,P1,1,72,18.250000
RH,71,20.875000,P1,1,71,18.500000
RH,72,21.125000,P1,1,72,18.750000
LH,43,21.250000,P1,6,43,19.000000
RH,74,21.250000,P1,1,74,19.000000
RH,71,21.666667,P1,1,71,19.500000
RH,67,22.125000,P1,1,67,20.000000
LH,55,22.875000,P1,5,55,21.000000
RH,64,22.875000,P1,2,64,21.000000
RH,72,22.875000,P1,1,72,21.000000
LH,48,23.000000,P1,6,48,21.000000
LH,50,23.750000,P1,6,50,22.000000
RH,65,23.750000,P1,2,65,22.000000
RH,71,23.750000,P1,1,71,22.000000
RH,72,24.000000,P1,1,72,22.250000
RH,71,24.125000,P1,1,71,22.500000
RH,72,24.250000,P1,1,72,22.750000
LH,43,24.500000,P1,6,43,23.000000
RH,74,24.500000,P1,1,74,23.000000
RH,71,24.875000,P1,1,71,23.500000
RH,67,25.333333,P1,1,67,24.000000
LH,52,25.375000,P1,6,52,24.000000
LH,48,26.250000,P1,6,48,25.000000
RH,72,26.250000,P1,1,72,25.000000
LH,57,27.000000,P1,5,57,26.000000
RH,60,27.000000,P1,2,60,26.000000
LH,53,27.125000,P1,6,53,26.000000
LH,50,27.875000,P1,6,50,27.000000
RH,69,27.875000,P1,1,69,27.000000
LH,55,28.750000,P1,5,55,28.000000
LH,59,28.750000,P1,2,59,28.000000
RH,62,28.750000,P1,1,62,28.000000
LH,43,29.625000,P1,5,43,29.000000
RH,67,29.625000,P1,1,67,29.000000
LH,48,30.375000,P1,5,48,30.000000
RH,60,30.375000,P1,2,60,30.000000
RH,64,30.375000,P1,1,64,30.000000
LH,55,30.625000,P1,5,55,30.333333
LH,54,30.875000,P1,5,54,30.666667
LH,53,31.125000,P1,5,53,31.000000
LH,52,31.375000,P1,5,52,31.333333
LH,50,31.666667,P1,5,50,31.666667
LH,48,32.000000,P1,6,48,32.000000
LH,55,32.750000,P1,5,55,33.000000
RH,64,32.750000,P1,2,64,33.000000
RH,67,32.750000,P1,1,67,33.000000
LH,47,33.625000,P1,6,47,34.000000
RH,62,33.625000,P1,2,62,34.000000
LH,48,33.875000,P1,6,48,34.250000
LH,47,34.000000,P1,6,47,34.500000
LH,48,34.250000,P1,6,48,34.750000
LH,50,34.375000,P1,6,50,35.000000
RH,62,34.375000,P1,2,62,35.000000
RH,65,34.375000,P1,1,65,35.000000
LH,47,34.750000,P1,6,47,35.500000
LH,43,35.250000,P1,6,43,36.000000
RH,60,35.250000,P1,2,60,36.000000
RH,64,35.250000,P1,1,64,36.000000
LH,48,36.000000,P1,6,48,37.000000
LH,55,36.000000,P1,5,55,37.000000
RH,64,36.000000,P1,2,64,37.000000
RH,67,36.000000,P1,1,67,37.000000
LH,47,36.750000,P1,6,47,38.000000
RH,62,36.875000,P1,2,62,38.000000
LH,48,37.000000,P1,6,48,38.250000
LH,47,37.125000,P1,6,47,38.500000
LH,48,37.333333,P1,6,48,38.750000
LH,50,37.625000,P1,6,50,39.000000
RH,62,37.625000,P1,2,62,39.000000
LH,47,38.000000,P1,6,47,39.500000
LH,43,38.500000,P1,5,43,40.000000
LH,55,38.500000,P1,2,55,40.000000
RH,60,38.500000,P1,1,60,40.000000
RH,64,38.500000,P1,1,64,40.000000
LH,48,39.250000,P1,5,48,41.000000
LH,57,40.125000,P1,2,57,42.000000
RH,60,40.125000,P1,1,60,42.000000
RH,64,40.125000,P1,1,64,42.000000
RH,69,40.125000,P1,1,69,42.000000
LH,55,41.750000,P1,2,55,44.000000
RH,60,41.750000,P1,1,60,44.000000
RH,64,41.750000,P1,1,64,44.000000
RH,67,41.750000,P1,1,67,44.000000
LH,43,42.500000,P1,5,43,45.000000
LH,50,43.375000,P1,2,50,46.000000
LH,53,43.375000,P1,2,53,46.000000
LH,55,43.375000,P1,2,55,46.000000
LH,59,43.375000,P1,1,59,46.000000
LH,31,44.125000,P1,5,31,47.000000
LH,43,44.125000,P1,5,43,47.000000
LH,36,45.000000,P1,5,36,48.000000
LH,40,45.000000,P1,5,40,48.000000
LH,43,45.000000,P1,5,43,48.000000
