hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,71,4.500000,P1,2,71,0.250000
LH,52,4.875000,P1,5,52,0.500000
LH,59,5.250000,P1,5,59,0.750000
LH,59,11.333333,P1,2,59,6.250000
LH,59,12.500000,P1,2,59,7.250000
RH,68,13.875000,P1,1,68,8.000000
LH,52,14.500000,P1,5,52,8.500000
LH,54,23.500000,P1,5,54,16.750000
RH,63,29.875000,P1,5,63,18.500000
RH,78,35.375000,P1,1,78,19.750000
RH,68,38.375000,P1,5,68,20.500000
RH,73,38.375000,P1,1,73,20.500000
RH,76,38.375000,P1,1,76,20.500000
RH,63,39.375000,P1,5,63,20.750000
RH,73,42.500000,P1,1,73,21.500000
RH,66,46.625000,P1,5,66,22.250000
RH,76,48.625000,P1,1,76,22.750000
LH,59,50.125000,P1,5,59,23.000000
LH,59,52.500000,P1,5,59,23.500000
RH,76,53.375000,P1,1,76,23.750000
LH,59,54.500000,P1,5,59,24.000000
LH,59,56.500000,P1,5,59,24.500000
LH,54,58.375000,P1,5,54,25.000000
RH,75,58.875000,P1,1,75,25.000000
LH,54,60.250000,P1,5,54,25.500000
RH,63,60.250000,P1,5,63,25.500000
RH,63,68.000000,P1,1,63,28.000000
LH,39,76.000000,P1,5,39,30.000000
RH,67,77.625000,P1,1,67,30.500000
LH,58,78.333333,P1,1,58,30.666667
RH,63,78.500000,P1,1,63,30.583333
LH,51,82.125000,P1,5,51,31.500000
RH,82,86.875000,P1,1,82,32.312500
RH,90,89.000000,P1,1,90,32.750000
LH,59,91.500000,P1,5,59,33.250000
RH,88,94.625000,P1,1,88,33.875000
RH,87,96.500000,P1,5,87,34.500000
RH,85,97.125000,P1,5,85,34.750000
RH,83,97.666667,P1,5,83,35.000000
RH,82,97.875000,P1,5,82,35.083333
RH,78,98.375000,P1,5,78,35.166667
RH,76,98.750000,P1,5,76,35.416667
LH,56,104.625000,P1,1,56,37.333333
RH,61,113.125000,P1,6,61,41.250000
RH,71,113.500000,P1,1,71,41.500000
RH,70,113.666667,P1,1,70,41.750000
RH,68,114.250000,P1,6,68,42.250000
RH,73,114.500000,P1,1,73,42.500000
RH,80,114.875000,P1,1,80,42.750000
RH,63,115.333333,P1,6,63,43.250000
RH,73,115.625000,P1,1,73,43.500000
RH,72,115.875000,P1,1,72,43.750000
RH,69,116.375000,P1,5,69,44.250000
RH,72,116.625000,P1,1,72,44.500000
RH,75,116.625000,P1,1,75,44.500000
RH,84,116.875000,P1,1,84,44.750000
RH,68,117.375000,P1,5,68,45.250000
RH,73,117.666667,P1,1,73,45.500000
RH,76,117.666667,P1,1,76,45.500000
RH,85,118.000000,P1,1,85,45.750000
RH,68,118.375000,P1,5,68,46.250000
RH,84,118.666667,P1,1,84,46.500000
RH,87,119.000000,P1,1,87,46.750000
RH,61,119.125000,P1,6,61,47.000000
RH,64,119.125000,P1,5,64,47.000000
RH,68,119.500000,P1,5,68,47.250000
RH,80,119.750000,P1,1,80,47.500000
RH,88,120.000000,P1,1,88,47.750000
RH,60,120.250000,P1,6,60,48.000000
RH,63,120.250000,P1,5,63,48.000000
RH,68,120.625000,P1,5,68,48.250000
RH,87,120.875000,P1,1,87,48.500000
RH,78,121.000000,P1,1,78,48.500000
RH,80,121.125000,P1,1,80,48.750000
RH,61,121.375000,P1,6,61,49.000000
RH,64,121.375000,P1,5,64,49.000000
RH,68,121.750000,P1,5,68,49.250000
RH,76,122.000000,P1,1,76,49.500000
RH,80,122.000000,P1,1,80,49.500000
RH,88,122.125000,P1,1,88,49.750000
LH,57,122.500000,P1,6,57,50.000000
RH,61,122.500000,P1,5,61,50.000000
RH,66,122.875000,P1,5,66,50.250000
RH,78,123.125000,P1,1,78,50.500000
RH,85,123.125000,P1,1,85,50.500000
RH,90,123.375000,P1,1,90,50.750000
LH,56,123.875000,P1,6,56,51.000000
RH,63,124.000000,P1,5,63,51.000000
RH,68,124.333333,P1,5,68,51.250000
RH,80,124.500000,P1,1,80,51.500000
RH,84,124.500000,P1,1,84,51.500000
RH,92,124.875000,P1,1,92,51.750000
RH,75,125.500000,P1,1,75,52.000000
RH,63,125.875000,P1,2,63,52.250000
LH,55,126.250000,P1,5,55,52.500000
LH,58,126.500000,P1,5,58,52.750000
RH,75,126.750000,P1,1,75,53.000000
RH,63,127.125000,P1,2,63,53.250000
LH,56,127.333333,P1,5,56,53.500000
LH,59,127.500000,P1,5,59,53.750000
RH,73,127.875000,P1,1,73,54.000000
RH,63,128.250000,P1,2,63,54.250000
LH,46,128.375000,P1,5,46,54.500000
LH,49,128.666667,P1,5,49,54.750000
RH,71,128.875000,P1,1,71,55.000000
RH,63,129.250000,P1,2,63,55.250000
LH,47,129.375000,P1,5,47,55.500000
LH,51,129.750000,P1,5,51,55.750000
RH,67,130.000000,P1,1,67,56.000000
RH,70,130.000000,P1,1,70,56.000000
RH,61,130.333333,P1,2,61,56.250000
LH,49,130.500000,P1,5,49,56.500000
LH,52,130.750000,P1,5,52,56.750000
RH,68,131.000000,P1,1,68,57.000000
RH,71,131.000000,P1,1,71,57.000000
LH,59,131.375000,P1,2,59,57.250000
LH,50,131.625000,P1,5,50,57.500000
LH,53,131.875000,P1,5,53,57.750000
RH,65,132.250000,P1,1,65,58.000000
RH,68,132.250000,P1,1,68,58.000000
LH,56,132.500000,P1,2,56,58.250000
LH,38,132.750000,P1,5,38,58.500000
LH,50,133.125000,P1,5,50,58.750000
RH,63,133.500000,P1,1,63,59.000000
