hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,71,4.625000,P1,2,71,0.250000
LH,52,5.000000,P1,5,52,0.500000
LH,59,5.375000,P1,5,59,0.750000
LH,59,11.125000,P1,2,59,6.250000
LH,59,12.625000,P1,2,59,7.250000
RH,68,14.000000,P1,1,68,8.000000
LH,52,14.750000,P1,5,52,8.500000
LH,54,23.500000,P1,5,54,16.750000
RH,63,32.375000,P1,5,63,18.500000
RH,78,39.750000,P1,1,78,19.750000
RH,68,44.125000,P1,5,68,20.500000
RH,73,44.125000,P1,1,73,20.500000
RH,76,44.125000,P1,1,76,20.500000
RH,63,45.750000,P1,5,63,20.750000
RH,73,49.875000,P1,1,73,21.500000
RH,66,54.500000,P1,5,66,22.250000
RH,76,57.625000,P1,1,76,22.750000
LH,59,59.625000,P1,5,59,23.000000
LH,59,62.333333,P1,5,59,23.500000
RH,76,63.625000,P1,1,76,23.750000
LH,59,64.875000,P1,5,59,24.000000
LH,59,67.500000,P1,5,59,24.500000
LH,54,70.000000,P1,5,54,25.000000
RH,75,70.666667,P1,1,75,25.000000
LH,54,72.125000,P1,5,54,25.500000
RH,63,72.125000,P1,5,63,25.500000
RH,63,81.000000,P1,1,63,28.000000
LH,39,91.125000,P1,5,39,30.000000
RH,67,93.250000,P1,1,67,30.500000
LH,58,94.000000,P1,1,58,30.666667
RH,63,94.333333,P1,1,63,30.583333
LH,51,98.250000,P1,5,51,31.500000
RH,90,106.333333,P1,1,90,32.750000
LH,59,108.500000,P1,5,59,33.250000
RH,88,111.333333,P1,1,88,33.875000
RH,87,113.000000,P1,5,87,34.500000
RH,85,113.625000,P1,5,85,34.750000
RH,83,114.125000,P1,5,83,35.000000
RH,82,114.375000,P1,5,82,35.083333
RH,78,114.875000,P1,5,78,35.166667
RH,76,115.125000,P1,5,76,35.416667
LH,56,121.250000,P1,1,56,37.333333
RH,61,131.750000,P1,6,61,41.250000
RH,71,132.125000,P1,1,71,41.500000
RH,70,132.333333,P1,1,70,41.750000
RH,68,132.875000,P1,6,68,42.250000
RH,73,133.000000,P1,1,73,42.500000
RH,80,133.250000,P1,1,80,42.750000
RH,63,133.666667,P1,6,63,43.250000
RH,73,134.000000,P1,1,73,43.500000
RH,72,134.125000,P1,1,72,43.750000
RH,69,134.666667,P1,5,69,44.250000
RH,72,134.875000,P1,1,72,44.500000
RH,75,134.875000,P1,1,75,44.500000
RH,84,135.125000,P1,1,84,44.750000
RH,68,135.625000,P1,5,68,45.250000
RH,73,135.750000,P1,1,73,45.500000
RH,76,135.750000,P1,1,76,45.500000
RH,85,136.000000,P1,1,85,45.750000
RH,68,136.500000,P1,5,68,46.250000
RH,84,136.750000,P1,1,84,46.500000
RH,87,137.000000,P1,1,87,46.750000
RH,61,137.250000,P1,6,61,47.000000
RH,64,137.250000,P1,5,64,47.000000
RH,80,137.666667,P1,1,80,47.500000
RH,88,137.875000,P1,1,88,47.750000
RH,60,138.250000,P1,6,60,48.000000
RH,63,138.250000,P1,5,63,48.000000
RH,68,138.500000,P1,5,68,48.250000
