hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,44,2.000000,P1,5,44,0.000000
LH,51,2.000000,P1,5,51,0.000000
LH,48,5.375000,P1,5,48,1.500000
RH,63,5.375000,P1,2,63,1.500000
RH,68,5.375000,P1,1,68,1.500000
LH,51,5.500000,P1,5,51,1.500000
RH,68,6.375000,P1,1,68,2.000000
LH,48,6.500000,P1,5,48,2.000000
LH,51,6.500000,P1,5,51,2.000000
RH,63,6.500000,P1,2,63,2.000000
LH,48,7.875000,P1,5,48,2.750000
LH,51,7.875000,P1,5,51,2.750000
RH,63,7.875000,P1,2,63,2.750000
RH,68,7.875000,P1,1,68,2.750000
LH,46,8.500000,P1,5,46,3.000000
LH,51,8.500000,P1,5,51,3.000000
RH,67,8.500000,P1,1,67,3.000000
RH,73,8.500000,P1,1,73,3.000000
LH,49,10.875000,P1,5,49,4.000000
LH,51,10.875000,P1,5,51,4.000000
RH,67,10.875000,P1,1,67,4.000000
RH,70,10.875000,P1,1,70,4.000000
LH,48,16.125000,P1,6,48,6.000000
RH,75,16.125000,P1,1,75,6.000000
LH,51,16.250000,P1,5,51,6.000000
RH,68,16.250000,P1,1,68,6.000000
LH,56,17.375000,P1,5,56,6.500000
RH,60,18.375000,P1,5,60,7.000000
RH,68,19.333333,P1,1,68,7.500000
RH,73,19.333333,P1,1,73,7.500000
LH,53,19.375000,P1,6,53,7.500000
LH,58,19.375000,P1,5,58,7.500000
LH,51,20.375000,P1,6,51,8.000000
RH,60,20.375000,P1,5,60,8.000000
RH,68,20.375000,P1,1,68,8.000000
RH,75,20.375000,P1,1,75,8.000000
RH,61,21.500000,P1,5,61,8.500000
RH,77,21.500000,P1,1,77,8.500000
LH,49,21.625000,P1,6,49,8.500000
RH,68,21.625000,P1,1,68,8.500000
LH,51,23.000000,P1,5,51,9.000000
LH,58,23.000000,P1,5,58,9.000000
RH,67,23.000000,P1,2,67,9.000000
RH,75,23.000000,P1,1,75,9.000000
RH,74,24.625000,P1,1,74,9.750000
LH,51,25.250000,P1,5,51,10.000000
RH,67,25.250000,P1,1,67,10.000000
RH,73,25.250000,P1,1,73,10.000000
LH,58,25.333333,P1,5,58,10.000000
RH,75,25.875000,P1,2,75,10.062500
RH,73,26.125000,P1,2,73,10.125000
RH,75,26.375000,P1,2,75,10.187500
RH,73,26.625000,P1,2,73,10.250000
RH,75,26.750000,P1,2,75,10.187500
RH,73,26.875000,P1,2,73,10.250000
RH,75,27.125000,P1,2,75,10.312500
RH,73,27.333333,P1,2,73,10.250000
RH,75,27.500000,P1,2,75,10.312500
RH,73,27.625000,P1,2,73,10.375000
RH,75,27.750000,P1,2,75,10.312500
RH,73,28.000000,P1,2,73,10.375000
RH,75,28.250000,P1,2,75,10.437500
RH,73,28.333333,P1,1,73,10.500000
RH,75,28.500000,P1,2,75,10.437500
RH,73,28.750000,P1,1,73,10.500000
RH,75,28.875000,P1,4,75,10.541667
RH,73,29.125000,P1,4,73,10.583333
RH,75,29.250000,P1,4,75,10.541667
RH,73,29.500000,P1,4,73,10.583333
RH,72,29.875000,P1,1,72,10.625000
RH,73,30.125000,P1,1,73,10.750000
RH,75,31.250000,P1,1,75,10.875000
RH,77,32.000000,P1,1,77,11.000000
RH,75,33.375000,P1,1,75,11.500000
RH,73,34.000000,P1,1,73,11.750000
LH,56,34.875000,P1,5,56,12.000000
RH,72,34.875000,P1,1,72,12.000000
RH,60,35.500000,P1,5,60,12.250000
RH,63,35.500000,P1,5,63,12.250000
RH,60,35.875000,P1,5,60,12.500000
RH,63,35.875000,P1,5,63,12.500000
RH,60,36.375000,P1,5,60,12.750000
RH,63,36.375000,P1,5,63,12.750000
LH,56,36.875000,P1,5,56,13.000000
RH,60,37.250000,P1,5,60,13.250000
RH,63,37.250000,P1,5,63,13.250000
RH,60,37.750000,P1,5,60,13.500000
RH,63,37.750000,P1,5,63,13.500000
RH,75,37.750000,P1,1,75,13.500000
RH,60,38.250000,P1,5,60,13.750000
RH,63,38.250000,P1,5,63,13.750000
LH,56,38.750000,P1,5,56,14.000000
RH,60,39.125000,P1,5,60,14.250000
RH,63,39.125000,P1,5,63,14.250000
RH,63,39.625000,P1,5,63,14.500000
RH,80,39.625000,P1,1,80,14.500000
RH,60,39.666667,P1,5,60,14.500000
RH,60,40.000000,P1,5,60,14.750000
LH,58,40.625000,P1,5,58,15.000000
RH,80,40.625000,P1,1,80,15.000000
RH,63,41.000000,P1,5,63,15.250000
RH,61,41.125000,P1,5,61,15.250000
RH,61,41.500000,P1,5,61,15.500000
RH,63,41.500000,P1,5,63,15.500000
RH,61,42.000000,P1,5,61,15.750000
RH,63,42.000000,P1,5,63,15.750000
LH,58,42.500000,P1,5,58,16.000000
RH,79,42.500000,P1,1,79,16.000000
RH,63,42.875000,P1,5,63,16.250000
RH,61,43.000000,P1,5,61,16.250000
RH,63,43.375000,P1,5,63,16.500000
RH,61,43.500000,P1,5,61,16.500000
RH,61,43.875000,P1,5,61,16.750000
RH,63,43.875000,P1,5,63,16.750000
LH,58,44.333333,P1,5,58,17.000000
RH,61,44.750000,P1,5,61,17.250000
RH,63,44.750000,P1,5,63,17.250000
RH,61,45.250000,P1,5,61,17.500000
RH,63,45.250000,P1,5,63,17.500000
RH,61,46.333333,P1,5,61,18.000000
RH,82,46.500000,P1,1,82,18.000000
RH,63,47.000000,P1,5,63,18.250000
RH,67,47.000000,P1,5,67,18.250000
RH,70,47.000000,P1,5,70,18.250000
RH,63,47.500000,P1,5,63,18.500000
RH,67,47.500000,P1,5,67,18.500000
RH,70,47.500000,P1,5,70,18.500000
RH,63,48.000000,P1,5,63,18.750000
RH,67,48.000000,P1,5,67,18.750000
RH,70,48.000000,P1,5,70,18.750000
RH,61,48.375000,P1,5,61,19.000000
RH,63,48.875000,P1,5,63,19.250000
RH,67,48.875000,P1,5,67,19.250000
RH,70,48.875000,P1,5,70,19.250000
RH,63,49.375000,P1,5,63,19.500000
RH,67,49.375000,P1,5,67,19.500000
RH,70,49.375000,P1,5,70,19.500000
RH,79,49.375000,P1,1,79,19.500000
RH,63,49.875000,P1,5,63,19.750000
RH,67,49.875000,P1,5,67,19.750000
RH,70,49.875000,P1,5,70,19.750000
RH,61,50.250000,P1,5,61,20.000000
RH,63,50.666667,P1,5,63,20.250000
RH,67,50.666667,P1,5,67,20.250000
RH,70,50.666667,P1,5,70,20.250000
RH,75,51.125000,P1,1,75,20.500000
RH,63,51.250000,P1,5,63,20.500000
RH,67,51.250000,P1,5,67,20.500000
RH,70,51.250000,P1,5,70,20.500000
RH,70,51.625000,P1,5,70,20.750000
RH,63,51.666667,P1,5,63,20.750000
RH,67,51.666667,P1,5,67,20.750000
RH,60,52.125000,P1,5,60,21.000000
RH,75,52.250000,P1,1,75,21.000000
RH,63,52.666667,P1,5,63,21.250000
RH,68,52.666667,P1,5,68,21.250000
RH,63,53.125000,P1,5,63,21.500000
RH,68,53.125000,P1,5,68,21.500000
RH,63,53.500000,P1,5,63,21.750000
RH,68,53.500000,P1,5,68,21.750000
RH,60,54.000000,P1,5,60,22.000000
RH,80,54.000000,P1,1,80,22.000000
RH,63,54.500000,P1,5,63,22.250000
RH,68,54.500000,P1,5,68,22.250000
RH,63,54.875000,P1,5,63,22.500000
RH,68,54.875000,P1,5,68,22.500000
RH,63,55.375000,P1,5,63,22.750000
RH,68,55.375000,P1,5,68,22.750000
RH,60,55.875000,P1,5,60,23.000000
RH,63,56.250000,P1,5,63,23.250000
RH,68,56.250000,P1,5,68,23.250000
RH,68,56.750000,P1,5,68,23.500000
RH,63,56.875000,P1,5,63,23.500000
RH,63,57.250000,P1,5,63,23.750000
RH,68,57.250000,P1,5,68,23.750000
RH,66,57.750000,P1,5,66,24.000000
RH,80,57.750000,P1,1,80,24.000000
RH,68,58.250000,P1,5,68,24.250000
RH,72,58.250000,P1,5,72,24.250000
RH,75,58.250000,P1,5,75,24.250000
RH,68,58.666667,P1,5,68,24.500000
RH,72,58.666667,P1,5,72,24.500000
RH,75,58.666667,P1,5,75,24.500000
RH,72,59.125000,P1,5,72,24.750000
