hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,44,2.000000,P1,5,44,0.000000
LH,51,2.000000,P1,5,51,0.000000
RH,63,6.000000,P1,2,63,1.500000
RH,68,6.000000,P1,1,68,1.500000
LH,48,7.125000,P1,5,48,2.000000
LH,51,7.125000,P1,5,51,2.000000
RH,63,7.125000,P1,2,63,2.000000
RH,68,7.125000,P1,1,68,2.000000
LH,48,8.750000,P1,5,48,2.750000
LH,51,8.750000,P1,5,51,2.750000
RH,63,8.750000,P1,2,63,2.750000
RH,68,8.750000,P1,1,68,2.750000
LH,46,9.375000,P1,5,46,3.000000
LH,51,9.375000,P1,5,51,3.000000
RH,67,9.375000,P1,1,67,3.000000
RH,73,9.375000,P1,1,73,3.000000
RH,70,12.333333,P1,1,70,4.000000
LH,49,12.375000,P1,5,49,4.000000
LH,51,12.375000,P1,5,51,4.000000
RH,67,12.375000,P1,1,67,4.000000
RH,75,17.625000,P1,1,75,6.000000
LH,48,17.666667,P1,6,48,6.000000
LH,51,17.666667,P1,5,51,6.000000
RH,68,17.666667,P1,1,68,6.000000
LH,56,18.875000,P1,5,56,6.500000
RH,60,20.000000,P1,5,60,7.000000
LH,58,21.125000,P1,5,58,7.500000
RH,73,21.125000,P1,1,73,7.500000
LH,53,21.250000,P1,6,53,7.500000
RH,68,21.250000,P1,1,68,7.500000
LH,51,22.375000,P1,6,51,8.000000
RH,60,22.375000,P1,5,60,8.000000
RH,68,22.375000,P1,1,68,8.000000
RH,75,22.375000,P1,1,75,8.000000
RH,75,25.333333,P1,1,75,9.000000
LH,51,25.375000,P1,5,51,9.000000
LH,58,25.375000,P1,5,58,9.000000
RH,67,25.375000,P1,2,67,9.000000
RH,74,28.000000,P1,1,74,9.750000
LH,51,28.875000,P1,5,51,10.000000
LH,58,28.875000,P1,5,58,10.000000
RH,67,28.875000,P1,1,67,10.000000
RH,73,28.875000,P1,1,73,10.000000
RH,75,29.500000,P1,2,75,10.062500
RH,73,29.875000,P1,2,73,10.125000
RH,75,30.125000,P1,2,75,10.187500
RH,73,30.375000,P1,2,73,10.250000
RH,75,30.666667,P1,2,75,10.312500
RH,73,30.875000,P1,2,73,10.375000
RH,75,31.125000,P1,2,75,10.312500
RH,73,31.333333,P1,2,73,10.375000
RH,75,31.375000,P1,2,75,10.437500
RH,73,31.625000,P1,2,73,10.375000
RH,75,31.875000,P1,2,75,10.437500
RH,73,32.000000,P1,1,73,10.500000
RH,75,32.125000,P1,4,75,10.541667
RH,73,32.333333,P1,4,73,10.583333
RH,75,32.500000,P1,4,75,10.541667
RH,73,32.625000,P1,4,73,10.583333
RH,73,33.000000,P1,4,73,10.583333
RH,73,33.250000,P1,1,73,10.750000
RH,73,33.625000,P1,1,73,10.750000
RH,75,34.375000,P1,1,75,10.875000
RH,75,34.875000,P1,1,75,10.875000
RH,77,35.250000,P1,1,77,11.000000
RH,75,37.125000,P1,1,75,11.500000
RH,73,38.000000,P1,1,73,11.750000
LH,56,38.875000,P1,5,56,12.000000
RH,72,39.000000,P1,1,72,12.000000
RH,60,40.875000,P1,5,60,12.750000
RH,63,40.875000,P1,5,63,12.750000
LH,56,41.333333,P1,5,56,13.000000
RH,60,41.875000,P1,5,60,13.250000
RH,60,42.333333,P1,5,60,13.500000
RH,63,42.333333,P1,5,63,13.500000
RH,75,42.333333,P1,1,75,13.500000
RH,60,42.875000,P1,5,60,13.750000
RH,63,42.875000,P1,5,63,13.750000
LH,56,43.375000,P1,5,56,14.000000
RH,60,43.875000,P1,5,60,14.250000
RH,63,43.875000,P1,5,63,14.250000
RH,60,44.375000,P1,5,60,14.500000
RH,63,44.375000,P1,5,63,14.500000
RH,80,44.375000,P1,1,80,14.500000
RH,60,44.875000,P1,5,60,14.750000
RH,63,44.875000,P1,5,63,14.750000
LH,58,45.500000,P1,5,58,15.000000
RH,80,45.500000,P1,1,80,15.000000
RH,61,46.000000,P1,5,61,15.250000
RH,63,46.000000,P1,5,63,15.250000
RH,61,46.500000,P1,5,61,15.500000
RH,63,46.500000,P1,5,63,15.500000
RH,61,47.000000,P1,5,61,15.750000
RH,63,47.000000,P1,5,63,15.750000
LH,58,47.625000,P1,5,58,16.000000
RH,79,47.750000,P1,1,79,16.000000
RH,61,48.250000,P1,5,61,16.250000
RH,63,48.250000,P1,5,63,16.250000
RH,63,48.666667,P1,5,63,16.500000
RH,61,48.750000,P1,5,61,16.500000
RH,61,49.125000,P1,5,61,16.750000
RH,63,49.125000,P1,5,63,16.750000
LH,58,49.666667,P1,5,58,17.000000
RH,61,50.125000,P1,5,61,17.250000
RH,63,50.125000,P1,5,63,17.250000
RH,61,50.625000,P1,5,61,17.500000
RH,63,50.625000,P1,5,63,17.500000
RH,61,51.125000,P1,5,61,17.750000
RH,63,51.125000,P1,5,63,17.750000
RH,61,51.750000,P1,5,61,18.000000
RH,82,51.750000,P1,1,82,18.000000
RH,63,52.375000,P1,5,63,18.250000
RH,67,52.375000,P1,5,67,18.250000
RH,70,52.375000,P1,5,70,18.250000
RH,63,52.875000,P1,5,63,18.500000
RH,67,52.875000,P1,5,67,18.500000
RH,70,52.875000,P1,5,70,18.500000
RH,63,53.375000,P1,5,63,18.750000
RH,70,53.375000,P1,5,70,18.750000
RH,67,53.500000,P1,5,67,18.750000
RH,61,54.000000,P1,5,61,19.000000
RH,63,54.375000,P1,5,63,19.250000
RH,67,54.500000,P1,5,67,19.250000
RH,63,54.875000,P1,5,63,19.500000
RH,67,54.875000,P1,5,67,19.500000
RH,70,54.875000,P1,5,70,19.500000
RH,79,54.875000,P1,1,79,19.500000
RH,63,55.500000,P1,5,63,19.750000
RH,67,55.500000,P1,5,67,19.750000
RH,70,55.500000,P1,5,70,19.750000
RH,61,56.000000,P1,5,61,20.000000
RH,63,56.500000,P1,5,63,20.250000
RH,67,56.500000,P1,5,67,20.250000
RH,70,56.500000,P1,5,70,20.250000
RH,63,57.000000,P1,5,63,20.500000
RH,67,57.000000,P1,5,67,20.500000
RH,70,57.000000,P1,5,70,20.500000
RH,75,57.000000,P1,1,75,20.500000
RH,70,57.375000,P1,5,70,20.750000
RH,63,57.500000,P1,5,63,20.750000
RH,67,57.500000,P1,5,67,20.750000
RH,60,58.125000,P1,5,60,21.000000
RH,75,58.125000,P1,1,75,21.000000
RH,63,58.625000,P1,5,63,21.250000
RH,68,58.625000,P1,5,68,21.250000
RH,68,59.125000,P1,5,68,21.500000
RH,63,59.250000,P1,5,63,21.500000
RH,63,59.625000,P1,5,63,21.750000
RH,68,59.666667,P1,5,68,21.750000
RH,60,60.125000,P1,5,60,22.000000
RH,80,60.125000,P1,1,80,22.000000
RH,63,60.666667,P1,5,63,22.250000
RH,68,60.666667,P1,5,68,22.250000
RH,63,61.125000,P1,5,63,22.500000
RH,68,61.125000,P1,5,68,22.500000
RH,63,61.666667,P1,5,63,22.750000
RH,68,61.666667,P1,5,68,22.750000
RH,60,62.125000,P1,5,60,23.000000
RH,63,62.625000,P1,5,63,23.250000
RH,68,62.625000,P1,5,68,23.250000
RH,63,63.125000,P1,5,63,23.500000
RH,68,63.125000,P1,5,68,23.500000
RH,63,63.625000,P1,5,63,23.750000
RH,68,63.625000,P1,5,68,23.750000
RH,66,64.250000,P1,5,66,24.000000
RH,80,64.250000,P1,1,80,24.000000
RH,68,64.750000,P1,5,68,24.250000
RH,72,64.750000,P1,5,72,24.250000
RH,75,64.750000,P1,5,75,24.250000
RH,72,65.333333,P1,5,72,24.500000
RH,75,65.333333,P1,5,75,24.500000
RH,68,65.375000,P1,5,68,24.500000
RH,68,65.750000,P1,5,68,24.750000
RH,72,65.750000,P1,5,72,24.750000
RH,75,65.750000,P1,5,75,24.750000
RH,66,66.250000,P1,5,66,25.000000
RH,68,66.666667,P1,5,68,25.250000
RH,72,66.666667,P1,5,72,25.250000
RH,75,66.666667,P1,5,75,25.250000
RH,68,67.125000,P1,5,68,25.500000
RH,72,67.125000,P1,5,72,25.500000
RH,75,67.125000,P1,5,75,25.500000
RH,84,67.125000,P1,1,84,25.500000
RH,68,67.666667,P1,5,68,25.750000
