hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,44,7.750000,P1,5,44,0.000000
LH,51,7.750000,P1,5,51,0.000000
LH,48,10.875000,P1,5,48,1.500000
LH,51,10.875000,P1,5,51,1.500000
RH,63,10.875000,P1,2,63,1.500000
RH,68,10.875000,P1,1,68,1.500000
LH,48,12.000000,P1,5,48,2.000000
LH,51,12.000000,P1,5,51,2.000000
RH,63,12.000000,P1,2,63,2.000000
RH,68,12.000000,P1,1,68,2.000000
LH,48,13.500000,P1,5,48,2.750000
LH,51,13.500000,P1,5,51,2.750000
RH,63,13.500000,P1,2,63,2.750000
RH,68,13.500000,P1,1,68,2.750000
RH,67,14.000000,P1,1,67,3.000000
RH,73,14.000000,P1,1,73,3.000000
LH,46,14.125000,P1,5,46,3.000000
LH,51,14.125000,P1,5,51,3.000000
LH,49,16.250000,P1,5,49,4.000000
LH,51,16.250000,P1,5,51,4.000000
RH,67,16.250000,P1,1,67,4.000000
RH,70,16.250000,P1,1,70,4.000000
RH,75,20.500000,P1,1,75,6.000000
LH,48,20.625000,P1,6,48,6.000000
LH,51,20.625000,P1,5,51,6.000000
RH,68,20.625000,P1,1,68,6.000000
LH,56,21.750000,P1,5,56,6.500000
RH,60,22.750000,P1,5,60,7.000000
RH,73,24.000000,P1,1,73,7.500000
LH,53,24.125000,P1,6,53,7.500000
LH,58,24.125000,P1,5,58,7.500000
RH,68,24.125000,P1,1,68,7.500000
RH,75,25.333333,P1,1,75,8.000000
RH,60,25.375000,P1,5,60,8.000000
RH,68,25.375000,P1,1,68,8.000000
LH,51,25.500000,P1,6,51,8.000000
RH,75,28.875000,P1,1,75,9.000000
LH,51,29.000000,P1,5,51,9.000000
LH,58,29.000000,P1,5,58,9.000000
RH,67,29.000000,P1,2,67,9.000000
RH,73,32.000000,P1,1,73,10.000000
LH,58,32.125000,P1,5,58,10.000000
RH,67,32.125000,P1,1,67,10.000000
LH,51,32.250000,P1,5,51,10.000000
RH,75,32.875000,P1,2,75,10.062500
RH,73,33.125000,P1,2,73,10.125000
RH,75,33.500000,P1,2,75,10.187500
RH,73,33.750000,P1,2,73,10.250000
RH,75,33.875000,P1,2,75,10.187500
RH,73,34.125000,P1,2,73,10.250000
RH,75,34.333333,P1,2,75,10.312500
RH,73,34.500000,P1,2,73,10.375000
RH,75,34.750000,P1,2,75,10.312500
RH,73,35.000000,P1,2,73,10.375000
RH,75,35.125000,P1,2,75,10.437500
RH,73,35.250000,P1,2,73,10.375000
RH,75,35.500000,P1,2,75,10.437500
RH,73,35.666667,P1,1,73,10.500000
RH,75,35.875000,P1,4,75,10.541667
RH,73,36.000000,P1,1,73,10.500000
RH,75,36.125000,P1,4,75,10.541667
RH,73,36.333333,P1,4,73,10.583333
RH,75,36.500000,P1,4,75,10.541667
RH,73,36.666667,P1,4,73,10.583333
RH,73,36.875000,P1,4,73,10.583333
RH,73,37.333333,P1,1,73,10.750000
RH,73,37.875000,P1,1,73,10.750000
RH,75,38.125000,P1,1,75,10.875000
RH,75,38.750000,P1,1,75,10.875000
RH,77,39.500000,P1,1,77,11.000000
RH,75,41.333333,P1,1,75,11.500000
RH,73,42.000000,P1,1,73,11.750000
RH,72,43.000000,P1,1,72,12.000000
LH,56,43.125000,P1,5,56,12.000000
RH,60,45.000000,P1,5,60,12.750000
RH,63,45.000000,P1,5,63,12.750000
LH,56,45.500000,P1,5,56,13.000000
RH,60,46.000000,P1,5,60,13.250000
RH,63,46.000000,P1,5,63,13.250000
RH,63,46.375000,P1,5,63,13.500000
RH,75,46.375000,P1,1,75,13.500000
RH,60,46.500000,P1,5,60,13.500000
LH,56,47.333333,P1,5,56,14.000000
RH,60,47.750000,P1,5,60,14.250000
RH,63,47.750000,P1,5,63,14.250000
RH,60,48.125000,P1,5,60,14.500000
RH,63,48.125000,P1,5,63,14.500000
RH,80,48.125000,P1,1,80,14.500000
RH,60,48.625000,P1,5,60,14.750000
RH,63,48.625000,P1,5,63,14.750000
LH,58,49.125000,P1,5,58,15.000000
RH,80,49.125000,P1,1,80,15.000000
RH,61,49.500000,P1,5,61,15.250000
RH,63,49.500000,P1,5,63,15.250000
RH,61,50.000000,P1,5,61,15.500000
RH,63,50.000000,P1,5,63,15.500000
RH,61,50.375000,P1,5,61,15.750000
RH,63,50.375000,P1,5,63,15.750000
LH,58,50.875000,P1,5,58,16.000000
RH,79,50.875000,P1,1,79,16.000000
RH,61,51.250000,P1,5,61,16.250000
RH,63,51.250000,P1,5,63,16.250000
RH,61,51.666667,P1,5,61,16.500000
RH,63,51.666667,P1,5,63,16.500000
RH,61,52.125000,P1,5,61,16.750000
RH,63,52.125000,P1,5,63,16.750000
LH,58,52.500000,P1,5,58,17.000000
RH,61,53.000000,P1,5,61,17.250000
RH,63,53.000000,P1,5,63,17.250000
RH,61,53.375000,P1,5,61,17.500000
RH,63,53.375000,P1,5,63,17.500000
RH,61,53.750000,P1,5,61,17.750000
RH,63,53.750000,P1,5,63,17.750000
RH,61,54.250000,P1,5,61,18.000000
RH,82,54.250000,P1,1,82,18.000000
RH,63,54.666667,P1,5,63,18.250000
RH,67,54.666667,P1,5,67,18.250000
RH,70,54.666667,P1,5,70,18.250000
RH,67,55.125000,P1,5,67,18.500000
RH,70,55.125000,P1,5,70,18.500000
RH,63,55.250000,P1,5,63,18.500000
RH,70,55.500000,P1,5,70,18.750000
RH,63,55.625000,P1,5,63,18.750000
RH,67,55.625000,P1,5,67,18.750000
RH,61,56.000000,P1,5,61,19.000000
RH,63,56.375000,P1,5,63,19.250000
RH,67,56.375000,P1,5,67,19.250000
RH,70,56.375000,P1,5,70,19.250000
RH,63,56.875000,P1,5,63,19.500000
RH,67,56.875000,P1,5,67,19.500000
RH,70,56.875000,P1,5,70,19.500000
