hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,51,2.125000,P1,5,51,0.000000
RH,68,2.125000,P1,2,68,0.000000
LH,48,5.500000,P1,5,48,1.500000
LH,51,5.500000,P1,5,51,1.500000
RH,63,5.500000,P1,2,63,1.500000
RH,68,5.500000,P1,1,68,1.500000
LH,48,6.500000,P1,5,48,2.000000
LH,51,6.500000,P1,5,51,2.000000
RH,63,6.500000,P1,2,63,2.000000
RH,68,6.500000,P1,1,68,2.000000
LH,48,8.000000,P1,5,48,2.750000
LH,51,8.000000,P1,5,51,2.750000
RH,63,8.000000,P1,2,63,2.750000
RH,68,8.000000,P1,1,68,2.750000
RH,67,8.500000,P1,1,67,3.000000
RH,73,8.500000,P1,1,73,3.000000
LH,46,8.625000,P1,5,46,3.000000
LH,51,8.625000,P1,5,51,3.000000
RH,70,10.750000,P1,1,70,4.000000
LH,49,10.875000,P1,5,49,4.000000
LH,51,10.875000,P1,5,51,4.000000
RH,67,10.875000,P1,1,67,4.000000
RH,75,15.625000,P1,1,75,6.000000
LH,48,15.750000,P1,6,48,6.000000
LH,51,15.750000,P1,5,51,6.000000
RH,68,15.750000,P1,1,68,6.000000
RH,60,18.250000,P1,5,60,7.000000
RH,73,19.333333,P1,1,73,7.500000
LH,53,19.375000,P1,6,53,7.500000
LH,58,19.375000,P1,5,58,7.500000
RH,68,19.375000,P1,1,68,7.500000
RH,75,20.375000,P1,1,75,8.000000
LH,51,20.500000,P1,6,51,8.000000
RH,60,20.500000,P1,5,60,8.000000
RH,68,20.500000,P1,1,68,8.000000
LH,49,21.750000,P1,6,49,8.500000
RH,61,21.750000,P1,5,61,8.500000
RH,68,21.750000,P1,1,68,8.500000
RH,75,23.250000,P1,1,75,9.000000
LH,51,23.333333,P1,5,51,9.000000
LH,58,23.333333,P1,5,58,9.000000
RH,67,23.333333,P1,2,67,9.000000
RH,73,26.666667,P1,1,73,10.000000
LH,51,26.750000,P1,5,51,10.000000
LH,58,26.750000,P1,5,58,10.000000
RH,67,26.750000,P1,1,67,10.000000
RH,75,27.625000,P1,2,75,10.062500
RH,73,28.000000,P1,2,73,10.125000
RH,75,28.250000,P1,2,75,10.187500
RH,73,28.500000,P1,2,73,10.250000
RH,75,28.750000,P1,2,75,10.312500
RH,73,28.875000,P1,2,73,10.250000
RH,75,29.125000,P1,2,75,10.312500
RH,73,29.250000,P1,2,73,10.375000
RH,75,29.375000,P1,2,75,10.312500
RH,73,29.500000,P1,2,73,10.375000
RH,75,29.750000,P1,2,75,10.437500
RH,73,29.875000,P1,2,73,10.375000
RH,75,30.000000,P1,2,75,10.437500
RH,73,30.250000,P1,1,73,10.500000
RH,75,30.333333,P1,2,75,10.437500
RH,73,30.500000,P1,1,73,10.500000
RH,75,30.625000,P1,4,75,10.541667
RH,73,30.750000,P1,1,73,10.500000
RH,75,30.875000,P1,4,75,10.541667
RH,73,31.125000,P1,4,73,10.583333
RH,75,31.250000,P1,4,75,10.541667
RH,73,31.375000,P1,4,73,10.583333
RH,75,31.500000,P1,4,75,10.541667
RH,73,31.750000,P1,4,73,10.583333
RH,73,32.000000,P1,1,73,10.750000
RH,73,32.375000,P1,1,73,10.750000
RH,73,32.666667,P1,1,73,10.750000
RH,73,33.000000,P1,1,73,10.750000
RH,75,33.666667,P1,1,75,10.875000
RH,75,34.125000,P1,1,75,10.875000
RH,77,34.500000,P1,1,77,11.000000
RH,75,36.125000,P1,1,75,11.500000
RH,73,36.875000,P1,1,73,11.750000
RH,72,37.625000,P1,1,72,12.000000
LH,56,37.750000,P1,5,56,12.000000
RH,60,39.666667,P1,5,60,12.750000
RH,63,39.666667,P1,5,63,12.750000
LH,56,40.250000,P1,5,56,13.000000
RH,63,40.750000,P1,5,63,13.250000
RH,60,41.250000,P1,5,60,13.500000
RH,63,41.250000,P1,5,63,13.500000
RH,75,41.250000,P1,1,75,13.500000
RH,60,41.750000,P1,5,60,13.750000
RH,63,41.750000,P1,5,63,13.750000
LH,56,42.333333,P1,5,56,14.000000
RH,60,42.750000,P1,5,60,14.250000
RH,63,42.750000,P1,5,63,14.250000
RH,80,43.250000,P1,1,80,14.500000
RH,60,43.333333,P1,5,60,14.500000
RH,63,43.333333,P1,5,63,14.500000
RH,60,43.875000,P1,5,60,14.750000
RH,63,43.875000,P1,5,63,14.750000
LH,58,44.375000,P1,5,58,15.000000
RH,80,44.375000,P1,1,80,15.000000
RH,61,45.125000,P1,5,61,15.250000
RH,63,45.125000,P1,5,63,15.250000
RH,61,45.625000,P1,5,61,15.500000
RH,63,45.625000,P1,5,63,15.500000
RH,61,46.125000,P1,5,61,15.750000
RH,63,46.125000,P1,5,63,15.750000
LH,58,46.625000,P1,5,58,16.000000
RH,79,46.625000,P1,1,79,16.000000
RH,61,47.125000,P1,5,61,16.250000
RH,63,47.125000,P1,5,63,16.250000
RH,61,47.500000,P1,5,61,16.500000
RH,63,47.500000,P1,5,63,16.500000
RH,61,48.000000,P1,5,61,16.750000
RH,63,48.000000,P1,5,63,16.750000
LH,58,48.500000,P1,5,58,17.000000
RH,61,49.000000,P1,5,61,17.250000
RH,63,49.000000,P1,5,63,17.250000
RH,61,49.500000,P1,5,61,17.500000
RH,63,49.500000,P1,5,63,17.500000
RH,63,50.000000,P1,5,63,17.750000
RH,82,50.625000,P1,1,82,18.000000
RH,61,50.750000,P1,5,61,18.000000
RH,67,51.333333,P1,5,67,18.250000
RH,70,51.333333,P1,5,70,18.250000
RH,63,51.375000,P1,5,63,18.250000
RH,63,51.750000,P1,5,63,18.500000
RH,67,51.750000,P1,5,67,18.500000
RH,70,51.750000,P1,5,70,18.500000
RH,63,52.250000,P1,5,63,18.750000
RH,67,52.250000,P1,5,67,18.750000
RH,70,52.250000,P1,5,70,18.750000
RH,61,52.750000,P1,5,61,19.000000
RH,63,53.250000,P1,5,63,19.250000
RH,67,53.250000,P1,5,67,19.250000
RH,70,53.250000,P1,5,70,19.250000
RH,63,53.666667,P1,5,63,19.500000
RH,70,53.666667,P1,5,70,19.500000
RH,79,53.666667,P1,1,79,19.500000
RH,67,53.750000,P1,5,67,19.500000
RH,63,54.125000,P1,5,63,19.750000
RH,67,54.125000,P1,5,67,19.750000
RH,70,54.125000,P1,5,70,19.750000
RH,61,54.625000,P1,5,61,20.000000
RH,63,55.125000,P1,5,63,20.250000
RH,67,55.125000,P1,5,67,20.250000
RH,70,55.125000,P1,5,70,20.250000
RH,63,55.625000,P1,5,63,20.500000
RH,70,55.625000,P1,5,70,20.500000
RH,75,55.625000,P1,1,75,20.500000
RH,67,55.666667,P1,5,67,20.500000
RH,63,56.125000,P1,5,63,20.750000
RH,67,56.125000,P1,5,67,20.750000
RH,70,56.125000,P1,5,70,20.750000
RH,75,56.666667,P1,1,75,21.000000
