hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,72,21.333333,P1,1,72,5.000000
RH,63,21.375000,P1,1,63,5.000000
RH,79,50.500000,P1,4,79,15.172917
RH,82,68.375000,P1,1,82,20.875000
RH,82,68.875000,P1,1,82,21.000000
RH,82,69.250000,P1,1,82,21.000000
RH,73,69.375000,P1,1,73,21.000000
RH,75,78.000000,P1,1,75,24.000000
RH,75,78.375000,P1,1,75,24.000000
RH,75,80.875000,P1,1,75,25.000000
RH,75,81.250000,P1,1,75,25.000000
RH,63,90.000000,P1,5,63,28.000000
RH,66,90.000000,P1,5,66,28.000000
RH,75,90.000000,P1,1,75,28.000000
RH,78,90.000000,P1,1,78,28.000000
RH,78,90.250000,P1,1,78,28.000000
RH,63,90.375000,P1,5,63,28.000000
RH,66,90.375000,P1,5,66,28.000000
RH,75,90.375000,P1,1,75,28.000000
RH,63,92.875000,P1,5,63,29.000000
RH,66,92.875000,P1,5,66,29.000000
RH,75,92.875000,P1,1,75,29.000000
RH,78,92.875000,P1,1,78,29.000000
RH,75,93.250000,P1,1,75,29.000000
RH,78,93.250000,P1,1,78,29.000000
RH,63,93.333333,P1,5,63,29.000000
RH,66,93.333333,P1,5,66,29.000000
RH,77,105.000000,P1,1,77,33.000000
RH,68,105.125000,P1,1,68,33.000000
RH,68,105.375000,P1,1,68,33.000000
RH,77,105.375000,P1,1,77,33.000000
RH,68,114.625000,P1,1,68,36.000000
LH,55,135.125000,P1,5,55,42.000000
LH,56,136.750000,P1,5,56,42.500000
LH,56,138.500000,P1,5,56,43.000000
RH,67,142.125000,P1,1,67,44.000000
LH,55,143.750000,P1,5,55,44.500000
LH,55,145.500000,P1,5,55,45.000000
LH,55,147.000000,P1,5,55,45.500000
LH,55,150.250000,P1,5,55,46.500000
LH,55,151.750000,P1,5,55,47.000000
RH,67,151.750000,P1,1,67,47.000000
LH,55,155.375000,P1,5,55,48.000000
RH,69,155.500000,P1,1,69,48.000000
LH,55,157.333333,P1,5,55,48.500000
RH,62,158.875000,P1,2,62,49.000000
RH,71,158.875000,P1,1,71,49.000000
RH,62,159.250000,P1,2,62,49.000000
RH,71,159.250000,P1,1,71,49.000000
LH,43,169.666667,P1,5,43,52.000000
LH,43,171.250000,P1,5,43,52.500000
LH,43,173.000000,P1,5,43,53.000000
LH,43,174.500000,P1,5,43,53.500000
LH,43,177.875000,P1,5,43,54.500000
LH,43,179.500000,P1,5,43,55.000000
LH,55,179.625000,P1,1,55,55.000000
LH,43,183.500000,P1,5,43,56.000000
LH,57,183.500000,P1,1,57,56.000000
LH,50,187.125000,P1,1,50,57.000000
LH,59,187.125000,P1,1,59,57.000000
LH,50,187.500000,P1,1,50,57.000000
LH,59,187.500000,P1,1,59,57.000000
LH,43,189.125000,P1,5,43,57.500000
LH,43,190.750000,P1,5,43,58.000000
LH,43,192.250000,P1,5,43,58.500000
LH,43,194.000000,P1,5,43,59.000000
LH,43,195.500000,P1,5,43,59.500000
LH,43,199.000000,P1,5,43,60.500000
LH,31,203.000000,P1,6,31,62.000000
LH,31,203.625000,P1,6,31,62.000000
LH,31,207.500000,P1,5,31,64.000000
LH,32,207.750000,P1,5,32,64.125000
LH,32,210.500000,P1,5,32,65.375000
LH,32,211.000000,P1,5,32,65.875000
LH,32,211.500000,P1,5,32,66.375000
LH,32,212.000000,P1,5,32,66.875000
LH,32,212.500000,P1,5,32,67.375000
LH,32,213.000000,P1,5,32,67.875000
LH,31,213.250000,P1,5,31,68.000000
LH,32,213.500000,P1,5,32,68.250000
LH,31,213.750000,P1,5,31,68.500000
LH,32,214.000000,P1,5,32,68.750000
LH,31,214.250000,P1,5,31,69.000000
LH,32,214.500000,P1,5,32,69.250000
LH,31,214.750000,P1,5,31,69.500000
LH,32,215.000000,P1,5,32,69.750000
LH,31,215.250000,P1,5,31,70.000000
LH,32,215.500000,P1,5,32,70.250000
