hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,63,16.125000,P1,1,63,5.000000
RH,72,16.125000,P1,1,72,5.000000
RH,79,44.375000,P1,4,79,15.172917
RH,82,63.375000,P1,1,82,20.875000
RH,73,64.666667,P1,1,73,21.000000
RH,82,64.666667,P1,1,82,21.000000
RH,75,73.375000,P1,1,75,24.000000
RH,75,76.125000,P1,1,75,25.000000
RH,75,76.625000,P1,1,75,25.000000
RH,63,85.250000,P1,5,63,28.000000
RH,66,85.250000,P1,5,66,28.000000
RH,75,85.250000,P1,1,75,28.000000
RH,75,85.666667,P1,1,75,28.000000
RH,78,85.666667,P1,1,78,28.000000
RH,63,88.125000,P1,5,63,29.000000
RH,66,88.125000,P1,5,66,29.000000
RH,75,88.125000,P1,1,75,29.000000
RH,78,88.125000,P1,1,78,29.000000
RH,75,88.500000,P1,1,75,29.000000
RH,78,88.500000,P1,1,78,29.000000
RH,68,100.333333,P1,1,68,33.000000
RH,77,100.750000,P1,1,77,33.000000
RH,68,100.875000,P1,1,68,33.000000
RH,68,109.000000,P1,1,68,36.000000
RH,68,109.500000,P1,1,68,36.000000
LH,55,126.250000,P1,5,55,42.000000
LH,56,127.875000,P1,5,56,42.500000
LH,56,129.625000,P1,5,56,43.000000
RH,67,133.500000,P1,1,67,44.000000
LH,55,135.125000,P1,5,55,44.500000
LH,55,136.875000,P1,5,55,45.000000
LH,55,138.375000,P1,5,55,45.500000
LH,55,141.500000,P1,5,55,46.500000
LH,55,143.000000,P1,5,55,47.000000
RH,67,143.125000,P1,1,67,47.000000
RH,69,146.625000,P1,1,69,48.000000
LH,55,148.500000,P1,5,55,48.500000
RH,71,149.875000,P1,1,71,49.000000
RH,62,150.000000,P1,2,62,49.000000
RH,71,150.625000,P1,1,71,49.000000
RH,62,150.666667,P1,2,62,49.000000
LH,43,161.000000,P1,5,43,52.000000
LH,43,162.625000,P1,5,43,52.500000
LH,43,164.250000,P1,5,43,53.000000
LH,43,165.875000,P1,5,43,53.500000
LH,43,169.000000,P1,5,43,54.500000
LH,43,170.500000,P1,5,43,55.000000
LH,55,170.625000,P1,1,55,55.000000
LH,43,172.250000,P1,5,43,55.500000
LH,43,174.125000,P1,5,43,56.000000
LH,57,174.125000,P1,1,57,56.000000
LH,43,176.125000,P1,5,43,56.500000
LH,50,177.875000,P1,1,50,57.000000
LH,59,177.875000,P1,1,59,57.000000
LH,50,178.500000,P1,1,50,57.000000
LH,59,178.500000,P1,1,59,57.000000
LH,43,180.250000,P1,5,43,57.500000
LH,43,181.875000,P1,5,43,58.000000
LH,43,183.500000,P1,5,43,58.500000
LH,43,185.333333,P1,5,43,59.000000
LH,43,186.875000,P1,5,43,59.500000
LH,31,199.000000,P1,6,31,62.000000
LH,31,204.500000,P1,5,31,64.000000
LH,32,204.875000,P1,5,32,64.125000
LH,32,209.500000,P1,5,32,65.375000
LH,32,210.250000,P1,5,32,65.875000
LH,32,210.875000,P1,5,32,66.375000
LH,32,211.500000,P1,5,32,66.875000
LH,32,212.000000,P1,5,32,67.375000
LH,32,212.500000,P1,5,32,67.875000
LH,31,212.750000,P1,5,31,68.000000
LH,32,213.000000,P1,5,32,68.250000
LH,31,213.250000,P1,5,31,68.500000
LH,32,213.500000,P1,5,32,68.750000
LH,31,213.666667,P1,5,31,69.000000
LH,32,215.333333,P1,5,32,69.750000
LH,31,215.500000,P1,5,31,70.000000
LH,32,215.875000,P1,5,32,70.250000
LH,31,216.000000,P1,5,31,70.500000
LH,32,216.250000,P1,5,32,70.750000
LH,31,216.500000,P1,5,31,71.000000
LH,32,216.666667,P1,5,32,71.250000
LH,32,217.125000,P1,5,32,72.250000
LH,44,217.125000,P1,1,44,72.250000
LH,39,238.000000,P1,5,39,90.000000
LH,51,238.000000,P1,1,51,90.000000
LH,38,238.500000,P1,5,38,90.750000
