hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,37,5.625000,P1,4,37,4.000000
RH,61,5.625000,P1,1,61,4.000000
RH,69,16.000000,P1,4,69,19.000000
RH,66,17.500000,P1,4,66,23.000000
RH,62,19.125000,P1,4,62,27.000000
RH,74,20.666667,P1,2,74,31.000000
LH,55,21.375000,P1,4,55,33.000000
RH,66,29.625000,P1,1,66,54.000000
RH,67,30.000000,P1,1,67,55.000000
RH,76,30.125000,P1,1,76,55.500000
LH,38,33.750000,P1,5,38,64.000000
LH,37,35.125000,P1,5,37,68.000000
LH,49,35.333333,P1,4,49,68.500000
RH,61,35.333333,P1,1,61,68.500000
RH,73,50.500000,P1,1,73,99.000000
RH,71,50.666667,P1,1,71,99.500000
RH,70,50.875000,P1,1,70,100.000000
LH,54,56.750000,P1,4,54,114.500000
LH,49,58.333333,P1,4,49,118.000000
LH,49,59.666667,P1,4,49,121.000000
LH,56,61.333333,P1,4,56,125.000000
RH,66,64.250000,P1,1,66,132.500000
LH,57,64.375000,P1,4,57,133.000000
RH,69,65.750000,P1,1,69,136.500000
LH,59,67.500000,P1,4,59,141.000000
RH,69,70.500000,P1,1,69,148.500000
RH,61,70.666667,P1,4,61,149.000000
RH,69,70.875000,P1,1,69,149.500000
RH,69,71.250000,P1,1,69,150.500000
LH,54,82.333333,P1,4,54,179.000000
LH,54,82.666667,P1,4,54,180.000000
RH,73,82.666667,P1,1,73,180.000000
LH,57,82.875000,P1,4,57,180.500000
LH,42,84.125000,P1,4,42,184.000000
LH,51,84.375000,P1,4,51,184.500000
LH,57,85.625000,P1,1,57,187.500000
LH,40,85.875000,P1,5,40,188.000000
LH,52,86.125000,P1,5,52,188.500000
LH,40,86.250000,P1,5,40,189.000000
LH,52,86.375000,P1,5,52,189.500000
LH,40,86.625000,P1,5,40,190.000000
LH,52,86.750000,P1,5,52,190.500000
LH,37,88.875000,P1,4,37,196.000000
LH,45,89.125000,P1,4,45,196.500000
LH,45,89.500000,P1,4,45,197.500000
LH,45,89.750000,P1,4,45,198.500000
LH,45,90.125000,P1,4,45,199.500000
LH,45,90.625000,P1,4,45,200.500000
LH,45,91.000000,P1,4,45,201.500000
LH,45,91.375000,P1,4,45,202.500000
LH,45,91.750000,P1,4,45,203.500000
LH,45,92.125000,P1,4,45,203.500000
LH,40,92.333333,P1,4,40,204.000000
LH,45,92.500000,P1,4,45,204.500000
LH,45,92.875000,P1,4,45,204.500000
LH,40,93.000000,P1,4,40,205.000000
LH,40,93.375000,P1,4,40,206.000000
LH,57,125.333333,P1,4,57,280.000000
LH,42,129.250000,P1,4,42,289.000000
LH,40,129.750000,P1,4,40,290.000000
LH,40,132.750000,P1,4,40,297.000000
LH,38,133.125000,P1,4,38,298.000000
RH,62,139.666667,P1,5,62,313.000000
RH,65,146.125000,P1,5,65,328.000000
RH,69,162.875000,P1,1,69,369.000000
RH,61,163.000000,P1,1,61,369.000000
RH,64,163.000000,P1,1,64,369.000000
RH,69,164.125000,P1,1,69,372.000000
LH,45,164.333333,P1,4,45,372.500000
LH,45,164.750000,P1,4,45,373.500000
LH,44,164.875000,P1,4,44,374.000000
LH,45,165.125000,P1,4,45,374.500000
RH,69,165.333333,P1,1,69,375.000000
RH,81,165.333333,P1,1,81,375.000000
LH,45,165.500000,P1,4,45,375.500000
RH,67,165.666667,P1,1,67,376.000000
RH,79,165.666667,P1,1,79,376.000000
LH,45,165.875000,P1,4,45,376.500000
LH,45,166.250000,P1,4,45,377.500000
LH,45,166.666667,P1,4,45,378.500000
LH,45,167.125000,P1,4,45,379.500000
LH,45,167.500000,P1,4,45,380.500000
LH,45,167.875000,P1,4,45,381.500000
LH,45,168.333333,P1,4,45,382.500000
LH,44,168.500000,P1,4,44,383.000000
LH,45,168.750000,P1,4,45,383.500000
RH,62,168.875000,P1,1,62,384.000000
RH,74,168.875000,P1,1,74,384.000000
LH,45,169.125000,P1,4,45,384.500000
RH,69,170.666667,P1,1,69,388.500000
LH,57,171.625000,P1,5,57,391.000000
LH,55,172.000000,P1,5,55,392.000000
LH,50,175.125000,P1,5,50,400.000000
RH,81,177.000000,P1,1,81,404.500000
LH,45,177.875000,P1,4,45,407.000000
LH,43,178.333333,P1,4,43,408.000000
RH,88,180.875000,P1,1,88,414.500000
RH,88,181.333333,P1,1,88,415.500000
LH,38,181.500000,P1,4,38,416.000000
RH,88,181.666667,P1,1,88,416.500000
RH,76,204.000000,P1,1,76,467.000000
LH,37,226.500000,P1,4,37,520.000000
RH,61,226.500000,P1,1,61,520.000000
LH,46,234.625000,P1,4,46,536.000000
RH,70,234.625000,P1,1,70,536.000000
RH,74,234.625000,P1,1,74,536.000000
LH,58,234.875000,P1,4,58,536.500000
LH,46,235.000000,P1,4,46,537.000000
LH,58,235.250000,P1,4,58,537.500000
LH,46,235.375000,P1,4,46,538.000000
LH,58,235.666667,P1,4,58,538.500000
RH,74,235.750000,P1,1,74,539.000000
LH,46,235.875000,P1,4,46,539.000000
LH,58,236.000000,P1,4,58,539.500000
LH,46,236.250000,P1,4,46,540.000000
LH,58,236.500000,P1,4,58,540.500000
LH,46,236.625000,P1,4,46,541.000000
RH,72,236.625000,P1,1,72,541.000000
LH,58,236.875000,P1,4,58,541.500000
LH,46,237.000000,P1,4,46,542.000000
LH,58,237.250000,P1,4,58,542.500000
LH,46,237.375000,P1,4,46,543.000000
LH,58,237.625000,P1,4,58,543.500000
LH,46,237.750000,P1,4,46,544.000000
LH,58,237.875000,P1,4,58,544.500000
RH,63,239.750000,P1,1,63,549.000000
RH,67,239.750000,P1,1,67,549.000000
RH,63,240.125000,P1,1,63,550.000000
RH,65,240.500000,P1,1,65,551.000000
LH,34,240.875000,P1,4,34,552.000000
RH,62,240.875000,P1,1,62,552.000000
LH,46,241.125000,P1,4,46,552.500000
LH,34,241.333333,P1,4,34,553.000000
LH,46,241.500000,P1,4,46,553.500000
LH,34,241.666667,P1,4,34,554.000000
LH,46,242.000000,P1,4,46,554.500000
LH,34,242.125000,P1,4,34,555.000000
RH,62,242.125000,P1,1,62,555.000000
LH,46,242.375000,P1,4,46,555.500000
LH,34,242.500000,P1,4,34,556.000000
LH,46,242.750000,P1,4,46,556.500000
LH,34,242.875000,P1,4,34,557.000000
RH,60,242.875000,P1,1,60,557.000000
LH,46,243.125000,P1,4,46,557.500000
LH,34,243.250000,P1,4,34,558.000000
LH,46,243.500000,P1,4,46,558.500000
LH,34,243.666667,P1,4,34,559.000000
LH,46,243.875000,P1,4,46,559.500000
LH,34,244.125000,P1,5,34,560.000000
LH,34,244.500000,P1,5,34,561.000000
LH,58,245.250000,P1,1,58,563.000000
LH,34,246.000000,P1,5,34,565.000000
LH,58,247.125000,P1,1,58,568.000000
RH,62,247.375000,P1,1,62,568.500000
LH,58,247.500000,P1,1,58,569.000000
RH,62,247.750000,P1,1,62,569.500000
LH,58,247.875000,P1,1,58,570.000000
RH,62,248.125000,P1,1,62,570.500000
LH,58,248.333333,P1,1,58,571.000000
RH,62,248.500000,P1,1,62,571.500000
LH,58,248.750000,P1,1,58,572.000000
RH,62,248.875000,P1,1,62,572.500000
LH,58,249.125000,P1,1,58,573.000000
RH,62,249.333333,P1,1,62,573.500000
LH,58,249.500000,P1,1,58,574.000000
RH,62,249.666667,P1,1,62,574.500000
LH,58,249.875000,P1,1,58,575.000000
RH,62,250.125000,P1,1,62,575.500000
LH,58,250.250000,P1,1,58,576.000000
RH,62,250.500000,P1,1,62,576.500000
LH,58,250.625000,P1,1,58,577.000000
RH,62,250.875000,P1,1,62,577.500000
RH,62,251.250000,P1,1,62,578.500000
RH,62,251.625000,P1,1,62,579.500000
