hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,37,2.500000,P1,4,37,4.000000
RH,61,2.500000,P1,1,61,4.000000
RH,69,10.666667,P1,4,69,19.000000
RH,66,12.125000,P1,4,66,23.000000
RH,62,13.666667,P1,4,62,27.000000
RH,74,15.125000,P1,2,74,31.000000
LH,55,15.875000,P1,4,55,33.000000
RH,66,23.250000,P1,1,66,54.000000
RH,67,23.625000,P1,1,67,55.000000
RH,76,23.750000,P1,1,76,55.500000
LH,38,27.000000,P1,5,38,64.000000
LH,37,28.333333,P1,5,37,68.000000
LH,49,28.500000,P1,4,49,68.500000
RH,61,28.500000,P1,1,61,68.500000
RH,73,43.000000,P1,1,73,99.000000
RH,71,43.250000,P1,1,71,99.500000
RH,70,43.375000,P1,1,70,100.000000
LH,54,49.250000,P1,4,54,114.500000
LH,49,50.500000,P1,4,49,118.000000
LH,49,51.666667,P1,4,49,121.000000
LH,56,53.250000,P1,4,56,125.000000
RH,66,56.000000,P1,1,66,132.500000
LH,57,56.250000,P1,4,57,133.000000
RH,69,57.500000,P1,1,69,136.500000
LH,59,59.250000,P1,4,59,141.000000
RH,69,62.125000,P1,1,69,148.500000
RH,61,62.375000,P1,4,61,149.000000
RH,69,62.500000,P1,1,69,149.500000
RH,69,62.875000,P1,1,69,150.500000
LH,54,74.000000,P1,4,54,179.000000
LH,54,74.333333,P1,4,54,180.000000
RH,73,74.333333,P1,1,73,180.000000
LH,57,74.500000,P1,4,57,180.500000
LH,42,75.875000,P1,4,42,184.000000
LH,51,76.125000,P1,4,51,184.500000
LH,57,77.250000,P1,1,57,187.500000
LH,40,77.375000,P1,5,40,188.000000
LH,52,77.666667,P1,5,52,188.500000
LH,40,77.875000,P1,5,40,189.000000
LH,52,78.000000,P1,5,52,189.500000
LH,40,78.250000,P1,5,40,190.000000
LH,52,78.375000,P1,5,52,190.500000
LH,37,80.500000,P1,4,37,196.000000
LH,45,80.666667,P1,4,45,196.500000
LH,45,81.125000,P1,4,45,197.500000
LH,45,81.500000,P1,4,45,198.500000
LH,45,81.875000,P1,4,45,199.500000
LH,45,82.250000,P1,4,45,200.500000
LH,45,82.500000,P1,4,45,201.500000
LH,45,82.875000,P1,4,45,202.500000
LH,45,83.666667,P1,4,45,203.500000
LH,40,83.875000,P1,4,40,204.000000
LH,40,84.250000,P1,4,40,204.000000
LH,45,84.500000,P1,4,45,204.500000
LH,40,84.666667,P1,4,40,205.000000
LH,40,85.125000,P1,4,40,206.000000
LH,57,114.500000,P1,4,57,280.000000
LH,42,118.125000,P1,4,42,289.000000
LH,40,118.500000,P1,4,40,290.000000
LH,40,121.375000,P1,4,40,297.000000
LH,38,121.750000,P1,4,38,298.000000
RH,62,128.000000,P1,5,62,313.000000
RH,65,134.125000,P1,5,65,328.000000
RH,61,150.500000,P1,1,61,369.000000
RH,64,150.500000,P1,1,64,369.000000
RH,69,150.500000,P1,1,69,369.000000
RH,69,151.625000,P1,1,69,372.000000
LH,45,151.875000,P1,4,45,372.500000
LH,45,152.250000,P1,4,45,373.500000
LH,44,152.375000,P1,4,44,374.000000
LH,45,152.666667,P1,4,45,374.500000
RH,69,152.750000,P1,1,69,375.000000
RH,81,152.750000,P1,1,81,375.000000
LH,45,153.125000,P1,4,45,375.500000
RH,67,153.250000,P1,1,67,376.000000
RH,79,153.250000,P1,1,79,376.000000
LH,45,153.375000,P1,4,45,376.500000
LH,45,153.750000,P1,4,45,377.500000
LH,45,154.125000,P1,4,45,378.500000
LH,45,154.500000,P1,4,45,379.500000
LH,45,154.875000,P1,4,45,380.500000
LH,45,155.250000,P1,4,45,381.500000
LH,45,155.750000,P1,4,45,382.500000
LH,44,155.875000,P1,4,44,383.000000
LH,45,156.125000,P1,4,45,383.500000
RH,62,156.250000,P1,1,62,384.000000
RH,74,156.250000,P1,1,74,384.000000
LH,45,156.333333,P1,4,45,384.500000
RH,69,158.000000,P1,1,69,388.500000
LH,57,159.000000,P1,5,57,391.000000
LH,55,159.375000,P1,5,55,392.000000
LH,50,162.333333,P1,5,50,400.000000
RH,81,164.125000,P1,1,81,404.500000
LH,45,165.125000,P1,4,45,407.000000
LH,43,165.500000,P1,4,43,408.000000
RH,88,168.000000,P1,1,88,414.500000
RH,88,168.375000,P1,1,88,415.500000
LH,38,168.625000,P1,4,38,416.000000
RH,88,168.750000,P1,1,88,416.500000
RH,76,190.500000,P1,1,76,467.000000
LH,37,212.375000,P1,4,37,520.000000
RH,61,212.375000,P1,1,61,520.000000
LH,46,220.333333,P1,4,46,536.000000
RH,70,220.333333,P1,1,70,536.000000
RH,74,220.333333,P1,1,74,536.000000
LH,58,220.500000,P1,4,58,536.500000
LH,46,220.750000,P1,4,46,537.000000
LH,58,220.875000,P1,4,58,537.500000
LH,46,221.125000,P1,4,46,538.000000
LH,58,221.250000,P1,4,58,538.500000
LH,46,221.500000,P1,4,46,539.000000
RH,74,221.500000,P1,1,74,539.000000
LH,58,221.666667,P1,4,58,539.500000
LH,46,221.875000,P1,4,46,540.000000
LH,58,222.125000,P1,4,58,540.500000
LH,46,222.250000,P1,4,46,541.000000
RH,72,222.250000,P1,1,72,541.000000
LH,58,222.500000,P1,4,58,541.500000
LH,46,222.625000,P1,4,46,542.000000
LH,58,222.875000,P1,4,58,542.500000
LH,46,223.000000,P1,4,46,543.000000
LH,58,223.250000,P1,4,58,543.500000
LH,46,223.375000,P1,4,46,544.000000
LH,58,223.500000,P1,4,58,544.500000
RH,63,225.333333,P1,1,63,549.000000
RH,67,225.333333,P1,1,67,549.000000
RH,63,225.750000,P1,1,63,550.000000
RH,65,226.125000,P1,1,65,551.000000
LH,34,226.500000,P1,4,34,552.000000
RH,62,226.500000,P1,1,62,552.000000
LH,46,226.666667,P1,4,46,552.500000
LH,34,226.875000,P1,4,34,553.000000
LH,46,227.000000,P1,4,46,553.500000
LH,34,227.250000,P1,4,34,554.000000
LH,46,227.500000,P1,4,46,554.500000
LH,34,227.625000,P1,4,34,555.000000
RH,62,227.625000,P1,1,62,555.000000
LH,46,227.875000,P1,4,46,555.500000
LH,34,228.000000,P1,4,34,556.000000
LH,46,228.250000,P1,4,46,556.500000
LH,34,228.375000,P1,4,34,557.000000
RH,60,228.375000,P1,1,60,557.000000
LH,46,228.625000,P1,4,46,557.500000
LH,34,228.750000,P1,4,34,558.000000
LH,46,229.000000,P1,4,46,558.500000
LH,34,229.125000,P1,4,34,559.000000
LH,46,229.333333,P1,4,46,559.500000
LH,34,229.500000,P1,5,34,560.000000
LH,46,229.625000,P1,5,46,560.500000
LH,34,229.875000,P1,5,34,561.000000
LH,58,230.750000,P1,1,58,563.000000
LH,34,231.500000,P1,5,34,565.000000
