hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,69,19.750000,P1,5,69,13.000000
RH,69,20.625000,P1,5,69,15.000000
RH,67,21.125000,P1,5,67,16.000000
RH,64,22.000000,P1,5,64,18.000000
RH,67,22.000000,P1,5,67,18.000000
RH,62,22.625000,P1,5,62,19.000000
RH,66,22.625000,P1,5,66,19.000000
LH,57,23.666667,P1,1,57,21.000000
LH,55,25.666667,P1,7,55,25.000000
RH,69,32.666667,P1,1,69,39.000000
RH,61,34.125000,P1,1,61,42.000000
RH,61,46.125000,P1,5,61,63.000000
LH,57,46.625000,P1,7,57,64.000000
RH,69,58.250000,P1,6,69,87.000000
RH,64,59.750000,P1,8,64,90.000000
RH,78,70.500000,P1,5,78,112.000000
RH,68,72.625000,P1,7,68,117.000000
RH,83,75.625000,P1,5,83,122.000000
RH,81,76.250000,P1,5,81,123.000000
RH,76,77.750000,P1,5,76,126.000000
RH,66,78.250000,P1,2,66,127.000000
RH,71,79.250000,P1,5,71,129.000000
RH,69,79.666667,P1,5,69,130.000000
LH,57,85.375000,P1,5,57,141.000000
LH,54,89.500000,P1,7,54,148.000000
RH,83,140.500000,P1,7,83,246.000000
LH,55,143.500000,P1,5,55,252.000000
