hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,69,1.000000,P1,5,69,0.000000
RH,69,8.250000,P1,5,69,13.000000
RH,69,9.250000,P1,5,69,15.000000
RH,67,9.750000,P1,5,67,16.000000
RH,64,10.750000,P1,5,64,18.000000
RH,67,10.750000,P1,5,67,18.000000
RH,62,11.375000,P1,5,62,19.000000
RH,66,11.375000,P1,5,66,19.000000
LH,57,12.500000,P1,1,57,21.000000
LH,55,14.666667,P1,7,55,25.000000
RH,69,22.125000,P1,1,69,39.000000
RH,61,23.750000,P1,1,61,42.000000
RH,61,35.666667,P1,5,61,63.000000
LH,57,36.250000,P1,7,57,64.000000
RH,69,49.000000,P1,6,69,87.000000
RH,64,50.500000,P1,8,64,90.000000
RH,78,61.875000,P1,5,78,112.000000
RH,68,64.250000,P1,7,68,117.000000
RH,83,67.000000,P1,5,83,122.000000
RH,81,67.375000,P1,5,81,123.000000
RH,76,69.000000,P1,5,76,126.000000
RH,66,69.625000,P1,2,66,127.000000
RH,71,70.625000,P1,5,71,129.000000
RH,69,71.125000,P1,5,69,130.000000
LH,57,76.750000,P1,5,57,141.000000
LH,54,80.500000,P1,7,54,148.000000
RH,83,132.125000,P1,7,83,246.000000
LH,55,135.125000,P1,5,55,252.000000
