hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,67,8.750000,P1,1,67,8.000000
RH,83,14.750000,P1,1,83,14.500000
RH,71,27.333333,P1,1,71,22.000000
LH,50,40.250000,P1,5,50,36.250000
LH,50,40.625000,P1,5,50,36.750000
LH,50,41.000000,P1,5,50,37.250000
LH,50,41.375000,P1,5,50,37.750000
LH,50,41.750000,P1,5,50,38.250000
LH,50,42.250000,P1,5,50,38.750000
LH,50,42.625000,P1,5,50,39.250000
LH,50,43.000000,P1,5,50,39.750000
LH,50,43.375000,P1,5,50,40.250000
LH,50,43.875000,P1,5,50,40.750000
LH,50,44.333333,P1,5,50,41.250000
RH,69,44.500000,P1,1,69,41.500000
RH,81,44.500000,P1,1,81,41.500000
LH,50,44.666667,P1,5,50,41.750000
LH,50,45.125000,P1,5,50,42.250000
LH,50,45.500000,P1,5,50,42.750000
LH,50,45.875000,P1,5,50,43.250000
LH,50,46.333333,P1,5,50,43.750000
LH,50,46.666667,P1,5,50,44.250000
LH,50,47.125000,P1,5,50,44.750000
LH,50,47.500000,P1,5,50,45.250000
LH,50,48.000000,P1,5,50,45.750000
LH,50,48.333333,P1,5,50,46.250000
LH,50,48.750000,P1,5,50,46.750000
LH,50,49.250000,P1,5,50,47.250000
LH,50,49.625000,P1,5,50,47.750000
LH,50,50.000000,P1,5,50,48.250000
LH,50,50.375000,P1,5,50,48.750000
LH,50,50.750000,P1,5,50,49.250000
RH,69,51.000000,P1,1,69,49.500000
LH,50,51.250000,P1,5,50,49.750000
LH,59,52.125000,P1,1,59,50.500000
RH,86,55.333333,P1,1,86,54.250000
RH,86,55.750000,P1,1,86,54.750000
RH,86,56.250000,P1,1,86,55.250000
RH,86,56.666667,P1,1,86,55.750000
RH,86,57.000000,P1,1,86,56.250000
RH,66,57.333333,P1,5,66,56.500000
RH,86,57.500000,P1,1,86,56.750000
RH,86,58.000000,P1,1,86,57.250000
RH,69,58.250000,P1,5,69,57.500000
RH,86,58.375000,P1,1,86,57.750000
RH,86,58.750000,P1,1,86,58.250000
RH,86,61.000000,P1,1,86,60.750000
LH,52,74.375000,P1,5,52,77.000000
RH,69,80.000000,P1,1,69,83.750000
RH,67,102.625000,P1,1,67,104.000000
RH,83,109.000000,P1,1,83,110.500000
RH,71,121.750000,P1,1,71,118.000000
LH,58,135.333333,P1,1,58,132.000000
RH,77,140.750000,P1,1,77,138.500000
RH,74,141.250000,P1,1,74,139.000000
RH,70,141.625000,P1,1,70,139.500000
LH,53,142.250000,P1,5,53,140.250000
LH,53,142.625000,P1,5,53,140.750000
LH,53,143.000000,P1,5,53,141.250000
LH,53,143.375000,P1,5,53,141.750000
LH,53,143.875000,P1,5,53,142.250000
LH,53,144.250000,P1,5,53,142.750000
LH,53,144.666667,P1,5,53,143.250000
LH,53,145.000000,P1,5,53,143.750000
LH,48,145.250000,P1,5,48,144.000000
LH,53,145.500000,P1,5,53,144.250000
LH,50,148.750000,P1,5,50,148.250000
LH,50,149.125000,P1,5,50,148.750000
LH,50,149.500000,P1,5,50,149.250000
LH,50,150.000000,P1,5,50,149.750000
LH,50,150.333333,P1,5,50,150.250000
LH,50,150.750000,P1,5,50,150.750000
LH,50,151.125000,P1,5,50,151.250000
LH,50,151.625000,P1,5,50,151.750000
LH,45,151.875000,P1,5,45,152.000000
LH,50,152.000000,P1,5,50,152.250000
LH,46,155.250000,P1,5,46,156.250000
LH,46,155.666667,P1,5,46,156.750000
LH,46,156.125000,P1,5,46,157.250000
LH,46,156.500000,P1,5,46,157.750000
LH,46,156.875000,P1,5,46,158.250000
LH,46,157.333333,P1,5,46,158.750000
LH,46,157.750000,P1,5,46,159.250000
LH,46,158.125000,P1,5,46,159.750000
LH,41,158.375000,P1,5,41,160.000000
LH,46,158.500000,P1,5,46,160.250000
LH,46,160.875000,P1,5,46,162.750000
LH,46,161.750000,P1,5,46,163.750000
LH,51,162.333333,P1,1,51,164.500000
RH,63,164.000000,P1,1,63,166.500000
RH,67,167.250000,P1,5,67,170.500000
RH,79,167.250000,P1,1,79,170.500000
RH,82,169.750000,P1,1,82,173.500000
RH,82,170.500000,P1,1,82,174.500000
RH,82,171.375000,P1,1,82,175.500000
RH,70,185.250000,P1,1,70,188.000000
LH,50,227.125000,P1,5,50,224.000000
LH,57,227.125000,P1,2,57,224.000000
RH,66,227.125000,P1,1,66,224.000000
RH,62,227.250000,P1,2,62,224.000000
RH,67,230.875000,P1,1,67,228.000000
RH,66,251.250000,P1,1,66,243.500000
LH,50,265.750000,P1,5,50,260.250000
LH,50,266.125000,P1,5,50,260.750000
LH,50,266.625000,P1,5,50,261.250000
LH,50,267.000000,P1,5,50,261.750000
LH,50,267.375000,P1,5,50,262.250000
LH,50,267.750000,P1,5,50,262.750000
LH,50,268.125000,P1,5,50,263.250000
LH,50,268.625000,P1,5,50,263.750000
LH,50,269.000000,P1,5,50,264.250000
LH,50,269.375000,P1,5,50,264.750000
LH,50,269.875000,P1,5,50,265.250000
LH,50,270.250000,P1,5,50,265.750000
LH,50,270.625000,P1,5,50,266.250000
LH,50,271.000000,P1,5,50,266.750000
LH,50,271.375000,P1,5,50,267.250000
RH,74,271.625000,P1,1,74,267.500000
LH,50,271.875000,P1,5,50,267.750000
LH,50,272.125000,P1,5,50,268.250000
RH,79,279.333333,P1,1,79,276.250000
RH,79,279.875000,P1,1,79,276.750000
RH,79,280.333333,P1,1,79,277.250000
RH,79,280.750000,P1,1,79,277.750000
RH,79,281.125000,P1,1,79,278.250000
RH,79,281.625000,P1,1,79,278.750000
RH,79,282.000000,P1,1,79,279.250000
RH,79,282.375000,P1,1,79,279.750000
RH,79,282.750000,P1,1,79,280.250000
RH,78,282.875000,P1,1,78,280.500000
RH,79,283.125000,P1,1,79,280.750000
RH,81,283.333333,P1,1,81,281.000000
RH,79,283.500000,P1,1,79,281.250000
RH,78,283.666667,P1,1,78,281.500000
RH,79,283.875000,P1,1,79,281.750000
RH,78,286.375000,P1,1,78,284.500000
RH,86,291.250000,P1,1,86,290.600000
RH,86,291.875000,P1,1,86,291.250000
RH,83,292.250000,P1,1,83,291.750000
RH,82,292.875000,P1,1,82,292.500000
RH,85,293.875000,P1,1,85,293.500000
RH,82,296.000000,P1,1,82,296.000000
RH,85,297.333333,P1,1,85,297.500000
RH,82,299.500000,P1,1,82,300.000000
RH,82,300.000000,P1,1,82,300.500000
RH,85,300.000000,P1,1,85,300.500000
RH,82,300.500000,P1,1,82,301.000000
RH,85,300.500000,P1,1,85,301.000000
RH,82,300.875000,P1,1,82,301.500000
RH,85,300.875000,P1,1,85,301.500000
RH,82,301.333333,P1,1,82,302.000000
RH,85,301.333333,P1,1,85,302.000000
RH,82,301.750000,P1,1,82,302.500000
RH,85,301.750000,P1,1,85,302.500000
RH,82,302.250000,P1,1,82,303.000000
RH,85,302.250000,P1,1,85,303.000000
RH,82,302.666667,P1,1,82,303.500000
RH,85,302.666667,P1,1,85,303.500000
RH,82,303.125000,P1,1,82,304.000000
RH,85,303.125000,P1,1,85,304.000000
RH,82,303.625000,P1,1,82,304.500000
RH,85,303.625000,P1,1,85,304.500000
RH,82,304.000000,P1,1,82,305.000000
RH,85,304.000000,P1,1,85,305.000000
RH,82,304.500000,P1,1,82,305.500000
RH,85,304.500000,P1,1,85,305.500000
RH,82,304.875000,P1,1,82,306.000000
RH,85,304.875000,P1,1,85,306.000000
RH,82,305.333333,P1,1,82,306.500000
RH,85,305.333333,P1,1,85,306.500000
RH,82,305.750000,P1,1,82,307.000000
RH,85,305.750000,P1,1,85,307.000000
RH,82,306.250000,P1,1,82,307.500000
RH,85,306.250000,P1,1,85,307.500000
RH,82,306.625000,P1,1,82,308.000000
RH,85,306.625000,P1,1,85,308.000000
RH,82,307.000000,P1,1,82,308.500000
RH,82,307.500000,P1,1,82,309.000000
RH,82,307.875000,P1,1,82,309.500000
RH,82,308.333333,P1,1,82,310.000000
RH,82,308.750000,P1,1,82,310.500000
RH,82,309.125000,P1,1,82,311.000000
RH,82,309.625000,P1,1,82,311.500000
RH,82,310.000000,P1,1,82,312.000000
RH,79,310.500000,P1,2,79,312.500000
RH,82,310.500000,P1,1,82,312.500000
RH,85,310.500000,P1,1,85,312.500000
RH,82,310.875000,P1,1,82,313.000000
RH,85,311.000000,P1,1,85,313.000000
RH,82,311.333333,P1,1,82,313.500000
RH,85,311.333333,P1,1,85,313.500000
RH,82,311.750000,P1,1,82,314.000000
RH,85,311.750000,P1,1,85,314.000000
RH,85,316.875000,P1,1,85,320.500000
LH,44,318.000000,P1,5,44,322.000000
LH,45,323.875000,P1,5,45,328.500000
RH,67,352.250000,P1,5,67,348.500000
RH,62,355.375000,P1,8,62,352.500000
RH,66,358.500000,P1,1,66,355.500000
LH,50,372.333333,P1,2,50,370.625000
LH,50,374.500000,P1,5,50,373.000000
LH,55,375.375000,P1,1,55,374.000000
LH,54,377.875000,P1,5,54,377.000000
RH,62,379.250000,P1,1,62,378.500000
RH,66,379.625000,P1,1,66,379.000000
LH,50,380.875000,P1,5,50,380.500000
LH,45,381.500000,P1,5,45,381.250000
LH,45,382.000000,P1,5,45,381.750000
LH,45,382.375000,P1,5,45,382.250000
LH,45,382.875000,P1,5,45,382.750000
LH,45,383.250000,P1,5,45,383.250000
LH,45,383.666667,P1,5,45,383.750000
LH,45,384.125000,P1,5,45,384.250000
LH,54,384.333333,P1,5,54,384.500000
LH,45,384.500000,P1,5,45,384.750000
LH,45,385.000000,P1,5,45,385.250000
LH,45,385.375000,P1,5,45,385.750000
LH,54,385.625000,P1,5,54,386.000000
LH,45,385.875000,P1,5,45,386.250000
LH,45,386.333333,P1,5,45,386.750000
LH,45,386.750000,P1,5,45,387.250000
LH,45,387.250000,P1,5,45,387.750000
RH,74,388.500000,P1,1,74,388.500000
LH,43,410.250000,P1,5,43,404.000000
RH,62,414.375000,P1,1,62,408.500000
RH,62,420.875000,P1,1,62,416.000000
LH,55,422.500000,P1,1,55,418.000000
LH,55,423.000000,P1,1,55,418.500000
LH,45,428.250000,P1,5,45,424.500000
LH,50,437.000000,P1,5,50,436.000000
LH,43,439.000000,P1,6,43,438.500000
LH,42,440.625000,P1,6,42,440.500000
RH,69,444.250000,P1,1,69,445.500000
LH,42,446.333333,P1,6,42,448.000000
LH,38,446.875000,P1,6,38,448.500000
