hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,56,8.750000,P1,2,56,0.000000
LH,56,10.750000,P1,2,56,0.500000
LH,51,11.750000,P1,2,51,0.750000
LH,49,12.666667,P1,5,49,1.000000
LH,58,12.666667,P1,1,58,1.000000
LH,55,12.750000,P1,2,55,1.000000
LH,51,13.666667,P1,2,51,1.250000
LH,55,14.625000,P1,2,55,1.500000
LH,51,15.500000,P1,2,51,1.750000
LH,48,16.500000,P1,5,48,2.000000
LH,56,16.500000,P1,2,56,2.000000
RH,63,16.500000,P1,1,63,2.000000
LH,51,17.500000,P1,2,51,2.250000
LH,56,18.500000,P1,2,56,2.500000
LH,51,19.500000,P1,2,51,2.750000
LH,43,20.375000,P1,5,43,3.000000
LH,58,20.375000,P1,2,58,3.000000
LH,51,21.375000,P1,2,51,3.250000
LH,58,22.375000,P1,2,58,3.500000
RH,61,22.375000,P1,1,61,3.500000
LH,51,23.375000,P1,2,51,3.750000
RH,60,24.333333,P1,1,60,4.000000
LH,44,24.375000,P1,5,44,4.000000
LH,56,24.375000,P1,2,56,4.000000
LH,51,25.333333,P1,2,51,4.250000
LH,43,26.250000,P1,5,43,4.500000
LH,58,26.250000,P1,2,58,4.500000
RH,63,26.250000,P1,1,63,4.500000
LH,51,27.250000,P1,2,51,4.750000
LH,41,28.125000,P1,5,41,5.000000
RH,60,28.125000,P1,2,60,5.000000
RH,68,28.125000,P1,1,68,5.000000
LH,56,29.125000,P1,2,56,5.250000
LH,53,30.250000,P1,5,53,5.500000
RH,62,30.250000,P1,2,62,5.500000
LH,56,31.250000,P1,2,56,5.750000
RH,63,32.375000,P1,1,63,6.000000
LH,51,32.500000,P1,5,51,6.000000
LH,55,32.500000,P1,2,55,6.000000
LH,58,33.625000,P1,2,58,6.250000
LH,55,34.500000,P1,2,55,6.500000
LH,58,35.375000,P1,2,58,6.750000
LH,39,36.333333,P1,5,39,7.000000
LH,55,36.333333,P1,2,55,7.000000
LH,58,37.250000,P1,2,58,7.250000
RH,64,38.125000,P1,1,64,7.500000
LH,55,38.250000,P1,2,55,7.500000
LH,58,39.125000,P1,2,58,7.750000
LH,37,40.125000,P1,5,37,8.000000
RH,65,40.125000,P1,1,65,8.000000
LH,55,40.250000,P1,2,55,8.000000
LH,58,41.125000,P1,2,58,8.250000
LH,55,42.000000,P1,2,55,8.500000
LH,58,42.875000,P1,2,58,8.750000
LH,58,43.875000,P1,1,58,9.000000
LH,49,44.000000,P1,5,49,9.000000
LH,55,44.000000,P1,2,55,9.000000
LH,51,44.875000,P1,2,51,9.250000
LH,55,45.875000,P1,2,55,9.500000
RH,60,46.875000,P1,1,60,9.750000
LH,51,47.000000,P1,2,51,9.750000
RH,61,47.375000,P1,1,61,9.875000
RH,63,47.875000,P1,1,63,10.000000
LH,48,48.000000,P1,5,48,10.000000
LH,56,48.000000,P1,2,56,10.000000
LH,51,49.000000,P1,2,51,10.250000
LH,56,49.875000,P1,2,56,10.500000
LH,51,50.875000,P1,2,51,10.750000
LH,57,51.875000,P1,1,57,11.000000
LH,41,52.000000,P1,5,41,11.000000
LH,51,52.000000,P1,2,51,11.000000
LH,48,52.875000,P1,2,48,11.250000
LH,51,53.750000,P1,2,51,11.500000
LH,48,54.750000,P1,2,48,11.750000
RH,61,55.750000,P1,1,61,12.000000
LH,34,55.875000,P1,5,34,12.000000
LH,53,55.875000,P1,2,53,12.000000
LH,49,56.875000,P1,2,49,12.250000
LH,53,57.875000,P1,2,53,12.500000
LH,49,58.750000,P1,2,49,12.750000
RH,60,59.875000,P1,1,60,13.000000
LH,39,60.000000,P1,5,39,13.000000
LH,49,60.000000,P1,2,49,13.000000
LH,49,61.125000,P1,2,49,13.250000
LH,58,61.125000,P1,1,58,13.250000
LH,49,62.125000,P1,2,49,13.500000
LH,56,62.125000,P1,1,56,13.500000
LH,49,63.000000,P1,2,49,13.750000
LH,55,63.000000,P1,1,55,13.750000
LH,32,64.000000,P1,5,32,14.000000
LH,55,64.125000,P1,1,55,14.000000
LH,58,64.125000,P1,1,58,14.000000
LH,49,64.250000,P1,2,49,14.000000
LH,51,65.125000,P1,2,51,14.250000
LH,44,66.125000,P1,5,44,14.500000
LH,49,66.125000,P1,2,49,14.500000
LH,51,67.125000,P1,2,51,14.750000
LH,32,68.250000,P1,5,32,15.000000
LH,48,68.250000,P1,1,48,15.000000
LH,56,68.250000,P1,1,56,15.000000
LH,51,69.000000,P1,1,51,15.166667
LH,56,69.625000,P1,1,56,15.333333
RH,60,70.250000,P1,1,60,15.500000
LH,44,72.625000,P1,6,44,16.000000
LH,56,72.625000,P1,5,56,16.000000
RH,60,72.625000,P1,2,60,16.000000
RH,72,72.625000,P1,1,72,16.000000
LH,51,73.750000,P1,5,51,16.250000
RH,63,73.750000,P1,2,63,16.250000
LH,56,74.625000,P1,5,56,16.500000
RH,60,74.625000,P1,2,60,16.500000
LH,51,75.625000,P1,5,51,16.750000
RH,63,75.625000,P1,2,63,16.750000
LH,49,76.500000,P1,6,49,17.000000
RH,70,76.500000,P1,1,70,17.000000
LH,55,76.625000,P1,5,55,17.000000
LH,58,76.625000,P1,2,58,17.000000
LH,51,77.500000,P1,5,51,17.250000
RH,63,77.500000,P1,2,63,17.250000
LH,58,78.375000,P1,2,58,17.500000
LH,55,78.500000,P1,5,55,17.500000
LH,51,79.500000,P1,5,51,17.750000
RH,63,79.500000,P1,2,63,17.750000
RH,75,80.375000,P1,1,75,18.000000
LH,48,80.500000,P1,6,48,18.000000
LH,56,80.500000,P1,5,56,18.000000
RH,63,80.500000,P1,2,63,18.000000
LH,51,81.500000,P1,5,51,18.250000
RH,68,81.500000,P1,2,68,18.250000
LH,56,82.375000,P1,5,56,18.500000
RH,63,82.375000,P1,2,63,18.500000
LH,51,83.375000,P1,5,51,18.750000
RH,68,83.375000,P1,2,68,18.750000
LH,43,84.333333,P1,6,43,19.000000
LH,55,84.333333,P1,5,55,19.000000
RH,63,84.333333,P1,2,63,19.000000
LH,51,85.333333,P1,5,51,19.250000
RH,70,85.333333,P1,2,70,19.250000
RH,73,86.250000,P1,1,73,19.500000
LH,55,86.333333,P1,5,55,19.500000
RH,63,86.333333,P1,2,63,19.500000
RH,70,87.250000,P1,2,70,19.750000
LH,51,87.375000,P1,5,51,19.750000
LH,44,88.250000,P1,6,44,20.000000
LH,56,88.250000,P1,5,56,20.000000
RH,63,88.250000,P1,2,63,20.000000
RH,72,88.250000,P1,1,72,20.000000
RH,63,88.375000,P1,2,63,20.000000
LH,51,89.250000,P1,5,51,20.250000
RH,68,89.250000,P1,2,68,20.250000
LH,43,90.125000,P1,6,43,20.500000
LH,55,90.125000,P1,5,55,20.500000
RH,63,90.125000,P1,2,63,20.500000
RH,75,90.125000,P1,1,75,20.500000
RH,63,90.250000,P1,2,63,20.500000
LH,51,91.125000,P1,5,51,20.750000
RH,70,91.125000,P1,2,70,20.750000
LH,41,92.000000,P1,6,41,21.000000
LH,53,92.000000,P1,5,53,21.000000
RH,80,92.000000,P1,1,80,21.000000
RH,68,92.125000,P1,2,68,21.000000
LH,44,93.000000,P1,5,44,21.250000
RH,72,93.000000,P1,2,72,21.250000
RH,68,94.000000,P1,2,68,21.500000
LH,41,94.125000,P1,6,41,21.500000
LH,53,94.125000,P1,5,53,21.500000
LH,44,95.125000,P1,5,44,21.750000
RH,74,95.125000,P1,2,74,21.750000
LH,39,96.333333,P1,5,39,22.000000
