hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,71,2.000000,P1,1,71,0.000000
LH,52,2.375000,P1,5,52,0.500000
LH,56,2.375000,P1,5,56,0.500000
LH,59,2.375000,P1,5,59,0.500000
LH,52,2.750000,P1,5,52,1.000000
LH,56,2.750000,P1,5,56,1.000000
LH,59,2.750000,P1,5,59,1.000000
LH,52,3.125000,P1,5,52,1.500000
LH,56,3.125000,P1,5,56,1.500000
LH,59,3.125000,P1,5,59,1.500000
RH,76,3.500000,P1,1,76,2.000000
RH,64,3.625000,P1,1,64,2.000000
LH,52,3.875000,P1,5,52,2.500000
LH,56,3.875000,P1,5,56,2.500000
LH,59,3.875000,P1,5,59,2.500000
LH,52,4.250000,P1,5,52,3.000000
LH,56,4.250000,P1,5,56,3.000000
LH,59,4.250000,P1,5,59,3.000000
LH,52,4.625000,P1,5,52,3.500000
LH,56,4.625000,P1,5,56,3.500000
LH,59,4.625000,P1,5,59,3.500000
RH,73,5.000000,P1,1,73,4.000000
LH,52,5.333333,P1,5,52,4.500000
LH,57,5.333333,P1,5,57,4.500000
RH,61,5.333333,P1,5,61,4.500000
LH,52,5.750000,P1,5,52,5.000000
LH,57,5.750000,P1,5,57,5.000000
RH,61,5.750000,P1,5,61,5.000000
LH,52,6.125000,P1,5,52,5.500000
LH,57,6.125000,P1,5,57,5.500000
RH,61,6.125000,P1,5,61,5.500000
RH,78,6.500000,P1,1,78,6.000000
RH,66,6.625000,P1,1,66,6.000000
LH,52,6.875000,P1,5,52,6.500000
LH,57,6.875000,P1,5,57,6.500000
RH,61,6.875000,P1,5,61,6.500000
LH,52,7.250000,P1,5,52,7.000000
LH,57,7.250000,P1,5,57,7.000000
RH,61,7.250000,P1,5,61,7.000000
LH,52,7.625000,P1,5,52,7.500000
LH,57,7.625000,P1,5,57,7.500000
RH,61,7.625000,P1,5,61,7.500000
RH,75,8.000000,P1,1,75,8.000000
LH,52,8.333333,P1,5,52,8.500000
LH,54,8.333333,P1,5,54,8.500000
LH,57,8.333333,P1,5,57,8.500000
RH,63,8.333333,P1,5,63,8.500000
LH,52,8.666667,P1,5,52,9.000000
LH,54,8.666667,P1,5,54,9.000000
LH,57,8.666667,P1,5,57,9.000000
RH,63,8.666667,P1,5,63,9.000000
LH,52,9.000000,P1,5,52,9.500000
LH,54,9.000000,P1,5,54,9.500000
LH,57,9.000000,P1,5,57,9.500000
RH,63,9.000000,P1,5,63,9.500000
RH,71,9.500000,P1,1,71,10.000000
RH,83,9.500000,P1,1,83,10.000000
LH,52,9.750000,P1,5,52,10.500000
LH,54,9.750000,P1,5,54,10.500000
LH,57,9.750000,P1,5,57,10.500000
RH,63,9.750000,P1,5,63,10.500000
LH,52,10.250000,P1,5,52,11.000000
LH,54,10.250000,P1,5,54,11.000000
LH,57,10.250000,P1,5,57,11.000000
RH,63,10.250000,P1,5,63,11.000000
LH,52,10.625000,P1,5,52,11.500000
LH,54,10.625000,P1,5,54,11.500000
LH,57,10.625000,P1,5,57,11.500000
RH,63,10.625000,P1,5,63,11.500000
RH,83,11.333333,P1,1,83,12.000000
LH,52,11.375000,P1,5,52,12.000000
LH,56,11.375000,P1,5,56,12.000000
LH,59,11.375000,P1,5,59,12.000000
RH,64,11.375000,P1,5,64,12.000000
RH,85,13.000000,P1,1,85,13.500000
RH,87,13.250000,P1,1,87,13.750000
RH,88,13.375000,P1,1,88,14.000000
RH,80,15.125000,P1,1,80,16.000000
RH,76,15.250000,P1,1,76,16.250000
RH,81,15.500000,P1,1,81,16.500000
RH,78,15.625000,P1,1,78,16.750000
RH,83,15.750000,P1,1,83,17.000000
RH,80,15.875000,P1,1,80,17.250000
RH,85,16.125000,P1,1,85,17.500000
RH,81,16.250000,P1,1,81,17.750000
RH,68,16.375000,P1,5,68,18.000000
RH,83,16.375000,P1,1,83,18.000000
RH,64,16.625000,P1,5,64,18.250000
RH,69,16.750000,P1,5,69,18.500000
RH,66,16.875000,P1,5,66,18.750000
RH,71,17.125000,P1,5,71,19.000000
RH,68,17.250000,P1,5,68,19.250000
RH,73,17.375000,P1,5,73,19.500000
RH,69,17.625000,P1,5,69,19.750000
RH,71,17.750000,P1,5,71,20.000000
LH,56,17.875000,P1,1,56,20.000000
LH,52,18.000000,P1,1,52,20.250000
LH,57,18.125000,P1,1,57,20.500000
