hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,45,3.125000,P1,5,45,0.000000
RH,69,3.250000,P1,2,69,0.000000
RH,68,4.333333,P1,2,68,0.500000
RH,71,4.333333,P1,1,71,0.500000
LH,45,13.750000,P1,5,45,5.000000
LH,50,16.333333,P1,5,50,6.500000
RH,69,18.875000,P1,1,69,8.000000
RH,69,22.500000,P1,2,69,10.000000
RH,71,37.875000,P1,2,71,18.000000
RH,73,41.500000,P1,1,73,20.000000
LH,45,41.625000,P1,5,45,20.000000
LH,57,42.500000,P1,5,57,20.500000
RH,66,43.500000,P1,2,66,21.000000
LH,47,43.625000,P1,5,47,21.000000
RH,69,52.125000,P1,1,69,24.000000
LH,45,63.625000,P1,5,45,29.000000
LH,50,66.375000,P1,5,50,30.500000
LH,45,93.125000,P1,5,45,44.000000
LH,57,94.333333,P1,5,57,44.500000
LH,47,95.333333,P1,5,47,45.000000
RH,64,107.666667,P1,1,64,50.000000
LH,43,108.500000,P1,5,43,50.500000
RH,64,112.750000,P1,1,64,53.000000
LH,43,113.500000,P1,5,43,53.500000
LH,52,115.125000,P1,5,52,54.500000
RH,62,117.250000,P1,2,62,56.000000
RH,64,117.250000,P1,1,64,56.000000
LH,52,117.875000,P1,5,52,56.500000
RH,64,118.750000,P1,2,64,57.000000
RH,62,120.375000,P1,2,62,58.000000
LH,52,121.250000,P1,6,52,58.500000
RH,64,122.000000,P1,2,64,59.000000
LH,52,122.875000,P1,6,52,59.500000
RH,69,127.250000,P1,1,69,62.000000
LH,48,128.000000,P1,5,48,62.500000
RH,69,131.625000,P1,1,69,65.000000
LH,48,132.250000,P1,5,48,65.500000
LH,57,139.375000,P1,5,57,70.000000
RH,60,140.375000,P1,5,60,70.500000
RH,61,154.000000,P1,2,61,78.500000
LH,57,175.000000,P1,5,57,91.000000
LH,57,178.250000,P1,2,57,93.000000
LH,45,180.375000,P1,6,45,94.500000
LH,57,182.625000,P1,2,57,96.000000
LH,59,184.125000,P1,1,59,97.000000
LH,45,185.000000,P1,6,45,97.500000
LH,57,187.750000,P1,2,57,99.000000
LH,45,190.625000,P1,6,45,100.500000
LH,57,195.750000,P1,2,57,102.000000
RH,69,200.750000,P1,2,69,104.000000
RH,69,207.125000,P1,6,69,107.000000
RH,71,209.250000,P1,1,71,108.000000
RH,64,214.500000,P1,2,64,111.000000
RH,62,217.125000,P1,2,62,112.000000
RH,61,222.875000,P1,2,61,115.000000
LH,54,224.333333,P1,5,54,116.000000
RH,69,224.333333,P1,1,69,116.000000
LH,50,228.625000,P1,5,50,119.000000
RH,69,228.625000,P1,1,69,119.000000
LH,45,232.750000,P1,6,45,122.000000
RH,68,236.625000,P1,2,68,124.000000
LH,45,236.750000,P1,6,45,124.000000
LH,57,243.125000,P1,6,57,127.000000
RH,69,244.500000,P1,1,69,128.000000
RH,69,248.875000,P1,1,69,131.000000
RH,61,263.375000,P1,2,61,138.000000
RH,64,263.375000,P1,2,64,138.000000
