hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,36,2.000000,P1,5,36,0.000000
LH,44,12.750000,P1,5,44,3.000000
LH,56,12.750000,P1,1,56,3.000000
LH,48,15.333333,P1,5,48,4.000000
RH,60,15.333333,P1,1,60,4.000000
LH,44,16.125000,P1,5,44,4.500000
LH,56,16.125000,P1,1,56,4.500000
LH,51,16.875000,P1,5,51,5.000000
RH,63,16.875000,P1,1,63,5.000000
LH,58,17.500000,P1,5,58,5.500000
RH,70,17.500000,P1,1,70,5.500000
RH,60,18.250000,P1,5,60,6.000000
RH,72,18.250000,P1,1,72,6.000000
LH,56,19.000000,P1,5,56,6.500000
RH,68,19.000000,P1,1,68,6.500000
RH,63,19.875000,P1,5,63,7.000000
RH,75,19.875000,P1,1,75,7.000000
RH,72,22.333333,P1,5,72,8.000000
RH,84,22.333333,P1,1,84,8.000000
RH,70,24.750000,P1,5,70,9.000000
RH,82,24.750000,P1,1,82,9.000000
RH,67,27.250000,P1,5,67,10.000000
RH,79,27.250000,P1,1,79,10.000000
RH,66,30.750000,P1,5,66,11.000000
RH,78,30.750000,P1,1,78,11.000000
RH,67,38.500000,P1,5,67,13.000000
RH,79,38.500000,P1,1,79,13.000000
RH,66,39.250000,P1,5,66,13.500000
RH,78,39.250000,P1,1,78,13.500000
RH,65,40.000000,P1,5,65,14.000000
RH,77,40.000000,P1,1,77,14.000000
RH,69,42.000000,P1,5,69,15.000000
RH,81,42.000000,P1,1,81,15.000000
RH,79,42.750000,P1,1,79,15.333008
RH,63,43.250000,P1,5,63,15.666992
RH,75,43.250000,P1,1,75,15.666992
RH,63,43.875000,P1,5,63,16.000000
RH,75,43.875000,P1,1,75,16.000000
RH,74,46.375000,P1,1,74,16.750000
RH,62,46.500000,P1,5,62,16.750000
RH,77,47.125000,P1,1,77,17.000000
RH,65,47.250000,P1,5,65,17.000000
RH,63,48.125000,P1,5,63,17.333008
RH,75,48.125000,P1,1,75,17.333008
RH,62,50.250000,P1,5,62,18.000000
RH,74,50.250000,P1,1,74,18.000000
LH,51,57.875000,P1,5,51,22.000000
LH,55,57.875000,P1,5,55,22.000000
RH,60,57.875000,P1,5,60,22.000000
RH,72,57.875000,P1,1,72,22.000000
RH,67,62.333333,P1,1,67,23.500000
LH,50,63.750000,P1,5,50,24.000000
RH,70,64.000000,P1,1,70,24.000000
LH,38,75.500000,P1,5,38,31.000000
RH,67,79.500000,P1,1,67,34.000000
LH,43,80.500000,P1,5,43,35.000000
LH,58,80.500000,P1,2,58,35.000000
RH,62,80.500000,P1,2,62,35.000000
LH,43,81.500000,P1,5,43,36.000000
LH,58,81.500000,P1,2,58,36.000000
RH,62,81.500000,P1,2,62,36.000000
RH,74,82.500000,P1,1,74,37.000000
LH,58,83.500000,P1,5,58,38.000000
RH,62,83.500000,P1,2,62,38.000000
RH,67,83.500000,P1,2,67,38.000000
LH,58,84.500000,P1,5,58,39.000000
RH,62,84.500000,P1,2,62,39.000000
RH,67,84.500000,P1,2,67,39.000000
RH,72,85.500000,P1,1,72,40.000000
RH,60,86.625000,P1,5,60,41.000000
RH,63,86.625000,P1,2,63,41.000000
RH,67,86.625000,P1,2,67,41.000000
LH,57,88.125000,P1,5,57,42.000000
RH,60,88.125000,P1,5,60,42.000000
RH,63,88.125000,P1,2,63,42.000000
RH,67,88.125000,P1,2,67,42.000000
RH,69,92.666667,P1,1,69,45.500000
RH,67,93.125000,P1,1,67,46.000000
LH,43,94.125000,P1,5,43,47.000000
LH,58,94.125000,P1,2,58,47.000000
RH,62,94.125000,P1,2,62,47.000000
LH,43,95.125000,P1,5,43,48.000000
LH,58,95.125000,P1,2,58,48.000000
RH,62,95.125000,P1,2,62,48.000000
RH,64,96.125000,P1,1,64,49.000000
LH,45,97.125000,P1,5,45,50.000000
LH,55,97.125000,P1,2,55,50.000000
LH,57,97.125000,P1,2,57,50.000000
RH,61,97.125000,P1,2,61,50.000000
LH,45,98.125000,P1,5,45,51.000000
LH,55,98.125000,P1,2,55,51.000000
LH,57,98.125000,P1,2,57,51.000000
RH,61,98.125000,P1,2,61,51.000000
RH,66,99.250000,P1,1,66,52.000000
LH,38,100.375000,P1,5,38,53.000000
LH,57,100.375000,P1,2,57,53.000000
RH,62,100.500000,P1,2,62,53.000000
LH,38,101.875000,P1,5,38,54.000000
LH,57,101.875000,P1,2,57,54.000000
RH,62,101.875000,P1,2,62,54.000000
RH,67,107.125000,P1,1,67,58.000000
LH,43,108.000000,P1,5,43,59.000000
LH,58,108.000000,P1,2,58,59.000000
RH,62,108.000000,P1,2,62,59.000000
RH,79,110.000000,P1,1,79,61.000000
RH,64,110.875000,P1,5,64,62.000000
RH,70,110.875000,P1,2,70,62.000000
RH,67,111.000000,P1,2,67,62.000000
RH,64,111.750000,P1,5,64,63.000000
RH,67,111.750000,P1,2,67,63.000000
RH,70,111.750000,P1,2,70,63.000000
RH,77,112.666667,P1,1,77,64.000000
RH,65,113.625000,P1,5,65,65.000000
RH,70,113.625000,P1,2,70,65.000000
RH,72,113.625000,P1,2,72,65.000000
RH,65,114.375000,P1,5,65,66.000000
RH,70,114.375000,P1,2,70,66.000000
RH,72,114.375000,P1,2,72,66.000000
