hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,36,2.000000,P1,5,36,0.000000
LH,51,9.666667,P1,1,51,2.500000
LH,39,9.750000,P1,5,39,2.500000
LH,44,11.375000,P1,5,44,3.000000
LH,56,11.375000,P1,1,56,3.000000
LH,48,13.500000,P1,5,48,4.000000
RH,60,13.500000,P1,1,60,4.000000
LH,44,14.375000,P1,5,44,4.500000
LH,56,14.375000,P1,1,56,4.500000
LH,51,15.125000,P1,5,51,5.000000
RH,63,15.125000,P1,1,63,5.000000
LH,58,15.875000,P1,5,58,5.500000
RH,70,15.875000,P1,1,70,5.500000
RH,60,16.500000,P1,5,60,6.000000
RH,72,16.500000,P1,1,72,6.000000
LH,56,17.125000,P1,5,56,6.500000
RH,68,17.125000,P1,1,68,6.500000
RH,63,17.750000,P1,5,63,7.000000
RH,75,17.750000,P1,1,75,7.000000
RH,72,19.625000,P1,5,72,8.000000
RH,84,19.625000,P1,1,84,8.000000
RH,82,21.625000,P1,1,82,9.000000
RH,70,21.666667,P1,5,70,9.000000
RH,67,23.666667,P1,5,67,10.000000
RH,79,23.666667,P1,1,79,10.000000
RH,66,26.375000,P1,5,66,11.000000
RH,78,26.375000,P1,1,78,11.000000
RH,67,34.000000,P1,5,67,13.000000
RH,79,34.000000,P1,1,79,13.000000
RH,65,35.625000,P1,5,65,14.000000
RH,77,35.625000,P1,1,77,14.000000
RH,81,37.333333,P1,1,81,15.000000
RH,69,37.375000,P1,5,69,15.000000
RH,63,38.750000,P1,5,63,15.666992
RH,75,38.750000,P1,1,75,15.666992
RH,75,39.375000,P1,1,75,16.000000
RH,63,39.500000,P1,5,63,16.000000
RH,74,41.750000,P1,1,74,16.750000
RH,77,42.333333,P1,1,77,17.000000
RH,65,42.375000,P1,5,65,17.000000
RH,63,43.125000,P1,5,63,17.333008
RH,74,45.375000,P1,1,74,18.000000
RH,62,45.500000,P1,5,62,18.000000
LH,51,56.375000,P1,5,51,22.000000
LH,55,56.375000,P1,5,55,22.000000
RH,60,56.375000,P1,5,60,22.000000
RH,72,56.375000,P1,1,72,22.000000
LH,38,74.750000,P1,5,38,31.000000
RH,69,78.125000,P1,1,69,33.500000
RH,67,78.666667,P1,1,67,34.000000
LH,43,79.666667,P1,5,43,35.000000
LH,58,79.666667,P1,2,58,35.000000
RH,62,79.666667,P1,2,62,35.000000
LH,58,80.625000,P1,2,58,36.000000
RH,62,80.625000,P1,2,62,36.000000
LH,43,80.666667,P1,5,43,36.000000
RH,74,81.625000,P1,1,74,37.000000
LH,58,82.500000,P1,5,58,38.000000
RH,62,82.500000,P1,2,62,38.000000
RH,67,82.500000,P1,2,67,38.000000
LH,58,83.500000,P1,5,58,39.000000
RH,62,83.500000,P1,2,62,39.000000
RH,67,83.500000,P1,2,67,39.000000
RH,72,84.333333,P1,1,72,40.000000
LH,57,85.375000,P1,5,57,41.000000
RH,60,85.375000,P1,5,60,41.000000
RH,63,85.375000,P1,2,63,41.000000
RH,67,85.375000,P1,2,67,41.000000
RH,67,86.625000,P1,2,67,42.000000
LH,57,86.666667,P1,5,57,42.000000
RH,63,86.666667,P1,2,63,42.000000
RH,60,86.750000,P1,5,60,42.000000
RH,69,91.000000,P1,1,69,45.500000
RH,67,91.375000,P1,1,67,46.000000
LH,43,92.333333,P1,5,43,47.000000
LH,58,92.333333,P1,2,58,47.000000
RH,62,92.333333,P1,2,62,47.000000
LH,43,93.125000,P1,5,43,48.000000
LH,58,93.125000,P1,2,58,48.000000
RH,62,93.125000,P1,2,62,48.000000
RH,64,94.000000,P1,1,64,49.000000
LH,45,94.875000,P1,5,45,50.000000
LH,55,94.875000,P1,2,55,50.000000
LH,57,94.875000,P1,2,57,50.000000
RH,61,94.875000,P1,2,61,50.000000
LH,45,95.750000,P1,5,45,51.000000
RH,61,95.750000,P1,2,61,51.000000
LH,55,95.875000,P1,2,55,51.000000
LH,57,95.875000,P1,2,57,51.000000
RH,66,96.750000,P1,1,66,52.000000
LH,38,97.750000,P1,5,38,53.000000
RH,62,97.750000,P1,2,62,53.000000
LH,54,97.875000,P1,2,54,53.000000
LH,57,97.875000,P1,2,57,53.000000
LH,38,99.000000,P1,5,38,54.000000
LH,54,99.000000,P1,2,54,54.000000
RH,62,99.000000,P1,2,62,54.000000
LH,57,99.125000,P1,2,57,54.000000
RH,67,103.875000,P1,1,67,58.000000
LH,43,104.666667,P1,5,43,59.000000
RH,62,104.666667,P1,2,62,59.000000
LH,58,104.750000,P1,2,58,59.000000
RH,79,106.750000,P1,1,79,61.000000
RH,64,108.666667,P1,5,64,63.000000
RH,67,108.666667,P1,2,67,63.000000
RH,77,109.500000,P1,1,77,64.000000
RH,72,110.333333,P1,2,72,65.000000
RH,70,110.375000,P1,2,70,65.000000
RH,70,111.250000,P1,2,70,66.000000
RH,72,111.250000,P1,2,72,66.000000
RH,65,113.125000,P1,1,65,67.500000
LH,41,113.500000,P1,5,41,68.000000
RH,73,115.333333,P1,1,73,69.750000
RH,73,115.666667,P1,1,73,70.000000
RH,65,116.500000,P1,2,65,71.000000
RH,69,116.500000,P1,2,69,71.000000
LH,46,116.625000,P1,5,46,71.000000
RH,63,116.625000,P1,2,63,71.000000
LH,46,117.333333,P1,5,46,72.000000
RH,63,117.333333,P1,2,63,72.000000
RH,65,117.333333,P1,2,65,72.000000
RH,69,117.333333,P1,2,69,72.000000
RH,74,118.125000,P1,1,74,73.000000
LH,58,119.000000,P1,5,58,74.000000
RH,62,119.000000,P1,2,62,74.000000
RH,65,119.000000,P1,2,65,74.000000
RH,70,119.000000,P1,2,70,74.000000
RH,62,119.875000,P1,2,62,75.000000
RH,65,119.875000,P1,2,65,75.000000
RH,70,119.875000,P1,2,70,75.000000
LH,58,120.000000,P1,5,58,75.000000
RH,72,120.875000,P1,1,72,76.000000
LH,57,122.000000,P1,5,57,77.000000
RH,63,122.000000,P1,2,63,77.000000
RH,67,122.000000,P1,2,67,77.000000
RH,67,123.125000,P1,2,67,78.000000
LH,57,123.250000,P1,5,57,78.000000
RH,63,123.250000,P1,2,63,78.000000
RH,69,127.625000,P1,1,69,81.500000
RH,67,128.000000,P1,1,67,82.000000
LH,43,128.875000,P1,5,43,83.000000
LH,58,128.875000,P1,2,58,83.000000
RH,62,128.875000,P1,2,62,83.000000
LH,43,129.750000,P1,5,43,84.000000
RH,62,129.750000,P1,2,62,84.000000
LH,58,129.875000,P1,2,58,84.000000
RH,74,130.875000,P1,1,74,85.000000
RH,67,133.000000,P1,2,67,87.000000
RH,72,133.875000,P1,1,72,88.000000
LH,57,134.875000,P1,5,57,89.000000
RH,60,134.875000,P1,5,60,89.000000
RH,63,134.875000,P1,2,63,89.000000
LH,57,136.000000,P1,5,57,90.000000
RH,63,136.000000,P1,2,63,90.000000
RH,67,136.000000,P1,2,67,90.000000
RH,60,136.125000,P1,5,60,90.000000
RH,69,140.500000,P1,1,69,93.500000
RH,67,140.875000,P1,1,67,94.000000
LH,43,141.750000,P1,5,43,95.000000
LH,58,141.750000,P1,2,58,95.000000
RH,62,141.750000,P1,2,62,95.000000
LH,43,142.625000,P1,5,43,96.000000
LH,58,142.625000,P1,2,58,96.000000
RH,62,142.625000,P1,2,62,96.000000
RH,64,143.375000,P1,1,64,97.000000
LH,45,144.250000,P1,5,45,98.000000
LH,55,144.250000,P1,2,55,98.000000
LH,57,144.250000,P1,2,57,98.000000
RH,61,144.250000,P1,2,61,98.000000
LH,45,145.125000,P1,5,45,99.000000
RH,61,145.125000,P1,2,61,99.000000
LH,55,145.250000,P1,2,55,99.000000
LH,57,145.250000,P1,2,57,99.000000
RH,66,146.000000,P1,1,66,100.000000
LH,38,147.000000,P1,5,38,101.000000
RH,62,147.000000,P1,2,62,101.000000
LH,54,147.125000,P1,2,54,101.000000
LH,57,147.125000,P1,2,57,101.000000
LH,38,148.333333,P1,5,38,102.000000
RH,62,148.333333,P1,2,62,102.000000
LH,54,148.375000,P1,2,54,102.000000
LH,57,148.375000,P1,2,57,102.000000
RH,69,152.500000,P1,1,69,105.500000
RH,67,152.875000,P1,1,67,106.000000
LH,55,153.625000,P1,5,55,107.000000
LH,59,153.666667,P1,2,59,107.000000
RH,62,153.666667,P1,2,62,107.000000
RH,79,155.500000,P1,1,79,109.000000
LH,43,156.500000,P1,5,43,110.000000
RH,74,156.500000,P1,2,74,110.000000
LH,43,157.500000,P1,5,43,111.000000
RH,71,157.500000,P1,2,71,111.000000
RH,74,157.500000,P1,2,74,111.000000
RH,79,158.250000,P1,1,79,112.000000
LH,36,159.125000,P1,6,36,113.000000
LH,48,159.125000,P1,5,48,113.000000
RH,67,159.125000,P1,2,67,113.000000
RH,72,159.125000,P1,2,72,113.000000
RH,75,159.125000,P1,2,75,113.000000
LH,55,160.125000,P1,6,55,114.000000
RH,67,160.125000,P1,2,67,114.000000
RH,72,160.125000,P1,2,72,114.000000
RH,75,160.125000,P1,2,75,114.000000
