hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,36,3.000000,P1,5,36,0.000000
LH,39,8.875000,P1,5,39,2.500000
LH,51,8.875000,P1,1,51,2.500000
LH,56,10.125000,P1,1,56,3.000000
LH,44,10.250000,P1,5,44,3.000000
LH,46,11.125000,P1,5,46,3.500000
LH,58,11.125000,P1,1,58,3.500000
LH,48,11.875000,P1,5,48,4.000000
RH,60,11.875000,P1,1,60,4.000000
LH,44,12.750000,P1,5,44,4.500000
LH,56,12.750000,P1,1,56,4.500000
LH,51,13.500000,P1,5,51,5.000000
RH,63,13.500000,P1,1,63,5.000000
LH,58,14.250000,P1,5,58,5.500000
RH,70,14.250000,P1,1,70,5.500000
RH,60,15.000000,P1,5,60,6.000000
RH,72,15.000000,P1,1,72,6.000000
LH,56,15.666667,P1,5,56,6.500000
RH,68,15.666667,P1,1,68,6.500000
RH,63,16.500000,P1,5,63,7.000000
RH,75,16.500000,P1,1,75,7.000000
RH,70,17.333333,P1,5,70,7.500000
RH,82,17.333333,P1,1,82,7.500000
RH,84,18.333333,P1,1,84,8.000000
RH,72,18.375000,P1,5,72,8.000000
RH,67,19.375000,P1,5,67,8.500000
RH,79,19.375000,P1,1,79,8.500000
RH,70,20.250000,P1,5,70,9.000000
RH,82,20.250000,P1,1,82,9.000000
RH,67,22.250000,P1,5,67,10.000000
RH,79,22.250000,P1,1,79,10.000000
RH,66,24.875000,P1,5,66,11.000000
RH,78,24.875000,P1,1,78,11.000000
RH,78,25.000000,P1,1,78,11.000000
RH,79,29.750000,P1,1,79,13.000000
RH,67,29.875000,P1,5,67,13.000000
RH,66,30.500000,P1,5,66,13.500000
RH,78,30.500000,P1,1,78,13.500000
RH,65,31.125000,P1,5,65,14.000000
RH,77,31.125000,P1,1,77,14.000000
RH,69,32.750000,P1,5,69,15.000000
RH,81,32.750000,P1,1,81,15.000000
RH,79,33.333333,P1,1,79,15.333008
RH,67,33.375000,P1,5,67,15.333008
RH,63,34.000000,P1,5,63,15.666992
RH,63,34.666667,P1,5,63,16.000000
RH,75,34.666667,P1,1,75,16.000000
RH,65,38.000000,P1,5,65,17.000000
RH,77,38.000000,P1,1,77,17.000000
RH,63,38.666667,P1,5,63,17.333008
RH,75,38.666667,P1,1,75,17.333008
RH,62,40.375000,P1,5,62,18.000000
RH,74,40.375000,P1,1,74,18.000000
LH,51,49.333333,P1,5,51,22.000000
RH,72,49.333333,P1,1,72,22.000000
LH,55,49.375000,P1,5,55,22.000000
RH,60,49.500000,P1,5,60,22.000000
RH,72,49.500000,P1,1,72,22.000000
RH,63,55.750000,P1,5,63,24.000000
LH,38,71.125000,P1,5,38,31.000000
RH,70,72.750000,P1,1,70,33.000000
RH,69,73.125000,P1,1,69,33.500000
RH,67,73.500000,P1,1,67,34.000000
LH,43,74.375000,P1,5,43,35.000000
LH,43,75.125000,P1,5,43,36.000000
RH,62,75.125000,P1,2,62,36.000000
LH,58,75.250000,P1,2,58,36.000000
RH,74,75.875000,P1,1,74,37.000000
RH,62,76.666667,P1,2,62,38.000000
RH,67,76.666667,P1,2,67,38.000000
LH,58,77.375000,P1,5,58,39.000000
RH,62,77.375000,P1,2,62,39.000000
RH,67,77.375000,P1,2,67,39.000000
RH,72,78.125000,P1,1,72,40.000000
LH,57,79.000000,P1,5,57,41.000000
RH,67,79.000000,P1,2,67,41.000000
LH,57,79.875000,P1,5,57,42.000000
RH,60,79.875000,P1,5,60,42.000000
RH,63,79.875000,P1,2,63,42.000000
RH,67,79.875000,P1,2,67,42.000000
RH,69,82.875000,P1,1,69,45.500000
RH,67,83.250000,P1,1,67,46.000000
LH,58,83.875000,P1,2,58,47.000000
RH,62,83.875000,P1,2,62,47.000000
LH,43,84.000000,P1,5,43,47.000000
LH,43,84.625000,P1,5,43,48.000000
LH,58,84.625000,P1,2,58,48.000000
RH,62,84.625000,P1,2,62,48.000000
RH,64,85.333333,P1,1,64,49.000000
LH,45,86.125000,P1,5,45,50.000000
LH,55,86.125000,P1,2,55,50.000000
LH,57,86.125000,P1,2,57,50.000000
RH,61,86.125000,P1,2,61,50.000000
RH,61,86.750000,P1,2,61,51.000000
LH,45,86.875000,P1,5,45,51.000000
LH,55,86.875000,P1,2,55,51.000000
RH,66,87.625000,P1,1,66,52.000000
RH,69,92.125000,P1,1,69,57.500000
RH,67,92.500000,P1,1,67,58.000000
LH,43,93.250000,P1,5,43,59.000000
LH,58,93.250000,P1,2,58,59.000000
RH,62,93.250000,P1,2,62,59.000000
LH,43,93.875000,P1,5,43,60.000000
LH,58,93.875000,P1,2,58,60.000000
RH,62,93.875000,P1,2,62,60.000000
RH,79,94.500000,P1,1,79,61.000000
RH,67,95.250000,P1,2,67,62.000000
RH,70,95.333333,P1,2,70,62.000000
RH,64,95.875000,P1,5,64,63.000000
RH,67,95.875000,P1,2,67,63.000000
RH,70,95.875000,P1,2,70,63.000000
RH,77,96.666667,P1,1,77,64.000000
RH,65,97.500000,P1,5,65,65.000000
RH,72,97.500000,P1,2,72,65.000000
RH,65,98.250000,P1,5,65,66.000000
RH,70,98.250000,P1,2,70,66.000000
RH,72,98.250000,P1,2,72,66.000000
RH,65,99.500000,P1,1,65,67.500000
LH,41,99.875000,P1,5,41,68.000000
RH,73,101.500000,P1,1,73,69.750000
RH,73,101.750000,P1,1,73,70.000000
RH,69,103.500000,P1,2,69,72.000000
RH,74,104.125000,P1,1,74,73.000000
RH,62,105.000000,P1,2,62,74.000000
RH,70,105.000000,P1,2,70,74.000000
LH,58,105.666667,P1,5,58,75.000000
RH,70,105.666667,P1,2,70,75.000000
RH,72,106.625000,P1,1,72,76.000000
LH,57,107.500000,P1,5,57,77.000000
RH,67,107.500000,P1,2,67,77.000000
RH,63,107.625000,P1,2,63,77.000000
LH,57,108.500000,P1,5,57,78.000000
RH,67,108.500000,P1,2,67,78.000000
RH,69,112.500000,P1,1,69,81.500000
RH,67,112.875000,P1,1,67,82.000000
LH,43,113.625000,P1,5,43,83.000000
LH,58,113.625000,P1,2,58,83.000000
RH,62,113.625000,P1,2,62,83.000000
LH,58,114.250000,P1,2,58,84.000000
LH,43,114.333333,P1,5,43,84.000000
RH,74,115.125000,P1,1,74,85.000000
LH,58,117.000000,P1,5,58,87.000000
RH,62,117.000000,P1,2,62,87.000000
RH,67,117.000000,P1,2,67,87.000000
RH,72,117.750000,P1,1,72,88.000000
RH,67,118.625000,P1,2,67,89.000000
LH,57,118.666667,P1,5,57,89.000000
RH,63,118.666667,P1,2,63,89.000000
RH,67,119.500000,P1,2,67,90.000000
LH,57,119.625000,P1,5,57,90.000000
RH,69,122.666667,P1,1,69,93.500000
RH,67,123.000000,P1,1,67,94.000000
LH,43,123.750000,P1,5,43,95.000000
RH,62,123.750000,P1,2,62,95.000000
LH,43,124.375000,P1,5,43,96.000000
LH,58,124.375000,P1,2,58,96.000000
RH,62,124.375000,P1,2,62,96.000000
RH,64,125.125000,P1,1,64,97.000000
LH,57,125.750000,P1,2,57,98.000000
RH,61,125.750000,P1,2,61,98.000000
LH,45,125.875000,P1,5,45,98.000000
LH,55,125.875000,P1,2,55,98.000000
LH,45,126.500000,P1,5,45,99.000000
LH,55,126.500000,P1,2,55,99.000000
LH,57,126.500000,P1,2,57,99.000000
RH,61,126.500000,P1,2,61,99.000000
RH,66,127.125000,P1,1,66,100.000000
LH,57,128.000000,P1,2,57,101.000000
RH,62,128.000000,P1,2,62,101.000000
LH,38,128.750000,P1,5,38,102.000000
LH,57,128.750000,P1,2,57,102.000000
RH,62,128.750000,P1,2,62,102.000000
RH,69,131.500000,P1,1,69,105.500000
RH,67,131.750000,P1,1,67,106.000000
LH,55,132.500000,P1,5,55,107.000000
LH,59,132.500000,P1,2,59,107.000000
RH,62,132.500000,P1,2,62,107.000000
RH,65,132.500000,P1,2,65,107.000000
LH,55,133.125000,P1,5,55,108.000000
LH,59,133.125000,P1,2,59,108.000000
RH,62,133.125000,P1,2,62,108.000000
RH,65,133.125000,P1,2,65,108.000000
RH,79,133.750000,P1,1,79,109.000000
LH,43,134.500000,P1,5,43,110.000000
RH,65,134.500000,P1,2,65,110.000000
RH,67,134.500000,P1,2,67,110.000000
RH,71,134.500000,P1,2,71,110.000000
RH,74,134.500000,P1,2,74,110.000000
LH,43,135.250000,P1,5,43,111.000000
RH,71,135.250000,P1,2,71,111.000000
RH,74,135.250000,P1,2,74,111.000000
RH,65,135.333333,P1,2,65,111.000000
RH,67,135.333333,P1,2,67,111.000000
RH,79,136.125000,P1,1,79,112.000000
RH,74,138.750000,P1,1,74,115.000000
LH,38,139.500000,P1,6,38,116.000000
LH,50,139.500000,P1,5,50,116.000000
RH,62,140.125000,P1,2,62,117.000000
RH,67,140.125000,P1,2,67,117.000000
LH,55,140.250000,P1,6,55,117.000000
RH,72,140.875000,P1,1,72,118.000000
LH,39,141.625000,P1,6,39,119.000000
LH,51,141.625000,P1,5,51,119.000000
RH,67,141.625000,P1,2,67,119.000000
LH,55,142.333333,P1,6,55,120.000000
RH,60,142.333333,P1,2,60,120.000000
RH,67,142.333333,P1,2,67,120.000000
RH,67,143.000000,P1,1,67,121.000000
LH,38,143.750000,P1,6,38,122.000000
LH,50,143.750000,P1,5,50,122.000000
LH,58,143.750000,P1,2,58,122.000000
RH,62,143.750000,P1,2,62,122.000000
RH,62,144.500000,P1,2,62,123.000000
LH,55,144.625000,P1,6,55,123.000000
LH,47,145.375000,P1,5,47,124.000000
RH,79,145.375000,P1,1,79,124.000000
LH,48,145.750000,P1,5,48,124.500000
LH,50,146.125000,P1,5,50,125.000000
RH,67,146.125000,P1,2,67,125.000000
RH,72,146.125000,P1,2,72,125.000000
RH,75,146.125000,P1,2,75,125.000000
LH,48,146.375000,P1,5,48,125.500000
LH,55,146.750000,P1,5,55,126.000000
RH,67,146.750000,P1,2,67,126.000000
RH,72,146.750000,P1,2,72,126.000000
RH,75,146.750000,P1,2,75,126.000000
LH,49,147.375000,P1,5,49,127.000000
RH,74,147.375000,P1,1,74,127.000000
LH,50,147.666667,P1,5,50,127.500000
LH,51,148.000000,P1,5,51,128.000000
RH,67,148.125000,P1,2,67,128.000000
LH,50,148.250000,P1,5,50,128.500000
RH,62,148.500000,P1,2,62,129.000000
RH,67,148.500000,P1,2,67,129.000000
LH,55,148.625000,P1,5,55,129.000000
LH,50,149.250000,P1,5,50,130.000000
RH,72,149.250000,P1,1,72,130.000000
RH,67,150.500000,P1,1,67,133.000000
LH,58,152.375000,P1,2,58,135.000000
RH,61,152.375000,P1,2,61,135.000000
RH,74,156.000000,P1,1,74,139.000000
LH,53,157.500000,P1,5,53,141.000000
LH,42,158.125000,P1,5,42,142.000000
LH,54,158.125000,P1,5,54,142.000000
RH,63,158.125000,P1,2,63,142.000000
RH,69,158.125000,P1,2,69,142.000000
RH,63,158.875000,P1,2,63,143.000000
RH,63,159.500000,P1,2,63,144.000000
RH,69,159.500000,P1,2,69,144.000000
RH,71,159.500000,P1,1,71,144.000000
RH,69,160.000000,P1,2,69,145.000000
RH,72,160.000000,P1,1,72,145.000000
RH,63,160.125000,P1,2,63,145.000000
LH,41,160.750000,P1,5,41,146.000000
LH,53,160.750000,P1,5,53,146.000000
RH,69,160.750000,P1,2,69,146.000000
RH,63,160.875000,P1,2,63,146.000000
LH,43,162.500000,P1,5,43,148.000000
LH,55,162.500000,P1,5,55,148.000000
RH,75,162.500000,P1,1,75,148.000000
RH,63,164.125000,P1,2,63,150.000000
RH,70,164.125000,P1,2,70,150.000000
RH,70,164.750000,P1,2,70,151.000000
RH,74,164.750000,P1,1,74,151.000000
RH,62,164.875000,P1,2,62,151.000000
RH,62,166.333333,P1,2,62,153.000000
LH,38,167.125000,P1,5,38,154.000000
LH,50,167.125000,P1,5,50,154.000000
RH,66,167.125000,P1,2,66,154.000000
RH,60,167.250000,P1,2,60,154.000000
RH,66,167.375000,P1,2,66,154.000000
RH,66,168.250000,P1,2,66,155.000000
RH,60,170.500000,P1,2,60,157.000000
RH,66,170.500000,P1,2,66,157.000000
RH,69,170.500000,P1,1,69,157.000000
RH,60,171.125000,P1,2,60,158.000000
RH,66,171.125000,P1,2,66,158.000000
LH,39,172.875000,P1,5,39,160.000000
LH,51,172.875000,P1,5,51,160.000000
RH,72,172.875000,P1,1,72,160.000000
RH,60,174.500000,P1,2,60,162.000000
RH,67,174.500000,P1,2,67,162.000000
LH,58,175.250000,P1,2,58,163.000000
RH,67,175.250000,P1,2,67,163.000000
RH,70,175.250000,P1,1,70,163.000000
LH,58,175.875000,P1,2,58,164.000000
RH,67,175.875000,P1,2,67,164.000000
LH,58,176.625000,P1,2,58,165.000000
RH,67,176.625000,P1,2,67,165.000000
RH,67,177.250000,P1,2,67,166.000000
RH,69,177.250000,P1,1,69,166.000000
LH,36,177.333333,P1,5,36,166.000000
LH,48,177.333333,P1,5,48,166.000000
RH,63,177.333333,P1,2,63,166.000000
RH,63,178.000000,P1,2,63,167.000000
RH,67,178.000000,P1,2,67,167.000000
RH,63,178.750000,P1,2,63,168.000000
LH,38,179.500000,P1,5,38,169.000000
RH,69,179.500000,P1,1,69,169.000000
LH,50,179.625000,P1,5,50,169.000000
RH,62,179.625000,P1,2,62,169.000000
RH,66,179.625000,P1,2,66,169.000000
RH,62,180.250000,P1,2,62,170.000000
RH,62,181.000000,P1,2,62,171.000000
RH,66,181.000000,P1,2,66,171.000000
RH,64,181.875000,P1,2,64,172.000000
LH,52,185.333333,P1,5,52,175.000000
LH,57,185.333333,P1,5,57,175.000000
RH,64,185.333333,P1,5,64,175.000000
LH,36,188.125000,P1,5,36,178.000000
LH,48,188.125000,P1,5,48,178.000000
RH,76,190.125000,P1,1,76,179.500000
RH,77,190.375000,P1,1,77,179.750000
LH,53,190.666667,P1,5,53,180.000000
LH,57,190.666667,P1,5,57,180.000000
RH,63,190.666667,P1,5,63,180.000000
RH,65,190.666667,P1,5,65,180.000000
