hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,36,2.000000,P1,5,36,0.000000
LH,44,9.750000,P1,5,44,3.000000
LH,56,9.750000,P1,1,56,3.000000
LH,58,10.750000,P1,1,58,3.500000
LH,48,11.625000,P1,5,48,4.000000
RH,60,11.625000,P1,1,60,4.000000
LH,44,12.375000,P1,5,44,4.500000
LH,56,12.375000,P1,1,56,4.500000
LH,51,13.000000,P1,5,51,5.000000
RH,63,13.000000,P1,1,63,5.000000
LH,58,13.666667,P1,5,58,5.500000
RH,70,13.666667,P1,1,70,5.500000
RH,60,14.333333,P1,5,60,6.000000
RH,72,14.333333,P1,1,72,6.000000
LH,56,15.000000,P1,5,56,6.500000
RH,68,15.000000,P1,1,68,6.500000
RH,63,15.750000,P1,5,63,7.000000
RH,75,15.750000,P1,1,75,7.000000
RH,72,17.750000,P1,5,72,8.000000
RH,84,17.750000,P1,1,84,8.000000
RH,70,19.750000,P1,5,70,9.000000
RH,82,19.750000,P1,1,82,9.000000
RH,67,22.000000,P1,5,67,10.000000
RH,79,22.000000,P1,1,79,10.000000
RH,66,25.375000,P1,5,66,11.000000
RH,78,25.375000,P1,1,78,11.000000
RH,67,33.125000,P1,5,67,13.000000
RH,79,33.125000,P1,1,79,13.000000
RH,66,33.875000,P1,5,66,13.500000
RH,65,34.375000,P1,5,65,14.000000
RH,77,34.375000,P1,1,77,14.000000
RH,69,36.125000,P1,5,69,15.000000
RH,81,36.125000,P1,1,81,15.000000
RH,67,37.000000,P1,5,67,15.333008
RH,79,37.000000,P1,1,79,15.333008
RH,63,38.750000,P1,5,63,16.000000
RH,75,38.750000,P1,1,75,16.000000
RH,62,41.666667,P1,5,62,16.750000
RH,74,41.666667,P1,1,74,16.750000
RH,65,42.375000,P1,5,65,17.000000
RH,77,42.375000,P1,1,77,17.000000
RH,63,43.500000,P1,5,63,17.333008
RH,75,43.500000,P1,1,75,17.333008
RH,62,46.333333,P1,5,62,18.000000
RH,74,46.333333,P1,1,74,18.000000
LH,51,56.875000,P1,5,51,22.000000
LH,55,56.875000,P1,5,55,22.000000
RH,60,56.875000,P1,5,60,22.000000
RH,72,56.875000,P1,1,72,22.000000
LH,50,62.333333,P1,5,50,24.000000
LH,38,74.875000,P1,5,38,31.000000
RH,69,78.375000,P1,1,69,33.500000
RH,67,79.125000,P1,1,67,34.000000
LH,43,80.000000,P1,5,43,35.000000
LH,58,80.000000,P1,2,58,35.000000
RH,62,80.000000,P1,2,62,35.000000
LH,43,80.875000,P1,5,43,36.000000
LH,58,80.875000,P1,2,58,36.000000
RH,62,80.875000,P1,2,62,36.000000
RH,74,81.750000,P1,1,74,37.000000
LH,58,82.750000,P1,5,58,38.000000
RH,62,82.875000,P1,2,62,38.000000
RH,67,82.875000,P1,2,67,38.000000
LH,58,83.666667,P1,5,58,39.000000
RH,67,83.666667,P1,2,67,39.000000
RH,72,84.666667,P1,1,72,40.000000
RH,63,85.666667,P1,2,63,41.000000
RH,67,85.666667,P1,2,67,41.000000
RH,67,87.125000,P1,2,67,42.000000
RH,69,91.000000,P1,1,69,45.500000
RH,67,91.500000,P1,1,67,46.000000
LH,43,92.250000,P1,5,43,47.000000
LH,58,92.250000,P1,2,58,47.000000
RH,62,92.250000,P1,2,62,47.000000
RH,62,93.000000,P1,2,62,48.000000
LH,43,93.125000,P1,5,43,48.000000
LH,58,93.125000,P1,2,58,48.000000
RH,64,93.875000,P1,1,64,49.000000
LH,45,94.750000,P1,5,45,50.000000
LH,57,94.750000,P1,2,57,50.000000
LH,55,94.875000,P1,2,55,50.000000
RH,61,94.875000,P1,2,61,50.000000
LH,45,95.750000,P1,5,45,51.000000
LH,55,95.750000,P1,2,55,51.000000
RH,61,95.750000,P1,2,61,51.000000
RH,66,96.875000,P1,1,66,52.000000
RH,62,97.750000,P1,2,62,53.000000
LH,54,97.875000,P1,2,54,53.000000
LH,57,97.875000,P1,2,57,53.000000
RH,69,103.000000,P1,1,69,57.500000
RH,67,103.500000,P1,1,67,58.000000
LH,58,104.250000,P1,2,58,59.000000
RH,62,104.250000,P1,2,62,59.000000
LH,58,105.000000,P1,2,58,60.000000
LH,43,105.125000,P1,5,43,60.000000
RH,79,106.125000,P1,1,79,61.000000
RH,64,107.000000,P1,5,64,62.000000
RH,67,107.000000,P1,2,67,62.000000
RH,70,107.000000,P1,2,70,62.000000
RH,64,107.750000,P1,5,64,63.000000
RH,67,107.750000,P1,2,67,63.000000
RH,77,108.750000,P1,1,77,64.000000
RH,70,111.250000,P1,2,70,66.000000
RH,65,113.250000,P1,1,65,67.500000
RH,73,116.750000,P1,1,73,69.750000
RH,73,117.125000,P1,1,73,70.000000
LH,46,118.000000,P1,5,46,71.000000
RH,65,118.000000,P1,2,65,71.000000
RH,69,118.000000,P1,2,69,71.000000
RH,63,118.125000,P1,2,63,71.000000
LH,46,118.875000,P1,5,46,72.000000
RH,63,118.875000,P1,2,63,72.000000
RH,69,119.000000,P1,2,69,72.000000
RH,74,119.875000,P1,1,74,73.000000
RH,62,120.750000,P1,2,62,74.000000
RH,72,123.125000,P1,1,72,76.000000
RH,67,125.750000,P1,2,67,78.000000
LH,57,125.875000,P1,5,57,78.000000
RH,63,125.875000,P1,2,63,78.000000
RH,69,130.750000,P1,1,69,81.500000
RH,67,131.333333,P1,1,67,82.000000
LH,43,132.125000,P1,5,43,83.000000
LH,58,132.125000,P1,2,58,83.000000
RH,62,132.125000,P1,2,62,83.000000
LH,43,133.125000,P1,5,43,84.000000
RH,74,134.125000,P1,1,74,85.000000
LH,58,135.000000,P1,5,58,86.000000
RH,62,135.000000,P1,2,62,86.000000
RH,67,135.000000,P1,2,67,86.000000
LH,58,136.000000,P1,5,58,87.000000
RH,62,136.000000,P1,2,62,87.000000
RH,67,136.000000,P1,2,67,87.000000
RH,72,137.000000,P1,1,72,88.000000
RH,60,138.000000,P1,5,60,89.000000
RH,63,138.000000,P1,2,63,89.000000
RH,67,138.000000,P1,2,67,89.000000
LH,57,138.125000,P1,5,57,89.000000
RH,60,139.375000,P1,5,60,90.000000
RH,63,139.375000,P1,2,63,90.000000
RH,67,139.375000,P1,2,67,90.000000
RH,69,143.250000,P1,1,69,93.500000
RH,67,143.750000,P1,1,67,94.000000
LH,43,144.500000,P1,5,43,95.000000
LH,58,144.500000,P1,2,58,95.000000
RH,62,144.500000,P1,2,62,95.000000
LH,43,145.375000,P1,5,43,96.000000
LH,58,145.375000,P1,2,58,96.000000
RH,62,145.375000,P1,2,62,96.000000
RH,64,146.250000,P1,1,64,97.000000
LH,55,147.125000,P1,2,55,98.000000
RH,61,147.125000,P1,2,61,98.000000
LH,45,148.125000,P1,5,45,99.000000
RH,61,148.125000,P1,2,61,99.000000
LH,55,148.250000,P1,2,55,99.000000
RH,66,149.250000,P1,1,66,100.000000
RH,62,150.250000,P1,2,62,101.000000
LH,38,150.333333,P1,5,38,101.000000
LH,54,150.333333,P1,2,54,101.000000
LH,57,150.333333,P1,2,57,101.000000
RH,69,155.125000,P1,1,69,105.500000
RH,67,155.666667,P1,1,67,106.000000
LH,55,156.500000,P1,5,55,107.000000
LH,59,156.500000,P1,2,59,107.000000
RH,62,156.500000,P1,2,62,107.000000
RH,65,156.500000,P1,2,65,107.000000
RH,65,157.333333,P1,2,65,108.000000
RH,79,158.375000,P1,1,79,109.000000
LH,43,159.250000,P1,5,43,110.000000
RH,74,159.250000,P1,2,74,110.000000
LH,43,160.125000,P1,5,43,111.000000
RH,71,160.125000,P1,2,71,111.000000
RH,74,160.125000,P1,2,74,111.000000
RH,79,161.125000,P1,1,79,112.000000
LH,36,162.125000,P1,6,36,113.000000
LH,48,162.125000,P1,5,48,113.000000
RH,75,162.250000,P1,2,75,113.000000
RH,74,164.000000,P1,1,74,115.000000
LH,38,164.666667,P1,6,38,116.000000
LH,50,164.666667,P1,5,50,116.000000
RH,62,164.750000,P1,2,62,116.000000
RH,67,164.750000,P1,2,67,116.000000
LH,55,165.625000,P1,6,55,117.000000
RH,67,165.625000,P1,2,67,117.000000
RH,62,165.666667,P1,2,62,117.000000
RH,72,166.333333,P1,1,72,118.000000
LH,39,167.000000,P1,6,39,119.000000
LH,51,167.000000,P1,5,51,119.000000
RH,60,167.125000,P1,2,60,119.000000
RH,67,167.125000,P1,2,67,119.000000
LH,55,168.000000,P1,6,55,120.000000
RH,67,168.000000,P1,2,67,120.000000
RH,60,168.125000,P1,2,60,120.000000
RH,67,168.875000,P1,1,67,121.000000
LH,58,169.666667,P1,2,58,122.000000
RH,62,169.666667,P1,2,62,122.000000
LH,55,170.666667,P1,6,55,123.000000
LH,58,170.666667,P1,2,58,123.000000
LH,47,171.625000,P1,5,47,124.000000
LH,49,174.000000,P1,5,49,127.000000
RH,74,174.250000,P1,1,74,127.000000
LH,51,175.000000,P1,5,51,128.000000
LH,50,175.250000,P1,5,50,128.500000
LH,55,175.625000,P1,5,55,129.000000
RH,62,175.625000,P1,2,62,129.000000
RH,67,175.625000,P1,2,67,129.000000
LH,50,176.125000,P1,5,50,130.000000
RH,67,177.750000,P1,1,67,133.000000
LH,58,180.875000,P1,2,58,135.000000
RH,61,180.875000,P1,2,61,135.000000
LH,53,182.000000,P1,5,53,136.000000
RH,65,182.000000,P1,1,65,136.000000
LH,58,183.000000,P1,2,58,137.000000
RH,62,183.000000,P1,2,62,137.000000
LH,58,183.666667,P1,2,58,138.000000
RH,62,183.666667,P1,2,62,138.000000
RH,74,184.625000,P1,1,74,139.000000
RH,62,185.375000,P1,2,62,140.000000
RH,70,185.375000,P1,2,70,140.000000
LH,42,187.125000,P1,5,42,142.000000
LH,54,187.125000,P1,5,54,142.000000
RH,63,187.375000,P1,2,63,142.000000
RH,69,187.375000,P1,2,69,142.000000
RH,63,189.750000,P1,2,63,145.000000
RH,72,189.750000,P1,1,72,145.000000
RH,69,191.625000,P1,2,69,147.000000
LH,43,192.666667,P1,5,43,148.000000
LH,55,192.666667,P1,5,55,148.000000
RH,75,192.875000,P1,1,75,148.000000
RH,63,194.750000,P1,2,63,150.000000
RH,70,194.750000,P1,2,70,150.000000
RH,62,195.625000,P1,2,62,151.000000
RH,74,195.625000,P1,1,74,151.000000
RH,70,195.666667,P1,2,70,151.000000
RH,62,196.625000,P1,2,62,152.000000
LH,38,198.875000,P1,5,38,154.000000
LH,50,198.875000,P1,5,50,154.000000
RH,60,199.000000,P1,2,60,154.000000
