hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,36,4.000000,P1,5,36,0.000000
LH,39,9.750000,P1,5,39,2.500000
LH,51,9.750000,P1,1,51,2.500000
LH,56,10.875000,P1,1,56,3.000000
LH,44,11.000000,P1,5,44,3.000000
LH,58,11.750000,P1,1,58,3.500000
LH,46,11.875000,P1,5,46,3.500000
RH,60,12.625000,P1,1,60,4.000000
LH,48,12.666667,P1,5,48,4.000000
LH,56,13.250000,P1,1,56,4.500000
RH,63,13.750000,P1,1,63,5.000000
LH,51,13.875000,P1,5,51,5.000000
LH,58,14.333333,P1,5,58,5.500000
RH,70,14.333333,P1,1,70,5.500000
RH,72,14.875000,P1,1,72,6.000000
RH,60,15.000000,P1,5,60,6.000000
LH,56,15.500000,P1,5,56,6.500000
RH,75,16.000000,P1,1,75,7.000000
RH,63,16.125000,P1,5,63,7.000000
RH,84,17.666667,P1,1,84,8.000000
RH,72,17.875000,P1,5,72,8.000000
RH,79,18.875000,P1,1,79,8.500000
RH,82,19.666667,P1,1,82,9.000000
RH,70,19.750000,P1,5,70,9.000000
RH,68,20.500000,P1,5,68,9.500000
RH,79,21.333333,P1,1,79,10.000000
RH,67,21.500000,P1,5,67,10.000000
RH,66,23.750000,P1,5,66,11.000000
RH,78,23.750000,P1,1,78,11.000000
RH,78,27.000000,P1,1,78,12.500000
RH,66,27.250000,P1,5,66,12.500000
RH,79,28.125000,P1,1,79,13.000000
RH,67,28.250000,P1,5,67,13.000000
RH,66,28.875000,P1,5,66,13.500000
RH,78,28.875000,P1,1,78,13.500000
RH,77,29.375000,P1,1,77,14.000000
RH,65,29.500000,P1,5,65,14.000000
RH,69,31.000000,P1,5,69,15.000000
RH,79,31.750000,P1,1,79,15.333008
RH,67,31.875000,P1,5,67,15.333008
RH,63,32.500000,P1,5,63,15.666992
RH,75,33.500000,P1,1,75,16.000000
RH,63,33.625000,P1,5,63,16.000000
RH,74,36.666667,P1,1,74,16.750000
RH,77,37.333333,P1,1,77,17.000000
RH,65,37.500000,P1,5,65,17.000000
RH,75,38.333333,P1,1,75,17.333008
RH,63,38.375000,P1,5,63,17.333008
RH,74,40.375000,P1,1,74,18.000000
RH,62,40.500000,P1,5,62,18.000000
LH,51,47.875000,P1,5,51,22.000000
LH,55,47.875000,P1,5,55,22.000000
RH,60,47.875000,P1,5,60,22.000000
LH,50,52.333333,P1,5,50,24.000000
LH,38,63.125000,P1,5,38,31.000000
RH,69,66.500000,P1,1,69,33.500000
RH,67,67.125000,P1,1,67,34.000000
LH,58,68.000000,P1,2,58,35.000000
RH,62,68.000000,P1,2,62,35.000000
LH,43,68.125000,P1,5,43,35.000000
RH,62,69.000000,P1,2,62,36.000000
LH,43,69.125000,P1,5,43,36.000000
LH,58,69.125000,P1,2,58,36.000000
RH,74,70.250000,P1,1,74,37.000000
LH,58,72.500000,P1,5,58,39.000000
RH,67,72.500000,P1,2,67,39.000000
RH,72,73.375000,P1,1,72,40.000000
LH,57,74.375000,P1,5,57,41.000000
RH,63,74.375000,P1,2,63,41.000000
RH,67,74.375000,P1,2,67,41.000000
RH,60,74.500000,P1,5,60,41.000000
LH,57,75.500000,P1,5,57,42.000000
RH,60,75.500000,P1,5,60,42.000000
RH,63,75.500000,P1,2,63,42.000000
RH,67,75.500000,P1,2,67,42.000000
RH,70,78.500000,P1,1,70,45.000000
LH,38,78.625000,P1,5,38,45.000000
RH,69,78.875000,P1,1,69,45.500000
RH,67,79.375000,P1,1,67,46.000000
LH,58,80.250000,P1,2,58,47.000000
RH,62,80.250000,P1,2,62,47.000000
LH,43,80.333333,P1,5,43,47.000000
LH,43,81.125000,P1,5,43,48.000000
LH,58,81.125000,P1,2,58,48.000000
RH,62,81.125000,P1,2,62,48.000000
