hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,36,3.000000,P1,5,36,0.000000
LH,44,11.375000,P1,5,44,3.000000
LH,56,11.375000,P1,1,56,3.000000
LH,46,12.333333,P1,5,46,3.500000
LH,58,12.333333,P1,1,58,3.500000
LH,48,13.250000,P1,5,48,4.000000
RH,60,13.250000,P1,1,60,4.000000
LH,44,14.125000,P1,5,44,4.500000
LH,56,14.125000,P1,1,56,4.500000
RH,63,14.875000,P1,1,63,5.000000
LH,51,15.000000,P1,5,51,5.000000
LH,58,15.625000,P1,5,58,5.500000
RH,70,15.625000,P1,1,70,5.500000
RH,60,16.500000,P1,5,60,6.000000
RH,72,16.500000,P1,1,72,6.000000
LH,56,17.250000,P1,5,56,6.500000
RH,68,17.250000,P1,1,68,6.500000
RH,75,18.125000,P1,1,75,7.000000
RH,63,18.250000,P1,5,63,7.000000
RH,70,19.125000,P1,5,70,7.500000
RH,72,20.250000,P1,5,72,8.000000
RH,84,20.250000,P1,1,84,8.000000
RH,67,21.500000,P1,5,67,8.500000
RH,79,21.500000,P1,1,79,8.500000
RH,82,22.500000,P1,1,82,9.000000
RH,70,22.625000,P1,5,70,9.000000
RH,67,25.000000,P1,5,67,10.000000
RH,79,25.000000,P1,1,79,10.000000
RH,66,28.500000,P1,5,66,11.000000
RH,78,28.500000,P1,1,78,11.000000
RH,67,35.250000,P1,5,67,13.000000
RH,79,35.250000,P1,1,79,13.000000
RH,78,36.125000,P1,1,78,13.500000
RH,65,36.875000,P1,5,65,14.000000
RH,77,36.875000,P1,1,77,14.000000
RH,66,37.750000,P1,5,66,14.500000
RH,78,37.750000,P1,1,78,14.500000
RH,81,38.875000,P1,1,81,15.000000
RH,69,39.000000,P1,5,69,15.000000
RH,67,39.625000,P1,5,67,15.333008
RH,79,39.625000,P1,1,79,15.333008
RH,63,40.250000,P1,5,63,15.666992
RH,75,40.250000,P1,1,75,15.666992
RH,63,40.875000,P1,5,63,16.000000
RH,75,40.875000,P1,1,75,16.000000
RH,62,43.500000,P1,5,62,16.750000
RH,74,43.500000,P1,1,74,16.750000
RH,65,44.125000,P1,5,65,17.000000
RH,77,44.125000,P1,1,77,17.000000
RH,75,45.125000,P1,1,75,17.333008
RH,62,45.750000,P1,5,62,17.666992
RH,74,45.750000,P1,1,74,17.666992
RH,62,46.625000,P1,5,62,18.000000
RH,74,46.625000,P1,1,74,18.000000
LH,51,55.500000,P1,5,51,22.000000
LH,55,55.500000,P1,5,55,22.000000
RH,60,55.500000,P1,5,60,22.000000
RH,72,55.500000,P1,1,72,22.000000
RH,63,61.250000,P1,5,63,24.000000
LH,38,73.250000,P1,5,38,31.000000
RH,69,76.125000,P1,1,69,33.500000
RH,67,76.625000,P1,1,67,34.000000
LH,58,78.625000,P1,2,58,36.000000
RH,62,78.625000,P1,2,62,36.000000
LH,43,78.666667,P1,5,43,36.000000
RH,74,79.625000,P1,1,74,37.000000
LH,58,80.500000,P1,5,58,38.000000
RH,62,80.500000,P1,2,62,38.000000
RH,67,80.500000,P1,2,67,38.000000
LH,58,81.375000,P1,5,58,39.000000
RH,62,81.375000,P1,2,62,39.000000
RH,67,81.375000,P1,2,67,39.000000
RH,72,82.333333,P1,1,72,40.000000
RH,63,83.333333,P1,2,63,41.000000
RH,67,83.333333,P1,2,67,41.000000
RH,60,83.375000,P1,5,60,41.000000
RH,69,88.666667,P1,1,69,45.500000
RH,67,89.125000,P1,1,67,46.000000
LH,43,90.000000,P1,5,43,47.000000
LH,58,90.000000,P1,2,58,47.000000
RH,62,90.000000,P1,2,62,47.000000
LH,43,91.000000,P1,5,43,48.000000
LH,58,91.000000,P1,2,58,48.000000
RH,62,91.000000,P1,2,62,48.000000
RH,64,91.875000,P1,1,64,49.000000
LH,45,92.750000,P1,5,45,50.000000
LH,55,92.750000,P1,2,55,50.000000
LH,57,92.750000,P1,2,57,50.000000
RH,61,92.750000,P1,2,61,50.000000
LH,45,93.666667,P1,5,45,51.000000
LH,55,93.666667,P1,2,55,51.000000
RH,61,93.666667,P1,2,61,51.000000
LH,57,93.750000,P1,2,57,51.000000
RH,66,94.625000,P1,1,66,52.000000
LH,54,95.500000,P1,2,54,53.000000
LH,57,95.500000,P1,2,57,53.000000
RH,62,95.500000,P1,2,62,53.000000
LH,38,96.625000,P1,5,38,54.000000
RH,62,96.625000,P1,2,62,54.000000
LH,54,96.666667,P1,2,54,54.000000
LH,57,96.666667,P1,2,57,54.000000
RH,69,100.375000,P1,1,69,57.500000
RH,67,100.875000,P1,1,67,58.000000
LH,43,101.666667,P1,5,43,59.000000
LH,58,101.666667,P1,2,58,59.000000
RH,62,101.666667,P1,2,62,59.000000
LH,43,102.500000,P1,5,43,60.000000
LH,58,102.500000,P1,2,58,60.000000
RH,62,102.500000,P1,2,62,60.000000
RH,79,103.500000,P1,1,79,61.000000
RH,64,104.375000,P1,5,64,62.000000
RH,67,104.375000,P1,2,67,62.000000
RH,70,104.375000,P1,2,70,62.000000
RH,64,104.500000,P1,5,64,62.000000
RH,70,105.250000,P1,2,70,63.000000
RH,64,105.333333,P1,5,64,63.000000
RH,67,105.333333,P1,2,67,63.000000
RH,77,106.333333,P1,1,77,64.000000
RH,65,107.250000,P1,5,65,65.000000
RH,70,107.250000,P1,2,70,65.000000
RH,72,107.250000,P1,2,72,65.000000
RH,70,108.125000,P1,2,70,66.000000
RH,72,108.125000,P1,2,72,66.000000
RH,65,108.250000,P1,5,65,66.000000
RH,65,109.666667,P1,1,65,67.500000
LH,41,110.125000,P1,5,41,68.000000
RH,75,110.750000,P1,1,75,68.500000
LH,41,111.333333,P1,5,41,69.000000
RH,74,111.333333,P1,1,74,69.000000
RH,73,112.125000,P1,1,73,69.750000
RH,73,112.375000,P1,1,73,70.000000
LH,46,113.125000,P1,5,46,71.000000
RH,65,113.125000,P1,2,65,71.000000
RH,69,113.125000,P1,2,69,71.000000
RH,63,113.250000,P1,2,63,71.000000
LH,46,114.125000,P1,5,46,72.000000
RH,63,114.125000,P1,2,63,72.000000
RH,65,114.125000,P1,2,65,72.000000
