hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,60,2.875000,P1,5,60,0.500000
RH,60,4.125000,P1,5,60,1.500000
RH,72,4.125000,P1,1,72,1.500000
RH,60,6.000000,P1,5,60,3.000000
RH,72,6.000000,P1,1,72,3.000000
LH,53,10.250000,P1,5,53,6.000000
RH,60,10.250000,P1,5,60,6.000000
RH,69,10.250000,P1,1,69,6.000000
RH,72,10.250000,P1,1,72,6.000000
LH,57,18.750000,P1,5,57,12.000000
LH,53,24.750000,P1,5,53,16.500000
LH,53,28.666667,P1,5,53,19.500000
LH,53,30.625000,P1,5,53,21.000000
LH,53,32.500000,P1,5,53,22.500000
LH,53,41.000000,P1,5,53,28.500000
RH,60,41.000000,P1,5,60,28.500000
RH,65,41.000000,P1,2,65,28.500000
LH,53,42.750000,P1,5,53,30.000000
RH,60,42.750000,P1,5,60,30.000000
RH,65,48.750000,P1,1,65,34.500000
LH,57,50.750000,P1,5,57,36.000000
LH,50,52.750000,P1,5,50,37.500000
LH,53,56.750000,P1,5,53,40.500000
LH,53,60.500000,P1,5,53,43.500000
LH,53,64.333333,P1,5,53,46.500000
LH,48,73.000000,P1,5,48,52.500000
LH,57,73.000000,P1,5,57,52.500000
RH,64,73.000000,P1,2,64,52.500000
LH,52,77.125000,P1,5,52,55.500000
RH,64,77.125000,P1,1,64,55.500000
RH,64,78.875000,P1,1,64,57.000000
LH,55,80.750000,P1,5,55,58.500000
LH,55,84.750000,P1,5,55,61.500000
RH,60,88.875000,P1,5,60,64.500000
RH,60,90.750000,P1,5,60,66.000000
RH,60,94.500000,P1,5,60,69.000000
RH,60,96.250000,P1,5,60,70.500000
LH,55,100.250000,P1,5,55,73.500000
RH,65,100.250000,P1,5,65,73.500000
LH,53,106.250000,P1,5,53,78.000000
RH,60,106.250000,P1,5,60,78.000000
LH,57,114.250000,P1,5,57,84.000000
RH,65,116.250000,P1,1,65,85.500000
LH,50,116.333333,P1,5,50,85.500000
LH,48,118.250000,P1,5,48,87.000000
LH,58,118.250000,P1,2,58,87.000000
LH,53,120.250000,P1,5,53,88.500000
