hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,60,2.875000,P1,5,60,0.500000
RH,60,4.250000,P1,5,60,1.500000
RH,72,4.250000,P1,1,72,1.500000
RH,60,6.500000,P1,5,60,3.000000
RH,72,6.500000,P1,1,72,3.000000
RH,60,9.500000,P1,5,60,4.500000
RH,72,9.500000,P1,1,72,4.500000
RH,72,12.000000,P1,1,72,6.000000
LH,53,12.125000,P1,5,53,6.000000
RH,60,12.125000,P1,5,60,6.000000
RH,69,12.125000,P1,1,69,6.000000
LH,53,16.750000,P1,5,53,9.000000
RH,60,16.750000,P1,5,60,9.000000
RH,70,16.750000,P1,2,70,9.000000
LH,57,21.250000,P1,5,57,12.000000
LH,50,23.500000,P1,5,50,13.500000
RH,65,23.500000,P1,1,65,13.500000
LH,53,29.000000,P1,5,53,16.500000
LH,53,31.333333,P1,5,53,18.000000
LH,53,33.375000,P1,5,53,19.500000
LH,53,35.666667,P1,5,53,21.000000
LH,53,37.875000,P1,5,53,22.500000
LH,53,49.500000,P1,5,53,28.500000
RH,65,49.500000,P1,2,65,28.500000
RH,69,49.500000,P1,2,69,28.500000
LH,53,51.750000,P1,5,53,30.000000
RH,60,51.750000,P1,5,60,30.000000
LH,53,54.000000,P1,5,53,31.500000
RH,67,54.000000,P1,1,67,31.500000
RH,65,59.125000,P1,1,65,34.500000
LH,57,61.375000,P1,5,57,36.000000
LH,50,64.125000,P1,5,50,37.500000
RH,65,64.125000,P1,1,65,37.500000
LH,53,69.750000,P1,5,53,40.500000
LH,53,72.125000,P1,5,53,42.000000
LH,53,74.375000,P1,5,53,43.500000
LH,53,76.666667,P1,5,53,45.000000
LH,53,79.000000,P1,5,53,46.500000
LH,48,91.000000,P1,5,48,52.500000
LH,57,91.000000,P1,5,57,52.500000
RH,64,91.000000,P1,2,64,52.500000
LH,52,96.250000,P1,5,52,55.500000
LH,45,98.750000,P1,5,45,57.000000
RH,60,98.750000,P1,1,60,57.000000
RH,67,101.375000,P1,1,67,58.500000
LH,48,101.500000,P1,5,48,58.500000
RH,64,101.500000,P1,1,64,58.500000
LH,55,107.875000,P1,5,55,61.500000
RH,67,107.875000,P1,1,67,61.500000
RH,60,114.333333,P1,5,60,64.500000
RH,60,116.500000,P1,5,60,66.000000
RH,60,118.625000,P1,5,60,67.500000
RH,60,120.875000,P1,5,60,69.000000
RH,60,123.125000,P1,5,60,70.500000
LH,55,129.333333,P1,5,55,73.500000
RH,65,129.375000,P1,5,65,73.500000
RH,69,139.000000,P1,1,69,78.000000
RH,60,139.125000,P1,5,60,78.000000
LH,53,141.500000,P1,5,53,79.500000
RH,60,141.500000,P1,5,60,79.500000
LH,57,148.625000,P1,5,57,84.000000
LH,50,151.125000,P1,5,50,85.500000
RH,65,151.125000,P1,1,65,85.500000
LH,53,156.875000,P1,5,53,88.500000
LH,53,159.250000,P1,5,53,90.000000
LH,53,161.333333,P1,5,53,91.500000
LH,53,163.625000,P1,5,53,93.000000
LH,53,165.875000,P1,5,53,94.500000
LH,48,174.500000,P1,5,48,99.000000
LH,57,174.500000,P1,5,57,99.000000
RH,64,174.500000,P1,2,64,99.000000
LH,57,176.875000,P1,5,57,100.500000
LH,57,179.125000,P1,5,57,102.000000
LH,57,181.125000,P1,5,57,103.500000
LH,57,183.333333,P1,5,57,105.000000
LH,57,185.500000,P1,5,57,106.500000
RH,62,191.250000,P1,2,62,109.500000
LH,42,197.125000,P1,5,42,112.500000
RH,63,197.125000,P1,2,63,112.500000
LH,58,201.625000,P1,2,58,115.500000
LH,42,207.333333,P1,5,42,118.500000
RH,63,207.333333,P1,2,63,118.500000
RH,62,210.000000,P1,1,62,120.000000
RH,67,210.000000,P1,1,67,120.000000
RH,64,212.500000,P1,2,64,121.500000
LH,36,217.250000,P1,6,36,124.500000
LH,58,217.250000,P1,2,58,124.500000
RH,64,217.250000,P1,2,64,124.500000
LH,48,227.500000,P1,5,48,130.500000
RH,69,252.500000,P1,1,69,139.750000
LH,45,269.625000,P1,5,45,152.000000
LH,48,272.875000,P1,5,48,156.500000
LH,38,275.500000,P1,5,38,160.000000
LH,50,275.500000,P1,5,50,160.000000
RH,66,275.500000,P1,1,66,160.000000
RH,66,275.875000,P1,1,66,160.500000
LH,43,288.250000,P1,5,43,176.000000
RH,62,292.625000,P1,1,62,182.000000
LH,28,293.625000,P1,5,28,183.000000
LH,40,293.625000,P1,5,40,183.000000
LH,43,294.000000,P1,5,43,183.500000
LH,31,294.125000,P1,5,31,183.500000
LH,33,294.500000,P1,5,33,184.000000
LH,45,294.500000,P1,5,45,184.000000
LH,34,294.750000,P1,5,34,184.500000
LH,46,294.750000,P1,5,46,184.500000
RH,62,295.333333,P1,1,62,185.000000
RH,62,297.125000,P1,1,62,187.500000
RH,69,298.625000,P1,1,69,189.000000
LH,55,298.666667,P1,5,55,189.000000
LH,57,298.666667,P1,5,57,189.000000
RH,61,298.666667,P1,5,61,189.000000
RH,64,298.666667,P1,1,64,189.000000
LH,44,299.125000,P1,6,44,189.500000
LH,45,299.333333,P1,6,45,189.750000
LH,47,299.500000,P1,6,47,190.000000
LH,49,299.750000,P1,6,49,190.250000
LH,50,299.875000,P1,6,50,190.500000
LH,57,300.000000,P1,5,57,190.500000
RH,62,300.000000,P1,1,62,190.500000
RH,69,300.000000,P1,1,69,190.500000
LH,52,300.375000,P1,6,52,191.250000
RH,64,301.125000,P1,1,64,192.000000
LH,36,303.250000,P1,5,36,195.000000
LH,48,303.250000,P1,5,48,195.000000
RH,72,303.250000,P1,1,72,195.000000
RH,60,303.333333,P1,1,60,195.000000
RH,64,303.333333,P1,1,64,195.000000
RH,67,303.333333,P1,1,67,195.000000
RH,70,303.333333,P1,1,70,195.000000
LH,47,303.666667,P1,5,47,195.500000
LH,48,303.875000,P1,5,48,195.750000
LH,50,304.000000,P1,5,50,196.000000
LH,52,304.250000,P1,5,52,196.250000
LH,53,304.333333,P1,5,53,196.500000
RH,72,304.333333,P1,1,72,196.500000
RH,60,304.375000,P1,1,60,196.500000
RH,65,304.375000,P1,1,65,196.500000
RH,68,304.375000,P1,1,68,196.500000
LH,55,304.500000,P1,5,55,196.750000
LH,56,304.666667,P1,5,56,197.000000
LH,55,304.875000,P1,5,55,197.250000
LH,53,305.000000,P1,5,53,197.500000
RH,67,305.500000,P1,1,67,198.000000
RH,70,305.500000,P1,1,70,198.000000
RH,68,306.500000,P1,1,68,199.500000
LH,52,307.375000,P1,5,52,200.750000
LH,39,307.666667,P1,5,39,201.000000
LH,51,307.666667,P1,5,51,201.000000
RH,63,307.666667,P1,1,63,201.000000
RH,67,307.666667,P1,1,67,201.000000
RH,75,307.666667,P1,1,75,201.000000
RH,73,307.750000,P1,1,73,201.000000
LH,51,308.375000,P1,5,51,201.750000
LH,53,308.500000,P1,5,53,202.000000
LH,55,308.625000,P1,5,55,202.250000
LH,56,308.875000,P1,5,56,202.500000
RH,63,308.875000,P1,1,63,202.500000
RH,71,308.875000,P1,1,71,202.500000
RH,75,308.875000,P1,1,75,202.500000
LH,58,309.000000,P1,5,58,202.750000
LH,59,309.125000,P1,5,59,203.000000
LH,58,309.333333,P1,5,58,203.250000
RH,75,309.500000,P1,1,75,203.500000
RH,75,309.875000,P1,1,75,204.000000
LH,40,312.250000,P1,5,40,207.000000
LH,47,313.125000,P1,5,47,207.750000
LH,56,313.375000,P1,5,56,208.250000
LH,59,313.625000,P1,5,59,208.500000
LH,56,313.750000,P1,5,56,208.750000
LH,39,317.750000,P1,5,39,213.000000
LH,39,318.375000,P1,5,39,213.750000
LH,41,318.625000,P1,5,41,214.000000
LH,43,318.750000,P1,5,43,214.250000
LH,44,318.875000,P1,5,44,214.500000
RH,71,318.875000,P1,1,71,214.500000
LH,46,319.125000,P1,5,46,214.750000
LH,47,319.250000,P1,5,47,215.000000
LH,49,319.375000,P1,5,49,215.250000
LH,51,319.625000,P1,5,51,215.500000
LH,52,319.750000,P1,5,52,215.750000
LH,39,320.125000,P1,5,39,216.000000
RH,70,320.125000,P1,1,70,216.000000
LH,38,320.500000,P1,5,38,216.500000
LH,39,320.666667,P1,5,39,216.750000
LH,41,320.875000,P1,5,41,217.000000
LH,43,321.000000,P1,5,43,217.250000
LH,44,321.250000,P1,5,44,217.500000
RH,68,321.250000,P1,1,68,217.500000
RH,71,321.250000,P1,1,71,217.500000
RH,80,321.250000,P1,1,80,217.500000
LH,46,321.333333,P1,5,46,217.750000
LH,47,321.500000,P1,5,47,218.000000
LH,51,321.875000,P1,5,51,218.500000
LH,52,322.125000,P1,5,52,218.750000
LH,39,322.333333,P1,5,39,219.000000
RH,70,322.375000,P1,1,70,219.000000
LH,38,322.750000,P1,5,38,219.500000
LH,39,322.875000,P1,5,39,219.750000
LH,41,323.125000,P1,5,41,220.000000
LH,43,323.250000,P1,5,43,220.250000
LH,44,323.500000,P1,5,44,220.500000
RH,68,323.500000,P1,1,68,220.500000
LH,46,323.625000,P1,5,46,220.750000
LH,47,323.750000,P1,5,47,221.000000
LH,51,324.250000,P1,5,51,221.500000
LH,52,324.375000,P1,5,52,221.750000
LH,39,324.666667,P1,5,39,222.000000
LH,38,325.125000,P1,5,38,222.500000
LH,39,325.250000,P1,5,39,222.750000
LH,41,325.375000,P1,5,41,223.000000
LH,43,325.500000,P1,5,43,223.250000
LH,44,325.750000,P1,5,44,223.500000
RH,68,325.750000,P1,1,68,223.500000
LH,46,325.875000,P1,5,46,223.750000
LH,47,326.125000,P1,5,47,224.000000
LH,39,327.000000,P1,5,39,225.000000
LH,38,327.500000,P1,5,38,225.500000
LH,39,327.500000,P1,5,39,225.750000
LH,41,327.666667,P1,5,41,226.000000
LH,43,327.875000,P1,5,43,226.250000
LH,44,328.000000,P1,5,44,226.500000
RH,68,328.125000,P1,1,68,226.500000
LH,46,328.250000,P1,5,46,226.750000
LH,47,328.375000,P1,5,47,227.000000
LH,52,329.000000,P1,5,52,227.750000
LH,39,329.250000,P1,5,39,228.000000
RH,61,329.250000,P1,1,61,228.000000
LH,38,329.666667,P1,5,38,228.500000
LH,39,329.875000,P1,5,39,228.750000
LH,41,330.000000,P1,5,41,229.000000
LH,43,330.125000,P1,5,43,229.250000
LH,44,330.333333,P1,5,44,229.500000
RH,68,330.333333,P1,1,68,229.500000
LH,59,330.375000,P1,1,59,229.500000
LH,46,330.500000,P1,5,46,229.750000
LH,47,330.666667,P1,5,47,230.000000
LH,51,331.000000,P1,5,51,230.500000
LH,52,331.250000,P1,5,52,230.750000
LH,39,331.500000,P1,6,39,231.000000
LH,58,331.625000,P1,1,58,231.000000
RH,61,331.625000,P1,1,61,231.000000
LH,38,332.000000,P1,6,38,231.500000
LH,39,332.250000,P1,6,39,231.750000
LH,41,332.375000,P1,6,41,232.000000
LH,43,332.500000,P1,6,43,232.250000
LH,44,332.666667,P1,6,44,232.500000
LH,59,332.666667,P1,5,59,232.500000
LH,46,332.875000,P1,6,46,232.750000
LH,47,333.125000,P1,6,47,233.000000
LH,49,333.250000,P1,6,49,233.250000
LH,51,333.375000,P1,6,51,233.500000
LH,52,333.625000,P1,6,52,233.750000
LH,39,333.875000,P1,6,39,234.000000
LH,58,333.875000,P1,5,58,234.000000
LH,59,335.000000,P1,5,59,235.500000
RH,64,335.000000,P1,1,64,235.500000
LH,56,335.125000,P1,5,56,235.500000
LH,55,336.375000,P1,5,55,237.000000
LH,58,336.375000,P1,5,58,237.000000
RH,63,336.375000,P1,1,63,237.000000
RH,62,337.333333,P1,1,62,238.000000
RH,63,337.500000,P1,1,63,238.250000
RH,64,337.750000,P1,1,64,238.500000
LH,56,337.875000,P1,5,56,238.500000
LH,59,337.875000,P1,5,59,238.500000
RH,66,338.000000,P1,1,66,238.750000
RH,68,338.250000,P1,1,68,239.000000
RH,70,338.375000,P1,1,70,239.250000
RH,71,338.625000,P1,1,71,239.500000
RH,64,338.875000,P1,1,64,239.750000
RH,63,339.000000,P1,1,63,240.000000
LH,55,339.125000,P1,5,55,240.000000
LH,58,339.125000,P1,5,58,240.000000
RH,64,340.625000,P1,1,64,241.500000
RH,66,340.750000,P1,1,66,241.750000
RH,69,357.250000,P1,1,69,250.500000
LH,53,357.375000,P1,5,53,250.500000
RH,60,357.375000,P1,5,60,250.500000
RH,60,362.125000,P1,1,60,253.500000
LH,58,363.666667,P1,1,58,254.500000
RH,65,363.666667,P1,1,65,254.500000
LH,48,366.000000,P1,5,48,256.000000
RH,60,366.750000,P1,1,60,256.500000
LH,48,369.375000,P1,5,48,258.000000
LH,53,372.750000,P1,5,53,259.500000
RH,60,372.750000,P1,1,60,259.500000
RH,69,372.750000,P1,1,69,259.500000
RH,70,374.250000,P1,1,70,260.500000
LH,53,374.333333,P1,5,53,260.500000
LH,48,375.000000,P1,5,48,261.000000
LH,53,375.000000,P1,5,53,261.000000
RH,60,375.000000,P1,2,60,261.000000
RH,69,375.000000,P1,1,69,261.000000
LH,46,376.375000,P1,5,46,262.000000
LH,53,376.375000,P1,5,53,262.000000
RH,62,376.375000,P1,2,62,262.000000
RH,65,376.375000,P1,1,65,262.000000
LH,48,379.375000,P1,5,48,264.000000
LH,57,390.125000,P1,5,57,267.000000
RH,64,390.125000,P1,2,64,267.000000
RH,72,390.125000,P1,1,72,267.000000
LH,50,391.500000,P1,5,50,268.000000
LH,57,391.500000,P1,5,57,268.000000
RH,65,391.500000,P1,2,65,268.000000
RH,69,391.500000,P1,1,69,268.000000
LH,52,392.250000,P1,5,52,268.500000
RH,72,392.250000,P1,1,72,268.500000
LH,57,392.333333,P1,5,57,268.500000
RH,64,392.333333,P1,1,64,268.500000
RH,74,393.500000,P1,1,74,269.500000
LH,53,393.625000,P1,5,53,269.500000
LH,57,393.625000,P1,5,57,269.500000
RH,62,393.625000,P1,1,62,269.500000
RH,72,394.250000,P1,1,72,270.000000
LH,52,394.375000,P1,5,52,270.000000
LH,57,394.375000,P1,5,57,270.000000
RH,64,394.375000,P1,2,64,270.000000
LH,52,396.500000,P1,5,52,271.500000
RH,64,396.500000,P1,2,64,271.500000
RH,62,397.750000,P1,2,62,272.500000
RH,64,398.625000,P1,2,64,273.000000
RH,69,401.875000,P1,2,69,274.500000
RH,69,407.750000,P1,1,69,277.500000
RH,69,412.333333,P1,2,69,280.500000
RH,69,417.625000,P1,1,69,283.500000
LH,48,425.250000,P1,6,48,288.000000
LH,57,425.250000,P1,5,57,288.000000
RH,63,425.250000,P1,1,63,288.000000
