hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,63,2.000000,P1,1,63,0.000000
RH,62,3.875000,P1,1,62,1.000000
RH,65,3.875000,P1,1,65,1.000000
RH,61,4.500000,P1,5,61,1.500000
RH,63,4.500000,P1,1,63,1.500000
RH,67,4.500000,P1,1,67,1.500000
RH,60,5.125000,P1,5,60,2.000000
RH,63,5.125000,P1,1,63,2.000000
RH,68,5.125000,P1,1,68,2.000000
LH,55,5.666667,P1,5,55,2.500000
RH,63,5.666667,P1,1,63,2.500000
RH,70,5.666667,P1,1,70,2.500000
LH,56,6.333333,P1,5,56,3.000000
RH,63,6.333333,P1,1,63,3.000000
RH,72,6.333333,P1,1,72,3.000000
LH,51,8.000000,P1,5,51,4.000000
LH,59,8.000000,P1,5,59,4.000000
RH,62,8.000000,P1,5,62,4.000000
RH,65,8.000000,P1,1,65,4.000000
RH,68,8.000000,P1,1,68,4.000000
RH,77,8.000000,P1,1,77,4.000000
RH,60,9.000000,P1,5,60,4.500000
RH,63,9.000000,P1,1,63,4.500000
RH,75,9.000000,P1,1,75,4.500000
RH,68,9.125000,P1,1,68,4.500000
RH,61,12.625000,P1,5,61,6.000000
RH,63,12.625000,P1,2,63,6.000000
RH,67,12.625000,P1,2,67,6.000000
LH,58,14.000000,P1,5,58,7.000000
LH,58,14.500000,P1,5,58,7.500000
RH,63,14.500000,P1,2,63,7.500000
RH,67,14.500000,P1,2,67,7.500000
RH,73,14.500000,P1,2,73,7.500000
LH,57,15.125000,P1,5,57,8.000000
LH,58,15.666667,P1,5,58,8.500000
RH,60,16.500000,P1,5,60,9.000000
RH,63,16.500000,P1,1,63,9.000000
RH,68,16.500000,P1,1,68,9.000000
RH,72,16.500000,P1,1,72,9.000000
LH,56,17.375000,P1,5,56,9.500000
LH,51,18.875000,P1,5,51,10.250000
LH,51,19.250000,P1,5,51,10.500000
LH,39,23.000000,P1,5,39,12.000000
LH,55,23.000000,P1,3,55,12.000000
RH,61,23.000000,P1,2,61,12.000000
RH,63,23.000000,P1,1,63,12.000000
LH,41,24.500000,P1,5,41,13.000000
LH,43,25.125000,P1,5,43,13.500000
LH,58,25.125000,P1,2,58,13.500000
LH,44,25.625000,P1,5,44,14.000000
RH,60,25.625000,P1,2,60,14.000000
LH,46,26.250000,P1,5,46,14.500000
LH,55,26.250000,P1,2,55,14.500000
LH,48,26.875000,P1,5,48,15.000000
LH,56,26.875000,P1,1,56,15.000000
LH,53,28.125000,P1,5,53,16.000000
LH,56,28.125000,P1,1,56,16.000000
LH,59,28.125000,P1,1,59,16.000000
RH,62,28.125000,P1,1,62,16.000000
LH,51,29.000000,P1,5,51,16.500000
RH,60,29.000000,P1,1,60,16.500000
RH,63,29.000000,P1,1,63,16.500000
RH,68,32.250000,P1,1,68,18.500000
RH,70,32.750000,P1,1,70,19.000000
RH,61,32.875000,P1,6,61,19.000000
RH,63,32.875000,P1,6,63,19.000000
RH,63,33.375000,P1,6,63,19.500000
RH,68,33.375000,P1,6,68,19.500000
RH,72,33.375000,P1,1,72,19.500000
LH,39,34.666667,P1,5,39,20.500000
RH,70,34.666667,P1,1,70,20.500000
RH,61,34.750000,P1,1,61,20.500000
RH,63,34.750000,P1,1,63,20.500000
LH,44,35.500000,P1,5,44,21.000000
RH,63,35.500000,P1,1,63,21.000000
RH,68,35.500000,P1,1,68,21.000000
RH,72,35.500000,P1,1,72,21.000000
LH,51,37.000000,P1,5,51,22.000000
RH,63,37.000000,P1,1,63,22.000000
RH,68,37.000000,P1,1,68,22.000000
RH,60,37.125000,P1,1,60,22.000000
LH,56,38.000000,P1,5,56,22.500000
RH,60,38.000000,P1,1,60,22.500000
RH,63,38.000000,P1,1,63,22.500000
RH,68,38.000000,P1,1,68,22.500000
LH,32,41.625000,P1,5,32,24.000000
LH,44,41.625000,P1,5,44,24.000000
RH,80,41.625000,P1,1,80,24.000000
RH,92,41.625000,P1,1,92,24.000000
