hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,67,2.000000,P1,1,67,0.000000
RH,79,4.875000,P1,1,79,1.000000
RH,67,5.000000,P1,1,67,1.000000
RH,79,6.250000,P1,1,79,1.500000
RH,64,6.333333,P1,5,64,1.500000
RH,72,9.500000,P1,2,72,2.750000
RH,79,10.000000,P1,1,79,3.000000
RH,62,10.125000,P1,5,62,3.000000
RH,70,10.500000,P1,2,70,3.250000
RH,60,11.125000,P1,5,60,3.500000
RH,79,13.625000,P1,1,79,4.500000
LH,41,13.666667,P1,5,41,4.500000
RH,69,16.666667,P1,2,69,5.750000
RH,72,16.666667,P1,2,72,5.750000
RH,60,16.750000,P1,5,60,5.750000
LH,43,17.250000,P1,5,43,6.000000
RH,76,17.250000,P1,1,76,6.000000
LH,55,17.875000,P1,5,55,6.250000
RH,67,17.875000,P1,2,67,6.250000
RH,71,17.875000,P1,2,71,6.250000
RH,67,19.125000,P1,2,67,6.750000
LH,48,21.000000,P1,5,48,7.500000
RH,76,21.000000,P1,1,76,7.500000
RH,64,21.125000,P1,2,64,7.500000
RH,65,23.250000,P1,2,65,8.250000
RH,72,23.250000,P1,2,72,8.250000
LH,57,23.375000,P1,5,57,8.250000
LH,55,24.000000,P1,5,55,8.500000
RH,64,24.000000,P1,2,64,8.500000
RH,72,24.666667,P1,2,72,8.750000
RH,67,24.750000,P1,2,67,8.750000
RH,70,29.125000,P1,2,70,10.250000
RH,72,29.125000,P1,2,72,10.250000
RH,79,29.750000,P1,1,79,10.500000
LH,41,29.875000,P1,5,41,10.500000
RH,76,32.250000,P1,1,76,11.500000
RH,60,32.750000,P1,5,60,11.750000
RH,69,32.750000,P1,2,69,11.750000
RH,72,32.750000,P1,2,72,11.750000
RH,76,33.250000,P1,1,76,12.000000
LH,43,33.333333,P1,5,43,12.000000
LH,55,33.875000,P1,5,55,12.250000
RH,67,33.875000,P1,2,67,12.250000
RH,71,33.875000,P1,2,71,12.250000
LH,53,34.500000,P1,5,53,12.500000
LH,59,34.500000,P1,5,59,12.500000
LH,55,35.125000,P1,5,55,12.750000
RH,76,37.000000,P1,1,76,13.500000
LH,48,37.125000,P1,5,48,13.500000
RH,64,37.125000,P1,2,64,13.500000
LH,55,38.000000,P1,5,55,13.750000
RH,67,38.000000,P1,2,67,13.750000
RH,64,38.625000,P1,2,64,14.000000
RH,60,38.666667,P1,5,60,14.000000
LH,57,39.333333,P1,5,57,14.250000
RH,76,41.875000,P1,1,76,15.000000
LH,43,42.000000,P1,5,43,15.000000
LH,59,43.500000,P1,5,59,15.500000
RH,74,43.500000,P1,1,74,15.500000
LH,53,43.625000,P1,5,53,15.500000
LH,55,44.250000,P1,5,55,15.750000
RH,67,44.250000,P1,2,67,15.750000
RH,71,44.250000,P1,2,71,15.750000
RH,76,46.625000,P1,1,76,16.500000
LH,48,46.666667,P1,5,48,16.500000
RH,64,46.666667,P1,2,64,16.500000
RH,67,50.625000,P1,2,67,17.750000
RH,72,50.625000,P1,2,72,17.750000
RH,64,51.250000,P1,2,64,18.000000
RH,60,51.333333,P1,6,60,18.000000
RH,64,58.625000,P1,2,64,19.500000
LH,55,58.666667,P1,5,55,19.500000
LH,41,73.750000,P1,5,41,22.500000
RH,76,77.625000,P1,1,76,24.000000
LH,53,77.666667,P1,5,53,24.000000
RH,70,78.750000,P1,1,70,24.500000
RH,61,78.875000,P1,5,61,24.500000
RH,64,78.875000,P1,5,64,24.500000
RH,67,78.875000,P1,5,67,24.500000
RH,73,79.750000,P1,1,73,25.000000
LH,58,79.875000,P1,5,58,25.000000
RH,61,80.000000,P1,5,61,25.000000
RH,64,80.000000,P1,5,64,25.000000
LH,41,81.000000,P1,5,41,25.500000
RH,77,83.333333,P1,1,77,26.500000
RH,65,83.375000,P1,5,65,26.500000
RH,76,84.375000,P1,1,76,27.000000
LH,53,84.500000,P1,5,53,27.000000
RH,70,85.500000,P1,1,70,27.500000
RH,61,85.625000,P1,5,61,27.500000
RH,64,85.625000,P1,5,64,27.500000
RH,67,85.625000,P1,5,67,27.500000
RH,73,86.625000,P1,1,73,28.000000
LH,58,86.750000,P1,5,58,28.000000
RH,61,86.750000,P1,5,61,28.000000
RH,64,86.750000,P1,5,64,28.000000
RH,72,89.875000,P1,1,72,29.500000
RH,73,90.250000,P1,1,73,29.750000
LH,51,90.750000,P1,5,51,30.000000
RH,75,90.750000,P1,1,75,30.000000
RH,75,91.750000,P1,1,75,30.500000
RH,60,91.875000,P1,5,60,30.500000
RH,68,91.875000,P1,5,68,30.500000
LH,51,92.750000,P1,5,51,31.000000
LH,39,93.875000,P1,5,39,31.500000
RH,75,94.000000,P1,1,75,31.500000
RH,70,96.375000,P1,1,70,32.500000
LH,55,96.500000,P1,5,55,32.500000
RH,61,96.500000,P1,5,61,32.500000
RH,63,96.500000,P1,5,63,32.500000
RH,72,96.875000,P1,1,72,32.750000
RH,68,97.625000,P1,1,68,33.000000
LH,44,97.666667,P1,5,44,33.000000
LH,51,100.125000,P1,5,51,34.000000
LH,56,100.125000,P1,5,56,34.000000
RH,60,100.125000,P1,5,60,34.000000
LH,56,101.125000,P1,5,56,34.500000
RH,60,101.125000,P1,5,60,34.500000
RH,65,101.125000,P1,5,65,34.500000
LH,56,102.250000,P1,5,56,35.000000
RH,60,102.250000,P1,5,60,35.000000
RH,63,102.250000,P1,5,63,35.000000
LH,32,105.000000,P1,5,32,36.000000
LH,56,108.500000,P1,5,56,37.500000
RH,79,108.500000,P1,1,79,37.500000
RH,70,109.500000,P1,5,70,38.000000
RH,73,109.500000,P1,1,73,38.000000
RH,64,109.625000,P1,5,64,38.000000
RH,67,109.625000,P1,5,67,38.000000
RH,76,110.625000,P1,1,76,38.500000
RH,61,110.750000,P1,5,61,38.500000
RH,64,110.750000,P1,5,64,38.500000
RH,67,110.750000,P1,5,67,38.500000
LH,44,111.750000,P1,5,44,39.000000
RH,80,114.000000,P1,1,80,40.000000
RH,68,114.125000,P1,5,68,40.000000
RH,79,115.000000,P1,1,79,40.500000
LH,56,115.125000,P1,5,56,40.500000
RH,64,116.125000,P1,5,64,41.000000
