hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,25,3.000000,P1,5,25,0.000000
RH,71,5.500000,P1,5,71,1.500000
RH,75,5.500000,P1,2,75,1.500000
RH,80,5.500000,P1,1,80,1.500000
RH,61,8.750000,P1,5,61,4.000000
RH,77,8.750000,P1,2,77,4.000000
RH,73,9.375000,P1,2,73,4.500000
RH,70,9.500000,P1,5,70,4.500000
RH,66,10.250000,P1,5,66,5.000000
RH,75,10.250000,P1,2,75,5.000000
RH,78,10.250000,P1,1,78,5.000000
RH,61,11.000000,P1,5,61,5.500000
RH,80,11.000000,P1,1,80,5.500000
RH,70,11.125000,P1,2,70,5.500000
RH,68,11.666667,P1,5,68,6.000000
RH,71,11.666667,P1,2,71,6.000000
RH,78,11.666667,P1,1,78,6.000000
RH,65,12.333333,P1,5,65,6.500000
RH,77,12.333333,P1,1,77,6.500000
RH,73,12.375000,P1,2,73,6.500000
LH,49,13.000000,P1,5,49,7.000000
RH,68,13.000000,P1,2,68,7.000000
RH,78,13.000000,P1,1,78,7.000000
RH,66,13.750000,P1,5,66,7.500000
RH,70,13.750000,P1,2,70,7.500000
RH,75,13.750000,P1,1,75,7.500000
RH,63,14.375000,P1,5,63,8.000000
RH,71,14.375000,P1,2,71,8.000000
LH,49,15.000000,P1,5,49,8.500000
RH,66,15.000000,P1,2,66,8.500000
RH,77,15.000000,P1,1,77,8.500000
RH,65,15.666667,P1,5,65,9.000000
RH,68,15.666667,P1,2,68,9.000000
RH,75,15.666667,P1,1,75,9.000000
RH,73,16.375000,P1,1,73,9.500000
RH,61,16.500000,P1,5,61,9.500000
RH,70,16.500000,P1,2,70,9.500000
LH,49,17.000000,P1,5,49,10.000000
RH,65,17.000000,P1,2,65,10.000000
RH,75,17.000000,P1,1,75,10.000000
RH,63,17.750000,P1,5,63,10.500000
RH,71,17.750000,P1,1,71,10.500000
RH,66,17.875000,P1,2,66,10.500000
LH,59,18.500000,P1,5,59,11.000000
RH,68,18.500000,P1,2,68,11.000000
RH,75,18.500000,P1,1,75,11.000000
LH,49,19.125000,P1,5,49,11.500000
RH,63,19.125000,P1,2,63,11.500000
RH,73,19.125000,P1,1,73,11.500000
RH,61,20.000000,P1,5,61,12.000000
RH,65,20.000000,P1,2,65,12.000000
RH,71,20.000000,P1,1,71,12.000000
LH,58,20.750000,P1,5,58,12.500000
RH,66,20.750000,P1,2,66,12.500000
RH,70,20.750000,P1,1,70,12.500000
LH,37,21.500000,P1,5,37,13.000000
RH,61,21.500000,P1,2,61,13.000000
RH,71,21.500000,P1,1,71,13.000000
LH,59,22.500000,P1,5,59,13.500000
RH,63,22.500000,P1,2,63,13.500000
RH,68,22.500000,P1,1,68,13.500000
LH,42,29.375000,P1,5,42,18.000000
LH,56,31.125000,P1,5,56,19.000000
LH,54,31.875000,P1,5,54,19.500000
LH,56,32.125000,P1,5,56,19.750000
LH,58,32.500000,P1,5,58,20.000000
LH,49,33.250000,P1,5,49,20.500000
LH,42,33.875000,P1,5,42,21.000000
LH,49,34.500000,P1,5,49,21.500000
LH,56,35.125000,P1,5,56,22.000000
LH,54,35.750000,P1,5,54,22.500000
LH,56,36.125000,P1,5,56,22.750000
LH,58,36.500000,P1,5,58,23.000000
RH,61,37.125000,P1,5,61,23.500000
LH,42,37.750000,P1,5,42,24.000000
LH,49,38.375000,P1,5,49,24.500000
LH,56,39.000000,P1,5,56,25.000000
LH,54,39.625000,P1,5,54,25.500000
LH,56,39.875000,P1,5,56,25.750000
LH,58,40.250000,P1,5,58,26.000000
LH,49,41.000000,P1,5,49,26.500000
LH,42,41.500000,P1,5,42,27.000000
LH,49,42.250000,P1,5,49,27.500000
LH,56,42.875000,P1,5,56,28.000000
LH,54,43.500000,P1,5,54,28.500000
LH,56,43.750000,P1,5,56,28.750000
LH,58,44.125000,P1,5,58,29.000000
RH,61,44.750000,P1,5,61,29.500000
LH,42,45.500000,P1,5,42,30.000000
LH,49,46.125000,P1,5,49,30.500000
LH,56,46.750000,P1,5,56,31.000000
LH,54,47.666667,P1,5,54,31.500000
RH,70,47.666667,P1,1,70,31.500000
RH,73,47.666667,P1,1,73,31.500000
LH,56,48.125000,P1,5,56,31.750000
LH,58,48.500000,P1,5,58,32.000000
LH,49,49.125000,P1,5,49,32.500000
LH,42,49.666667,P1,5,42,33.000000
LH,49,50.500000,P1,5,49,33.500000
RH,69,50.500000,P1,1,69,33.500000
RH,72,50.500000,P1,1,72,33.500000
LH,56,51.333333,P1,5,56,34.000000
RH,70,51.333333,P1,1,70,34.000000
RH,73,51.333333,P1,1,73,34.000000
LH,54,52.000000,P1,5,54,34.500000
RH,75,52.000000,P1,1,75,34.500000
RH,71,52.125000,P1,1,71,34.500000
LH,56,52.250000,P1,5,56,34.750000
LH,58,52.625000,P1,5,58,35.000000
RH,70,52.625000,P1,1,70,35.000000
