hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,61,5.375000,P1,5,61,1.000000
RH,65,5.375000,P1,5,65,1.000000
RH,60,6.750000,P1,5,60,1.500000
RH,66,6.750000,P1,5,66,1.500000
LH,56,8.333333,P1,5,56,2.000000
LH,37,11.250000,P1,5,37,3.000000
LH,56,12.875000,P1,5,56,3.500000
RH,61,14.125000,P1,5,61,4.000000
RH,65,14.125000,P1,5,65,4.000000
RH,66,15.500000,P1,5,66,4.500000
RH,60,15.625000,P1,5,60,4.500000
LH,37,21.375000,P1,5,37,6.000000
RH,77,21.375000,P1,1,77,6.000000
RH,61,24.250000,P1,5,61,7.000000
RH,65,24.250000,P1,5,65,7.000000
RH,60,25.500000,P1,5,60,7.500000
RH,66,25.500000,P1,5,66,7.500000
RH,75,25.500000,P1,1,75,7.500000
RH,80,27.000000,P1,1,80,8.000000
RH,77,28.375000,P1,1,77,8.500000
RH,75,29.625000,P1,1,75,9.000000
LH,37,29.666667,P1,5,37,9.000000
LH,56,30.875000,P1,5,56,9.500000
RH,77,30.875000,P1,1,77,9.500000
RH,61,32.125000,P1,5,61,10.000000
RH,65,32.125000,P1,5,65,10.000000
RH,73,32.125000,P1,1,73,10.000000
RH,60,33.375000,P1,5,60,10.500000
RH,66,33.375000,P1,5,66,10.500000
RH,70,33.375000,P1,1,70,10.500000
LH,56,34.750000,P1,5,56,11.000000
RH,72,34.750000,P1,1,72,11.000000
RH,75,36.000000,P1,1,75,11.500000
RH,68,37.500000,P1,1,68,12.000000
LH,37,37.625000,P1,5,37,12.000000
RH,73,38.875000,P1,1,73,12.500000
LH,56,39.000000,P1,5,56,12.500000
RH,61,40.000000,P1,5,61,13.000000
RH,65,40.000000,P1,5,65,13.000000
RH,60,41.250000,P1,5,60,13.500000
RH,66,41.250000,P1,5,66,13.500000
RH,75,41.250000,P1,1,75,13.500000
RH,78,42.500000,P1,1,78,14.000000
LH,56,42.625000,P1,5,56,14.000000
RH,82,43.666667,P1,1,82,14.500000
LH,37,45.125000,P1,5,37,15.000000
RH,80,45.125000,P1,1,80,15.000000
LH,56,46.500000,P1,5,56,15.500000
RH,78,46.500000,P1,1,78,15.500000
RH,61,47.625000,P1,5,61,16.000000
RH,77,47.625000,P1,1,77,16.000000
RH,65,47.666667,P1,5,65,16.000000
RH,60,48.875000,P1,5,60,16.500000
RH,66,48.875000,P1,5,66,16.500000
RH,75,48.875000,P1,1,75,16.500000
LH,56,50.125000,P1,5,56,17.000000
RH,73,50.125000,P1,1,73,17.000000
RH,75,51.375000,P1,1,75,17.500000
RH,72,51.500000,P1,2,72,17.500000
RH,77,52.750000,P1,1,77,18.000000
LH,37,52.875000,P1,5,37,18.000000
RH,73,52.875000,P1,2,73,18.000000
RH,72,54.000000,P1,2,72,18.500000
LH,56,54.125000,P1,5,56,18.500000
RH,61,55.250000,P1,5,61,19.000000
RH,65,55.250000,P1,5,65,19.000000
RH,70,55.250000,P1,2,70,19.000000
RH,72,56.375000,P1,2,72,19.500000
RH,75,56.375000,P1,1,75,19.500000
RH,66,56.500000,P1,5,66,19.500000
RH,80,57.625000,P1,1,80,20.000000
LH,56,57.750000,P1,5,56,20.000000
RH,70,57.750000,P1,2,70,20.000000
RH,68,58.875000,P1,2,68,20.500000
RH,77,58.875000,P1,1,77,20.500000
LH,37,60.250000,P1,5,37,21.000000
RH,75,60.250000,P1,1,75,21.000000
RH,70,60.333333,P1,2,70,21.000000
LH,56,61.500000,P1,5,56,21.500000
RH,68,61.500000,P1,2,68,21.500000
RH,77,61.500000,P1,1,77,21.500000
RH,61,62.625000,P1,5,61,22.000000
RH,73,62.625000,P1,1,73,22.000000
RH,65,62.666667,P1,2,65,22.000000
RH,66,63.875000,P1,2,66,22.500000
RH,70,63.875000,P1,1,70,22.500000
RH,63,64.000000,P1,5,63,22.500000
LH,56,65.250000,P1,5,56,23.000000
RH,65,65.250000,P1,2,65,23.000000
RH,72,65.250000,P1,1,72,23.000000
RH,63,66.375000,P1,2,63,23.500000
RH,75,66.375000,P1,1,75,23.500000
LH,37,67.875000,P1,5,37,24.000000
RH,66,67.875000,P1,2,66,24.000000
RH,68,67.875000,P1,1,68,24.000000
RH,73,69.125000,P1,1,73,24.500000
LH,56,69.250000,P1,5,56,24.500000
RH,65,69.250000,P1,2,65,24.500000
RH,61,70.250000,P1,5,61,25.000000
RH,65,70.250000,P1,5,65,25.000000
RH,70,70.250000,P1,2,70,25.000000
RH,66,71.375000,P1,5,66,25.500000
RH,72,71.375000,P1,2,72,25.500000
RH,75,71.375000,P1,1,75,25.500000
RH,70,72.500000,P1,2,70,26.000000
RH,78,72.500000,P1,1,78,26.000000
LH,56,72.625000,P1,5,56,26.000000
RH,68,73.750000,P1,2,68,26.500000
RH,82,73.750000,P1,1,82,26.500000
LH,37,75.125000,P1,5,37,27.000000
RH,77,75.125000,P1,2,77,27.000000
RH,80,75.125000,P1,1,80,27.000000
LH,56,76.750000,P1,5,56,27.500000
RH,72,76.750000,P1,2,72,27.500000
RH,85,76.750000,P1,1,85,27.500000
RH,61,78.125000,P1,5,61,28.000000
RH,65,78.125000,P1,5,65,28.000000
RH,73,78.125000,P1,2,73,28.000000
RH,82,78.125000,P1,1,82,28.000000
RH,66,79.333333,P1,5,66,28.500000
RH,75,79.333333,P1,2,75,28.500000
RH,78,79.333333,P1,1,78,28.500000
RH,70,80.625000,P1,2,70,29.000000
RH,84,80.625000,P1,1,84,29.000000
LH,56,80.750000,P1,5,56,29.000000
RH,72,81.875000,P1,2,72,29.500000
RH,80,81.875000,P1,1,80,29.500000
LH,37,83.125000,P1,5,37,30.000000
RH,77,83.125000,P1,1,77,30.000000
RH,73,83.250000,P1,2,73,30.000000
LH,56,84.500000,P1,5,56,30.500000
RH,68,84.500000,P1,2,68,30.500000
RH,82,84.500000,P1,1,82,30.500000
RH,70,85.666667,P1,2,70,31.000000
RH,78,85.666667,P1,1,78,31.000000
RH,61,85.750000,P1,5,61,31.000000
RH,65,85.750000,P1,5,65,31.000000
RH,75,86.875000,P1,1,75,31.500000
RH,66,87.000000,P1,5,66,31.500000
RH,72,87.000000,P1,2,72,31.500000
RH,80,88.333333,P1,1,80,32.000000
LH,56,88.375000,P1,5,56,32.000000
RH,66,88.375000,P1,2,66,32.000000
RH,77,89.625000,P1,1,77,32.500000
RH,68,89.750000,P1,2,68,32.500000
LH,37,91.000000,P1,5,37,33.000000
RH,70,91.000000,P1,2,70,33.000000
RH,75,91.000000,P1,1,75,33.000000
LH,56,92.375000,P1,5,56,33.500000
RH,65,92.375000,P1,2,65,33.500000
RH,77,92.375000,P1,1,77,33.500000
RH,61,93.625000,P1,5,61,34.000000
RH,68,93.625000,P1,2,68,34.000000
RH,73,93.625000,P1,1,73,34.000000
RH,63,94.875000,P1,5,63,34.500000
RH,70,94.875000,P1,1,70,34.500000
LH,56,96.333333,P1,5,56,35.000000
RH,67,96.333333,P1,2,67,35.000000
RH,72,96.333333,P1,1,72,35.000000
RH,66,97.750000,P1,2,66,35.500000
RH,75,97.750000,P1,1,75,35.500000
LH,37,99.375000,P1,5,37,36.000000
RH,68,99.375000,P1,1,68,36.000000
RH,73,100.875000,P1,1,73,36.500000
RH,63,101.500000,P1,2,63,36.750000
RH,65,102.000000,P1,5,65,37.000000
RH,70,102.625000,P1,2,70,37.250000
RH,66,103.250000,P1,5,66,37.500000
RH,73,103.250000,P1,2,73,37.500000
RH,75,103.250000,P1,1,75,37.500000
RH,72,103.750000,P1,2,72,37.750000
RH,78,104.333333,P1,1,78,38.000000
LH,56,104.375000,P1,5,56,38.000000
RH,70,105.000000,P1,2,70,38.250000
RH,82,105.625000,P1,1,82,38.500000
RH,68,105.750000,P1,2,68,38.500000
RH,78,106.333333,P1,2,78,38.750000
LH,37,107.000000,P1,5,37,39.000000
RH,80,107.000000,P1,1,80,39.000000
RH,77,107.625000,P1,2,77,39.250000
LH,56,108.333333,P1,5,56,39.500000
RH,85,108.333333,P1,1,85,39.500000
RH,75,108.875000,P1,2,75,39.750000
RH,61,109.500000,P1,5,61,40.000000
RH,65,109.500000,P1,5,65,40.000000
RH,77,109.500000,P1,2,77,40.000000
RH,82,109.500000,P1,1,82,40.000000
RH,73,110.000000,P1,2,73,40.250000
RH,66,110.750000,P1,5,66,40.500000
RH,74,111.375000,P1,2,74,40.750000
RH,75,112.125000,P1,2,75,41.000000
LH,37,115.375000,P1,5,37,42.000000
RH,68,115.750000,P1,1,68,42.000000
LH,56,116.875000,P1,5,56,42.500000
RH,61,118.125000,P1,5,61,43.000000
RH,65,118.125000,P1,5,65,43.000000
RH,66,119.250000,P1,5,66,43.500000
RH,60,119.333333,P1,5,60,43.500000
RH,68,119.625000,P1,1,68,43.500000
RH,68,122.000000,P1,1,68,44.500000
LH,37,123.000000,P1,5,37,45.000000
RH,68,123.250000,P1,1,68,45.000000
LH,56,124.250000,P1,5,56,45.500000
RH,68,124.375000,P1,1,68,45.500000
RH,61,125.375000,P1,5,61,46.000000
RH,65,125.375000,P1,5,65,46.000000
RH,68,125.666667,P1,1,68,46.000000
RH,66,126.750000,P1,5,66,46.500000
RH,68,127.000000,P1,1,68,46.500000
LH,56,128.000000,P1,5,56,47.000000
RH,68,128.250000,P1,1,68,47.000000
RH,68,129.625000,P1,1,68,47.500000
LH,37,130.666667,P1,5,37,48.000000
RH,68,131.000000,P1,1,68,48.000000
LH,56,132.000000,P1,5,56,48.500000
RH,61,133.125000,P1,5,61,49.000000
RH,65,133.125000,P1,5,65,49.000000
RH,68,133.375000,P1,1,68,49.000000
RH,66,134.250000,P1,5,66,49.500000
RH,60,134.333333,P1,5,60,49.500000
RH,68,134.625000,P1,1,68,49.500000
LH,56,135.375000,P1,5,56,50.000000
RH,68,135.750000,P1,1,68,50.000000
RH,68,137.000000,P1,1,68,50.500000
LH,37,138.125000,P1,5,37,51.000000
RH,68,138.375000,P1,1,68,51.000000
LH,56,139.500000,P1,5,56,51.500000
RH,61,140.750000,P1,5,61,52.000000
RH,65,140.750000,P1,5,65,52.000000
RH,68,141.000000,P1,1,68,52.000000
RH,60,142.000000,P1,5,60,52.500000
RH,66,142.125000,P1,5,66,52.500000
RH,68,142.500000,P1,1,68,52.500000
LH,56,143.500000,P1,5,56,53.000000
RH,68,143.875000,P1,1,68,53.000000
