hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,75,9.625000,P1,1,75,12.000000
RH,75,10.375000,P1,1,75,14.000000
RH,68,13.750000,P1,1,68,21.000000
RH,67,14.375000,P1,1,67,22.000000
RH,68,16.000000,P1,1,68,24.500000
RH,70,16.500000,P1,1,70,25.500000
RH,75,20.875000,P1,1,75,36.000000
RH,75,21.625000,P1,1,75,38.000000
RH,75,22.250000,P1,1,75,39.500000
RH,79,27.625000,P1,1,79,48.000000
RH,80,28.625000,P1,1,80,49.000000
RH,63,30.875000,P1,5,63,53.500000
RH,68,40.125000,P1,1,68,72.500000
LH,56,40.750000,P1,5,56,73.500000
RH,70,40.750000,P1,1,70,73.500000
RH,75,45.000000,P1,1,75,84.000000
RH,77,45.375000,P1,1,77,85.000000
LH,56,50.250000,P1,5,56,94.500000
RH,80,53.500000,P1,1,80,99.000000
RH,64,58.000000,P1,1,64,108.000000
RH,68,58.500000,P1,1,68,109.000000
RH,66,59.000000,P1,1,66,110.000000
RH,68,59.666667,P1,1,68,111.500000
RH,71,64.000000,P1,1,71,119.500000
RH,68,67.666667,P1,1,68,126.000000
RH,69,68.125000,P1,1,69,127.000000
RH,68,72.875000,P1,1,68,136.500000
RH,75,77.875000,P1,1,75,147.000000
LH,56,80.250000,P1,5,56,151.500000
RH,61,80.625000,P1,5,61,152.500000
RH,61,82.875000,P1,5,61,156.500000
LH,56,84.000000,P1,5,56,158.500000
LH,56,84.750000,P1,5,56,160.000000
LH,56,85.625000,P1,5,56,161.500000
RH,73,89.750000,P1,1,73,167.500000
RH,73,91.125000,P1,1,73,168.500000
RH,73,92.500000,P1,1,73,170.500000
RH,64,92.625000,P1,1,64,170.500000
RH,69,97.125000,P1,1,69,180.000000
RH,73,97.625000,P1,1,73,181.000000
RH,71,98.000000,P1,1,71,182.000000
RH,73,98.750000,P1,1,73,183.500000
RH,76,103.125000,P1,1,76,191.500000
RH,73,106.750000,P1,1,73,198.000000
RH,74,107.250000,P1,1,74,199.000000
RH,73,111.750000,P1,1,73,208.500000
RH,80,117.125000,P1,1,80,219.000000
LH,59,118.125000,P1,5,59,220.500000
RH,83,118.250000,P1,1,83,221.000000
RH,61,119.125000,P1,5,61,223.000000
LH,58,119.375000,P1,5,58,223.500000
RH,74,121.875000,P1,1,74,229.000000
RH,77,123.875000,P1,1,77,233.500000
RH,77,125.875000,P1,1,77,237.500000
RH,88,138.500000,P1,1,88,261.000000
RH,88,138.750000,P1,1,88,261.500000
RH,76,139.875000,P1,1,76,263.500000
LH,51,145.125000,P1,5,51,273.000000
LH,51,148.000000,P1,5,51,279.000000
LH,51,149.375000,P1,5,51,282.000000
LH,51,150.875000,P1,5,51,285.000000
LH,51,152.333333,P1,5,51,288.000000
RH,85,156.250000,P1,1,85,294.500000
RH,85,164.000000,P1,1,85,307.000000
RH,84,165.375000,P1,1,84,310.000000
RH,83,167.125000,P1,1,83,313.000000
RH,80,172.250000,P1,1,80,321.000000
RH,80,175.250000,P1,1,80,324.000000
RH,74,178.250000,P1,1,74,327.000000
RH,75,182.750000,P1,1,75,336.000000
RH,75,183.625000,P1,1,75,338.000000
RH,68,186.875000,P1,1,68,345.000000
RH,67,187.666667,P1,1,67,346.000000
RH,68,189.625000,P1,1,68,348.500000
LH,56,190.250000,P1,5,56,349.500000
RH,70,190.250000,P1,1,70,349.500000
RH,75,194.875000,P1,1,75,360.000000
RH,77,195.250000,P1,1,77,361.000000
LH,58,200.750000,P1,5,58,370.500000
RH,80,201.875000,P1,1,80,373.000000
RH,80,222.500000,P1,1,80,408.500000
RH,63,225.250000,P1,5,63,413.500000
RH,87,227.875000,P1,1,87,420.000000
RH,87,228.750000,P1,1,87,422.000000
RH,75,233.000000,P1,1,75,432.000000
RH,75,233.875000,P1,1,75,434.000000
RH,73,235.375000,P1,1,73,436.500000
RH,72,236.500000,P1,1,72,439.000000
RH,80,244.250000,P1,1,80,451.000000
RH,80,245.125000,P1,1,80,452.500000
RH,68,245.875000,P1,1,68,453.500000
