hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,77,3.875000,P1,1,77,0.000000
RH,83,3.875000,P1,1,83,0.000000
RH,68,5.000000,P1,5,68,0.500000
RH,67,5.333333,P1,5,67,0.750000
RH,65,5.375000,P1,5,65,1.000000
RH,62,5.625000,P1,5,62,1.250000
RH,63,5.750000,P1,5,63,1.500000
RH,62,6.000000,P1,5,62,1.750000
LH,59,6.125000,P1,5,59,2.000000
LH,55,6.333333,P1,5,55,2.250000
LH,56,6.500000,P1,5,56,2.500000
LH,55,6.666667,P1,5,55,2.750000
LH,53,6.875000,P1,5,53,3.000000
LH,50,7.000000,P1,5,50,3.250000
LH,51,7.125000,P1,5,51,3.500000
LH,50,7.333333,P1,5,50,3.750000
LH,47,7.500000,P1,5,47,4.000000
LH,43,7.666667,P1,5,43,4.250000
LH,44,7.875000,P1,5,44,4.500000
LH,43,8.000000,P1,5,43,4.750000
LH,41,8.125000,P1,5,41,5.000000
LH,38,8.333333,P1,5,38,5.250000
LH,39,8.500000,P1,5,39,5.500000
LH,38,8.625000,P1,5,38,5.750000
LH,36,8.750000,P1,5,36,6.000000
LH,31,9.000000,P1,5,31,6.250000
LH,36,9.250000,P1,5,36,6.500000
LH,31,9.375000,P1,5,31,6.750000
LH,36,9.625000,P1,5,36,7.000000
RH,68,9.625000,P1,1,68,7.000000
RH,75,9.625000,P1,1,75,7.000000
RH,77,9.625000,P1,1,77,7.000000
RH,80,9.625000,P1,1,80,7.000000
LH,31,9.875000,P1,5,31,7.250000
LH,36,10.000000,P1,5,36,7.500000
LH,31,10.125000,P1,5,31,7.750000
RH,67,10.125000,P1,1,67,7.750000
RH,79,10.125000,P1,1,79,7.750000
LH,35,10.500000,P1,5,35,8.000000
RH,74,10.500000,P1,1,74,8.000000
RH,77,10.500000,P1,1,77,8.000000
RH,79,10.500000,P1,1,79,8.000000
RH,86,10.500000,P1,1,86,8.000000
RH,68,11.250000,P1,5,68,8.500000
RH,67,11.500000,P1,5,67,8.750000
RH,65,11.666667,P1,5,65,9.000000
RH,62,11.875000,P1,5,62,9.250000
RH,63,12.000000,P1,5,63,9.500000
RH,62,12.250000,P1,5,62,9.750000
LH,59,12.375000,P1,5,59,10.000000
LH,55,12.500000,P1,5,55,10.250000
LH,56,12.750000,P1,5,56,10.500000
LH,55,13.000000,P1,5,55,10.750000
LH,53,13.125000,P1,5,53,11.000000
LH,50,13.250000,P1,5,50,11.250000
