hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,36,2.000000,P1,5,36,0.000000
LH,48,2.333333,P1,1,48,0.250000
LH,55,2.500000,P1,1,55,0.500000
RH,60,2.666667,P1,1,60,0.750000
RH,64,2.875000,P1,1,64,1.000000
RH,60,3.000000,P1,1,60,1.250000
RH,67,3.125000,P1,1,67,1.500000
RH,72,3.333333,P1,1,72,1.750000
RH,76,3.500000,P1,1,76,2.000000
RH,72,3.666667,P1,1,72,2.250000
RH,79,3.750000,P1,1,79,2.500000
RH,84,4.000000,P1,1,84,2.750000
RH,88,4.125000,P1,1,88,3.000000
RH,84,4.250000,P1,1,84,3.250000
RH,91,4.375000,P1,1,91,3.500000
RH,96,4.500000,P1,1,96,3.750000
RH,100,4.666667,P1,1,100,4.000000
RH,96,4.750000,P1,1,96,4.250000
RH,91,5.000000,P1,1,91,4.500000
RH,84,5.125000,P1,1,84,4.750000
RH,88,5.250000,P1,1,88,5.000000
RH,84,5.375000,P1,1,84,5.250000
RH,79,5.500000,P1,1,79,5.500000
RH,72,5.750000,P1,1,72,5.750000
RH,76,5.875000,P1,1,76,6.000000
RH,72,6.000000,P1,1,72,6.250000
RH,67,6.125000,P1,1,67,6.500000
RH,60,6.250000,P1,1,60,6.750000
RH,64,6.375000,P1,1,64,7.000000
RH,60,6.500000,P1,1,60,7.250000
LH,55,6.750000,P1,1,55,7.500000
LH,48,6.875000,P1,1,48,7.750000
LH,29,7.000000,P1,5,29,8.000000
LH,41,7.000000,P1,5,41,8.000000
LH,48,7.125000,P1,1,48,8.250000
LH,57,7.333333,P1,1,57,8.500000
RH,60,7.500000,P1,1,60,8.750000
RH,65,7.666667,P1,1,65,9.000000
RH,60,7.875000,P1,1,60,9.250000
RH,69,8.000000,P1,1,69,9.500000
RH,72,8.125000,P1,1,72,9.750000
RH,77,8.333333,P1,1,77,10.000000
RH,72,8.500000,P1,1,72,10.250000
RH,81,8.666667,P1,1,81,10.500000
RH,84,8.750000,P1,1,84,10.750000
RH,89,8.875000,P1,1,89,11.000000
RH,84,9.000000,P1,1,84,11.250000
RH,93,9.250000,P1,1,93,11.500000
RH,96,9.250000,P1,1,96,11.750000
LH,30,9.375000,P1,5,30,12.000000
LH,42,9.375000,P1,5,42,12.000000
RH,100,9.375000,P1,1,100,12.000000
RH,96,9.625000,P1,1,96,12.250000
RH,93,9.750000,P1,1,93,12.500000
RH,88,10.125000,P1,1,88,13.000000
RH,84,10.250000,P1,1,84,13.250000
RH,81,10.375000,P1,1,81,13.500000
RH,72,10.500000,P1,1,72,13.750000
RH,76,10.666667,P1,1,76,14.000000
RH,72,10.750000,P1,1,72,14.250000
RH,69,10.875000,P1,1,69,14.500000
RH,60,11.125000,P1,1,60,14.750000
RH,62,11.250000,P1,1,62,15.000000
RH,60,11.375000,P1,1,60,15.250000
LH,57,11.625000,P1,1,57,15.500000
LH,48,11.750000,P1,1,48,15.750000
LH,31,12.000000,P1,5,31,16.000000
LH,43,12.000000,P1,5,43,16.000000
LH,47,12.250000,P1,1,47,16.250000
LH,55,12.375000,P1,1,55,16.500000
LH,59,12.500000,P1,1,59,16.750000
RH,62,12.666667,P1,1,62,17.000000
LH,59,12.875000,P1,1,59,17.250000
RH,67,13.000000,P1,1,67,17.500000
RH,71,13.250000,P1,1,71,17.750000
LH,30,13.333333,P1,5,30,18.000000
LH,42,13.333333,P1,5,42,18.000000
RH,74,13.375000,P1,1,74,18.000000
RH,71,13.625000,P1,1,71,18.250000
RH,79,13.750000,P1,1,79,18.500000
RH,83,13.875000,P1,1,83,18.750000
LH,28,14.125000,P1,5,28,19.000000
LH,40,14.125000,P1,5,40,19.000000
RH,86,14.125000,P1,1,86,19.000000
RH,83,14.250000,P1,1,83,19.250000
RH,91,14.375000,P1,1,91,19.500000
RH,93,14.666667,P1,1,93,19.750000
LH,26,14.750000,P1,5,26,20.000000
LH,38,14.750000,P1,5,38,20.000000
RH,98,14.750000,P1,1,98,20.000000
RH,93,14.875000,P1,1,93,20.250000
RH,90,15.000000,P1,1,90,20.500000
RH,84,15.250000,P1,1,84,20.750000
RH,86,15.333333,P1,1,86,21.000000
RH,81,15.500000,P1,1,81,21.250000
RH,78,15.625000,P1,1,78,21.500000
RH,72,15.750000,P1,1,72,21.750000
RH,74,15.875000,P1,1,74,22.000000
RH,69,16.000000,P1,1,69,22.250000
RH,66,16.250000,P1,1,66,22.500000
RH,60,16.375000,P1,1,60,22.750000
RH,62,16.500000,P1,1,62,23.000000
LH,57,16.750000,P1,1,57,23.250000
LH,54,16.875000,P1,1,54,23.500000
LH,48,17.125000,P1,1,48,23.750000
LH,31,17.333333,P1,5,31,24.000000
LH,43,17.333333,P1,5,43,24.000000
LH,48,17.500000,P1,1,48,24.250000
LH,53,17.625000,P1,1,53,24.500000
LH,56,17.750000,P1,1,56,24.750000
RH,62,18.000000,P1,1,62,25.000000
RH,60,18.125000,P1,1,60,25.250000
RH,65,18.333333,P1,1,65,25.500000
RH,68,18.500000,P1,1,68,25.750000
RH,74,18.666667,P1,1,74,26.000000
RH,72,18.875000,P1,1,72,26.250000
RH,77,19.000000,P1,1,77,26.500000
RH,80,19.125000,P1,1,80,26.750000
RH,86,19.333333,P1,1,86,27.000000
RH,84,19.500000,P1,1,84,27.250000
RH,89,19.625000,P1,1,89,27.500000
RH,92,19.750000,P1,1,92,27.750000
RH,98,19.875000,P1,1,98,28.000000
RH,91,20.000000,P1,1,91,28.250000
RH,89,20.125000,P1,1,89,28.500000
RH,83,20.333333,P1,1,83,28.750000
RH,86,20.500000,P1,1,86,29.000000
RH,79,20.625000,P1,1,79,29.250000
RH,77,20.750000,P1,1,77,29.500000
RH,71,20.875000,P1,1,71,29.750000
RH,74,21.000000,P1,1,74,30.000000
RH,67,21.250000,P1,1,67,30.250000
RH,65,21.333333,P1,1,65,30.500000
LH,59,21.500000,P1,1,59,30.750000
RH,63,21.666667,P1,1,63,31.000000
LH,55,22.000000,P1,1,55,31.250000
LH,53,22.250000,P1,1,53,31.500000
LH,47,22.333333,P1,1,47,31.750000
LH,36,22.625000,P1,5,36,32.000000
LH,48,22.625000,P1,5,48,32.000000
LH,48,23.000000,P1,1,48,32.250000
LH,55,23.125000,P1,1,55,32.500000
RH,60,23.333333,P1,1,60,32.750000
RH,64,23.500000,P1,1,64,33.000000
RH,60,23.750000,P1,1,60,33.250000
RH,67,23.875000,P1,1,67,33.500000
RH,72,24.000000,P1,1,72,33.750000
RH,76,24.250000,P1,1,76,34.000000
RH,72,24.375000,P1,1,72,34.250000
RH,79,24.500000,P1,1,79,34.500000
RH,84,24.666667,P1,1,84,34.750000
RH,88,24.875000,P1,1,88,35.000000
RH,84,25.000000,P1,1,84,35.250000
RH,91,25.125000,P1,1,91,35.500000
RH,96,25.333333,P1,1,96,35.750000
RH,100,25.500000,P1,1,100,36.000000
RH,96,25.666667,P1,1,96,36.250000
RH,91,25.875000,P1,1,91,36.500000
RH,84,26.000000,P1,1,84,36.750000
RH,88,26.125000,P1,1,88,37.000000
RH,84,26.250000,P1,1,84,37.250000
RH,79,26.500000,P1,1,79,37.500000
RH,72,26.625000,P1,1,72,37.750000
RH,76,26.750000,P1,1,76,38.000000
RH,72,26.875000,P1,1,72,38.250000
RH,67,27.000000,P1,1,67,38.500000
RH,60,27.250000,P1,1,60,38.750000
RH,64,27.333333,P1,1,64,39.000000
RH,60,27.500000,P1,1,60,39.250000
LH,55,27.666667,P1,1,55,39.500000
LH,48,27.875000,P1,1,48,39.750000
LH,33,28.000000,P1,5,33,40.000000
LH,45,28.000000,P1,5,45,40.000000
LH,48,28.125000,P1,1,48,40.250000
LH,53,28.250000,P1,1,53,40.500000
RH,60,28.375000,P1,1,60,40.750000
RH,65,28.666667,P1,1,65,41.000000
RH,60,28.875000,P1,1,60,41.250000
RH,65,29.000000,P1,1,65,41.500000
RH,72,29.125000,P1,1,72,41.750000
RH,77,29.333333,P1,1,77,42.000000
RH,72,29.500000,P1,1,72,42.250000
RH,77,29.625000,P1,1,77,42.500000
RH,84,29.750000,P1,1,84,42.750000
RH,89,30.000000,P1,1,89,43.000000
RH,84,30.125000,P1,1,84,43.250000
RH,89,30.250000,P1,1,89,43.500000
RH,96,30.375000,P1,1,96,43.750000
RH,100,30.500000,P1,1,100,44.000000
RH,96,30.750000,P1,1,96,44.250000
RH,90,30.875000,P1,1,90,44.500000
RH,84,31.000000,P1,1,84,44.750000
RH,88,31.125000,P1,1,88,45.000000
RH,84,31.333333,P1,1,84,45.250000
RH,78,31.500000,P1,1,78,45.500000
RH,72,31.625000,P1,1,72,45.750000
RH,76,31.750000,P1,1,76,46.000000
RH,72,31.875000,P1,1,72,46.250000
RH,66,32.125000,P1,1,66,46.500000
RH,60,32.250000,P1,1,60,46.750000
RH,64,32.375000,P1,1,64,47.000000
RH,60,32.500000,P1,1,60,47.250000
LH,54,32.666667,P1,1,54,47.500000
LH,48,32.750000,P1,1,48,47.750000
LH,31,33.000000,P1,5,31,48.000000
LH,43,33.000000,P1,5,43,48.000000
LH,48,33.125000,P1,1,48,48.250000
LH,55,33.250000,P1,1,55,48.500000
RH,60,33.375000,P1,1,60,48.750000
RH,62,33.625000,P1,1,62,49.000000
RH,60,33.750000,P1,1,60,49.250000
RH,67,33.875000,P1,1,67,49.500000
RH,72,34.125000,P1,1,72,49.750000
RH,74,34.250000,P1,1,74,50.000000
RH,72,34.375000,P1,1,72,50.250000
RH,79,34.625000,P1,1,79,50.500000
RH,84,34.750000,P1,1,84,50.750000
RH,86,34.875000,P1,1,86,51.000000
RH,84,35.000000,P1,1,84,51.250000
RH,91,35.125000,P1,1,91,51.500000
RH,96,35.250000,P1,1,96,51.750000
RH,98,35.375000,P1,1,98,52.000000
RH,95,35.625000,P1,1,95,52.250000
RH,91,35.750000,P1,1,91,52.500000
RH,83,35.875000,P1,1,83,52.750000
RH,86,36.000000,P1,1,86,53.000000
RH,83,36.125000,P1,1,83,53.250000
RH,79,36.333333,P1,1,79,53.500000
RH,71,36.500000,P1,1,71,53.750000
RH,74,36.625000,P1,1,74,54.000000
RH,71,36.750000,P1,1,71,54.250000
RH,67,36.875000,P1,1,67,54.500000
LH,59,37.125000,P1,1,59,54.750000
RH,62,37.250000,P1,1,62,55.000000
LH,59,37.375000,P1,1,59,55.250000
LH,55,37.500000,P1,1,55,55.500000
LH,47,37.666667,P1,1,47,55.750000
LH,36,37.875000,P1,5,36,56.000000
LH,48,37.875000,P1,5,48,56.000000
LH,50,38.000000,P1,1,50,56.250000
LH,55,38.125000,P1,1,55,56.500000
RH,62,38.333333,P1,1,62,56.750000
RH,64,38.500000,P1,1,64,57.000000
RH,62,38.666667,P1,1,62,57.250000
RH,67,38.875000,P1,1,67,57.500000
RH,74,39.000000,P1,1,74,57.750000
RH,76,39.125000,P1,1,76,58.000000
RH,74,39.333333,P1,1,74,58.250000
RH,79,39.500000,P1,1,79,58.500000
RH,86,39.666667,P1,1,86,58.750000
RH,88,39.750000,P1,1,88,59.000000
RH,86,39.875000,P1,1,86,59.250000
RH,91,40.000000,P1,1,91,59.500000
RH,98,40.250000,P1,1,98,59.750000
RH,100,40.333333,P1,1,100,60.000000
RH,96,40.500000,P1,1,96,60.250000
RH,91,40.625000,P1,1,91,60.500000
RH,84,40.875000,P1,1,84,60.750000
RH,88,41.000000,P1,1,88,61.000000
RH,84,41.125000,P1,1,84,61.250000
RH,79,41.250000,P1,1,79,61.500000
RH,72,41.375000,P1,1,72,61.750000
RH,76,41.500000,P1,1,76,62.000000
RH,72,41.666667,P1,1,72,62.250000
RH,67,41.875000,P1,1,67,62.500000
RH,60,42.000000,P1,1,60,62.750000
RH,64,42.125000,P1,1,64,63.000000
RH,60,42.250000,P1,1,60,63.250000
LH,48,42.500000,P1,1,48,63.750000
LH,33,42.750000,P1,5,33,64.000000
LH,45,42.750000,P1,5,45,64.000000
LH,52,42.875000,P1,1,52,64.250000
RH,60,43.333333,P1,1,60,64.500000
RH,64,43.500000,P1,1,64,64.750000
RH,65,43.666667,P1,1,65,65.000000
RH,64,43.875000,P1,1,64,65.250000
RH,72,44.000000,P1,1,72,65.500000
RH,76,44.250000,P1,1,76,65.750000
RH,77,44.375000,P1,1,77,66.000000
RH,76,44.500000,P1,1,76,66.250000
RH,84,44.666667,P1,1,84,66.500000
RH,88,44.875000,P1,1,88,66.750000
RH,89,45.000000,P1,1,89,67.000000
RH,88,45.125000,P1,1,88,67.250000
RH,96,45.250000,P1,1,96,67.500000
RH,100,45.375000,P1,1,100,67.750000
LH,35,45.500000,P1,5,35,68.000000
LH,47,45.500000,P1,5,47,68.000000
RH,101,45.500000,P1,1,101,68.000000
RH,98,45.666667,P1,1,98,68.250000
RH,95,45.750000,P1,1,95,68.500000
RH,86,46.000000,P1,1,86,68.750000
RH,89,46.125000,P1,1,89,69.000000
RH,86,46.333333,P1,1,86,69.250000
RH,83,46.375000,P1,1,83,69.500000
RH,74,46.500000,P1,1,74,69.750000
LH,33,46.750000,P1,5,33,70.000000
LH,45,46.750000,P1,5,45,70.000000
RH,77,46.750000,P1,1,77,70.000000
RH,74,46.875000,P1,1,74,70.250000
RH,71,47.000000,P1,1,71,70.500000
RH,62,47.250000,P1,1,62,70.750000
RH,65,47.375000,P1,1,65,71.000000
RH,62,47.625000,P1,1,62,71.250000
LH,59,47.750000,P1,1,59,71.500000
LH,50,48.000000,P1,1,50,71.750000
LH,32,48.125000,P1,5,32,72.000000
LH,44,48.125000,P1,5,44,72.000000
LH,50,48.375000,P1,1,50,72.250000
LH,59,48.750000,P1,1,59,72.500000
RH,62,49.000000,P1,1,62,72.750000
RH,64,49.125000,P1,1,64,73.000000
RH,62,49.333333,P1,1,62,73.250000
RH,71,49.500000,P1,1,71,73.500000
RH,74,49.666667,P1,1,74,73.750000
