hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,36,4.000000,P1,5,36,0.000000
LH,48,4.250000,P1,1,48,0.250000
LH,55,4.375000,P1,1,55,0.500000
RH,60,4.625000,P1,1,60,0.750000
RH,64,4.750000,P1,1,64,1.000000
RH,60,5.000000,P1,1,60,1.250000
RH,67,5.125000,P1,1,67,1.500000
RH,72,5.333333,P1,1,72,1.750000
RH,76,5.500000,P1,1,76,2.000000
RH,72,5.750000,P1,1,72,2.250000
RH,79,5.875000,P1,1,79,2.500000
RH,84,6.000000,P1,1,84,2.750000
RH,88,6.250000,P1,1,88,3.000000
RH,84,6.375000,P1,1,84,3.250000
RH,91,6.625000,P1,1,91,3.500000
RH,96,6.750000,P1,1,96,3.750000
RH,100,6.875000,P1,1,100,4.000000
RH,96,7.125000,P1,1,96,4.250000
RH,91,7.250000,P1,1,91,4.500000
RH,84,7.375000,P1,1,84,4.750000
RH,88,7.666667,P1,1,88,5.000000
RH,84,7.875000,P1,1,84,5.250000
RH,79,8.000000,P1,1,79,5.500000
RH,72,8.125000,P1,1,72,5.750000
RH,76,8.333333,P1,1,76,6.000000
RH,72,8.500000,P1,1,72,6.250000
RH,67,8.666667,P1,1,67,6.500000
RH,60,8.875000,P1,1,60,6.750000
RH,64,9.125000,P1,1,64,7.000000
RH,60,9.250000,P1,1,60,7.250000
LH,55,9.375000,P1,1,55,7.500000
LH,48,9.625000,P1,1,48,7.750000
LH,29,9.750000,P1,5,29,8.000000
LH,41,9.750000,P1,5,41,8.000000
LH,48,10.000000,P1,1,48,8.250000
LH,57,10.125000,P1,1,57,8.500000
RH,60,10.333333,P1,1,60,8.750000
RH,65,10.500000,P1,1,65,9.000000
RH,60,10.750000,P1,1,60,9.250000
RH,69,10.875000,P1,1,69,9.500000
RH,72,11.125000,P1,1,72,9.750000
RH,77,11.250000,P1,1,77,10.000000
RH,72,11.500000,P1,1,72,10.250000
RH,81,11.666667,P1,1,81,10.500000
RH,84,11.875000,P1,1,84,10.750000
RH,89,12.000000,P1,1,89,11.000000
RH,84,12.250000,P1,1,84,11.250000
RH,93,12.500000,P1,1,93,11.500000
RH,96,12.625000,P1,1,96,11.750000
LH,30,12.750000,P1,5,30,12.000000
LH,42,12.750000,P1,5,42,12.000000
RH,100,12.750000,P1,1,100,12.000000
RH,96,13.000000,P1,1,96,12.250000
RH,93,13.125000,P1,1,93,12.500000
RH,84,13.250000,P1,1,84,12.750000
RH,88,13.500000,P1,1,88,13.000000
RH,84,13.666667,P1,1,84,13.250000
RH,81,13.875000,P1,1,81,13.500000
RH,72,14.000000,P1,1,72,13.750000
RH,76,14.250000,P1,1,76,14.000000
RH,72,14.375000,P1,1,72,14.250000
RH,69,14.500000,P1,1,69,14.500000
RH,60,14.750000,P1,1,60,14.750000
RH,62,15.000000,P1,1,62,15.000000
RH,60,15.250000,P1,1,60,15.250000
LH,57,15.375000,P1,1,57,15.500000
LH,48,15.625000,P1,1,48,15.750000
LH,31,15.750000,P1,5,31,16.000000
LH,43,15.750000,P1,5,43,16.000000
LH,47,16.000000,P1,1,47,16.250000
LH,55,16.125000,P1,1,55,16.500000
LH,59,16.333333,P1,1,59,16.750000
RH,62,16.500000,P1,1,62,17.000000
LH,59,16.750000,P1,1,59,17.250000
RH,67,16.875000,P1,1,67,17.500000
RH,71,17.125000,P1,1,71,17.750000
LH,30,17.250000,P1,5,30,18.000000
LH,42,17.250000,P1,5,42,18.000000
RH,74,17.250000,P1,1,74,18.000000
RH,71,17.500000,P1,1,71,18.250000
RH,79,17.666667,P1,1,79,18.500000
RH,83,17.875000,P1,1,83,18.750000
LH,28,18.000000,P1,5,28,19.000000
LH,40,18.000000,P1,5,40,19.000000
RH,86,18.000000,P1,1,86,19.000000
RH,83,18.250000,P1,1,83,19.250000
RH,91,18.500000,P1,1,91,19.500000
RH,93,18.625000,P1,1,93,19.750000
LH,26,18.750000,P1,5,26,20.000000
LH,38,18.750000,P1,5,38,20.000000
RH,98,18.750000,P1,1,98,20.000000
RH,93,19.000000,P1,1,93,20.250000
RH,90,19.125000,P1,1,90,20.500000
RH,84,19.333333,P1,1,84,20.750000
RH,86,19.500000,P1,1,86,21.000000
RH,81,19.750000,P1,1,81,21.250000
RH,78,19.875000,P1,1,78,21.500000
RH,72,20.000000,P1,1,72,21.750000
RH,74,20.250000,P1,1,74,22.000000
RH,69,20.375000,P1,1,69,22.250000
RH,66,20.625000,P1,1,66,22.500000
RH,60,20.750000,P1,1,60,22.750000
RH,62,21.000000,P1,1,62,23.000000
LH,57,21.125000,P1,1,57,23.250000
LH,54,21.333333,P1,1,54,23.500000
LH,48,21.500000,P1,1,48,23.750000
LH,31,21.750000,P1,5,31,24.000000
LH,43,21.750000,P1,5,43,24.000000
LH,48,22.000000,P1,1,48,24.250000
LH,53,22.125000,P1,1,53,24.500000
LH,56,22.333333,P1,1,56,24.750000
RH,62,22.500000,P1,1,62,25.000000
RH,60,22.750000,P1,1,60,25.250000
RH,65,22.875000,P1,1,65,25.500000
RH,68,23.125000,P1,1,68,25.750000
RH,74,23.250000,P1,1,74,26.000000
RH,72,23.500000,P1,1,72,26.250000
RH,77,23.625000,P1,1,77,26.500000
RH,80,23.875000,P1,1,80,26.750000
RH,86,24.000000,P1,1,86,27.000000
RH,84,24.250000,P1,1,84,27.250000
RH,89,24.375000,P1,1,89,27.500000
RH,92,24.500000,P1,1,92,27.750000
RH,98,24.750000,P1,1,98,28.000000
RH,91,24.875000,P1,1,91,28.250000
RH,89,25.000000,P1,1,89,28.500000
RH,83,25.250000,P1,1,83,28.750000
