hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,45,3.875000,P1,5,45,0.000000
RH,64,4.000000,P1,2,64,0.000000
RH,70,4.125000,P1,1,70,0.250000
RH,71,4.333333,P1,1,71,0.500000
RH,72,4.500000,P1,1,72,0.750000
LH,52,4.666667,P1,5,52,1.000000
LH,57,4.666667,P1,5,57,1.000000
RH,60,4.666667,P1,5,60,1.000000
RH,73,4.666667,P1,1,73,1.000000
RH,64,4.750000,P1,2,64,1.000000
RH,75,5.000000,P1,1,75,1.500000
RH,76,5.250000,P1,1,76,1.750000
LH,45,5.333333,P1,5,45,2.000000
RH,77,5.375000,P1,1,77,2.000000
RH,78,5.625000,P1,1,78,2.250000
RH,79,5.875000,P1,1,79,2.500000
RH,80,5.875000,P1,1,80,2.750000
LH,53,6.125000,P1,5,53,3.000000
LH,57,6.125000,P1,5,57,3.000000
RH,62,6.125000,P1,5,62,3.000000
RH,74,6.125000,P1,2,74,3.000000
RH,81,6.125000,P1,1,81,3.000000
RH,82,6.333333,P1,1,82,3.250000
RH,83,6.500000,P1,1,83,3.500000
RH,84,6.666667,P1,1,84,3.750000
LH,33,6.875000,P1,5,33,4.000000
LH,45,6.875000,P1,5,45,4.000000
RH,76,6.875000,P1,2,76,4.000000
RH,81,6.875000,P1,2,81,4.000000
RH,85,6.875000,P1,1,85,4.000000
RH,86,7.125000,P1,1,86,4.250000
RH,87,7.250000,P1,1,87,4.500000
RH,88,7.500000,P1,1,88,4.750000
LH,52,7.666667,P1,5,52,5.000000
LH,57,7.666667,P1,5,57,5.000000
RH,60,7.666667,P1,5,60,5.000000
RH,89,7.666667,P1,1,89,5.000000
RH,81,7.750000,P1,2,81,5.000000
RH,84,7.750000,P1,2,84,5.000000
RH,88,7.875000,P1,1,88,5.250000
RH,87,8.000000,P1,1,87,5.500000
RH,86,8.250000,P1,1,86,5.750000
LH,57,8.375000,P1,5,57,6.000000
RH,60,8.375000,P1,5,60,6.000000
RH,64,8.375000,P1,5,64,6.000000
RH,76,8.375000,P1,2,76,6.000000
