hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,45,3.875000,P1,5,45,0.000000
RH,70,4.125000,P1,1,70,0.250000
RH,71,4.333333,P1,1,71,0.500000
RH,72,4.500000,P1,1,72,0.750000
LH,57,4.625000,P1,5,57,1.000000
RH,60,4.625000,P1,5,60,1.000000
RH,64,4.625000,P1,2,64,1.000000
RH,69,4.625000,P1,2,69,1.000000
RH,73,4.625000,P1,1,73,1.000000
RH,74,4.875000,P1,1,74,1.250000
RH,75,5.000000,P1,1,75,1.500000
RH,76,5.250000,P1,1,76,1.750000
LH,45,5.375000,P1,5,45,2.000000
RH,69,5.375000,P1,2,69,2.000000
RH,77,5.375000,P1,1,77,2.000000
RH,78,5.625000,P1,1,78,2.250000
RH,79,5.875000,P1,1,79,2.500000
RH,80,6.000000,P1,1,80,2.750000
LH,53,6.125000,P1,5,53,3.000000
LH,57,6.125000,P1,5,57,3.000000
RH,62,6.125000,P1,5,62,3.000000
RH,74,6.125000,P1,2,74,3.000000
RH,81,6.125000,P1,1,81,3.000000
RH,82,6.333333,P1,1,82,3.250000
RH,83,6.500000,P1,1,83,3.500000
RH,84,6.666667,P1,1,84,3.750000
LH,33,6.875000,P1,5,33,4.000000
LH,45,6.875000,P1,5,45,4.000000
RH,76,6.875000,P1,2,76,4.000000
RH,81,6.875000,P1,2,81,4.000000
RH,85,6.875000,P1,1,85,4.000000
RH,86,7.125000,P1,1,86,4.250000
RH,87,7.250000,P1,1,87,4.500000
RH,88,7.500000,P1,1,88,4.750000
LH,52,7.625000,P1,5,52,5.000000
LH,57,7.625000,P1,5,57,5.000000
RH,60,7.625000,P1,5,60,5.000000
RH,81,7.625000,P1,2,81,5.000000
RH,89,7.625000,P1,1,89,5.000000
RH,88,7.875000,P1,1,88,5.250000
RH,87,8.000000,P1,1,87,5.500000
RH,86,8.250000,P1,1,86,5.750000
LH,57,8.375000,P1,5,57,6.000000
RH,60,8.375000,P1,5,60,6.000000
RH,64,8.375000,P1,5,64,6.000000
RH,76,8.375000,P1,2,76,6.000000
RH,85,8.375000,P1,1,85,6.000000
RH,84,8.625000,P1,1,84,6.250000
RH,83,8.750000,P1,1,83,6.500000
RH,82,9.000000,P1,1,82,6.750000
RH,72,9.125000,P1,2,72,7.000000
RH,76,9.125000,P1,2,76,7.000000
RH,81,9.125000,P1,1,81,7.000000
RH,80,9.333333,P1,1,80,7.250000
RH,83,9.500000,P1,1,83,7.500000
RH,81,9.750000,P1,1,81,7.750000
LH,40,9.875000,P1,5,40,8.000000
RH,71,9.875000,P1,2,71,8.000000
RH,80,9.875000,P1,1,80,8.000000
RH,79,10.125000,P1,1,79,8.250000
RH,78,10.250000,P1,1,78,8.500000
RH,77,10.375000,P1,1,77,8.750000
LH,52,10.625000,P1,5,52,9.000000
LH,59,10.625000,P1,5,59,9.000000
RH,62,10.625000,P1,5,62,9.000000
RH,68,10.625000,P1,2,68,9.000000
RH,71,10.625000,P1,2,71,9.000000
RH,76,10.625000,P1,1,76,9.000000
RH,75,10.875000,P1,1,75,9.250000
RH,77,11.000000,P1,1,77,9.500000
RH,76,11.250000,P1,1,76,9.750000
LH,45,11.375000,P1,5,45,10.000000
RH,69,11.375000,P1,2,69,10.000000
RH,72,11.375000,P1,2,72,10.000000
RH,75,11.375000,P1,1,75,10.000000
RH,74,11.625000,P1,1,74,10.250000
RH,73,11.750000,P1,1,73,10.500000
RH,72,12.000000,P1,1,72,10.750000
LH,52,12.125000,P1,5,52,11.000000
RH,60,12.125000,P1,5,60,11.000000
RH,64,12.125000,P1,2,64,11.000000
RH,71,12.125000,P1,1,71,11.000000
LH,57,12.250000,P1,5,57,11.000000
RH,69,12.250000,P1,2,69,11.000000
RH,72,12.333333,P1,1,72,11.250000
RH,74,12.500000,P1,1,74,11.500000
RH,72,12.666667,P1,1,72,11.750000
LH,52,12.875000,P1,5,52,12.000000
LH,59,12.875000,P1,5,59,12.000000
RH,64,12.875000,P1,2,64,12.000000
RH,68,12.875000,P1,2,68,12.000000
RH,71,12.875000,P1,1,71,12.000000
RH,72,13.000000,P1,1,72,12.250000
RH,71,13.250000,P1,1,71,12.500000
RH,72,13.500000,P1,1,72,12.750000
LH,53,13.625000,P1,5,53,13.000000
LH,59,13.625000,P1,5,59,13.000000
RH,63,13.625000,P1,2,63,13.000000
RH,69,13.625000,P1,2,69,13.000000
RH,71,13.625000,P1,1,71,13.000000
RH,72,13.875000,P1,1,72,13.250000
RH,71,14.000000,P1,1,71,13.500000
RH,72,14.125000,P1,1,72,13.750000
RH,64,14.333333,P1,2,64,14.000000
RH,71,14.333333,P1,1,71,14.000000
LH,52,14.375000,P1,5,52,14.000000
RH,68,14.375000,P1,2,68,14.000000
RH,76,14.500000,P1,1,76,14.250000
RH,75,14.750000,P1,1,75,14.500000
RH,74,15.000000,P1,1,74,14.750000
RH,62,15.125000,P1,2,62,15.000000
RH,73,15.125000,P1,1,73,15.000000
RH,72,15.333333,P1,1,72,15.250000
RH,71,15.500000,P1,1,71,15.500000
RH,70,15.666667,P1,1,70,15.750000
LH,45,15.875000,P1,5,45,16.000000
RH,60,15.875000,P1,2,60,16.000000
RH,69,15.875000,P1,1,69,16.000000
RH,70,16.125000,P1,1,70,16.250000
RH,71,16.250000,P1,1,71,16.500000
RH,72,16.500000,P1,1,72,16.750000
LH,52,16.625000,P1,5,52,17.000000
LH,57,16.625000,P1,5,57,17.000000
RH,60,16.625000,P1,5,60,17.000000
RH,64,16.625000,P1,2,64,17.000000
RH,73,16.625000,P1,1,73,17.000000
RH,74,16.750000,P1,1,74,17.250000
RH,75,17.000000,P1,1,75,17.500000
RH,76,17.250000,P1,1,76,17.750000
LH,45,17.375000,P1,5,45,18.000000
RH,69,17.375000,P1,2,69,18.000000
RH,77,17.375000,P1,1,77,18.000000
RH,78,17.625000,P1,1,78,18.250000
RH,79,17.750000,P1,1,79,18.500000
RH,80,18.000000,P1,1,80,18.750000
LH,53,18.125000,P1,5,53,19.000000
LH,57,18.125000,P1,5,57,19.000000
RH,62,18.125000,P1,5,62,19.000000
RH,81,18.125000,P1,1,81,19.000000
RH,82,18.333333,P1,1,82,19.250000
RH,83,18.500000,P1,1,83,19.500000
RH,84,18.666667,P1,1,84,19.750000
LH,33,18.875000,P1,5,33,20.000000
LH,45,18.875000,P1,5,45,20.000000
RH,76,18.875000,P1,2,76,20.000000
RH,81,18.875000,P1,2,81,20.000000
RH,85,18.875000,P1,1,85,20.000000
RH,86,19.125000,P1,1,86,20.250000
RH,87,19.250000,P1,1,87,20.500000
RH,88,19.500000,P1,1,88,20.750000
LH,52,19.666667,P1,5,52,21.000000
LH,57,19.666667,P1,5,57,21.000000
RH,60,19.666667,P1,5,60,21.000000
RH,89,19.666667,P1,1,89,21.000000
RH,81,19.750000,P1,2,81,21.000000
RH,88,19.875000,P1,1,88,21.250000
RH,87,20.125000,P1,1,87,21.500000
RH,86,20.250000,P1,1,86,21.750000
LH,57,20.500000,P1,5,57,22.000000
RH,60,20.500000,P1,5,60,22.000000
RH,64,20.500000,P1,5,64,22.000000
RH,76,20.500000,P1,2,76,22.000000
RH,85,20.500000,P1,1,85,22.000000
RH,84,20.666667,P1,1,84,22.250000
RH,83,20.875000,P1,1,83,22.500000
