hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,44,3.000000,P1,5,44,0.000000
RH,68,3.000000,P1,2,68,0.000000
RH,78,3.125000,P1,1,78,0.250000
RH,76,3.333333,P1,1,76,0.500000
RH,75,3.500000,P1,1,75,0.750000
RH,76,8.375000,P1,1,76,7.500000
RH,61,8.750000,P1,5,61,8.000000
RH,85,9.250000,P1,1,85,8.750000
RH,80,9.625000,P1,1,80,9.250000
RH,78,10.250000,P1,1,78,10.250000
RH,61,10.750000,P1,5,61,11.000000
RH,76,11.000000,P1,1,76,11.250000
LH,56,11.500000,P1,5,56,12.000000
RH,68,13.000000,P1,1,68,14.000000
LH,44,13.750000,P1,5,44,15.000000
LH,56,13.750000,P1,5,56,15.000000
RH,68,13.750000,P1,1,68,15.000000
LH,44,15.333333,P1,5,44,17.000000
RH,68,15.333333,P1,1,68,17.000000
LH,43,15.666667,P1,5,43,17.500000
RH,63,16.750000,P1,1,63,19.000000
LH,49,17.000000,P1,5,49,19.250000
RH,68,17.500000,P1,1,68,20.000000
RH,63,18.250000,P1,1,63,21.000000
RH,68,19.000000,P1,1,68,22.000000
RH,68,19.666667,P1,1,68,23.000000
LH,47,20.000000,P1,5,47,23.500000
RH,63,20.375000,P1,1,63,24.000000
RH,68,21.125000,P1,1,68,25.000000
RH,63,23.250000,P1,1,63,28.000000
LH,51,23.875000,P1,5,51,28.750000
RH,63,25.625000,P1,1,63,31.000000
RH,68,26.250000,P1,1,68,32.000000
RH,64,28.500000,P1,5,64,35.000000
RH,76,31.750000,P1,1,76,39.500000
RH,61,32.125000,P1,5,61,40.000000
RH,85,32.666667,P1,1,85,40.750000
RH,80,33.000000,P1,1,80,41.250000
RH,78,33.750000,P1,1,78,42.250000
LH,54,35.666667,P1,5,54,45.000000
RH,61,36.375000,P1,5,61,46.000000
RH,69,37.875000,P1,1,69,48.000000
RH,62,38.333333,P1,5,62,48.500000
LH,42,39.875000,P1,5,42,50.000000
RH,62,41.500000,P1,2,62,52.000000
RH,66,45.333333,P1,1,66,57.000000
RH,72,49.125000,P1,1,72,62.000000
LH,52,49.875000,P1,5,52,63.000000
RH,64,49.875000,P1,2,64,63.000000
RH,68,49.875000,P1,2,68,63.000000
RH,73,49.875000,P1,1,73,63.000000
RH,68,52.125000,P1,1,68,66.000000
RH,70,56.125000,P1,1,70,71.500000
RH,63,61.500000,P1,1,63,79.000000
LH,46,61.875000,P1,5,46,79.500000
RH,61,63.750000,P1,1,61,82.000000
RH,70,63.750000,P1,1,70,82.000000
RH,72,67.875000,P1,1,72,87.500000
RH,65,71.875000,P1,1,65,93.000000
RH,63,72.625000,P1,1,63,94.000000
RH,61,73.333333,P1,1,61,95.000000
RH,65,73.333333,P1,1,65,95.000000
LH,58,75.625000,P1,1,58,98.000000
RH,61,75.625000,P1,1,61,98.000000
LH,58,76.375000,P1,1,58,99.000000
RH,61,78.625000,P1,2,61,102.000000
RH,63,81.000000,P1,2,63,105.000000
LH,59,82.500000,P1,5,59,107.000000
LH,59,83.250000,P1,5,59,108.000000
RH,66,83.250000,P1,2,66,108.000000
