hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,68,3.000000,P1,2,68,0.000000
RH,78,3.000000,P1,1,78,0.250000
RH,80,3.000000,P1,1,80,0.000000
RH,76,3.250000,P1,1,76,0.500000
RH,75,3.375000,P1,1,75,0.750000
RH,76,7.750000,P1,1,76,7.500000
RH,61,8.000000,P1,5,61,8.000000
RH,85,8.500000,P1,1,85,8.750000
RH,80,8.875000,P1,1,80,9.250000
RH,78,9.500000,P1,1,78,10.250000
RH,61,9.875000,P1,5,61,11.000000
RH,76,10.000000,P1,1,76,11.250000
LH,56,10.500000,P1,5,56,12.000000
RH,68,11.750000,P1,1,68,14.000000
LH,44,12.375000,P1,5,44,15.000000
LH,56,12.375000,P1,5,56,15.000000
RH,68,12.375000,P1,1,68,15.000000
RH,68,13.750000,P1,1,68,17.000000
LH,44,13.875000,P1,5,44,17.000000
LH,43,14.125000,P1,5,43,17.500000
RH,63,15.125000,P1,1,63,19.000000
LH,49,15.333333,P1,5,49,19.250000
RH,68,15.750000,P1,1,68,20.000000
RH,63,16.375000,P1,1,63,21.000000
RH,68,17.125000,P1,1,68,22.000000
RH,68,17.750000,P1,1,68,23.000000
LH,47,18.125000,P1,5,47,23.500000
RH,63,18.375000,P1,1,63,24.000000
RH,68,19.125000,P1,1,68,25.000000
RH,63,21.125000,P1,1,63,28.000000
LH,51,21.625000,P1,5,51,28.750000
RH,63,23.000000,P1,1,63,31.000000
RH,68,23.666667,P1,1,68,32.000000
RH,64,25.666667,P1,5,64,35.000000
RH,76,28.625000,P1,1,76,39.500000
RH,61,28.875000,P1,5,61,40.000000
RH,85,29.375000,P1,1,85,40.750000
RH,80,29.750000,P1,1,80,41.250000
RH,78,30.500000,P1,1,78,42.250000
LH,54,32.125000,P1,5,54,45.000000
RH,61,32.875000,P1,5,61,46.000000
RH,69,34.125000,P1,1,69,48.000000
RH,62,34.500000,P1,5,62,48.500000
LH,42,35.666667,P1,5,42,50.000000
RH,62,37.125000,P1,2,62,52.000000
RH,66,40.750000,P1,1,66,57.000000
RH,72,44.250000,P1,1,72,62.000000
LH,52,45.000000,P1,5,52,63.000000
RH,64,45.000000,P1,2,64,63.000000
RH,68,45.000000,P1,2,68,63.000000
RH,73,45.000000,P1,1,73,63.000000
RH,68,47.000000,P1,1,68,66.000000
RH,70,50.666667,P1,1,70,71.500000
RH,63,55.750000,P1,1,63,79.000000
LH,46,56.125000,P1,5,46,79.500000
RH,61,57.875000,P1,1,61,82.000000
RH,70,57.875000,P1,1,70,82.000000
RH,72,61.500000,P1,1,72,87.500000
RH,65,65.333333,P1,1,65,93.000000
RH,63,66.000000,P1,1,63,94.000000
RH,65,66.625000,P1,1,65,95.000000
RH,61,66.666667,P1,1,61,95.000000
LH,58,68.666667,P1,1,58,98.000000
RH,61,68.750000,P1,1,61,98.000000
LH,58,69.333333,P1,1,58,99.000000
RH,61,71.375000,P1,2,61,102.000000
RH,63,73.500000,P1,2,63,105.000000
LH,59,74.875000,P1,5,59,107.000000
LH,59,75.625000,P1,5,59,108.000000
RH,66,75.625000,P1,2,66,108.000000
LH,59,76.333333,P1,5,59,109.000000
RH,67,76.333333,P1,2,67,109.000000
LH,59,77.000000,P1,5,59,110.000000
RH,68,77.000000,P1,2,68,110.000000
LH,59,77.750000,P1,5,59,111.000000
RH,69,77.750000,P1,2,69,111.000000
LH,59,78.375000,P1,5,59,112.000000
RH,70,78.375000,P1,2,70,112.000000
LH,59,79.125000,P1,5,59,113.000000
RH,71,79.125000,P1,2,71,113.000000
RH,78,80.125000,P1,1,78,114.250000
RH,76,81.375000,P1,1,76,116.250000
LH,55,85.125000,P1,5,55,121.750000
RH,71,86.750000,P1,2,71,124.000000
RH,69,87.500000,P1,2,69,125.000000
RH,67,88.250000,P1,2,67,126.000000
RH,66,88.875000,P1,2,66,127.000000
RH,64,89.625000,P1,2,64,128.000000
RH,62,90.333333,P1,2,62,129.000000
RH,68,92.375000,P1,1,68,132.000000
LH,49,93.125000,P1,5,49,133.000000
LH,50,93.333333,P1,5,50,133.250000
