hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,44,2.000000,P1,5,44,0.000000
LH,56,2.000000,P1,5,56,0.000000
RH,78,2.125000,P1,1,78,0.250000
RH,76,2.250000,P1,1,76,0.500000
RH,75,2.375000,P1,1,75,0.750000
RH,76,6.875000,P1,1,76,7.500000
RH,61,7.250000,P1,5,61,8.000000
RH,85,7.666667,P1,1,85,8.750000
RH,80,8.125000,P1,1,80,9.250000
RH,78,8.666667,P1,1,78,10.250000
RH,61,9.125000,P1,5,61,11.000000
RH,76,9.375000,P1,1,76,11.250000
LH,56,9.750000,P1,5,56,12.000000
RH,68,11.125000,P1,1,68,14.000000
LH,44,11.875000,P1,5,44,15.000000
LH,56,11.875000,P1,5,56,15.000000
RH,68,11.875000,P1,1,68,15.000000
LH,44,13.250000,P1,5,44,17.000000
RH,68,13.250000,P1,1,68,17.000000
LH,43,13.666667,P1,5,43,17.500000
RH,63,14.666667,P1,1,63,19.000000
LH,49,14.875000,P1,5,49,19.250000
RH,68,15.375000,P1,1,68,20.000000
RH,63,16.000000,P1,1,63,21.000000
RH,68,16.750000,P1,1,68,22.000000
RH,68,17.375000,P1,1,68,23.000000
RH,63,18.125000,P1,1,63,24.000000
RH,68,18.750000,P1,1,68,25.000000
RH,63,20.750000,P1,1,63,28.000000
LH,51,21.125000,P1,5,51,28.750000
RH,63,22.750000,P1,1,63,31.000000
RH,68,23.375000,P1,1,68,32.000000
RH,64,25.375000,P1,5,64,35.000000
RH,76,28.375000,P1,1,76,39.500000
RH,61,28.666667,P1,5,61,40.000000
RH,85,29.125000,P1,1,85,40.750000
RH,80,29.500000,P1,1,80,41.250000
RH,78,30.125000,P1,1,78,42.250000
LH,54,31.875000,P1,5,54,45.000000
RH,61,32.500000,P1,5,61,46.000000
RH,69,33.875000,P1,1,69,48.000000
RH,62,34.250000,P1,5,62,48.500000
LH,42,35.750000,P1,5,42,50.000000
RH,62,37.125000,P1,2,62,52.000000
RH,66,40.666667,P1,1,66,57.000000
RH,72,44.000000,P1,1,72,62.000000
LH,52,44.750000,P1,5,52,63.000000
RH,64,44.750000,P1,2,64,63.000000
RH,68,44.750000,P1,2,68,63.000000
RH,73,44.750000,P1,1,73,63.000000
RH,68,46.666667,P1,1,68,66.000000
RH,70,50.333333,P1,1,70,71.500000
RH,63,55.375000,P1,1,63,79.000000
