hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,44,2.000000,P1,5,44,0.000000
RH,68,2.000000,P1,2,68,0.000000
RH,78,2.250000,P1,1,78,0.250000
RH,76,2.375000,P1,1,76,0.500000
RH,75,2.500000,P1,1,75,0.750000
RH,76,7.500000,P1,1,76,7.500000
RH,61,7.750000,P1,5,61,8.000000
RH,85,8.333333,P1,1,85,8.750000
RH,80,8.666667,P1,1,80,9.250000
RH,78,9.375000,P1,1,78,10.250000
RH,61,9.875000,P1,5,61,11.000000
RH,76,10.000000,P1,1,76,11.250000
LH,56,10.666667,P1,5,56,12.000000
RH,68,12.125000,P1,1,68,14.000000
LH,44,12.875000,P1,5,44,15.000000
LH,56,12.875000,P1,5,56,15.000000
RH,68,12.875000,P1,1,68,15.000000
LH,44,14.375000,P1,5,44,17.000000
RH,68,14.375000,P1,1,68,17.000000
LH,43,14.750000,P1,5,43,17.500000
RH,63,15.875000,P1,1,63,19.000000
LH,49,16.000000,P1,5,49,19.250000
RH,68,16.500000,P1,1,68,20.000000
RH,63,17.250000,P1,1,63,21.000000
RH,68,18.000000,P1,1,68,22.000000
RH,68,18.625000,P1,1,68,23.000000
LH,47,19.000000,P1,5,47,23.500000
RH,63,19.375000,P1,1,63,24.000000
RH,68,20.125000,P1,1,68,25.000000
RH,63,22.250000,P1,1,63,28.000000
LH,51,22.875000,P1,5,51,28.750000
RH,63,24.500000,P1,1,63,31.000000
RH,68,25.250000,P1,1,68,32.000000
RH,64,27.500000,P1,5,64,35.000000
RH,76,30.666667,P1,1,76,39.500000
RH,61,31.000000,P1,5,61,40.000000
RH,85,31.625000,P1,1,85,40.750000
RH,80,31.875000,P1,1,80,41.250000
RH,78,32.666667,P1,1,78,42.250000
LH,54,34.750000,P1,5,54,45.000000
RH,61,35.375000,P1,5,61,46.000000
RH,69,36.875000,P1,1,69,48.000000
RH,62,37.375000,P1,5,62,48.500000
LH,42,38.666667,P1,5,42,50.000000
RH,62,40.125000,P1,2,62,52.000000
RH,66,43.875000,P1,1,66,57.000000
RH,72,47.625000,P1,1,72,62.000000
LH,52,48.250000,P1,5,52,63.000000
RH,64,48.250000,P1,2,64,63.000000
RH,73,48.250000,P1,1,73,63.000000
RH,68,50.500000,P1,1,68,66.000000
RH,70,54.500000,P1,1,70,71.500000
RH,63,59.875000,P1,1,63,79.000000
LH,46,60.250000,P1,5,46,79.500000
RH,61,62.125000,P1,1,61,82.000000
RH,70,62.125000,P1,1,70,82.000000
RH,72,66.125000,P1,1,72,87.500000
RH,65,70.000000,P1,1,65,93.000000
RH,63,70.750000,P1,1,63,94.000000
RH,61,71.500000,P1,1,61,95.000000
RH,65,71.500000,P1,1,65,95.000000
LH,58,73.666667,P1,1,58,98.000000
RH,61,73.666667,P1,1,61,98.000000
LH,58,74.375000,P1,1,58,99.000000
RH,61,76.625000,P1,2,61,102.000000
RH,63,78.875000,P1,2,63,105.000000
LH,59,80.333333,P1,5,59,107.000000
LH,59,81.000000,P1,5,59,108.000000
