hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,68,2.000000,P1,2,68,0.000000
RH,80,2.000000,P1,1,80,0.000000
RH,78,2.250000,P1,1,78,0.250000
RH,76,2.375000,P1,1,76,0.500000
RH,75,2.500000,P1,1,75,0.750000
RH,76,6.500000,P1,1,76,7.500000
RH,61,6.750000,P1,5,61,8.000000
RH,78,8.250000,P1,1,78,10.250000
RH,61,8.625000,P1,5,61,11.000000
RH,76,8.750000,P1,1,76,11.250000
LH,56,9.250000,P1,5,56,12.000000
RH,68,10.750000,P1,1,68,14.000000
LH,44,11.333333,P1,5,44,15.000000
RH,68,11.333333,P1,1,68,15.000000
LH,56,11.375000,P1,5,56,15.000000
LH,44,12.625000,P1,5,44,17.000000
RH,68,12.750000,P1,1,68,17.000000
LH,43,13.000000,P1,5,43,17.500000
RH,63,14.000000,P1,1,63,19.000000
LH,49,14.125000,P1,5,49,19.250000
RH,68,14.625000,P1,1,68,20.000000
RH,63,15.333333,P1,1,63,21.000000
RH,68,16.000000,P1,1,68,22.000000
RH,68,16.500000,P1,1,68,23.000000
LH,47,16.875000,P1,5,47,23.500000
RH,63,17.125000,P1,1,63,24.000000
RH,68,17.875000,P1,1,68,25.000000
RH,63,19.875000,P1,1,63,28.000000
RH,63,22.000000,P1,1,63,31.000000
RH,68,22.625000,P1,1,68,32.000000
RH,64,24.625000,P1,5,64,35.000000
RH,76,27.500000,P1,1,76,39.500000
RH,61,27.750000,P1,5,61,40.000000
LH,54,30.875000,P1,5,54,45.000000
RH,61,31.625000,P1,5,61,46.000000
RH,69,32.875000,P1,1,69,48.000000
RH,62,33.375000,P1,5,62,48.500000
LH,42,35.125000,P1,5,42,50.000000
RH,62,36.500000,P1,2,62,52.000000
RH,66,40.125000,P1,1,66,57.000000
RH,72,43.666667,P1,1,72,62.000000
LH,52,44.333333,P1,5,52,63.000000
RH,64,44.333333,P1,2,64,63.000000
RH,68,44.333333,P1,2,68,63.000000
RH,73,44.333333,P1,1,73,63.000000
RH,68,46.375000,P1,1,68,66.000000
RH,70,50.125000,P1,1,70,71.500000
RH,63,55.125000,P1,1,63,79.000000
LH,46,55.500000,P1,5,46,79.500000
RH,61,57.250000,P1,1,61,82.000000
RH,70,57.250000,P1,1,70,82.000000
RH,72,60.750000,P1,1,72,87.500000
RH,65,64.625000,P1,1,65,93.000000
RH,63,65.333333,P1,1,63,94.000000
RH,61,66.000000,P1,1,61,95.000000
RH,65,66.000000,P1,1,65,95.000000
LH,58,68.000000,P1,1,58,98.000000
RH,61,68.000000,P1,1,61,98.000000
LH,58,68.666667,P1,1,58,99.000000
RH,61,70.750000,P1,2,61,102.000000
RH,63,73.000000,P1,2,63,105.000000
LH,59,74.250000,P1,5,59,107.000000
LH,59,75.000000,P1,5,59,108.000000
RH,66,75.000000,P1,2,66,108.000000
LH,59,75.625000,P1,5,59,109.000000
RH,67,75.625000,P1,2,67,109.000000
RH,68,76.250000,P1,2,68,110.000000
LH,59,76.333333,P1,5,59,110.000000
LH,59,77.000000,P1,5,59,111.000000
RH,69,77.000000,P1,2,69,111.000000
LH,59,77.666667,P1,5,59,112.000000
RH,70,77.666667,P1,2,70,112.000000
LH,59,78.375000,P1,5,59,113.000000
RH,71,78.375000,P1,2,71,113.000000
RH,78,79.250000,P1,1,78,114.250000
RH,76,80.625000,P1,1,76,116.250000
