hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,54,4.000000,P1,5,54,0.000000
LH,58,4.000000,P1,5,58,0.000000
RH,61,4.000000,P1,5,61,0.000000
RH,94,4.125000,P1,1,94,0.166667
RH,85,4.250000,P1,1,85,0.333333
LH,54,4.500000,P1,5,54,0.500000
LH,59,4.500000,P1,5,59,0.500000
RH,63,4.500000,P1,5,63,0.500000
RH,90,4.500000,P1,1,90,0.500000
RH,87,4.625000,P1,1,87,0.666667
RH,90,4.750000,P1,1,90,0.833333
LH,54,4.875000,P1,5,54,1.000000
RH,61,4.875000,P1,5,61,1.000000
RH,66,4.875000,P1,5,66,1.000000
RH,85,4.875000,P1,1,85,1.000000
LH,58,5.000000,P1,5,58,1.000000
RH,82,5.000000,P1,1,82,1.333333
RH,85,5.250000,P1,1,85,1.500000
RH,78,5.375000,P1,1,78,1.666667
RH,82,5.500000,P1,1,82,1.833333
LH,42,5.625000,P1,5,42,2.000000
LH,54,5.625000,P1,5,54,2.000000
RH,78,5.625000,P1,1,78,2.000000
RH,82,5.750000,P1,1,82,2.166667
RH,73,5.875000,P1,1,73,2.333333
LH,59,6.000000,P1,5,59,2.500000
RH,66,6.000000,P1,5,66,2.500000
RH,78,6.000000,P1,1,78,2.500000
RH,75,6.125000,P1,1,75,2.666667
RH,78,6.333333,P1,1,78,2.833333
LH,58,6.375000,P1,5,58,3.000000
RH,66,6.375000,P1,5,66,3.000000
RH,73,6.375000,P1,1,73,3.000000
RH,61,6.500000,P1,5,61,3.000000
RH,78,6.500000,P1,1,78,3.166667
RH,70,6.625000,P1,1,70,3.333333
RH,73,6.750000,P1,1,73,3.500000
RH,66,6.875000,P1,1,66,3.666667
RH,70,7.000000,P1,1,70,3.833333
LH,37,7.125000,P1,5,37,4.000000
RH,61,7.125000,P1,1,61,4.000000
RH,73,7.333333,P1,1,73,4.166667
RH,68,7.500000,P1,1,68,4.333333
LH,56,7.625000,P1,5,56,4.500000
RH,61,7.625000,P1,5,61,4.500000
RH,65,7.625000,P1,5,65,4.500000
RH,73,7.625000,P1,1,73,4.500000
RH,68,7.750000,P1,1,68,4.666667
RH,80,7.875000,P1,1,80,4.833333
LH,56,8.000000,P1,5,56,5.000000
RH,63,8.000000,P1,5,63,5.000000
RH,68,8.000000,P1,1,68,5.000000
RH,80,8.125000,P1,1,80,5.166667
RH,75,8.250000,P1,1,75,5.333333
