hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,84,4.000000,P1,1,84,0.000000
RH,86,4.125000,P1,2,86,0.141667
RH,84,4.250000,P1,2,84,0.285417
RH,86,4.333333,P1,2,86,0.429167
RH,84,4.500000,P1,2,84,0.572917
RH,83,4.625000,P1,2,83,0.716667
RH,84,4.750000,P1,2,84,0.860417
LH,48,6.750000,P1,5,48,4.000000
RH,67,8.333333,P1,1,67,6.250000
LH,57,8.750000,P1,1,57,7.000000
LH,53,9.500000,P1,1,53,8.000000
RH,77,10.666667,P1,1,77,10.000000
LH,48,12.000000,P1,5,48,12.000000
RH,60,13.500000,P1,1,60,14.250000
RH,79,16.375000,P1,1,79,18.500000
LH,48,17.375000,P1,5,48,20.000000
RH,69,19.000000,P1,1,69,22.250000
LH,58,19.500000,P1,1,58,23.000000
LH,55,20.125000,P1,1,55,24.000000
RH,79,21.500000,P1,1,79,26.000000
LH,48,22.875000,P1,5,48,28.000000
RH,60,24.375000,P1,1,60,30.250000
RH,65,27.625000,P1,5,65,35.000000
LH,53,28.250000,P1,5,53,36.000000
RH,65,28.250000,P1,5,65,36.000000
RH,89,28.500000,P1,1,89,36.250000
RH,77,29.750000,P1,1,77,38.250000
LH,53,30.250000,P1,5,53,39.000000
LH,57,30.250000,P1,5,57,39.000000
RH,60,30.250000,P1,5,60,39.000000
RH,65,30.250000,P1,5,65,39.000000
LH,53,30.875000,P1,5,53,40.000000
RH,65,30.875000,P1,5,65,40.000000
RH,89,31.125000,P1,1,89,40.250000
RH,81,32.666667,P1,1,81,42.750000
RH,62,34.625000,P1,5,62,46.000000
RH,67,45.375000,P1,1,67,62.250000
LH,57,45.875000,P1,1,57,63.000000
LH,53,46.625000,P1,1,53,64.000000
RH,77,48.000000,P1,1,77,66.000000
LH,48,49.333333,P1,5,48,68.000000
RH,60,50.875000,P1,1,60,70.250000
RH,79,53.875000,P1,1,79,74.500000
LH,48,54.875000,P1,5,48,76.000000
RH,69,56.500000,P1,1,69,78.250000
LH,58,57.000000,P1,1,58,79.000000
LH,55,57.750000,P1,1,55,80.000000
RH,79,59.125000,P1,1,79,82.000000
LH,48,60.375000,P1,5,48,84.000000
RH,60,62.000000,P1,1,60,86.250000
RH,65,65.250000,P1,5,65,91.000000
LH,53,66.000000,P1,5,53,92.000000
RH,65,66.000000,P1,5,65,92.000000
RH,89,66.250000,P1,1,89,92.250000
RH,77,67.500000,P1,1,77,94.250000
LH,53,68.000000,P1,5,53,95.000000
RH,60,68.000000,P1,5,60,95.000000
RH,65,68.000000,P1,5,65,95.000000
LH,57,68.125000,P1,5,57,95.000000
RH,65,68.666667,P1,5,65,96.000000
LH,53,68.750000,P1,5,53,96.000000
RH,89,68.875000,P1,1,89,96.250000
RH,81,70.750000,P1,1,81,98.750000
RH,86,76.250000,P1,1,86,106.750000
RH,84,76.375000,P1,1,84,107.000000
RH,86,76.625000,P1,1,86,107.250000
RH,84,76.666667,P1,1,84,107.500000
LH,48,79.875000,P1,5,48,112.000000
LH,45,83.000000,P1,5,45,116.000000
RH,64,84.625000,P1,1,64,118.250000
LH,53,85.125000,P1,1,53,119.000000
LH,50,85.875000,P1,1,50,120.000000
RH,74,87.250000,P1,1,74,122.000000
LH,45,88.500000,P1,5,45,124.000000
LH,57,90.250000,P1,1,57,126.250000
RH,76,93.333333,P1,1,76,130.500000
LH,45,94.333333,P1,5,45,132.000000
RH,65,96.000000,P1,1,65,134.250000
LH,55,96.500000,P1,1,55,135.000000
LH,52,97.250000,P1,1,52,136.000000
RH,76,98.625000,P1,1,76,138.000000
LH,45,100.000000,P1,5,45,140.000000
LH,57,101.625000,P1,1,57,142.250000
LH,47,103.625000,P1,5,47,145.000000
RH,66,104.333333,P1,1,66,146.000000
RH,89,107.125000,P1,1,89,150.000000
RH,87,107.250000,P1,1,87,150.250000
RH,86,107.500000,P1,1,86,150.500000
RH,88,112.500000,P1,1,88,158.000000
RH,86,112.666667,P1,1,86,158.250000
RH,85,112.875000,P1,1,85,158.500000
LH,54,121.500000,P1,5,54,171.000000
LH,57,121.875000,P1,5,57,171.500000
RH,66,122.000000,P1,5,66,171.750000
RH,66,124.000000,P1,1,66,174.750000
RH,69,125.000000,P1,1,69,176.500000
RH,71,125.000000,P1,1,71,176.250000
RH,64,126.500000,P1,1,64,178.750000
RH,69,127.500000,P1,1,69,180.250000
RH,67,127.666667,P1,1,67,180.500000
LH,45,130.625000,P1,5,45,184.750000
LH,49,133.250000,P1,5,49,188.000000
RH,71,133.375000,P1,1,71,188.250000
LH,45,133.875000,P1,5,45,189.000000
RH,72,136.333333,P1,1,72,192.250000
LH,51,138.875000,P1,6,51,196.000000
LH,54,138.875000,P1,6,54,196.000000
RH,73,139.125000,P1,1,73,196.250000
LH,45,139.625000,P1,5,45,197.000000
RH,74,141.875000,P1,1,74,200.250000
LH,55,144.500000,P1,5,55,204.000000
RH,67,149.125000,P1,5,67,211.000000
RH,69,149.250000,P1,5,69,211.250000
RH,70,149.375000,P1,5,70,211.500000
RH,85,149.375000,P1,1,85,211.500000
RH,76,149.500000,P1,5,76,211.750000
RH,88,149.666667,P1,1,88,212.000000
RH,86,149.875000,P1,1,86,212.250000
RH,85,150.000000,P1,1,85,212.500000
RH,88,150.250000,P1,1,88,213.000000
RH,67,150.375000,P1,5,67,213.000000
RH,69,150.500000,P1,5,69,213.250000
RH,86,150.500000,P1,1,86,213.250000
RH,70,150.625000,P1,5,70,213.500000
RH,85,150.625000,P1,1,85,213.500000
RH,69,151.125000,P1,5,69,214.250000
RH,86,151.125000,P1,1,86,214.250000
RH,67,151.625000,P1,5,67,215.000000
RH,88,151.625000,P1,1,88,215.000000
RH,69,151.750000,P1,5,69,215.250000
RH,86,151.750000,P1,1,86,215.250000
RH,70,151.875000,P1,5,70,215.500000
RH,85,151.875000,P1,1,85,215.500000
RH,69,152.375000,P1,5,69,216.250000
RH,86,152.375000,P1,1,86,216.250000
RH,69,153.375000,P1,5,69,217.250000
RH,86,153.375000,P1,1,86,217.250000
RH,67,153.875000,P1,5,67,218.000000
RH,88,153.875000,P1,1,88,218.000000
RH,86,154.000000,P1,1,86,218.250000
RH,70,154.125000,P1,5,70,218.500000
RH,69,154.625000,P1,5,69,219.250000
RH,86,154.625000,P1,1,86,219.250000
RH,88,155.000000,P1,1,88,220.000000
RH,67,155.125000,P1,5,67,220.000000
RH,86,155.250000,P1,1,86,220.250000
RH,70,155.333333,P1,5,70,220.500000
RH,84,155.333333,P1,1,84,220.500000
RH,88,155.666667,P1,1,88,221.000000
RH,67,155.750000,P1,5,67,221.000000
RH,69,155.875000,P1,5,69,221.250000
RH,86,155.875000,P1,1,86,221.250000
RH,70,156.000000,P1,5,70,221.500000
RH,84,156.000000,P1,1,84,221.500000
RH,69,156.500000,P1,5,69,222.250000
RH,86,156.500000,P1,1,86,222.250000
RH,67,157.000000,P1,5,67,223.000000
RH,88,157.000000,P1,1,88,223.000000
RH,69,157.125000,P1,5,69,223.250000
RH,86,157.125000,P1,1,86,223.250000
RH,70,157.333333,P1,5,70,223.500000
RH,84,157.333333,P1,1,84,223.500000
RH,69,157.875000,P1,5,69,224.250000
RH,86,157.875000,P1,1,86,224.250000
RH,67,158.500000,P1,5,67,225.000000
RH,88,158.500000,P1,1,88,225.000000
RH,69,158.666667,P1,5,69,225.250000
RH,86,158.750000,P1,1,86,225.250000
RH,70,159.000000,P1,5,70,225.500000
RH,84,159.000000,P1,1,84,225.500000
RH,69,159.666667,P1,5,69,226.250000
RH,69,160.250000,P1,5,69,227.250000
RH,67,160.750000,P1,5,67,228.000000
RH,88,160.750000,P1,1,88,228.000000
RH,69,161.000000,P1,5,69,228.250000
RH,86,161.000000,P1,1,86,228.250000
RH,70,161.125000,P1,5,70,228.500000
RH,76,161.250000,P1,5,76,228.750000
RH,79,161.250000,P1,1,79,228.750000
RH,69,161.625000,P1,5,69,229.250000
RH,68,162.125000,P1,5,68,230.000000
RH,89,162.125000,P1,1,89,230.000000
RH,69,162.250000,P1,5,69,230.250000
RH,88,162.250000,P1,1,88,230.250000
RH,71,162.375000,P1,5,71,230.500000
RH,86,162.375000,P1,1,86,230.500000
RH,77,162.625000,P1,5,77,230.750000
RH,80,162.625000,P1,1,80,230.750000
RH,69,163.000000,P1,5,69,231.250000
RH,88,164.250000,P1,1,88,233.250000
RH,69,166.125000,P1,5,69,236.000000
RH,90,166.125000,P1,1,90,236.000000
RH,70,166.250000,P1,5,70,236.250000
RH,88,166.250000,P1,1,88,236.250000
RH,72,166.375000,P1,5,72,236.500000
RH,87,166.375000,P1,1,87,236.500000
RH,78,166.500000,P1,5,78,236.750000
RH,81,166.500000,P1,1,81,236.750000
RH,70,167.375000,P1,5,70,238.000000
RH,91,167.375000,P1,1,91,238.000000
RH,72,167.625000,P1,5,72,238.250000
RH,89,167.625000,P1,1,89,238.250000
RH,73,167.750000,P1,5,73,238.500000
RH,88,167.750000,P1,1,88,238.500000
RH,79,167.875000,P1,5,79,238.750000
RH,82,167.875000,P1,1,82,238.750000
RH,72,169.500000,P1,5,72,241.250000
RH,67,173.333333,P1,1,67,246.250000
LH,57,173.875000,P1,1,57,247.000000
LH,53,174.625000,P1,1,53,248.000000
RH,77,176.000000,P1,1,77,250.000000
LH,48,177.375000,P1,5,48,252.000000
RH,60,179.000000,P1,1,60,254.250000
RH,79,182.000000,P1,1,79,258.500000
LH,48,183.000000,P1,5,48,260.000000
RH,69,184.625000,P1,1,69,262.250000
LH,58,185.125000,P1,1,58,263.000000
LH,55,185.875000,P1,1,55,264.000000
RH,79,187.250000,P1,1,79,266.000000
LH,48,188.625000,P1,5,48,268.000000
RH,60,190.125000,P1,1,60,270.250000
RH,65,193.375000,P1,5,65,275.000000
LH,53,194.125000,P1,5,53,276.000000
RH,65,194.125000,P1,5,65,276.000000
RH,89,194.333333,P1,1,89,276.250000
RH,77,195.625000,P1,1,77,278.250000
LH,53,196.333333,P1,5,53,279.000000
RH,60,196.333333,P1,5,60,279.000000
RH,65,196.333333,P1,5,65,279.000000
LH,57,196.375000,P1,5,57,279.000000
LH,53,197.000000,P1,5,53,280.000000
RH,65,197.000000,P1,5,65,280.000000
RH,89,197.250000,P1,1,89,280.250000
RH,65,201.500000,P1,1,65,286.250000
LH,48,205.250000,P1,5,48,292.000000
LH,58,208.500000,P1,1,58,296.000000
LH,48,209.500000,P1,5,48,296.750000
RH,60,211.750000,P1,2,60,299.000000
LH,41,212.375000,P1,5,41,300.000000
RH,67,214.625000,P1,1,67,303.500000
LH,50,214.875000,P1,5,50,304.000000
LH,58,215.000000,P1,5,58,304.000000
LH,53,221.375000,P1,5,53,313.000000
RH,65,222.875000,P1,5,65,315.000000
RH,63,223.500000,P1,6,63,316.000000
RH,65,223.500000,P1,5,65,316.000000
RH,65,224.333333,P1,5,65,317.000000
RH,65,225.125000,P1,5,65,318.000000
RH,65,226.375000,P1,5,65,320.000000
RH,60,230.875000,P1,5,60,326.000000
RH,86,231.333333,P1,1,86,326.750000
RH,84,231.500000,P1,1,84,327.000000
RH,86,231.625000,P1,1,86,327.250000
RH,84,231.750000,P1,1,84,327.500000
RH,60,236.375000,P1,5,60,334.000000
RH,90,243.250000,P1,1,90,343.250000
RH,91,243.875000,P1,1,91,344.500000
RH,98,244.125000,P1,1,98,344.750000
RH,91,244.666667,P1,1,91,345.500000
RH,98,244.875000,P1,1,98,345.750000
RH,91,245.333333,P1,1,91,346.500000
RH,98,245.375000,P1,1,98,346.750000
RH,91,245.875000,P1,1,91,347.500000
RH,98,246.000000,P1,1,98,347.750000
RH,91,246.500000,P1,1,91,348.500000
RH,98,246.666667,P1,1,98,348.750000
RH,96,246.875000,P1,1,96,349.000000
RH,93,247.125000,P1,1,93,349.250000
RH,91,247.333333,P1,1,91,349.500000
RH,98,247.500000,P1,1,98,349.750000
RH,91,248.000000,P1,1,91,350.500000
RH,98,248.000000,P1,1,98,350.750000
RH,96,248.250000,P1,1,96,351.000000
RH,93,248.375000,P1,1,93,351.250000
RH,91,248.625000,P1,1,91,351.500000
RH,98,248.625000,P1,1,98,351.750000
RH,96,248.875000,P1,1,96,352.000000
RH,91,252.000000,P1,1,91,355.250000
RH,81,252.375000,P1,5,81,356.000000
RH,77,253.000000,P1,5,77,357.000000
RH,82,253.125000,P1,5,82,357.250000
RH,81,253.250000,P1,5,81,357.500000
RH,74,253.500000,P1,5,74,357.750000
RH,72,253.625000,P1,5,72,358.000000
RH,79,253.750000,P1,5,79,358.250000
RH,77,254.000000,P1,5,77,358.500000
RH,70,254.125000,P1,5,70,358.750000
RH,69,254.250000,P1,5,69,359.000000
RH,74,254.375000,P1,5,74,359.250000
RH,72,254.500000,P1,5,72,359.500000
RH,67,254.750000,P1,5,67,359.750000
RH,65,254.875000,P1,5,65,360.000000
RH,70,255.000000,P1,5,70,360.250000
RH,69,255.250000,P1,5,69,360.500000
RH,62,255.375000,P1,5,62,360.750000
RH,60,255.500000,P1,5,60,361.000000
RH,67,255.666667,P1,5,67,361.250000
RH,65,255.875000,P1,5,65,361.500000
LH,58,256.000000,P1,5,58,361.750000
LH,57,256.125000,P1,5,57,362.000000
RH,62,256.333333,P1,5,62,362.250000
RH,60,256.375000,P1,5,60,362.500000
LH,55,256.625000,P1,5,55,362.750000
LH,53,256.750000,P1,5,53,363.000000
LH,50,258.125000,P1,5,50,365.250000
RH,62,258.125000,P1,1,62,365.250000
RH,60,258.250000,P1,1,60,365.500000
LH,48,258.333333,P1,5,48,365.500000
LH,50,258.666667,P1,5,50,366.250000
RH,62,258.666667,P1,1,62,366.250000
LH,48,258.875000,P1,5,48,366.500000
RH,60,258.875000,P1,1,60,366.500000
RH,62,259.333333,P1,1,62,367.250000
LH,50,259.375000,P1,5,50,367.250000
RH,60,259.500000,P1,1,60,367.500000
LH,48,259.625000,P1,5,48,367.500000
LH,50,259.875000,P1,5,50,368.250000
RH,62,259.875000,P1,1,62,368.250000
