hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,86,4.125000,P1,2,86,0.141667
RH,84,4.333333,P1,2,84,0.285417
RH,86,4.375000,P1,2,86,0.429167
RH,84,4.500000,P1,2,84,0.572917
RH,83,4.625000,P1,2,83,0.716667
RH,84,4.750000,P1,2,84,0.860417
LH,48,6.666667,P1,5,48,4.000000
RH,67,7.875000,P1,1,67,6.250000
LH,57,8.375000,P1,1,57,7.000000
LH,53,9.000000,P1,1,53,8.000000
RH,77,10.125000,P1,1,77,10.000000
LH,48,11.250000,P1,5,48,12.000000
RH,60,12.500000,P1,1,60,14.250000
RH,79,15.125000,P1,1,79,18.500000
LH,48,16.000000,P1,5,48,20.000000
RH,69,17.333333,P1,1,69,22.250000
LH,58,17.750000,P1,1,58,23.000000
LH,55,18.333333,P1,1,55,24.000000
RH,79,19.500000,P1,1,79,26.000000
LH,48,20.625000,P1,5,48,28.000000
RH,60,21.875000,P1,1,60,30.250000
RH,65,24.750000,P1,5,65,35.000000
LH,53,25.375000,P1,5,53,36.000000
RH,65,25.375000,P1,5,65,36.000000
RH,89,25.625000,P1,1,89,36.250000
RH,77,26.666667,P1,1,77,38.250000
LH,53,27.125000,P1,5,53,39.000000
LH,57,27.125000,P1,5,57,39.000000
RH,65,27.125000,P1,5,65,39.000000
RH,60,27.250000,P1,5,60,39.000000
LH,53,27.666667,P1,5,53,40.000000
RH,65,27.666667,P1,5,65,40.000000
RH,89,27.875000,P1,1,89,40.250000
RH,81,29.333333,P1,1,81,42.750000
RH,62,31.125000,P1,5,62,46.000000
RH,67,41.125000,P1,1,67,62.250000
LH,57,41.500000,P1,1,57,63.000000
LH,53,42.375000,P1,1,53,64.000000
RH,77,43.500000,P1,1,77,66.000000
RH,60,46.000000,P1,1,60,70.250000
RH,79,48.625000,P1,1,79,74.500000
LH,48,49.500000,P1,5,48,76.000000
RH,69,50.875000,P1,1,69,78.250000
LH,58,51.375000,P1,1,58,79.000000
LH,55,52.125000,P1,1,55,80.000000
RH,79,53.250000,P1,1,79,82.000000
LH,48,54.500000,P1,5,48,84.000000
RH,60,55.875000,P1,1,60,86.250000
RH,65,58.750000,P1,5,65,91.000000
LH,53,59.375000,P1,5,53,92.000000
RH,65,59.375000,P1,5,65,92.000000
RH,89,59.625000,P1,1,89,92.250000
RH,77,60.750000,P1,1,77,94.250000
LH,57,61.250000,P1,5,57,95.000000
RH,65,61.250000,P1,5,65,95.000000
LH,53,61.333333,P1,5,53,95.000000
RH,60,61.333333,P1,5,60,95.000000
LH,53,61.875000,P1,5,53,96.000000
RH,65,61.875000,P1,5,65,96.000000
RH,89,62.000000,P1,1,89,96.250000
RH,81,63.750000,P1,1,81,98.750000
RH,86,68.666667,P1,1,86,106.750000
RH,84,68.875000,P1,1,84,107.000000
RH,86,69.000000,P1,1,86,107.250000
RH,84,69.125000,P1,1,84,107.500000
LH,48,71.875000,P1,5,48,112.000000
LH,45,74.500000,P1,5,45,116.000000
RH,64,75.875000,P1,1,64,118.250000
LH,53,76.375000,P1,1,53,119.000000
LH,50,77.000000,P1,1,50,120.000000
RH,74,78.125000,P1,1,74,122.000000
LH,45,79.333333,P1,5,45,124.000000
LH,57,80.666667,P1,1,57,126.250000
RH,76,83.333333,P1,1,76,130.500000
LH,45,84.250000,P1,5,45,132.000000
RH,65,85.666667,P1,1,65,134.250000
LH,55,86.125000,P1,1,55,135.000000
LH,52,86.750000,P1,1,52,136.000000
RH,76,87.875000,P1,1,76,138.000000
LH,45,89.250000,P1,5,45,140.000000
LH,57,90.500000,P1,1,57,142.250000
LH,47,92.250000,P1,5,47,145.000000
RH,66,92.875000,P1,1,66,146.000000
RH,87,95.125000,P1,1,87,150.250000
RH,89,95.125000,P1,1,89,150.000000
RH,86,95.333333,P1,1,86,150.500000
RH,88,99.875000,P1,1,88,158.000000
RH,86,100.000000,P1,1,86,158.250000
RH,85,100.125000,P1,1,85,158.500000
LH,54,107.875000,P1,5,54,171.000000
LH,57,108.125000,P1,5,57,171.500000
RH,66,108.250000,P1,5,66,171.750000
RH,66,110.125000,P1,1,66,174.750000
RH,69,111.125000,P1,1,69,176.500000
RH,71,111.125000,P1,1,71,176.250000
RH,64,112.625000,P1,1,64,178.750000
RH,69,113.500000,P1,1,69,180.250000
RH,67,113.666667,P1,1,67,180.500000
LH,45,116.375000,P1,5,45,184.750000
LH,49,118.625000,P1,5,49,188.000000
RH,71,118.750000,P1,1,71,188.250000
RH,72,121.250000,P1,1,72,192.250000
LH,51,123.500000,P1,6,51,196.000000
LH,54,123.500000,P1,6,54,196.000000
RH,73,123.666667,P1,1,73,196.250000
RH,74,126.250000,P1,1,74,200.250000
LH,55,128.500000,P1,5,55,204.000000
RH,67,132.625000,P1,5,67,211.000000
RH,69,132.750000,P1,5,69,211.250000
RH,70,132.875000,P1,5,70,211.500000
RH,85,132.875000,P1,1,85,211.500000
RH,76,133.000000,P1,5,76,211.750000
RH,88,133.125000,P1,1,88,212.000000
RH,86,133.250000,P1,1,86,212.250000
RH,85,133.375000,P1,1,85,212.500000
RH,67,133.666667,P1,5,67,213.000000
RH,88,133.666667,P1,1,88,213.000000
RH,69,133.875000,P1,5,69,213.250000
RH,86,133.875000,P1,1,86,213.250000
RH,70,134.000000,P1,5,70,213.500000
RH,85,134.000000,P1,1,85,213.500000
RH,69,134.375000,P1,5,69,214.250000
RH,86,134.375000,P1,1,86,214.250000
RH,67,134.875000,P1,5,67,215.000000
RH,88,134.875000,P1,1,88,215.000000
RH,86,135.000000,P1,1,86,215.250000
RH,69,135.125000,P1,5,69,215.250000
RH,85,135.125000,P1,1,85,215.500000
RH,70,135.250000,P1,5,70,215.500000
RH,69,135.625000,P1,5,69,216.250000
RH,86,135.625000,P1,1,86,216.250000
RH,86,136.125000,P1,1,86,217.250000
RH,69,136.250000,P1,5,69,217.250000
RH,88,136.625000,P1,1,88,218.000000
RH,67,136.750000,P1,5,67,218.000000
RH,86,136.750000,P1,1,86,218.250000
RH,70,136.875000,P1,5,70,218.500000
RH,69,137.333333,P1,5,69,219.250000
RH,86,137.333333,P1,1,86,219.250000
RH,88,137.750000,P1,1,88,220.000000
RH,67,137.875000,P1,5,67,220.000000
RH,86,137.875000,P1,1,86,220.250000
RH,69,138.000000,P1,5,69,220.250000
RH,84,138.000000,P1,1,84,220.500000
RH,70,138.125000,P1,5,70,220.500000
RH,88,138.375000,P1,1,88,221.000000
RH,67,138.500000,P1,5,67,221.000000
RH,69,138.500000,P1,5,69,221.250000
RH,86,138.500000,P1,1,86,221.250000
RH,84,138.625000,P1,1,84,221.500000
RH,70,138.666667,P1,5,70,221.500000
RH,69,139.125000,P1,5,69,222.250000
RH,86,139.125000,P1,1,86,222.250000
RH,88,139.625000,P1,1,88,223.000000
RH,67,139.666667,P1,5,67,223.000000
RH,69,139.750000,P1,5,69,223.250000
RH,86,139.750000,P1,1,86,223.250000
RH,70,139.875000,P1,5,70,223.500000
RH,84,139.875000,P1,1,84,223.500000
RH,69,140.333333,P1,5,69,224.250000
RH,86,140.333333,P1,1,86,224.250000
RH,67,140.750000,P1,5,67,225.000000
RH,88,140.750000,P1,1,88,225.000000
RH,69,140.875000,P1,5,69,225.250000
RH,86,140.875000,P1,1,86,225.250000
RH,70,141.000000,P1,5,70,225.500000
RH,84,141.000000,P1,1,84,225.500000
RH,69,141.500000,P1,5,69,226.250000
RH,69,142.125000,P1,5,69,227.250000
RH,67,142.500000,P1,5,67,228.000000
RH,88,142.500000,P1,1,88,228.000000
RH,86,142.625000,P1,1,86,228.250000
RH,69,142.666667,P1,5,69,228.250000
RH,70,142.750000,P1,5,70,228.500000
RH,76,142.875000,P1,5,76,228.750000
RH,79,142.875000,P1,1,79,228.750000
RH,69,143.333333,P1,5,69,229.250000
RH,89,143.666667,P1,1,89,230.000000
RH,68,143.750000,P1,5,68,230.000000
RH,69,143.875000,P1,5,69,230.250000
RH,88,143.875000,P1,1,88,230.250000
RH,71,144.000000,P1,5,71,230.500000
RH,86,144.000000,P1,1,86,230.500000
RH,80,144.125000,P1,1,80,230.750000
RH,77,144.250000,P1,5,77,230.750000
RH,69,144.500000,P1,5,69,231.250000
RH,88,145.625000,P1,1,88,233.250000
RH,90,147.250000,P1,1,90,236.000000
RH,69,147.333333,P1,5,69,236.000000
RH,70,147.500000,P1,5,70,236.250000
RH,88,147.500000,P1,1,88,236.250000
RH,72,147.625000,P1,5,72,236.500000
RH,87,147.625000,P1,1,87,236.500000
RH,78,147.666667,P1,5,78,236.750000
RH,81,147.666667,P1,1,81,236.750000
RH,70,148.500000,P1,5,70,238.000000
RH,91,148.500000,P1,1,91,238.000000
RH,72,148.625000,P1,5,72,238.250000
RH,89,148.625000,P1,1,89,238.250000
RH,73,148.750000,P1,5,73,238.500000
RH,88,148.750000,P1,1,88,238.500000
RH,79,148.875000,P1,5,79,238.750000
