hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,84,4.000000,P1,1,84,0.000000
RH,84,4.250000,P1,2,84,0.285417
RH,86,4.250000,P1,2,86,0.141667
RH,86,4.500000,P1,2,86,0.141667
RH,84,4.625000,P1,2,84,0.285417
RH,86,4.666667,P1,2,86,0.429167
RH,84,4.875000,P1,2,84,0.572917
RH,86,5.000000,P1,2,86,0.429167
RH,84,5.125000,P1,2,84,0.572917
RH,84,5.250000,P1,2,84,0.860417
RH,83,5.375000,P1,2,83,0.716667
RH,84,5.500000,P1,2,84,0.860417
LH,48,7.625000,P1,5,48,4.000000
RH,67,9.250000,P1,1,67,6.250000
LH,57,9.666667,P1,1,57,7.000000
LH,53,10.375000,P1,1,53,8.000000
RH,77,11.500000,P1,1,77,10.000000
LH,48,12.625000,P1,5,48,12.000000
RH,60,14.250000,P1,1,60,14.250000
RH,79,16.875000,P1,1,79,18.500000
LH,48,17.875000,P1,5,48,20.000000
RH,69,19.500000,P1,1,69,22.250000
LH,58,19.875000,P1,1,58,23.000000
LH,55,20.625000,P1,1,55,24.000000
RH,79,22.125000,P1,1,79,26.000000
LH,48,23.250000,P1,5,48,28.000000
RH,60,25.000000,P1,1,60,30.250000
RH,65,28.000000,P1,5,65,35.000000
RH,89,28.750000,P1,1,89,36.250000
RH,77,30.125000,P1,1,77,38.250000
LH,57,30.625000,P1,5,57,39.000000
RH,65,30.625000,P1,5,65,39.000000
RH,60,30.666667,P1,5,60,39.000000
RH,65,31.250000,P1,5,65,40.000000
RH,89,31.500000,P1,1,89,40.250000
RH,81,33.000000,P1,1,81,42.750000
RH,62,34.875000,P1,5,62,46.000000
RH,67,46.666667,P1,1,67,62.250000
LH,57,47.250000,P1,1,57,63.000000
LH,53,48.000000,P1,1,53,64.000000
RH,77,49.250000,P1,1,77,66.000000
LH,48,50.500000,P1,5,48,68.000000
RH,60,52.125000,P1,1,60,70.250000
RH,79,55.000000,P1,1,79,74.500000
LH,48,56.000000,P1,5,48,76.000000
RH,69,57.666667,P1,1,69,78.250000
LH,58,58.250000,P1,1,58,79.000000
LH,55,59.000000,P1,1,55,80.000000
RH,79,60.333333,P1,1,79,82.000000
LH,48,61.625000,P1,5,48,84.000000
RH,60,63.333333,P1,1,60,86.250000
RH,65,66.500000,P1,5,65,91.000000
RH,65,67.250000,P1,5,65,92.000000
RH,89,67.333333,P1,1,89,92.250000
RH,77,68.666667,P1,1,77,94.250000
LH,57,69.125000,P1,5,57,95.000000
RH,60,69.125000,P1,5,60,95.000000
RH,65,69.125000,P1,5,65,95.000000
LH,53,69.875000,P1,5,53,96.000000
RH,65,69.875000,P1,5,65,96.000000
RH,89,70.000000,P1,1,89,96.250000
RH,81,71.875000,P1,1,81,98.750000
RH,86,77.500000,P1,1,86,106.750000
RH,84,77.625000,P1,1,84,107.000000
RH,86,77.750000,P1,1,86,107.250000
RH,84,77.875000,P1,1,84,107.500000
LH,48,81.000000,P1,5,48,112.000000
LH,45,83.875000,P1,5,45,116.000000
RH,64,85.500000,P1,1,64,118.250000
LH,53,86.125000,P1,1,53,119.000000
LH,50,86.875000,P1,1,50,120.000000
RH,74,88.125000,P1,1,74,122.000000
LH,45,89.250000,P1,5,45,124.000000
LH,57,91.000000,P1,1,57,126.250000
RH,76,93.750000,P1,1,76,130.500000
LH,45,94.750000,P1,5,45,132.000000
RH,65,96.333333,P1,1,65,134.250000
LH,55,96.875000,P1,1,55,135.000000
LH,52,97.666667,P1,1,52,136.000000
RH,76,99.125000,P1,1,76,138.000000
LH,45,100.500000,P1,5,45,140.000000
LH,57,102.000000,P1,1,57,142.250000
LH,47,103.750000,P1,5,47,145.000000
RH,66,104.375000,P1,1,66,146.000000
RH,89,107.125000,P1,1,89,150.000000
RH,87,107.333333,P1,1,87,150.250000
RH,86,107.500000,P1,1,86,150.500000
RH,88,113.000000,P1,1,88,158.000000
RH,86,113.125000,P1,1,86,158.250000
RH,85,113.333333,P1,1,85,158.500000
LH,54,122.333333,P1,5,54,171.000000
LH,57,122.500000,P1,5,57,171.500000
RH,66,122.750000,P1,5,66,171.750000
RH,66,124.625000,P1,1,66,174.750000
RH,69,125.625000,P1,1,69,176.500000
RH,71,125.625000,P1,1,71,176.250000
RH,64,127.125000,P1,1,64,178.750000
RH,69,128.250000,P1,1,69,180.250000
RH,67,128.333333,P1,1,67,180.500000
LH,45,131.625000,P1,5,45,184.750000
LH,49,134.250000,P1,5,49,188.000000
RH,71,134.375000,P1,1,71,188.250000
LH,45,135.125000,P1,5,45,189.000000
RH,72,137.375000,P1,1,72,192.250000
LH,51,139.875000,P1,6,51,196.000000
LH,54,139.875000,P1,6,54,196.000000
RH,73,140.125000,P1,1,73,196.250000
LH,45,140.625000,P1,5,45,197.000000
RH,74,143.000000,P1,1,74,200.250000
LH,55,145.750000,P1,5,55,204.000000
RH,67,150.333333,P1,5,67,211.000000
