hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,84,4.000000,P1,1,84,0.000000
RH,86,4.333333,P1,2,86,0.429167
RH,84,4.500000,P1,2,84,0.572917
RH,83,4.666667,P1,2,83,0.716667
RH,84,4.875000,P1,2,84,0.860417
LH,48,6.750000,P1,5,48,4.000000
RH,67,8.250000,P1,1,67,6.250000
LH,57,8.750000,P1,1,57,7.000000
LH,53,9.375000,P1,1,53,8.000000
RH,77,10.625000,P1,1,77,10.000000
LH,48,11.750000,P1,5,48,12.000000
RH,60,13.333333,P1,1,60,14.250000
RH,79,16.333333,P1,1,79,18.500000
LH,48,17.250000,P1,5,48,20.000000
RH,69,18.875000,P1,1,69,22.250000
LH,58,19.333333,P1,1,58,23.000000
LH,55,20.000000,P1,1,55,24.000000
RH,79,21.250000,P1,1,79,26.000000
LH,48,22.500000,P1,5,48,28.000000
RH,60,24.125000,P1,1,60,30.250000
RH,65,27.333333,P1,5,65,35.000000
LH,53,28.000000,P1,5,53,36.000000
RH,65,28.000000,P1,5,65,36.000000
RH,89,28.125000,P1,1,89,36.250000
RH,77,29.500000,P1,1,77,38.250000
LH,53,30.000000,P1,5,53,39.000000
LH,57,30.000000,P1,5,57,39.000000
RH,60,30.000000,P1,5,60,39.000000
RH,65,30.000000,P1,5,65,39.000000
LH,53,30.666667,P1,5,53,40.000000
RH,65,30.666667,P1,5,65,40.000000
RH,89,30.875000,P1,1,89,40.250000
RH,81,32.750000,P1,1,81,42.750000
RH,62,34.875000,P1,5,62,46.000000
RH,96,41.750000,P1,1,96,56.000000
RH,67,46.750000,P1,1,67,62.250000
LH,57,47.375000,P1,1,57,63.000000
LH,53,48.000000,P1,1,53,64.000000
RH,77,49.333333,P1,1,77,66.000000
LH,48,50.500000,P1,5,48,68.000000
RH,60,52.125000,P1,1,60,70.250000
RH,79,55.250000,P1,1,79,74.500000
LH,48,56.250000,P1,5,48,76.000000
RH,69,57.750000,P1,1,69,78.250000
LH,58,58.250000,P1,1,58,79.000000
LH,55,59.000000,P1,1,55,80.000000
RH,79,60.250000,P1,1,79,82.000000
LH,48,61.500000,P1,5,48,84.000000
RH,60,63.125000,P1,1,60,86.250000
RH,65,66.375000,P1,5,65,91.000000
LH,53,67.125000,P1,5,53,92.000000
RH,65,67.125000,P1,5,65,92.000000
RH,89,67.333333,P1,1,89,92.250000
RH,77,68.666667,P1,1,77,94.250000
LH,53,69.125000,P1,5,53,95.000000
LH,57,69.125000,P1,5,57,95.000000
RH,60,69.125000,P1,5,60,95.000000
RH,65,69.125000,P1,5,65,95.000000
RH,65,69.875000,P1,5,65,96.000000
LH,53,70.000000,P1,5,53,96.000000
RH,89,70.250000,P1,1,89,96.250000
RH,81,72.250000,P1,1,81,98.750000
RH,86,78.125000,P1,1,86,106.750000
RH,84,78.333333,P1,1,84,107.000000
RH,84,78.625000,P1,1,84,107.500000
LH,48,81.750000,P1,5,48,112.000000
LH,45,85.000000,P1,5,45,116.000000
RH,64,86.750000,P1,1,64,118.250000
LH,53,87.333333,P1,1,53,119.000000
LH,50,88.000000,P1,1,50,120.000000
RH,74,89.333333,P1,1,74,122.000000
LH,45,90.500000,P1,5,45,124.000000
LH,57,92.250000,P1,1,57,126.250000
RH,76,95.375000,P1,1,76,130.500000
LH,45,96.333333,P1,5,45,132.000000
RH,65,98.125000,P1,1,65,134.250000
LH,55,98.625000,P1,1,55,135.000000
LH,52,99.333333,P1,1,52,136.000000
RH,76,100.750000,P1,1,76,138.000000
LH,45,102.000000,P1,5,45,140.000000
LH,57,103.666667,P1,1,57,142.250000
LH,47,105.750000,P1,5,47,145.000000
RH,66,106.625000,P1,1,66,146.000000
RH,89,109.333333,P1,1,89,150.000000
RH,87,109.500000,P1,1,87,150.250000
RH,86,109.625000,P1,1,86,150.500000
RH,88,114.500000,P1,1,88,158.000000
RH,86,114.750000,P1,1,86,158.250000
RH,85,114.875000,P1,1,85,158.500000
LH,54,123.750000,P1,5,54,171.000000
LH,57,124.125000,P1,5,57,171.500000
RH,66,124.250000,P1,5,66,171.750000
RH,66,126.250000,P1,1,66,174.750000
RH,71,127.250000,P1,1,71,176.250000
RH,69,127.333333,P1,1,69,176.500000
RH,64,128.875000,P1,1,64,178.750000
RH,69,129.875000,P1,1,69,180.250000
RH,67,130.125000,P1,1,67,180.500000
LH,49,135.500000,P1,5,49,188.000000
RH,71,135.666667,P1,1,71,188.250000
LH,45,136.375000,P1,5,45,189.000000
RH,72,138.666667,P1,1,72,192.250000
LH,51,141.333333,P1,6,51,196.000000
LH,54,141.333333,P1,6,54,196.000000
RH,73,141.500000,P1,1,73,196.250000
LH,45,142.000000,P1,5,45,197.000000
RH,74,144.250000,P1,1,74,200.250000
LH,55,147.125000,P1,5,55,204.000000
RH,67,151.500000,P1,5,67,211.000000
RH,69,151.666667,P1,5,69,211.250000
