hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,86,2.125000,P1,2,86,0.141667
RH,84,2.250000,P1,2,84,0.285417
RH,86,2.375000,P1,2,86,0.429167
RH,84,2.500000,P1,2,84,0.572917
RH,84,2.666667,P1,2,84,0.860417
RH,83,2.750000,P1,2,83,0.716667
RH,84,2.875000,P1,2,84,0.860417
LH,48,4.750000,P1,5,48,4.000000
RH,67,6.125000,P1,1,67,6.250000
LH,57,6.625000,P1,1,57,7.000000
LH,53,7.250000,P1,1,53,8.000000
RH,77,8.375000,P1,1,77,10.000000
LH,48,9.666667,P1,5,48,12.000000
RH,60,11.000000,P1,1,60,14.250000
RH,79,13.625000,P1,1,79,18.500000
LH,48,14.500000,P1,5,48,20.000000
RH,69,16.000000,P1,1,69,22.250000
LH,58,16.333333,P1,1,58,23.000000
LH,55,17.000000,P1,1,55,24.000000
RH,79,18.125000,P1,1,79,26.000000
LH,48,19.375000,P1,5,48,28.000000
RH,60,20.750000,P1,1,60,30.250000
RH,65,23.750000,P1,5,65,35.000000
LH,53,24.375000,P1,5,53,36.000000
RH,65,24.375000,P1,5,65,36.000000
RH,89,24.625000,P1,1,89,36.250000
RH,77,25.875000,P1,1,77,38.250000
LH,57,26.333333,P1,5,57,39.000000
RH,60,26.333333,P1,5,60,39.000000
RH,65,26.333333,P1,5,65,39.000000
LH,53,26.375000,P1,5,53,39.000000
LH,53,27.000000,P1,5,53,40.000000
RH,65,27.000000,P1,5,65,40.000000
RH,89,27.250000,P1,1,89,40.250000
RH,81,28.750000,P1,1,81,42.750000
RH,62,30.625000,P1,5,62,46.000000
RH,96,36.750000,P1,1,96,56.000000
RH,67,40.750000,P1,1,67,62.250000
LH,57,41.250000,P1,1,57,63.000000
LH,53,42.000000,P1,1,53,64.000000
RH,77,43.125000,P1,1,77,66.000000
LH,48,44.375000,P1,5,48,68.000000
RH,60,45.875000,P1,1,60,70.250000
RH,79,48.625000,P1,1,79,74.500000
LH,48,49.500000,P1,5,48,76.000000
RH,69,51.000000,P1,1,69,78.250000
LH,58,51.375000,P1,1,58,79.000000
LH,55,52.000000,P1,1,55,80.000000
RH,79,53.125000,P1,1,79,82.000000
RH,60,55.875000,P1,1,60,86.250000
RH,65,58.875000,P1,5,65,91.000000
LH,53,59.500000,P1,5,53,92.000000
RH,65,59.500000,P1,5,65,92.000000
RH,89,59.750000,P1,1,89,92.250000
RH,77,61.000000,P1,1,77,94.250000
