hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,86,3.125000,P1,2,86,0.141667
RH,84,3.250000,P1,2,84,0.285417
RH,86,3.333333,P1,2,86,0.429167
RH,84,3.375000,P1,2,84,0.572917
RH,83,3.750000,P1,2,83,0.716667
RH,84,3.875000,P1,2,84,0.860417
LH,48,6.250000,P1,5,48,4.000000
RH,67,7.875000,P1,1,67,6.250000
LH,57,8.375000,P1,1,57,7.000000
LH,53,9.125000,P1,1,53,8.000000
RH,77,10.500000,P1,1,77,10.000000
RH,60,13.750000,P1,1,60,14.250000
RH,79,16.875000,P1,1,79,18.500000
LH,48,17.875000,P1,5,48,20.000000
RH,69,19.500000,P1,1,69,22.250000
LH,58,20.000000,P1,1,58,23.000000
LH,55,20.666667,P1,1,55,24.000000
RH,79,22.125000,P1,1,79,26.000000
LH,48,23.500000,P1,5,48,28.000000
RH,60,25.333333,P1,1,60,30.250000
RH,65,28.750000,P1,5,65,35.000000
LH,53,29.500000,P1,5,53,36.000000
RH,65,29.500000,P1,5,65,36.000000
RH,89,29.666667,P1,1,89,36.250000
RH,77,31.000000,P1,1,77,38.250000
LH,53,31.625000,P1,5,53,39.000000
LH,57,31.625000,P1,5,57,39.000000
RH,60,31.625000,P1,5,60,39.000000
RH,65,31.625000,P1,5,65,39.000000
LH,53,32.333333,P1,5,53,40.000000
RH,65,32.333333,P1,5,65,40.000000
RH,89,32.500000,P1,1,89,40.250000
RH,81,34.375000,P1,1,81,42.750000
RH,62,36.500000,P1,5,62,46.000000
RH,67,48.750000,P1,1,67,62.250000
LH,57,49.333333,P1,1,57,63.000000
LH,53,50.000000,P1,1,53,64.000000
RH,77,51.500000,P1,1,77,66.000000
LH,48,53.000000,P1,5,48,68.000000
RH,60,54.666667,P1,1,60,70.250000
RH,79,57.750000,P1,1,79,74.500000
LH,48,58.875000,P1,5,48,76.000000
RH,69,60.500000,P1,1,69,78.250000
LH,58,61.125000,P1,1,58,79.000000
LH,55,61.875000,P1,1,55,80.000000
RH,79,63.333333,P1,1,79,82.000000
LH,48,64.750000,P1,5,48,84.000000
RH,60,66.375000,P1,1,60,86.250000
RH,65,69.875000,P1,5,65,91.000000
LH,53,70.625000,P1,5,53,92.000000
