hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,84,3.000000,P1,1,84,0.000000
RH,86,3.125000,P1,2,86,0.141667
RH,84,3.250000,P1,2,84,0.285417
RH,86,3.375000,P1,2,86,0.429167
RH,84,3.625000,P1,2,84,0.572917
RH,86,3.666667,P1,2,86,0.429167
RH,84,3.875000,P1,2,84,0.572917
RH,83,4.000000,P1,2,83,0.716667
RH,84,4.250000,P1,2,84,0.860417
LH,48,6.500000,P1,5,48,4.000000
RH,67,8.000000,P1,1,67,6.250000
LH,57,8.625000,P1,1,57,7.000000
LH,53,9.333333,P1,1,53,8.000000
RH,77,10.750000,P1,1,77,10.000000
LH,48,12.000000,P1,5,48,12.000000
RH,60,13.625000,P1,1,60,14.250000
RH,79,16.750000,P1,1,79,18.500000
LH,48,17.875000,P1,5,48,20.000000
RH,69,19.500000,P1,1,69,22.250000
LH,58,20.000000,P1,1,58,23.000000
LH,55,20.750000,P1,1,55,24.000000
RH,79,22.125000,P1,1,79,26.000000
LH,48,23.500000,P1,5,48,28.000000
RH,60,25.250000,P1,1,60,30.250000
RH,65,28.500000,P1,5,65,35.000000
LH,53,29.250000,P1,5,53,36.000000
RH,65,29.250000,P1,5,65,36.000000
RH,89,29.375000,P1,1,89,36.250000
RH,77,30.750000,P1,1,77,38.250000
LH,57,31.333333,P1,5,57,39.000000
RH,60,31.333333,P1,5,60,39.000000
RH,65,31.333333,P1,5,65,39.000000
LH,53,31.375000,P1,5,53,39.000000
LH,53,32.000000,P1,5,53,40.000000
RH,65,32.000000,P1,5,65,40.000000
RH,89,32.125000,P1,1,89,40.250000
RH,81,33.875000,P1,1,81,42.750000
RH,62,35.875000,P1,5,62,46.000000
RH,67,48.000000,P1,1,67,62.250000
LH,57,48.500000,P1,1,57,63.000000
LH,53,49.375000,P1,1,53,64.000000
RH,77,50.875000,P1,1,77,66.000000
LH,48,52.250000,P1,5,48,68.000000
RH,60,54.000000,P1,1,60,70.250000
RH,79,57.333333,P1,1,79,74.500000
LH,48,58.375000,P1,5,48,76.000000
RH,69,60.125000,P1,1,69,78.250000
LH,58,60.625000,P1,1,58,79.000000
LH,55,61.375000,P1,1,55,80.000000
RH,79,62.875000,P1,1,79,82.000000
LH,48,64.125000,P1,5,48,84.000000
RH,60,65.875000,P1,1,60,86.250000
RH,65,69.333333,P1,5,65,91.000000
LH,53,70.000000,P1,5,53,92.000000
RH,65,70.000000,P1,5,65,92.000000
RH,89,70.250000,P1,1,89,92.250000
RH,77,71.625000,P1,1,77,94.250000
LH,57,72.125000,P1,5,57,95.000000
RH,60,72.125000,P1,5,60,95.000000
RH,65,72.125000,P1,5,65,95.000000
LH,53,72.250000,P1,5,53,95.000000
LH,53,72.875000,P1,5,53,96.000000
RH,65,72.875000,P1,5,65,96.000000
RH,89,73.000000,P1,1,89,96.250000
RH,81,74.875000,P1,1,81,98.750000
RH,86,80.750000,P1,1,86,106.750000
RH,84,81.000000,P1,1,84,107.000000
RH,86,81.125000,P1,1,86,107.250000
RH,84,81.333333,P1,1,84,107.500000
LH,48,84.500000,P1,5,48,112.000000
LH,45,87.666667,P1,5,45,116.000000
RH,64,89.250000,P1,1,64,118.250000
LH,53,89.875000,P1,1,53,119.000000
LH,50,90.625000,P1,1,50,120.000000
RH,74,92.125000,P1,1,74,122.000000
LH,45,93.500000,P1,5,45,124.000000
LH,57,95.250000,P1,1,57,126.250000
RH,76,98.750000,P1,1,76,130.500000
LH,45,99.750000,P1,5,45,132.000000
RH,65,101.375000,P1,1,65,134.250000
LH,55,102.000000,P1,1,55,135.000000
LH,52,102.750000,P1,1,52,136.000000
RH,76,104.250000,P1,1,76,138.000000
LH,45,105.500000,P1,5,45,140.000000
LH,57,107.333333,P1,1,57,142.250000
LH,47,109.375000,P1,5,47,145.000000
RH,66,110.125000,P1,1,66,146.000000
RH,89,113.000000,P1,1,89,150.000000
RH,87,113.125000,P1,1,87,150.250000
RH,86,113.375000,P1,1,86,150.500000
RH,88,119.000000,P1,1,88,158.000000
RH,86,119.250000,P1,1,86,158.250000
RH,85,119.333333,P1,1,85,158.500000
LH,54,128.000000,P1,5,54,171.000000
LH,57,128.333333,P1,5,57,171.500000
RH,66,128.500000,P1,5,66,171.750000
RH,66,130.666667,P1,1,66,174.750000
RH,71,131.750000,P1,1,71,176.250000
RH,69,131.875000,P1,1,69,176.500000
RH,64,133.625000,P1,1,64,178.750000
RH,69,134.666667,P1,1,69,180.250000
RH,67,134.875000,P1,1,67,180.500000
LH,45,137.875000,P1,5,45,184.750000
LH,49,140.625000,P1,5,49,188.000000
RH,71,140.750000,P1,1,71,188.250000
LH,45,141.625000,P1,5,45,189.000000
RH,72,144.125000,P1,1,72,192.250000
LH,51,147.000000,P1,6,51,196.000000
LH,54,147.000000,P1,6,54,196.000000
RH,73,147.125000,P1,1,73,196.250000
LH,45,147.750000,P1,5,45,197.000000
RH,74,150.125000,P1,1,74,200.250000
