hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,42,3.125000,P1,5,42,0.000000
LH,54,3.125000,P1,1,54,0.000000
LH,29,3.625000,P1,5,29,0.333333
RH,65,3.625000,P1,1,65,0.333333
LH,30,4.000000,P1,5,30,0.666667
RH,66,4.125000,P1,1,66,0.666667
LH,31,4.333333,P1,5,31,1.000000
RH,67,4.333333,P1,1,67,1.000000
LH,32,4.625000,P1,5,32,1.333333
LH,44,4.666667,P1,5,44,1.333333
RH,68,4.666667,P1,1,68,1.333333
LH,33,4.875000,P1,5,33,1.666667
RH,69,5.000000,P1,1,69,1.666667
LH,32,5.250000,P1,5,32,2.000000
LH,56,5.250000,P1,1,56,2.000000
RH,68,5.250000,P1,1,68,2.000000
LH,31,5.500000,P1,5,31,2.333333
RH,67,5.500000,P1,1,67,2.333333
LH,32,5.666667,P1,5,32,2.666667
LH,44,5.666667,P1,5,44,2.666667
LH,56,5.750000,P1,1,56,2.666667
RH,68,5.750000,P1,1,68,2.666667
LH,33,6.000000,P1,5,33,3.000000
LH,57,6.000000,P1,1,57,3.000000
RH,69,6.000000,P1,1,69,3.000000
LH,34,6.250000,P1,5,34,3.333333
LH,46,6.250000,P1,5,46,3.333333
LH,58,6.250000,P1,1,58,3.333333
RH,70,6.250000,P1,1,70,3.333333
LH,35,6.500000,P1,5,35,3.666667
RH,71,6.500000,P1,1,71,3.666667
LH,34,6.750000,P1,5,34,4.000000
LH,46,6.750000,P1,5,46,4.000000
LH,58,6.750000,P1,1,58,4.000000
RH,70,6.750000,P1,1,70,4.000000
LH,33,7.000000,P1,5,33,4.333333
RH,69,7.000000,P1,1,69,4.333333
LH,57,7.125000,P1,1,57,4.333333
LH,34,7.333333,P1,5,34,4.666667
LH,35,7.500000,P1,5,35,5.000000
RH,72,7.625000,P1,1,72,5.333333
LH,37,7.875000,P1,5,37,5.666667
LH,49,7.875000,P1,5,49,5.666667
RH,61,7.875000,P1,1,61,5.666667
RH,73,7.875000,P1,1,73,5.666667
LH,36,8.333333,P1,5,36,6.000000
LH,47,8.625000,P1,5,47,6.333333
LH,35,8.666667,P1,5,35,6.333333
LH,59,8.666667,P1,1,59,6.333333
RH,71,8.875000,P1,1,71,6.333333
LH,36,9.000000,P1,5,36,6.666667
LH,48,9.000000,P1,5,48,6.666667
LH,38,10.125000,P1,5,38,7.333333
RH,74,10.125000,P1,1,74,7.333333
LH,39,10.333333,P1,5,39,7.666667
LH,51,10.333333,P1,5,51,7.666667
RH,63,10.333333,P1,1,63,7.666667
RH,75,10.333333,P1,1,75,7.666667
LH,38,10.625000,P1,5,38,8.000000
RH,62,10.666667,P1,1,62,8.000000
RH,74,10.750000,P1,1,74,8.000000
LH,39,10.875000,P1,5,39,8.333333
LH,51,10.875000,P1,5,51,8.333333
RH,63,10.875000,P1,1,63,8.333333
RH,75,10.875000,P1,1,75,8.333333
LH,40,11.125000,P1,5,40,8.666667
LH,52,11.250000,P1,5,52,8.666667
RH,64,11.250000,P1,1,64,8.666667
RH,76,11.250000,P1,1,76,8.666667
LH,39,11.500000,P1,5,39,9.000000
LH,51,11.500000,P1,5,51,9.000000
RH,63,11.500000,P1,1,63,9.000000
RH,75,11.500000,P1,1,75,9.000000
LH,40,11.750000,P1,5,40,9.333333
LH,52,11.750000,P1,5,52,9.333333
RH,64,11.750000,P1,1,64,9.333333
RH,76,11.750000,P1,1,76,9.333333
LH,41,12.125000,P1,5,41,9.666667
LH,53,12.125000,P1,5,53,9.666667
RH,65,12.125000,P1,1,65,9.666667
RH,77,12.125000,P1,1,77,9.666667
LH,40,12.375000,P1,5,40,10.000000
LH,52,12.375000,P1,5,52,10.000000
RH,64,12.375000,P1,1,64,10.000000
RH,76,12.375000,P1,1,76,10.000000
LH,41,12.666667,P1,5,41,10.333333
LH,53,12.666667,P1,5,53,10.333333
RH,65,12.666667,P1,1,65,10.333333
RH,77,12.666667,P1,1,77,10.333333
LH,42,12.875000,P1,5,42,10.666667
