hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,64,2.000000,P1,1,64,0.000000
RH,64,3.875000,P1,1,64,1.000000
RH,64,5.333333,P1,1,64,1.750000
RH,64,5.750000,P1,1,64,2.000000
RH,65,7.625000,P1,1,65,3.000000
RH,64,9.500000,P1,1,64,4.000000
RH,60,11.500000,P1,1,60,5.000000
RH,64,14.000000,P1,1,64,6.000000
LH,48,19.625000,P1,5,48,8.000000
RH,60,19.625000,P1,1,60,8.000000
RH,64,19.625000,P1,1,64,8.000000
LH,55,19.666667,P1,1,55,8.000000
LH,48,21.500000,P1,5,48,9.000000
LH,55,21.500000,P1,1,55,9.000000
RH,60,21.500000,P1,1,60,9.000000
RH,64,21.500000,P1,1,64,9.000000
LH,48,22.875000,P1,5,48,9.750000
LH,55,22.875000,P1,1,55,9.750000
RH,60,22.875000,P1,1,60,9.750000
RH,64,22.875000,P1,1,64,9.750000
LH,48,23.333333,P1,5,48,10.000000
RH,60,23.333333,P1,1,60,10.000000
RH,64,23.333333,P1,1,64,10.000000
LH,55,23.375000,P1,1,55,10.000000
LH,41,25.125000,P1,5,41,11.000000
LH,57,25.125000,P1,1,57,11.000000
RH,60,25.125000,P1,1,60,11.000000
RH,65,25.125000,P1,1,65,11.000000
LH,36,27.000000,P1,5,36,12.000000
RH,60,27.000000,P1,1,60,12.000000
RH,64,27.000000,P1,1,64,12.000000
LH,55,27.125000,P1,1,55,12.000000
LH,41,28.875000,P1,5,41,13.000000
LH,57,28.875000,P1,1,57,13.000000
RH,60,28.875000,P1,1,60,13.000000
RH,64,31.625000,P1,1,64,14.000000
LH,36,31.666667,P1,5,36,14.000000
RH,60,31.666667,P1,2,60,14.000000
LH,55,31.750000,P1,2,55,14.000000
LH,35,34.625000,P1,5,35,15.000000
LH,56,34.750000,P1,2,56,15.000000
RH,62,34.750000,P1,2,62,15.000000
LH,33,39.875000,P1,5,33,16.000000
RH,101,39.875000,P1,1,101,16.000000
RH,96,40.125000,P1,1,96,16.166667
RH,100,40.250000,P1,1,100,16.333333
RH,93,40.375000,P1,1,93,16.500000
RH,99,40.500000,P1,1,99,16.666667
RH,96,40.750000,P1,1,96,16.833333
LH,57,40.875000,P1,5,57,17.000000
RH,60,40.875000,P1,5,60,17.000000
RH,64,40.875000,P1,5,64,17.000000
RH,98,40.875000,P1,1,98,17.000000
RH,93,41.000000,P1,1,93,17.166667
RH,97,41.125000,P1,1,97,17.333333
RH,93,41.333333,P1,1,93,17.500000
LH,57,41.500000,P1,5,57,17.750000
RH,60,41.500000,P1,5,60,17.750000
RH,64,41.500000,P1,5,64,17.750000
RH,88,41.500000,P1,1,88,17.833333
RH,96,41.500000,P1,1,96,17.666667
RH,64,41.666667,P1,5,64,18.000000
RH,95,41.666667,P1,1,95,18.000000
LH,57,41.750000,P1,5,57,18.000000
RH,60,41.750000,P1,5,60,18.000000
RH,88,41.875000,P1,1,88,18.166667
RH,94,42.000000,P1,1,94,18.333333
RH,84,42.125000,P1,1,84,18.500000
RH,93,42.333333,P1,1,93,18.666667
RH,88,42.375000,P1,1,88,18.833333
RH,65,42.625000,P1,5,65,19.000000
RH,92,42.625000,P1,1,92,19.000000
LH,57,42.666667,P1,5,57,19.000000
RH,60,42.666667,P1,5,60,19.000000
RH,84,42.750000,P1,1,84,19.166667
RH,91,42.875000,P1,1,91,19.333333
RH,84,43.000000,P1,1,84,19.500000
RH,90,43.250000,P1,1,90,19.666667
RH,81,43.333333,P1,1,81,19.833333
RH,64,43.500000,P1,5,64,20.000000
RH,89,43.500000,P1,1,89,20.000000
LH,57,43.625000,P1,5,57,20.000000
RH,60,43.625000,P1,5,60,20.000000
RH,84,43.750000,P1,1,84,20.166667
RH,88,43.875000,P1,1,88,20.333333
RH,81,44.000000,P1,1,81,20.500000
RH,87,44.125000,P1,1,87,20.666667
RH,84,44.333333,P1,1,84,20.833333
LH,52,44.500000,P1,5,52,21.000000
LH,57,44.500000,P1,5,57,21.000000
RH,60,44.500000,P1,5,60,21.000000
RH,86,44.500000,P1,1,86,21.000000
RH,81,44.625000,P1,1,81,21.166667
RH,85,44.750000,P1,1,85,21.333333
RH,81,44.875000,P1,1,81,21.500000
RH,84,45.125000,P1,1,84,21.666667
RH,76,45.250000,P1,1,76,21.833333
LH,57,45.333333,P1,5,57,22.000000
RH,60,45.333333,P1,5,60,22.000000
RH,64,45.333333,P1,5,64,22.000000
RH,83,45.333333,P1,1,83,22.000000
RH,76,45.500000,P1,1,76,22.166667
RH,82,45.625000,P1,1,82,22.333333
RH,72,45.750000,P1,1,72,22.500000
RH,81,45.875000,P1,1,81,22.666667
RH,76,46.000000,P1,1,76,22.833333
RH,80,46.250000,P1,1,80,23.000000
RH,72,46.333333,P1,1,72,23.166667
RH,79,46.500000,P1,1,79,23.333333
RH,72,46.666667,P1,1,72,23.500000
RH,78,46.750000,P1,1,78,23.666667
RH,69,47.000000,P1,1,69,23.833333
LH,33,47.125000,P1,5,33,24.000000
RH,77,47.125000,P1,1,77,24.000000
RH,72,47.333333,P1,1,72,24.166667
RH,76,47.500000,P1,1,76,24.333333
RH,69,47.666667,P1,1,69,24.500000
RH,75,47.750000,P1,1,75,24.666667
RH,72,47.875000,P1,1,72,24.833333
LH,45,48.125000,P1,5,45,25.000000
LH,52,48.125000,P1,5,52,25.000000
RH,74,48.125000,P1,1,74,25.000000
RH,69,48.250000,P1,1,69,25.166667
RH,73,48.375000,P1,1,73,25.333333
RH,69,48.625000,P1,1,69,25.500000
RH,72,48.625000,P1,1,72,25.666667
LH,45,48.666667,P1,5,45,25.750000
LH,52,48.666667,P1,5,52,25.750000
RH,64,48.750000,P1,1,64,25.833333
LH,52,48.875000,P1,5,52,26.000000
RH,71,48.875000,P1,1,71,26.000000
LH,45,49.000000,P1,5,45,26.000000
RH,64,49.125000,P1,1,64,26.166667
RH,70,49.250000,P1,1,70,26.333333
RH,60,49.375000,P1,1,60,26.500000
RH,69,49.625000,P1,1,69,26.666667
RH,64,49.750000,P1,1,64,26.833333
LH,45,49.875000,P1,5,45,27.000000
LH,53,49.875000,P1,5,53,27.000000
RH,68,49.875000,P1,1,68,27.000000
RH,60,50.000000,P1,1,60,27.166667
RH,67,50.250000,P1,1,67,27.333333
RH,60,50.375000,P1,1,60,27.500000
RH,66,50.500000,P1,1,66,27.666667
LH,57,50.666667,P1,1,57,27.833333
LH,45,50.750000,P1,5,45,28.000000
LH,52,50.750000,P1,5,52,28.000000
RH,65,50.750000,P1,1,65,28.000000
RH,60,51.000000,P1,1,60,28.166667
RH,64,51.125000,P1,1,64,28.333333
LH,57,51.250000,P1,1,57,28.500000
RH,63,51.375000,P1,1,63,28.666667
RH,60,51.666667,P1,1,60,28.833333
RH,62,51.750000,P1,1,62,29.000000
