hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,64,3.000000,P1,1,64,0.000000
RH,64,5.333333,P1,1,64,1.000000
RH,64,7.125000,P1,1,64,1.750000
RH,64,7.625000,P1,1,64,2.000000
RH,65,10.000000,P1,1,65,3.000000
RH,64,12.250000,P1,1,64,4.000000
RH,60,14.500000,P1,1,60,5.000000
RH,64,17.125000,P1,1,64,6.000000
LH,48,23.750000,P1,5,48,8.000000
RH,64,23.750000,P1,1,64,8.000000
RH,60,23.875000,P1,1,60,8.000000
LH,48,25.875000,P1,5,48,9.000000
RH,64,25.875000,P1,1,64,9.000000
LH,55,26.000000,P1,1,55,9.000000
RH,60,26.000000,P1,1,60,9.000000
LH,48,27.625000,P1,5,48,9.750000
RH,64,27.625000,P1,1,64,9.750000
RH,60,27.666667,P1,1,60,9.750000
RH,60,28.125000,P1,1,60,10.000000
RH,64,28.125000,P1,1,64,10.000000
LH,48,28.250000,P1,5,48,10.000000
LH,55,28.250000,P1,1,55,10.000000
LH,41,30.333333,P1,5,41,11.000000
LH,57,30.333333,P1,1,57,11.000000
RH,65,30.333333,P1,1,65,11.000000
RH,60,30.375000,P1,1,60,11.000000
LH,36,32.750000,P1,5,36,12.000000
RH,64,32.750000,P1,1,64,12.000000
LH,55,32.875000,P1,1,55,12.000000
RH,60,32.875000,P1,1,60,12.000000
LH,41,35.125000,P1,5,41,13.000000
LH,57,35.125000,P1,1,57,13.000000
RH,60,35.125000,P1,1,60,13.000000
LH,36,38.125000,P1,5,36,14.000000
LH,55,38.125000,P1,2,55,14.000000
RH,60,38.125000,P1,2,60,14.000000
RH,64,38.125000,P1,1,64,14.000000
LH,35,42.625000,P1,5,35,15.000000
LH,56,42.625000,P1,2,56,15.000000
RH,62,42.625000,P1,2,62,15.000000
LH,33,46.625000,P1,5,33,16.000000
RH,101,46.625000,P1,1,101,16.000000
RH,96,47.000000,P1,1,96,16.166667
RH,100,47.250000,P1,1,100,16.333333
RH,93,47.375000,P1,1,93,16.500000
RH,99,47.500000,P1,1,99,16.666667
RH,96,47.666667,P1,1,96,16.833333
LH,57,47.875000,P1,5,57,17.000000
RH,60,47.875000,P1,5,60,17.000000
RH,64,47.875000,P1,5,64,17.000000
RH,98,47.875000,P1,1,98,17.000000
RH,93,48.000000,P1,1,93,17.166667
RH,97,48.250000,P1,1,97,17.333333
RH,93,48.375000,P1,1,93,17.500000
RH,96,48.500000,P1,1,96,17.666667
LH,57,48.666667,P1,5,57,17.750000
RH,60,48.666667,P1,5,60,17.750000
RH,64,48.666667,P1,5,64,17.750000
RH,88,48.750000,P1,1,88,17.833333
LH,57,48.875000,P1,5,57,18.000000
RH,60,48.875000,P1,5,60,18.000000
RH,64,48.875000,P1,5,64,18.000000
RH,95,48.875000,P1,1,95,18.000000
RH,88,49.000000,P1,1,88,18.166667
RH,94,49.125000,P1,1,94,18.333333
RH,84,49.375000,P1,1,84,18.500000
RH,93,49.500000,P1,1,93,18.666667
RH,88,49.666667,P1,1,88,18.833333
LH,57,49.875000,P1,5,57,19.000000
RH,60,49.875000,P1,5,60,19.000000
RH,65,49.875000,P1,5,65,19.000000
RH,92,49.875000,P1,1,92,19.000000
RH,84,50.000000,P1,1,84,19.166667
RH,91,50.250000,P1,1,91,19.333333
RH,84,50.375000,P1,1,84,19.500000
RH,90,50.500000,P1,1,90,19.666667
RH,81,50.666667,P1,1,81,19.833333
LH,57,50.875000,P1,5,57,20.000000
RH,60,50.875000,P1,5,60,20.000000
