hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,64,6.000000,P1,1,64,1.000000
RH,64,9.375000,P1,1,64,2.000000
RH,65,12.500000,P1,1,65,3.000000
RH,64,15.625000,P1,1,64,4.000000
RH,60,18.750000,P1,1,60,5.000000
RH,64,22.875000,P1,1,64,6.000000
LH,48,30.125000,P1,5,48,8.000000
LH,55,30.125000,P1,1,55,8.000000
RH,64,30.125000,P1,1,64,8.000000
RH,60,30.250000,P1,1,60,8.000000
RH,64,34.625000,P1,1,64,9.000000
LH,48,34.750000,P1,5,48,9.000000
LH,55,34.750000,P1,1,55,9.000000
RH,60,34.750000,P1,1,60,9.000000
RH,64,37.375000,P1,1,64,9.750000
LH,55,38.000000,P1,1,55,10.000000
RH,64,38.000000,P1,1,64,10.000000
RH,60,38.125000,P1,1,60,10.000000
LH,57,41.625000,P1,1,57,11.000000
RH,65,41.625000,P1,1,65,11.000000
LH,41,41.666667,P1,5,41,11.000000
RH,60,41.666667,P1,1,60,11.000000
RH,64,45.500000,P1,1,64,12.000000
LH,36,45.625000,P1,5,36,12.000000
LH,55,45.625000,P1,1,55,12.000000
RH,60,45.625000,P1,1,60,12.000000
LH,41,49.666667,P1,5,41,13.000000
LH,57,49.666667,P1,1,57,13.000000
RH,60,49.666667,P1,1,60,13.000000
LH,55,54.333333,P1,2,55,14.000000
RH,64,54.333333,P1,1,64,14.000000
LH,36,54.500000,P1,5,36,14.000000
RH,60,54.500000,P1,2,60,14.000000
LH,35,59.625000,P1,5,35,15.000000
LH,56,59.625000,P1,2,56,15.000000
RH,62,59.625000,P1,2,62,15.000000
LH,33,68.125000,P1,5,33,16.000000
RH,101,68.125000,P1,1,101,16.000000
RH,96,68.375000,P1,1,96,16.166667
RH,93,68.625000,P1,1,93,16.500000
RH,100,68.625000,P1,1,100,16.333333
RH,99,68.750000,P1,1,99,16.666667
RH,96,69.000000,P1,1,96,16.833333
LH,57,69.125000,P1,5,57,17.000000
RH,60,69.125000,P1,5,60,17.000000
RH,64,69.125000,P1,5,64,17.000000
RH,98,69.125000,P1,1,98,17.000000
RH,93,69.250000,P1,1,93,17.166667
RH,97,69.375000,P1,1,97,17.333333
RH,93,69.666667,P1,1,93,17.500000
RH,96,69.750000,P1,1,96,17.666667
LH,57,69.875000,P1,5,57,17.750000
RH,60,69.875000,P1,5,60,17.750000
RH,64,69.875000,P1,5,64,17.750000
RH,88,70.000000,P1,1,88,17.833333
LH,57,70.125000,P1,5,57,18.000000
RH,60,70.125000,P1,5,60,18.000000
RH,64,70.125000,P1,5,64,18.000000
RH,95,70.125000,P1,1,95,18.000000
RH,88,70.250000,P1,1,88,18.166667
RH,94,70.375000,P1,1,94,18.333333
RH,93,70.750000,P1,1,93,18.666667
RH,88,70.875000,P1,1,88,18.833333
LH,57,71.125000,P1,5,57,19.000000
RH,60,71.125000,P1,5,60,19.000000
RH,65,71.125000,P1,5,65,19.000000
RH,92,71.125000,P1,1,92,19.000000
RH,84,71.250000,P1,1,84,19.166667
RH,91,71.375000,P1,1,91,19.333333
RH,90,71.666667,P1,1,90,19.666667
LH,57,72.000000,P1,5,57,20.000000
RH,60,72.000000,P1,5,60,20.000000
RH,64,72.000000,P1,5,64,20.000000
RH,89,72.000000,P1,1,89,20.000000
RH,84,72.125000,P1,1,84,20.166667
RH,88,72.333333,P1,1,88,20.333333
RH,81,72.500000,P1,1,81,20.500000
RH,87,72.666667,P1,1,87,20.666667
RH,84,72.875000,P1,1,84,20.833333
LH,52,73.000000,P1,5,52,21.000000
LH,57,73.000000,P1,5,57,21.000000
RH,60,73.000000,P1,5,60,21.000000
RH,86,73.000000,P1,1,86,21.000000
RH,81,73.125000,P1,1,81,21.166667
RH,85,73.333333,P1,1,85,21.333333
RH,81,73.500000,P1,1,81,21.500000
RH,84,73.750000,P1,1,84,21.666667
RH,76,73.875000,P1,1,76,21.833333
LH,57,74.000000,P1,5,57,22.000000
RH,60,74.000000,P1,5,60,22.000000
RH,64,74.000000,P1,5,64,22.000000
RH,83,74.000000,P1,1,83,22.000000
RH,76,74.125000,P1,1,76,22.166667
RH,82,74.333333,P1,1,82,22.333333
RH,72,74.500000,P1,1,72,22.500000
RH,81,74.666667,P1,1,81,22.666667
RH,76,74.750000,P1,1,76,22.833333
RH,80,75.000000,P1,1,80,23.000000
RH,72,75.125000,P1,1,72,23.166667
RH,79,75.250000,P1,1,79,23.333333
RH,78,75.625000,P1,1,78,23.666667
LH,33,75.875000,P1,5,33,24.000000
RH,77,75.875000,P1,1,77,24.000000
RH,72,76.000000,P1,1,72,24.166667
RH,76,76.250000,P1,1,76,24.333333
RH,69,76.333333,P1,1,69,24.500000
RH,75,76.500000,P1,1,75,24.666667
RH,72,76.666667,P1,1,72,24.833333
LH,45,76.875000,P1,5,45,25.000000
LH,52,76.875000,P1,5,52,25.000000
RH,74,76.875000,P1,1,74,25.000000
RH,69,77.125000,P1,1,69,25.166667
RH,73,77.250000,P1,1,73,25.333333
RH,69,77.375000,P1,1,69,25.500000
LH,45,77.625000,P1,5,45,25.750000
LH,52,77.625000,P1,5,52,25.750000
RH,72,77.625000,P1,1,72,25.666667
RH,64,77.750000,P1,1,64,25.833333
LH,45,77.875000,P1,5,45,26.000000
LH,52,77.875000,P1,5,52,26.000000
RH,71,77.875000,P1,1,71,26.000000
RH,64,78.000000,P1,1,64,26.166667
RH,70,78.125000,P1,1,70,26.333333
RH,60,78.333333,P1,1,60,26.500000
RH,69,78.500000,P1,1,69,26.666667
RH,64,78.625000,P1,1,64,26.833333
LH,45,78.750000,P1,5,45,27.000000
LH,53,78.750000,P1,5,53,27.000000
RH,68,78.750000,P1,1,68,27.000000
RH,60,79.000000,P1,1,60,27.166667
RH,67,79.125000,P1,1,67,27.333333
RH,66,79.500000,P1,1,66,27.666667
LH,45,79.875000,P1,5,45,28.000000
LH,52,79.875000,P1,5,52,28.000000
RH,65,79.875000,P1,1,65,28.000000
RH,60,80.000000,P1,1,60,28.166667
RH,64,80.250000,P1,1,64,28.333333
LH,57,80.375000,P1,1,57,28.500000
RH,63,80.625000,P1,1,63,28.666667
RH,60,80.750000,P1,1,60,28.833333
RH,62,80.875000,P1,1,62,29.000000
LH,57,81.125000,P1,1,57,29.166667
RH,61,81.250000,P1,1,61,29.333333
LH,57,81.375000,P1,1,57,29.500000
RH,60,81.625000,P1,1,60,29.666667
LH,52,81.750000,P1,1,52,29.833333
LH,40,81.875000,P1,5,40,30.000000
LH,59,81.875000,P1,1,59,30.000000
LH,52,82.000000,P1,1,52,30.166667
LH,58,82.250000,P1,1,58,30.333333
LH,48,82.500000,P1,1,48,30.500000
LH,57,82.625000,P1,1,57,30.666667
LH,52,82.750000,P1,1,52,30.833333
LH,56,83.000000,P1,1,56,31.000000
LH,48,83.125000,P1,1,48,31.166667
LH,57,83.250000,P1,1,57,31.333333
LH,52,83.500000,P1,1,52,31.500000
RH,60,83.666667,P1,1,60,31.666667
LH,32,84.000000,P1,5,32,32.000000
RH,64,84.000000,P1,1,64,32.000000
LH,59,84.125000,P1,1,59,32.166667
RH,62,84.375000,P1,1,62,32.333333
RH,65,84.500000,P1,1,65,32.500000
RH,76,84.666667,P1,1,76,32.666667
RH,71,84.875000,P1,1,71,32.833333
LH,53,85.000000,P1,5,53,33.000000
RH,62,85.000000,P1,5,62,33.000000
RH,74,85.000000,P1,1,74,33.000000
RH,77,85.125000,P1,1,77,33.166667
RH,88,85.333333,P1,1,88,33.333333
RH,83,85.500000,P1,1,83,33.500000
RH,86,85.666667,P1,1,86,33.666667
RH,62,85.750000,P1,5,62,33.750000
RH,77,85.750000,P1,1,77,33.833333
LH,53,85.875000,P1,5,53,34.000000
RH,60,85.875000,P1,5,60,34.000000
RH,86,85.875000,P1,1,86,34.000000
RH,81,86.125000,P1,1,81,34.166667
RH,84,86.333333,P1,1,84,34.333333
RH,77,86.375000,P1,1,77,34.500000
RH,74,86.625000,P1,1,74,34.666667
RH,69,86.750000,P1,1,69,34.833333
LH,33,87.000000,P1,5,33,35.000000
LH,45,87.000000,P1,5,45,35.000000
RH,72,87.000000,P1,1,72,35.000000
RH,62,87.333333,P1,1,62,35.333333
LH,57,87.625000,P1,1,57,35.500000
RH,60,87.750000,P1,1,60,35.666667
LH,53,88.000000,P1,1,53,35.833333
LH,32,88.250000,P1,5,32,36.000000
LH,44,88.250000,P1,5,44,36.000000
RH,64,88.250000,P1,1,64,36.000000
LH,59,88.500000,P1,1,59,36.166667
RH,62,88.666667,P1,1,62,36.333333
RH,65,88.875000,P1,1,65,36.500000
RH,76,89.000000,P1,1,76,36.666667
RH,71,89.125000,P1,1,71,36.833333
LH,55,89.250000,P1,5,55,37.000000
RH,62,89.250000,P1,5,62,37.000000
RH,74,89.333333,P1,1,74,37.000000
RH,62,89.500000,P1,5,62,37.333333
RH,77,89.500000,P1,1,77,37.166667
LH,53,89.625000,P1,5,53,37.333333
LH,52,89.875000,P1,5,52,37.666667
RH,62,89.875000,P1,5,62,37.666667
RH,86,90.000000,P1,1,86,37.666667
LH,52,90.250000,P1,5,52,38.000000
RH,60,90.250000,P1,5,60,38.000000
RH,86,90.250000,P1,1,86,38.000000
RH,81,90.375000,P1,1,81,38.166667
RH,84,90.625000,P1,1,84,38.333333
RH,74,90.875000,P1,1,74,38.666667
RH,69,91.000000,P1,1,69,38.833333
LH,33,91.250000,P1,5,33,39.000000
LH,45,91.250000,P1,5,45,39.000000
RH,72,91.250000,P1,1,72,39.000000
RH,62,91.625000,P1,1,62,39.333333
LH,57,91.750000,P1,1,57,39.500000
RH,60,92.000000,P1,1,60,39.666667
LH,59,92.125000,P1,1,59,39.833333
LH,35,92.333333,P1,5,35,40.000000
LH,47,92.333333,P1,5,47,40.000000
RH,69,92.333333,P1,1,69,40.000000
RH,64,92.625000,P1,1,64,40.166667
RH,68,92.750000,P1,1,68,40.333333
RH,71,93.000000,P1,1,71,40.500000
RH,81,93.000000,P1,1,81,40.666667
RH,76,93.250000,P1,1,76,40.833333
LH,56,93.375000,P1,6,56,41.000000
LH,59,93.375000,P1,6,59,41.000000
RH,64,93.375000,P1,5,64,41.000000
RH,80,93.375000,P1,1,80,41.000000
RH,83,93.625000,P1,1,83,41.166667
RH,88,94.000000,P1,1,88,41.500000
RH,73,94.125000,P1,5,73,41.666667
RH,92,94.125000,P1,1,92,41.666667
RH,83,94.375000,P1,1,83,41.833333
LH,59,94.500000,P1,5,59,42.000000
RH,63,94.500000,P1,5,63,42.000000
RH,69,94.500000,P1,5,69,42.000000
RH,71,94.500000,P1,5,71,42.000000
RH,92,94.500000,P1,1,92,42.000000
RH,87,94.750000,P1,1,87,42.166667
RH,90,94.875000,P1,1,90,42.333333
RH,83,95.000000,P1,1,83,42.500000
RH,80,95.250000,P1,1,80,42.666667
RH,75,95.375000,P1,1,75,42.833333
LH,59,95.500000,P1,5,59,43.000000
RH,78,95.500000,P1,1,78,43.000000
LH,47,95.625000,P1,5,47,43.000000
RH,71,95.750000,P1,1,71,43.166667
RH,68,95.875000,P1,1,68,43.333333
RH,63,96.125000,P1,1,63,43.500000
RH,66,96.250000,P1,1,66,43.666667
LH,59,96.500000,P1,1,59,43.833333
LH,52,96.625000,P1,5,52,44.000000
RH,69,96.625000,P1,1,69,44.000000
LH,40,96.666667,P1,5,40,44.000000
RH,64,96.750000,P1,1,64,44.166667
RH,68,97.000000,P1,1,68,44.333333
RH,71,97.125000,P1,1,71,44.500000
RH,81,97.333333,P1,1,81,44.666667
RH,76,97.500000,P1,1,76,44.833333
RH,68,97.666667,P1,5,68,45.000000
RH,80,97.666667,P1,1,80,45.000000
LH,59,97.750000,P1,5,59,45.000000
RH,83,98.000000,P1,1,83,45.166667
LH,58,98.125000,P1,5,58,45.333333
RH,67,98.125000,P1,5,67,45.333333
RH,93,98.125000,P1,1,93,45.333333
RH,88,98.333333,P1,1,88,45.500000
LH,59,98.500000,P1,5,59,45.666667
RH,68,98.500000,P1,5,68,45.666667
RH,92,98.500000,P1,1,92,45.666667
RH,83,98.750000,P1,1,83,45.833333
LH,56,99.000000,P1,5,56,46.000000
LH,52,99.125000,P1,5,52,46.000000
LH,56,99.125000,P1,5,56,46.000000
RH,64,99.125000,P1,5,64,46.000000
RH,100,99.125000,P1,1,100,46.000000
LH,33,101.250000,P1,5,33,48.000000
RH,101,101.250000,P1,1,101,48.000000
RH,96,101.375000,P1,1,96,48.166667
RH,100,101.500000,P1,1,100,48.333333
RH,93,101.750000,P1,1,93,48.500000
RH,99,101.875000,P1,1,99,48.666667
RH,96,102.000000,P1,1,96,48.833333
LH,57,102.125000,P1,5,57,49.000000
RH,60,102.125000,P1,5,60,49.000000
RH,64,102.125000,P1,5,64,49.000000
RH,98,102.125000,P1,1,98,49.000000
RH,93,102.250000,P1,1,93,49.166667
RH,97,102.500000,P1,1,97,49.333333
RH,93,102.666667,P1,1,93,49.500000
LH,57,102.875000,P1,5,57,49.750000
RH,60,102.875000,P1,5,60,49.750000
RH,64,102.875000,P1,5,64,49.750000
RH,96,102.875000,P1,1,96,49.666667
RH,88,103.000000,P1,1,88,49.833333
LH,57,103.125000,P1,5,57,50.000000
RH,60,103.125000,P1,5,60,50.000000
RH,64,103.125000,P1,5,64,50.000000
RH,95,103.125000,P1,1,95,50.000000
RH,88,103.333333,P1,1,88,50.166667
RH,94,103.500000,P1,1,94,50.333333
RH,84,103.666667,P1,1,84,50.500000
RH,93,103.750000,P1,1,93,50.666667
RH,88,104.000000,P1,1,88,50.833333
LH,57,104.125000,P1,5,57,51.000000
RH,60,104.125000,P1,5,60,51.000000
RH,65,104.125000,P1,5,65,51.000000
RH,92,104.125000,P1,1,92,51.000000
RH,84,104.333333,P1,1,84,51.166667
RH,91,104.500000,P1,1,91,51.333333
RH,90,104.875000,P1,1,90,51.666667
LH,57,105.125000,P1,5,57,52.000000
RH,60,105.125000,P1,5,60,52.000000
RH,64,105.125000,P1,5,64,52.000000
RH,89,105.125000,P1,1,89,52.000000
