hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,64,2.000000,P1,1,64,0.000000
RH,64,4.125000,P1,1,64,1.000000
RH,64,4.750000,P1,1,64,2.000000
RH,65,7.375000,P1,1,65,3.000000
RH,64,10.125000,P1,1,64,4.000000
RH,60,12.750000,P1,1,60,5.000000
RH,64,16.000000,P1,1,64,6.000000
LH,48,22.875000,P1,5,48,8.000000
LH,55,22.875000,P1,1,55,8.000000
RH,64,22.875000,P1,1,64,8.000000
RH,60,23.000000,P1,1,60,8.000000
LH,48,25.500000,P1,5,48,9.000000
LH,55,25.500000,P1,1,55,9.000000
RH,60,25.500000,P1,1,60,9.000000
RH,64,25.500000,P1,1,64,9.000000
LH,48,27.375000,P1,5,48,9.750000
LH,55,27.375000,P1,1,55,9.750000
RH,60,27.375000,P1,1,60,9.750000
RH,64,27.375000,P1,1,64,9.750000
LH,48,28.000000,P1,5,48,10.000000
RH,64,28.000000,P1,1,64,10.000000
LH,55,28.125000,P1,1,55,10.000000
RH,60,28.125000,P1,1,60,10.000000
LH,41,30.500000,P1,5,41,11.000000
LH,57,30.500000,P1,1,57,11.000000
RH,60,30.500000,P1,1,60,11.000000
RH,65,30.500000,P1,1,65,11.000000
LH,36,33.250000,P1,5,36,12.000000
RH,60,33.250000,P1,1,60,12.000000
RH,64,33.250000,P1,1,64,12.000000
LH,55,33.333333,P1,1,55,12.000000
LH,41,35.875000,P1,5,41,13.000000
LH,57,35.875000,P1,1,57,13.000000
RH,60,35.875000,P1,1,60,13.000000
LH,36,39.125000,P1,5,36,14.000000
LH,55,39.125000,P1,2,55,14.000000
RH,60,39.125000,P1,2,60,14.000000
RH,64,39.125000,P1,1,64,14.000000
LH,56,44.375000,P1,2,56,15.000000
RH,62,44.375000,P1,2,62,15.000000
LH,35,44.500000,P1,5,35,15.000000
LH,33,50.000000,P1,5,33,16.000000
RH,101,50.000000,P1,1,101,16.000000
RH,96,50.375000,P1,1,96,16.166667
RH,100,50.625000,P1,1,100,16.333333
RH,93,50.750000,P1,1,93,16.500000
RH,99,50.875000,P1,1,99,16.666667
RH,96,51.125000,P1,1,96,16.833333
LH,57,51.250000,P1,5,57,17.000000
RH,60,51.250000,P1,5,60,17.000000
RH,64,51.250000,P1,5,64,17.000000
RH,98,51.250000,P1,1,98,17.000000
RH,93,51.500000,P1,1,93,17.166667
RH,97,51.500000,P1,1,97,17.333333
RH,93,51.666667,P1,1,93,17.500000
RH,96,51.875000,P1,1,96,17.666667
RH,88,52.000000,P1,1,88,17.833333
LH,57,52.125000,P1,5,57,17.750000
RH,60,52.125000,P1,5,60,17.750000
RH,64,52.125000,P1,5,64,17.750000
LH,57,52.250000,P1,5,57,18.000000
RH,64,52.250000,P1,5,64,18.000000
RH,95,52.250000,P1,1,95,18.000000
RH,60,52.333333,P1,5,60,18.000000
RH,88,52.500000,P1,1,88,18.166667
RH,94,52.625000,P1,1,94,18.333333
RH,84,52.750000,P1,1,84,18.500000
RH,93,53.000000,P1,1,93,18.666667
RH,88,53.125000,P1,1,88,18.833333
LH,57,53.333333,P1,5,57,19.000000
RH,60,53.333333,P1,5,60,19.000000
RH,65,53.333333,P1,5,65,19.000000
RH,92,53.333333,P1,1,92,19.000000
RH,84,53.500000,P1,1,84,19.166667
RH,91,53.666667,P1,1,91,19.333333
RH,84,53.875000,P1,1,84,19.500000
RH,90,54.000000,P1,1,90,19.666667
RH,81,54.125000,P1,1,81,19.833333
LH,57,54.250000,P1,5,57,20.000000
RH,60,54.250000,P1,5,60,20.000000
RH,64,54.250000,P1,5,64,20.000000
RH,89,54.333333,P1,1,89,20.000000
RH,84,54.500000,P1,1,84,20.166667
RH,88,54.625000,P1,1,88,20.333333
RH,81,54.750000,P1,1,81,20.500000
RH,87,54.875000,P1,1,87,20.666667
LH,52,55.125000,P1,5,52,21.000000
RH,60,55.125000,P1,5,60,21.000000
RH,84,55.125000,P1,1,84,20.833333
LH,57,55.250000,P1,5,57,21.000000
RH,86,55.250000,P1,1,86,21.000000
RH,81,55.375000,P1,1,81,21.166667
RH,85,55.500000,P1,1,85,21.333333
RH,81,55.666667,P1,1,81,21.500000
RH,84,55.875000,P1,1,84,21.666667
RH,76,56.000000,P1,1,76,21.833333
LH,57,56.125000,P1,5,57,22.000000
RH,60,56.125000,P1,5,60,22.000000
RH,64,56.125000,P1,5,64,22.000000
RH,83,56.250000,P1,1,83,22.000000
RH,76,56.333333,P1,1,76,22.166667
RH,82,56.500000,P1,1,82,22.333333
RH,72,56.666667,P1,1,72,22.500000
RH,81,56.875000,P1,1,81,22.666667
RH,76,57.000000,P1,1,76,22.833333
RH,80,57.125000,P1,1,80,23.000000
RH,72,57.333333,P1,1,72,23.166667
RH,79,57.500000,P1,1,79,23.333333
RH,72,57.625000,P1,1,72,23.500000
RH,78,57.750000,P1,1,78,23.666667
RH,69,57.875000,P1,1,69,23.833333
LH,33,58.000000,P1,5,33,24.000000
RH,77,58.000000,P1,1,77,24.000000
RH,72,58.250000,P1,1,72,24.166667
RH,76,58.500000,P1,1,76,24.333333
RH,69,58.625000,P1,1,69,24.500000
RH,75,58.666667,P1,1,75,24.666667
RH,72,58.875000,P1,1,72,24.833333
LH,45,59.000000,P1,5,45,25.000000
LH,52,59.000000,P1,5,52,25.000000
RH,74,59.000000,P1,1,74,25.000000
RH,69,59.125000,P1,1,69,25.166667
RH,73,59.250000,P1,1,73,25.333333
RH,69,59.375000,P1,1,69,25.500000
RH,72,59.666667,P1,1,72,25.666667
LH,45,59.750000,P1,5,45,25.750000
LH,52,59.750000,P1,5,52,25.750000
RH,64,59.750000,P1,1,64,25.833333
LH,45,60.000000,P1,5,45,26.000000
LH,52,60.000000,P1,5,52,26.000000
RH,71,60.000000,P1,1,71,26.000000
RH,64,60.125000,P1,1,64,26.166667
RH,70,60.333333,P1,1,70,26.333333
RH,60,60.375000,P1,1,60,26.500000
RH,69,60.625000,P1,1,69,26.666667
RH,64,60.750000,P1,1,64,26.833333
LH,53,60.875000,P1,5,53,27.000000
RH,68,60.875000,P1,1,68,27.000000
LH,45,61.000000,P1,5,45,27.000000
RH,60,61.125000,P1,1,60,27.166667
RH,67,61.250000,P1,1,67,27.333333
RH,60,61.333333,P1,1,60,27.500000
RH,66,61.625000,P1,1,66,27.666667
LH,57,61.750000,P1,1,57,27.833333
LH,45,61.875000,P1,5,45,28.000000
LH,52,61.875000,P1,5,52,28.000000
RH,65,61.875000,P1,1,65,28.000000
RH,60,62.125000,P1,1,60,28.166667
RH,64,62.250000,P1,1,64,28.333333
LH,57,62.333333,P1,1,57,28.500000
RH,63,62.500000,P1,1,63,28.666667
RH,60,62.666667,P1,1,60,28.833333
RH,62,62.750000,P1,1,62,29.000000
LH,57,63.000000,P1,1,57,29.166667
RH,61,63.125000,P1,1,61,29.333333
LH,57,63.250000,P1,1,57,29.500000
RH,60,63.500000,P1,1,60,29.666667
LH,52,63.625000,P1,1,52,29.833333
LH,40,63.750000,P1,5,40,30.000000
LH,59,63.875000,P1,1,59,30.000000
LH,52,64.000000,P1,1,52,30.166667
LH,58,64.250000,P1,1,58,30.333333
LH,48,64.333333,P1,1,48,30.500000
LH,57,64.500000,P1,1,57,30.666667
LH,52,64.666667,P1,1,52,30.833333
LH,56,64.875000,P1,1,56,31.000000
LH,48,65.000000,P1,1,48,31.166667
LH,57,65.125000,P1,1,57,31.333333
LH,52,65.333333,P1,1,52,31.500000
RH,60,65.500000,P1,1,60,31.666667
LH,53,65.666667,P1,1,53,31.833333
LH,32,65.875000,P1,5,32,32.000000
RH,64,65.875000,P1,1,64,32.000000
LH,59,66.125000,P1,1,59,32.166667
RH,62,66.250000,P1,1,62,32.333333
RH,65,66.500000,P1,1,65,32.500000
RH,76,66.666667,P1,1,76,32.666667
RH,71,66.750000,P1,1,71,32.833333
LH,53,67.000000,P1,5,53,33.000000
RH,62,67.000000,P1,5,62,33.000000
RH,74,67.000000,P1,1,74,33.000000
RH,77,67.250000,P1,1,77,33.166667
RH,88,67.375000,P1,1,88,33.333333
RH,83,67.500000,P1,1,83,33.500000
RH,86,67.666667,P1,1,86,33.666667
LH,53,67.750000,P1,5,53,33.750000
RH,62,67.750000,P1,5,62,33.750000
RH,77,67.875000,P1,1,77,33.833333
LH,53,68.000000,P1,5,53,34.000000
RH,60,68.000000,P1,5,60,34.000000
RH,86,68.000000,P1,1,86,34.000000
RH,81,68.125000,P1,1,81,34.166667
RH,84,68.333333,P1,1,84,34.333333
RH,77,68.500000,P1,1,77,34.500000
RH,74,68.750000,P1,1,74,34.666667
RH,69,69.000000,P1,1,69,34.833333
RH,72,69.000000,P1,1,72,35.000000
LH,33,69.125000,P1,5,33,35.000000
LH,45,69.125000,P1,5,45,35.000000
RH,65,69.250000,P1,1,65,35.166667
RH,62,69.500000,P1,1,62,35.333333
LH,57,69.625000,P1,1,57,35.500000
RH,60,69.750000,P1,1,60,35.666667
LH,53,69.875000,P1,1,53,35.833333
LH,32,70.125000,P1,5,32,36.000000
LH,44,70.125000,P1,5,44,36.000000
RH,64,70.125000,P1,1,64,36.000000
LH,59,70.333333,P1,1,59,36.166667
RH,62,70.375000,P1,1,62,36.333333
RH,65,70.625000,P1,1,65,36.500000
RH,76,70.750000,P1,1,76,36.666667
RH,71,70.875000,P1,1,71,36.833333
LH,55,71.125000,P1,5,55,37.000000
RH,62,71.125000,P1,5,62,37.000000
RH,74,71.125000,P1,1,74,37.000000
RH,77,71.333333,P1,1,77,37.166667
LH,53,71.500000,P1,5,53,37.333333
RH,62,71.500000,P1,5,62,37.333333
RH,88,71.500000,P1,1,88,37.333333
RH,83,71.666667,P1,1,83,37.500000
LH,52,71.750000,P1,5,52,37.666667
RH,62,71.750000,P1,5,62,37.666667
RH,86,71.750000,P1,1,86,37.666667
LH,52,72.000000,P1,5,52,38.000000
RH,60,72.000000,P1,5,60,38.000000
RH,86,72.125000,P1,1,86,38.000000
RH,81,72.250000,P1,1,81,38.166667
RH,84,72.375000,P1,1,84,38.333333
RH,74,72.750000,P1,1,74,38.666667
RH,69,72.875000,P1,1,69,38.833333
LH,33,73.125000,P1,5,33,39.000000
LH,45,73.125000,P1,5,45,39.000000
RH,72,73.125000,P1,1,72,39.000000
RH,62,73.500000,P1,1,62,39.333333
LH,57,73.625000,P1,1,57,39.500000
RH,60,73.750000,P1,1,60,39.666667
LH,59,73.875000,P1,1,59,39.833333
LH,35,74.125000,P1,5,35,40.000000
LH,47,74.125000,P1,5,47,40.000000
RH,69,74.125000,P1,1,69,40.000000
RH,64,74.375000,P1,1,64,40.166667
RH,68,74.500000,P1,1,68,40.333333
RH,71,74.750000,P1,1,71,40.500000
RH,81,74.875000,P1,1,81,40.666667
RH,76,75.000000,P1,1,76,40.833333
LH,56,75.250000,P1,6,56,41.000000
LH,59,75.250000,P1,6,59,41.000000
RH,64,75.250000,P1,5,64,41.000000
RH,80,75.250000,P1,1,80,41.000000
RH,83,75.500000,P1,1,83,41.166667
RH,68,75.625000,P1,5,68,41.333333
RH,93,75.625000,P1,1,93,41.333333
RH,88,75.750000,P1,1,88,41.500000
RH,73,75.875000,P1,5,73,41.666667
RH,92,75.875000,P1,1,92,41.666667
RH,83,76.125000,P1,1,83,41.833333
LH,59,76.250000,P1,5,59,42.000000
RH,69,76.250000,P1,5,69,42.000000
RH,71,76.250000,P1,5,71,42.000000
RH,92,76.250000,P1,1,92,42.000000
RH,87,76.500000,P1,1,87,42.166667
RH,90,76.625000,P1,1,90,42.333333
RH,83,76.750000,P1,1,83,42.500000
RH,80,76.875000,P1,1,80,42.666667
RH,75,77.125000,P1,1,75,42.833333
RH,78,77.250000,P1,1,78,43.000000
LH,47,77.333333,P1,5,47,43.000000
LH,59,77.333333,P1,5,59,43.000000
RH,71,77.500000,P1,1,71,43.166667
RH,68,77.625000,P1,1,68,43.333333
RH,63,77.750000,P1,1,63,43.500000
RH,66,78.000000,P1,1,66,43.666667
LH,59,78.125000,P1,1,59,43.833333
LH,40,78.250000,P1,5,40,44.000000
LH,52,78.250000,P1,5,52,44.000000
RH,69,78.250000,P1,1,69,44.000000
RH,64,78.500000,P1,1,64,44.166667
RH,68,78.625000,P1,1,68,44.333333
RH,71,78.875000,P1,1,71,44.500000
RH,81,79.000000,P1,1,81,44.666667
RH,76,79.125000,P1,1,76,44.833333
LH,59,79.250000,P1,5,59,45.000000
RH,68,79.250000,P1,5,68,45.000000
RH,80,79.250000,P1,1,80,45.000000
RH,83,79.375000,P1,1,83,45.166667
LH,58,79.500000,P1,5,58,45.333333
RH,67,79.500000,P1,5,67,45.333333
RH,93,79.500000,P1,1,93,45.333333
RH,88,79.750000,P1,1,88,45.500000
LH,59,79.875000,P1,5,59,45.666667
RH,68,79.875000,P1,5,68,45.666667
RH,92,79.875000,P1,1,92,45.666667
RH,83,80.000000,P1,1,83,45.833333
LH,52,80.250000,P1,5,52,46.000000
LH,56,80.250000,P1,5,56,46.000000
RH,64,80.250000,P1,5,64,46.000000
RH,100,80.250000,P1,1,100,46.000000
LH,33,82.500000,P1,5,33,48.000000
RH,101,82.500000,P1,1,101,48.000000
RH,96,82.875000,P1,1,96,48.166667
RH,100,83.125000,P1,1,100,48.333333
RH,93,83.250000,P1,1,93,48.500000
RH,99,83.375000,P1,1,99,48.666667
RH,96,83.625000,P1,1,96,48.833333
RH,98,83.750000,P1,1,98,49.000000
RH,93,83.875000,P1,1,93,49.166667
RH,97,84.125000,P1,1,97,49.333333
RH,93,84.250000,P1,1,93,49.500000
RH,96,84.375000,P1,1,96,49.666667
RH,88,84.500000,P1,1,88,49.833333
LH,57,84.625000,P1,5,57,49.750000
RH,60,84.625000,P1,5,60,49.750000
RH,64,84.625000,P1,5,64,49.750000
RH,95,84.750000,P1,1,95,50.000000
LH,57,84.875000,P1,5,57,50.000000
RH,60,84.875000,P1,5,60,50.000000
RH,64,84.875000,P1,5,64,50.000000
RH,88,84.875000,P1,1,88,50.166667
RH,94,85.125000,P1,1,94,50.333333
RH,84,85.250000,P1,1,84,50.500000
RH,93,85.375000,P1,1,93,50.666667
RH,88,85.500000,P1,1,88,50.833333
RH,92,85.750000,P1,1,92,51.000000
LH,57,85.875000,P1,5,57,51.000000
RH,60,85.875000,P1,5,60,51.000000
RH,65,85.875000,P1,5,65,51.000000
RH,84,86.000000,P1,1,84,51.166667
RH,91,86.125000,P1,1,91,51.333333
RH,84,86.333333,P1,1,84,51.500000
RH,90,86.500000,P1,1,90,51.666667
RH,81,86.625000,P1,1,81,51.833333
LH,57,86.750000,P1,5,57,52.000000
RH,60,86.750000,P1,5,60,52.000000
RH,64,86.750000,P1,5,64,52.000000
RH,89,86.750000,P1,1,89,52.000000
RH,84,87.000000,P1,1,84,52.166667
RH,88,87.125000,P1,1,88,52.333333
RH,81,87.250000,P1,1,81,52.500000
RH,87,87.375000,P1,1,87,52.666667
RH,84,87.500000,P1,1,84,52.833333
LH,52,87.750000,P1,5,52,53.000000
LH,57,87.750000,P1,5,57,53.000000
RH,60,87.750000,P1,5,60,53.000000
RH,86,87.750000,P1,1,86,53.000000
RH,81,87.875000,P1,1,81,53.166667
RH,85,88.000000,P1,1,85,53.333333
RH,81,88.125000,P1,1,81,53.500000
RH,84,88.375000,P1,1,84,53.666667
RH,76,88.500000,P1,1,76,53.833333
LH,57,88.666667,P1,5,57,54.000000
RH,60,88.666667,P1,5,60,54.000000
RH,64,88.666667,P1,5,64,54.000000
RH,83,88.750000,P1,1,83,54.000000
RH,76,88.875000,P1,1,76,54.166667
RH,82,89.000000,P1,1,82,54.333333
RH,72,89.250000,P1,1,72,54.500000
RH,81,89.333333,P1,1,81,54.666667
RH,76,89.500000,P1,1,76,54.833333
RH,80,89.625000,P1,1,80,55.000000
RH,72,89.875000,P1,1,72,55.166667
RH,79,90.000000,P1,1,79,55.333333
RH,72,90.125000,P1,1,72,55.500000
RH,78,90.333333,P1,1,78,55.666667
RH,69,90.500000,P1,1,69,55.833333
LH,24,90.625000,P1,5,24,56.000000
LH,36,90.666667,P1,5,36,56.000000
RH,77,90.750000,P1,1,77,56.000000
RH,70,90.875000,P1,1,70,56.166667
RH,76,91.125000,P1,1,76,56.333333
RH,67,91.333333,P1,1,67,56.500000
RH,70,91.500000,P1,1,70,56.833333
RH,75,91.500000,P1,1,75,56.666667
LH,43,91.750000,P1,5,43,57.000000
LH,52,91.750000,P1,5,52,57.000000
RH,74,91.750000,P1,1,74,57.000000
RH,67,91.875000,P1,1,67,57.166667
