hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,64,3.875000,P1,1,64,0.000000
RH,64,6.375000,P1,1,64,1.000000
RH,64,8.375000,P1,1,64,1.750000
RH,64,9.000000,P1,1,64,2.000000
RH,65,11.333333,P1,1,65,3.000000
RH,64,14.000000,P1,1,64,4.000000
RH,60,16.666667,P1,1,60,5.000000
RH,64,19.750000,P1,1,64,6.000000
LH,48,26.666667,P1,5,48,8.000000
RH,60,26.666667,P1,1,60,8.000000
RH,64,26.666667,P1,1,64,8.000000
LH,55,26.750000,P1,1,55,8.000000
LH,48,28.750000,P1,5,48,9.000000
RH,64,28.750000,P1,1,64,9.000000
LH,55,28.875000,P1,1,55,9.000000
RH,60,28.875000,P1,1,60,9.000000
LH,48,30.500000,P1,5,48,9.750000
LH,55,30.500000,P1,1,55,9.750000
RH,60,30.500000,P1,1,60,9.750000
RH,64,30.500000,P1,1,64,9.750000
LH,55,31.000000,P1,1,55,10.000000
RH,64,31.000000,P1,1,64,10.000000
LH,48,31.125000,P1,5,48,10.000000
RH,60,31.125000,P1,1,60,10.000000
LH,41,33.375000,P1,5,41,11.000000
LH,57,33.375000,P1,1,57,11.000000
RH,60,33.375000,P1,1,60,11.000000
RH,65,33.375000,P1,1,65,11.000000
LH,36,35.875000,P1,5,36,12.000000
LH,55,35.875000,P1,1,55,12.000000
RH,60,35.875000,P1,1,60,12.000000
RH,64,35.875000,P1,1,64,12.000000
LH,41,38.375000,P1,5,41,13.000000
LH,57,38.375000,P1,1,57,13.000000
RH,60,38.375000,P1,1,60,13.000000
LH,36,41.500000,P1,5,36,14.000000
LH,55,41.500000,P1,2,55,14.000000
RH,60,41.500000,P1,2,60,14.000000
RH,64,41.500000,P1,1,64,14.000000
LH,56,44.375000,P1,2,56,15.000000
RH,62,44.375000,P1,2,62,15.000000
LH,35,44.500000,P1,5,35,15.000000
LH,33,50.125000,P1,5,33,16.000000
RH,101,50.125000,P1,1,101,16.000000
RH,96,50.333333,P1,1,96,16.166667
RH,100,50.500000,P1,1,100,16.333333
RH,93,50.666667,P1,1,93,16.500000
RH,99,50.875000,P1,1,99,16.666667
RH,96,51.000000,P1,1,96,16.833333
RH,98,51.125000,P1,1,98,17.000000
LH,57,51.250000,P1,5,57,17.000000
RH,60,51.250000,P1,5,60,17.000000
RH,64,51.250000,P1,5,64,17.000000
RH,93,51.333333,P1,1,93,17.166667
RH,97,51.500000,P1,1,97,17.333333
RH,93,51.750000,P1,1,93,17.500000
RH,96,51.875000,P1,1,96,17.666667
LH,57,52.000000,P1,5,57,17.750000
RH,60,52.000000,P1,5,60,17.750000
RH,64,52.000000,P1,5,64,17.750000
RH,88,52.000000,P1,1,88,17.833333
LH,57,52.250000,P1,5,57,18.000000
RH,60,52.250000,P1,5,60,18.000000
RH,64,52.250000,P1,5,64,18.000000
RH,95,52.250000,P1,1,95,18.000000
RH,88,52.375000,P1,1,88,18.166667
RH,94,52.625000,P1,1,94,18.333333
RH,84,52.750000,P1,1,84,18.500000
RH,93,52.875000,P1,1,93,18.666667
RH,88,53.000000,P1,1,88,18.833333
LH,57,53.250000,P1,5,57,19.000000
RH,60,53.250000,P1,5,60,19.000000
RH,65,53.250000,P1,5,65,19.000000
RH,92,53.250000,P1,1,92,19.000000
RH,84,53.375000,P1,1,84,19.166667
RH,91,53.500000,P1,1,91,19.333333
RH,84,53.750000,P1,1,84,19.500000
RH,90,53.875000,P1,1,90,19.666667
RH,81,54.125000,P1,1,81,19.833333
LH,57,54.250000,P1,5,57,20.000000
RH,60,54.250000,P1,5,60,20.000000
RH,64,54.250000,P1,5,64,20.000000
RH,89,54.250000,P1,1,89,20.000000
RH,84,54.375000,P1,1,84,20.166667
RH,88,54.625000,P1,1,88,20.333333
RH,81,54.750000,P1,1,81,20.500000
RH,87,54.875000,P1,1,87,20.666667
RH,84,55.000000,P1,1,84,20.833333
LH,52,55.250000,P1,5,52,21.000000
LH,57,55.250000,P1,5,57,21.000000
RH,60,55.250000,P1,5,60,21.000000
RH,86,55.250000,P1,1,86,21.000000
RH,81,55.375000,P1,1,81,21.166667
RH,85,55.625000,P1,1,85,21.333333
RH,81,55.750000,P1,1,81,21.500000
RH,84,55.875000,P1,1,84,21.666667
RH,76,56.125000,P1,1,76,21.833333
LH,57,56.250000,P1,5,57,22.000000
RH,60,56.250000,P1,5,60,22.000000
RH,64,56.250000,P1,5,64,22.000000
RH,83,56.250000,P1,1,83,22.000000
RH,76,56.500000,P1,1,76,22.166667
RH,82,56.666667,P1,1,82,22.333333
RH,72,56.750000,P1,1,72,22.500000
RH,81,57.000000,P1,1,81,22.666667
RH,76,57.125000,P1,1,76,22.833333
RH,80,57.250000,P1,1,80,23.000000
RH,72,57.375000,P1,1,72,23.166667
RH,79,57.625000,P1,1,79,23.333333
RH,72,57.750000,P1,1,72,23.500000
RH,78,57.875000,P1,1,78,23.666667
RH,69,58.125000,P1,1,69,23.833333
LH,33,58.250000,P1,5,33,24.000000
RH,77,58.250000,P1,1,77,24.000000
RH,72,58.375000,P1,1,72,24.166667
RH,76,58.500000,P1,1,76,24.333333
RH,69,58.750000,P1,1,69,24.500000
RH,75,58.875000,P1,1,75,24.666667
RH,72,59.000000,P1,1,72,24.833333
LH,52,59.250000,P1,5,52,25.000000
RH,74,59.250000,P1,1,74,25.000000
LH,45,59.333333,P1,5,45,25.000000
RH,69,59.375000,P1,1,69,25.166667
RH,73,59.500000,P1,1,73,25.333333
RH,69,59.750000,P1,1,69,25.500000
RH,72,59.875000,P1,1,72,25.666667
LH,45,60.000000,P1,5,45,25.750000
LH,52,60.000000,P1,5,52,25.750000
RH,64,60.000000,P1,1,64,25.833333
RH,71,60.250000,P1,1,71,26.000000
LH,45,60.333333,P1,5,45,26.000000
LH,52,60.333333,P1,5,52,26.000000
RH,64,60.375000,P1,1,64,26.166667
RH,70,60.625000,P1,1,70,26.333333
RH,60,60.750000,P1,1,60,26.500000
RH,69,60.875000,P1,1,69,26.666667
RH,64,61.125000,P1,1,64,26.833333
LH,45,61.250000,P1,5,45,27.000000
LH,53,61.250000,P1,5,53,27.000000
RH,68,61.250000,P1,1,68,27.000000
RH,60,61.500000,P1,1,60,27.166667
RH,67,61.625000,P1,1,67,27.333333
RH,60,61.750000,P1,1,60,27.500000
RH,66,62.000000,P1,1,66,27.666667
LH,57,62.125000,P1,1,57,27.833333
LH,52,62.250000,P1,5,52,28.000000
RH,65,62.250000,P1,1,65,28.000000
LH,45,62.333333,P1,5,45,28.000000
RH,60,62.375000,P1,1,60,28.166667
RH,64,62.625000,P1,1,64,28.333333
LH,57,62.750000,P1,1,57,28.500000
RH,63,62.875000,P1,1,63,28.666667
RH,60,63.000000,P1,1,60,28.833333
RH,62,63.125000,P1,1,62,29.000000
LH,57,63.333333,P1,1,57,29.166667
RH,61,63.500000,P1,1,61,29.333333
LH,57,63.666667,P1,1,57,29.500000
RH,60,63.875000,P1,1,60,29.666667
LH,52,64.000000,P1,1,52,29.833333
LH,40,64.125000,P1,5,40,30.000000
LH,59,64.125000,P1,1,59,30.000000
LH,52,64.333333,P1,1,52,30.166667
LH,58,64.500000,P1,1,58,30.333333
LH,48,64.625000,P1,1,48,30.500000
LH,57,64.750000,P1,1,57,30.666667
LH,52,64.875000,P1,1,52,30.833333
LH,56,65.125000,P1,1,56,31.000000
LH,48,65.250000,P1,1,48,31.166667
LH,57,65.375000,P1,1,57,31.333333
LH,52,65.625000,P1,1,52,31.500000
RH,60,65.750000,P1,1,60,31.666667
LH,53,65.875000,P1,1,53,31.833333
LH,32,66.000000,P1,5,32,32.000000
RH,64,66.000000,P1,1,64,32.000000
LH,59,66.250000,P1,1,59,32.166667
RH,62,66.375000,P1,1,62,32.333333
RH,65,66.500000,P1,1,65,32.500000
RH,76,66.750000,P1,1,76,32.666667
RH,71,66.875000,P1,1,71,32.833333
LH,53,67.000000,P1,5,53,33.000000
RH,62,67.000000,P1,5,62,33.000000
RH,74,67.000000,P1,1,74,33.000000
RH,77,67.250000,P1,1,77,33.166667
RH,88,67.375000,P1,1,88,33.333333
RH,83,67.500000,P1,1,83,33.500000
RH,86,67.666667,P1,1,86,33.666667
RH,62,67.750000,P1,5,62,33.750000
RH,77,67.750000,P1,1,77,33.833333
LH,53,67.875000,P1,5,53,34.000000
RH,60,67.875000,P1,5,60,34.000000
RH,86,67.875000,P1,1,86,34.000000
RH,81,68.125000,P1,1,81,34.166667
RH,84,68.250000,P1,1,84,34.333333
RH,77,68.375000,P1,1,77,34.500000
RH,74,68.625000,P1,1,74,34.666667
RH,69,68.750000,P1,1,69,34.833333
LH,33,68.875000,P1,5,33,35.000000
LH,45,68.875000,P1,5,45,35.000000
RH,72,68.875000,P1,1,72,35.000000
RH,65,69.125000,P1,1,65,35.166667
RH,62,69.333333,P1,1,62,35.333333
LH,57,69.500000,P1,1,57,35.500000
RH,60,69.625000,P1,1,60,35.666667
LH,53,69.750000,P1,1,53,35.833333
LH,32,70.000000,P1,5,32,36.000000
LH,44,70.000000,P1,5,44,36.000000
RH,64,70.000000,P1,1,64,36.000000
LH,59,70.125000,P1,1,59,36.166667
RH,62,70.333333,P1,1,62,36.333333
RH,65,70.500000,P1,1,65,36.500000
RH,76,70.666667,P1,1,76,36.666667
RH,71,70.750000,P1,1,71,36.833333
LH,55,71.000000,P1,5,55,37.000000
RH,62,71.000000,P1,5,62,37.000000
RH,74,71.000000,P1,1,74,37.000000
RH,77,71.125000,P1,1,77,37.166667
LH,53,71.333333,P1,5,53,37.333333
RH,62,71.333333,P1,5,62,37.333333
RH,88,71.333333,P1,1,88,37.333333
RH,83,71.500000,P1,1,83,37.500000
LH,52,71.625000,P1,5,52,37.666667
RH,62,71.625000,P1,5,62,37.666667
RH,86,71.625000,P1,1,86,37.666667
RH,77,71.875000,P1,1,77,37.833333
LH,52,72.000000,P1,5,52,38.000000
RH,60,72.000000,P1,5,60,38.000000
RH,86,72.000000,P1,1,86,38.000000
RH,81,72.125000,P1,1,81,38.166667
RH,84,72.250000,P1,1,84,38.333333
RH,74,72.625000,P1,1,74,38.666667
RH,69,72.750000,P1,1,69,38.833333
RH,72,72.875000,P1,1,72,39.000000
LH,33,73.000000,P1,5,33,39.000000
LH,45,73.000000,P1,5,45,39.000000
RH,62,73.333333,P1,1,62,39.333333
LH,57,73.500000,P1,1,57,39.500000
RH,60,73.625000,P1,1,60,39.666667
LH,59,73.750000,P1,1,59,39.833333
LH,47,74.000000,P1,5,47,40.000000
RH,69,74.000000,P1,1,69,40.000000
RH,64,74.125000,P1,1,64,40.166667
RH,68,74.250000,P1,1,68,40.333333
RH,71,74.500000,P1,1,71,40.500000
RH,81,74.625000,P1,1,81,40.666667
RH,76,74.750000,P1,1,76,40.833333
