hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,75,10.500000,P1,1,75,4.000000
LH,51,10.750000,P1,5,51,4.166667
RH,68,10.875000,P1,1,68,4.166667
RH,72,10.875000,P1,1,72,4.333333
LH,56,11.000000,P1,5,56,4.333333
RH,60,11.125000,P1,5,60,4.500000
RH,63,11.125000,P1,1,63,4.500000
LH,56,11.250000,P1,5,56,4.666667
RH,68,11.250000,P1,1,68,4.666667
LH,51,11.375000,P1,5,51,4.833333
RH,72,11.375000,P1,1,72,4.833333
LH,44,11.625000,P1,5,44,5.000000
LH,51,11.750000,P1,5,51,5.166667
RH,68,11.875000,P1,1,68,5.166667
RH,72,11.875000,P1,1,72,5.333333
LH,56,12.000000,P1,5,56,5.333333
RH,60,12.125000,P1,5,60,5.500000
RH,63,12.125000,P1,1,63,5.500000
LH,56,12.250000,P1,5,56,5.666667
RH,68,12.250000,P1,1,68,5.666667
RH,72,12.375000,P1,1,72,5.833333
LH,51,12.500000,P1,5,51,5.833333
RH,75,12.625000,P1,1,75,6.000000
LH,44,12.666667,P1,5,44,6.000000
LH,51,12.875000,P1,5,51,6.166667
RH,68,12.875000,P1,1,68,6.166667
LH,56,13.125000,P1,5,56,6.333333
RH,72,13.125000,P1,1,72,6.333333
RH,60,13.250000,P1,5,60,6.500000
RH,63,13.250000,P1,1,63,6.500000
LH,56,13.375000,P1,5,56,6.666667
RH,68,13.375000,P1,1,68,6.666667
RH,72,13.500000,P1,1,72,6.833333
LH,51,13.666667,P1,5,51,6.833333
RH,75,13.750000,P1,1,75,7.000000
LH,44,13.875000,P1,5,44,7.000000
LH,51,14.000000,P1,5,51,7.166667
RH,68,14.000000,P1,1,68,7.166667
RH,72,14.000000,P1,1,72,7.333333
LH,56,14.250000,P1,5,56,7.333333
RH,63,14.333333,P1,1,63,7.500000
RH,60,14.375000,P1,5,60,7.500000
LH,56,14.500000,P1,5,56,7.666667
RH,68,14.500000,P1,1,68,7.666667
LH,51,14.750000,P1,5,51,7.833333
RH,72,14.750000,P1,1,72,7.833333
LH,44,15.000000,P1,5,44,8.000000
LH,51,15.125000,P1,5,51,8.166667
RH,68,15.125000,P1,1,68,8.166667
RH,72,15.333333,P1,1,72,8.333333
LH,56,15.375000,P1,5,56,8.333333
RH,63,15.500000,P1,1,63,8.500000
RH,60,15.625000,P1,5,60,8.500000
LH,56,15.666667,P1,5,56,8.666667
RH,68,15.666667,P1,1,68,8.666667
RH,72,15.875000,P1,1,72,8.833333
LH,51,16.000000,P1,5,51,8.833333
RH,75,16.125000,P1,1,75,9.000000
LH,44,16.250000,P1,5,44,9.000000
LH,51,16.500000,P1,5,51,9.166667
RH,63,16.875000,P1,1,63,9.500000
LH,51,17.125000,P1,5,51,9.833333
LH,44,17.333333,P1,5,44,10.000000
RH,75,17.333333,P1,1,75,10.000000
LH,51,17.500000,P1,5,51,10.166667
RH,63,17.875000,P1,1,63,10.500000
LH,51,18.125000,P1,5,51,10.833333
LH,44,18.250000,P1,5,44,11.000000
LH,51,18.500000,P1,5,51,11.166667
RH,63,18.750000,P1,1,63,11.500000
LH,51,19.000000,P1,5,51,11.833333
LH,44,19.250000,P1,5,44,12.000000
RH,75,19.250000,P1,1,75,12.000000
LH,51,19.375000,P1,5,51,12.166667
RH,70,19.375000,P1,1,70,12.166667
RH,73,19.500000,P1,1,73,12.333333
LH,55,19.625000,P1,5,55,12.333333
RH,61,19.666667,P1,5,61,12.500000
RH,63,19.666667,P1,1,63,12.500000
LH,55,19.875000,P1,5,55,12.666667
RH,70,19.875000,P1,1,70,12.666667
RH,73,19.875000,P1,1,73,12.833333
LH,51,20.000000,P1,5,51,12.833333
LH,44,20.125000,P1,5,44,13.000000
LH,51,20.375000,P1,5,51,13.166667
RH,63,20.750000,P1,1,63,13.500000
LH,51,21.000000,P1,5,51,13.833333
LH,44,21.125000,P1,5,44,14.000000
LH,51,21.333333,P1,5,51,14.166667
RH,63,21.666667,P1,1,63,14.500000
LH,51,21.875000,P1,5,51,14.833333
LH,44,22.125000,P1,5,44,15.000000
LH,44,23.125000,P1,5,44,16.000000
RH,72,23.375000,P1,1,72,16.166667
LH,56,23.500000,P1,5,56,16.333333
RH,60,23.750000,P1,5,60,16.500000
RH,72,23.875000,P1,1,72,16.666667
