hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,72,5.875000,P1,1,72,4.000000
RH,72,6.500000,P1,1,72,5.000000
RH,72,7.000000,P1,1,72,6.000000
RH,72,7.500000,P1,1,72,7.000000
RH,72,7.875000,P1,1,72,8.000000
RH,84,10.875000,P1,1,84,14.333333
RH,82,11.375000,P1,1,82,15.333333
RH,72,14.250000,P1,1,72,21.666667
RH,72,21.333333,P1,1,72,36.000000
RH,72,21.750000,P1,1,72,37.000000
RH,72,22.250000,P1,1,72,38.000000
RH,72,22.750000,P1,1,72,39.000000
RH,72,23.250000,P1,1,72,40.000000
RH,70,38.333333,P1,1,70,70.666667
RH,72,38.500000,P1,1,72,71.000000
RH,72,43.375000,P1,1,72,78.000000
RH,72,44.375000,P1,1,72,80.000000
RH,72,44.875000,P1,1,72,81.000000
RH,72,45.375000,P1,1,72,82.000000
RH,72,45.875000,P1,1,72,83.000000
RH,72,46.375000,P1,1,72,84.000000
RH,84,49.250000,P1,1,84,90.333333
RH,82,49.750000,P1,1,82,91.333333
RH,72,52.625000,P1,1,72,97.666667
RH,72,59.750000,P1,1,72,112.000000
RH,72,60.125000,P1,1,72,113.000000
RH,72,60.666667,P1,1,72,114.000000
RH,72,61.125000,P1,1,72,115.000000
RH,72,61.625000,P1,1,72,116.000000
RH,70,77.000000,P1,1,70,146.666667
RH,72,77.125000,P1,1,72,147.000000
RH,72,108.250000,P1,1,72,202.000000
RH,72,109.250000,P1,1,72,204.000000
RH,72,109.750000,P1,1,72,205.000000
RH,72,110.250000,P1,1,72,206.000000
RH,72,110.750000,P1,1,72,207.000000
RH,72,111.250000,P1,1,72,208.000000
RH,84,114.333333,P1,1,84,214.333333
RH,82,114.750000,P1,1,82,215.333333
RH,72,117.750000,P1,1,72,221.666667
RH,72,125.750000,P1,1,72,236.000000
RH,72,126.250000,P1,1,72,237.000000
RH,72,126.666667,P1,1,72,238.000000
RH,72,127.125000,P1,1,72,239.000000
RH,72,127.625000,P1,1,72,240.000000
RH,85,131.375000,P1,1,85,247.666667
RH,84,131.625000,P1,1,84,248.000000
RH,72,137.125000,P1,1,72,257.000000
RH,70,137.500000,P1,1,70,257.666667
RH,72,137.750000,P1,1,72,258.000000
RH,73,143.875000,P1,1,73,263.333333
RH,72,144.000000,P1,1,72,263.666667
RH,72,155.750000,P1,1,72,272.000000
