hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,64,6.875000,P1,1,64,4.500000
RH,76,6.875000,P1,1,76,4.500000
LH,48,7.125000,P1,5,48,5.000000
LH,57,7.500000,P1,5,57,5.500000
RH,69,7.500000,P1,1,69,5.500000
RH,76,7.500000,P1,1,76,5.500000
LH,57,9.875000,P1,5,57,9.500000
LH,57,10.375000,P1,5,57,10.500000
RH,76,12.250000,P1,1,76,13.500000
LH,47,12.500000,P1,5,47,14.000000
RH,62,12.750000,P1,5,62,14.500000
LH,52,13.250000,P1,5,52,15.500000
RH,76,13.333333,P1,1,76,15.500000
LH,45,13.500000,P1,5,45,16.000000
LH,52,13.875000,P1,5,52,16.500000
RH,60,13.875000,P1,5,60,16.500000
RH,72,13.875000,P1,1,72,16.500000
RH,76,13.875000,P1,1,76,16.500000
RH,84,13.875000,P1,1,84,16.500000
LH,52,14.500000,P1,5,52,17.500000
RH,62,14.500000,P1,5,62,17.500000
RH,76,14.500000,P1,1,76,17.500000
LH,52,15.000000,P1,5,52,18.500000
RH,69,15.000000,P1,1,69,18.500000
RH,81,15.000000,P1,1,81,18.500000
RH,76,15.125000,P1,1,76,18.500000
LH,52,15.625000,P1,5,52,19.500000
RH,76,15.625000,P1,1,76,19.500000
LH,52,16.250000,P1,5,52,20.500000
RH,76,16.250000,P1,1,76,20.500000
LH,52,16.750000,P1,5,52,21.500000
RH,76,16.750000,P1,1,76,21.500000
LH,52,17.333333,P1,5,52,22.500000
LH,52,17.875000,P1,5,52,23.500000
RH,76,17.875000,P1,1,76,23.500000
LH,52,18.500000,P1,5,52,24.500000
RH,76,18.500000,P1,1,76,24.500000
RH,76,19.125000,P1,1,76,25.500000
RH,76,19.666667,P1,1,76,26.500000
RH,64,21.375000,P1,5,64,29.500000
RH,76,21.375000,P1,1,76,29.500000
LH,59,22.500000,P1,5,59,31.500000
LH,59,23.125000,P1,5,59,32.500000
RH,64,23.125000,P1,5,64,32.500000
RH,68,23.125000,P1,1,68,32.500000
RH,69,23.750000,P1,1,69,33.500000
RH,72,23.750000,P1,1,72,33.500000
RH,74,25.000000,P1,1,74,35.500000
RH,64,25.500000,P1,5,64,36.500000
RH,76,25.500000,P1,1,76,36.500000
LH,48,25.750000,P1,5,48,37.000000
LH,57,26.125000,P1,5,57,37.500000
RH,69,26.125000,P1,2,69,37.500000
RH,76,26.125000,P1,2,76,37.500000
RH,64,26.250000,P1,5,64,37.500000
LH,57,28.500000,P1,5,57,41.500000
LH,57,29.125000,P1,5,57,42.500000
RH,76,31.000000,P1,2,76,45.500000
LH,47,31.250000,P1,5,47,46.000000
RH,62,31.625000,P1,5,62,46.500000
LH,52,32.250000,P1,5,52,47.500000
LH,45,32.500000,P1,5,45,48.000000
LH,52,32.750000,P1,5,52,48.500000
RH,60,32.750000,P1,5,60,48.500000
RH,72,32.750000,P1,2,72,48.500000
RH,76,32.750000,P1,2,76,48.500000
LH,52,33.375000,P1,5,52,49.500000
RH,62,33.375000,P1,5,62,49.500000
RH,71,33.375000,P1,2,71,49.500000
RH,76,33.375000,P1,2,76,49.500000
RH,83,33.375000,P1,1,83,49.500000
LH,52,34.000000,P1,5,52,50.500000
RH,69,34.000000,P1,2,69,50.500000
RH,76,34.000000,P1,2,76,50.500000
RH,81,34.000000,P1,1,81,50.500000
LH,52,34.625000,P1,5,52,51.500000
RH,76,34.625000,P1,2,76,51.500000
LH,52,35.125000,P1,5,52,52.500000
RH,76,35.125000,P1,2,76,52.500000
LH,52,35.750000,P1,5,52,53.500000
LH,52,36.375000,P1,5,52,54.500000
RH,76,36.375000,P1,1,76,54.500000
LH,52,37.000000,P1,5,52,55.500000
RH,76,37.000000,P1,2,76,55.500000
RH,76,38.333333,P1,2,76,57.500000
RH,76,38.875000,P1,1,76,58.500000
RH,64,40.750000,P1,5,64,61.500000
RH,76,40.750000,P1,2,76,61.500000
RH,64,41.375000,P1,5,64,62.500000
LH,59,42.000000,P1,5,59,63.500000
RH,71,42.000000,P1,2,71,63.500000
RH,64,42.666667,P1,5,64,64.500000
RH,64,44.000000,P1,5,64,66.500000
RH,64,44.625000,P1,5,64,67.500000
RH,64,45.875000,P1,5,64,69.500000
RH,76,45.875000,P1,2,76,69.500000
LH,59,46.375000,P1,5,59,70.500000
RH,64,46.375000,P1,5,64,70.500000
RH,67,46.375000,P1,2,67,70.500000
RH,71,46.500000,P1,2,71,70.500000
LH,59,47.000000,P1,5,59,71.500000
RH,71,47.000000,P1,2,71,71.500000
LH,59,47.666667,P1,5,59,72.500000
RH,71,47.666667,P1,2,71,72.500000
LH,56,49.333333,P1,5,56,74.500000
RH,68,49.333333,P1,2,68,74.500000
RH,71,49.333333,P1,2,71,74.500000
RH,65,49.375000,P1,5,65,74.500000
LH,48,50.250000,P1,5,48,76.000000
RH,72,50.500000,P1,1,72,76.500000
LH,48,50.875000,P1,5,48,77.000000
LH,48,51.500000,P1,5,48,78.000000
LH,55,51.750000,P1,5,55,78.500000
RH,64,51.750000,P1,5,64,78.500000
LH,48,52.000000,P1,5,48,79.000000
LH,55,52.250000,P1,5,55,79.500000
RH,70,52.250000,P1,1,70,79.500000
RH,64,52.333333,P1,1,64,79.500000
RH,67,54.375000,P1,1,67,82.500000
RH,68,55.875000,P1,1,68,84.500000
LH,44,56.125000,P1,5,44,85.000000
LH,44,56.750000,P1,5,44,86.000000
LH,51,57.000000,P1,5,51,86.500000
RH,60,57.000000,P1,5,60,86.500000
RH,66,57.000000,P1,1,66,86.500000
LH,44,57.250000,P1,5,44,87.000000
LH,51,57.625000,P1,5,51,87.500000
RH,60,57.625000,P1,1,60,87.500000
RH,66,57.625000,P1,1,66,87.500000
RH,68,57.625000,P1,1,68,87.500000
RH,68,58.125000,P1,1,68,88.500000
LH,44,58.500000,P1,5,44,89.000000
LH,51,58.750000,P1,5,51,89.500000
RH,60,58.750000,P1,1,60,89.500000
RH,68,58.875000,P1,1,68,89.500000
LH,44,59.125000,P1,5,44,90.000000
RH,68,60.000000,P1,2,68,91.500000
LH,44,60.250000,P1,5,44,92.000000
RH,63,60.625000,P1,2,63,92.500000
RH,68,60.625000,P1,2,68,92.500000
LH,44,60.875000,P1,5,44,93.000000
RH,68,61.250000,P1,2,68,93.500000
LH,44,61.500000,P1,5,44,94.000000
LH,44,62.125000,P1,5,44,95.000000
RH,68,62.375000,P1,2,68,95.500000
LH,44,62.666667,P1,5,44,96.000000
LH,44,63.250000,P1,5,44,97.000000
RH,68,63.625000,P1,2,68,97.500000
LH,44,63.875000,P1,5,44,98.000000
LH,53,64.125000,P1,5,53,98.500000
RH,61,64.125000,P1,5,61,98.500000
RH,65,64.125000,P1,2,65,98.500000
RH,68,64.125000,P1,2,68,98.500000
RH,73,64.125000,P1,1,73,98.500000
LH,44,64.500000,P1,5,44,99.000000
LH,51,64.750000,P1,5,51,99.500000
RH,60,64.750000,P1,5,60,99.500000
RH,63,64.750000,P1,2,63,99.500000
RH,72,64.750000,P1,1,72,99.500000
LH,54,65.375000,P1,5,54,100.500000
RH,66,65.375000,P1,2,66,100.500000
RH,60,66.625000,P1,5,60,102.500000
RH,72,66.625000,P1,1,72,102.500000
LH,54,67.250000,P1,5,54,103.500000
RH,66,67.250000,P1,2,66,103.500000
RH,70,69.750000,P1,2,70,107.500000
RH,68,70.333333,P1,2,68,108.500000
LH,47,70.625000,P1,5,47,109.000000
RH,65,70.875000,P1,5,65,109.500000
RH,74,70.875000,P1,2,74,109.500000
LH,55,71.500000,P1,5,55,110.500000
RH,60,72.000000,P1,5,60,111.500000
RH,68,72.625000,P1,1,68,112.500000
RH,65,72.750000,P1,5,65,112.500000
RH,67,73.250000,P1,1,67,113.500000
RH,79,73.250000,P1,1,79,113.500000
RH,72,73.750000,P1,1,72,114.500000
RH,60,73.875000,P1,5,60,114.500000
RH,60,74.375000,P1,5,60,115.500000
RH,67,75.125000,P1,1,67,116.500000
RH,60,75.625000,P1,5,60,117.500000
RH,72,75.625000,P1,1,72,117.500000
RH,60,76.250000,P1,5,60,118.500000
LH,55,76.750000,P1,5,55,119.500000
RH,67,76.750000,P1,1,67,119.500000
RH,60,78.000000,P1,5,60,121.500000
RH,60,78.750000,P1,5,60,122.500000
RH,60,79.375000,P1,5,60,123.500000
RH,67,80.000000,P1,1,67,124.500000
RH,60,80.666667,P1,5,60,125.500000
RH,72,80.666667,P1,1,72,125.500000
RH,60,81.333333,P1,5,60,126.500000
LH,55,81.875000,P1,5,55,127.500000
RH,67,81.875000,P1,2,67,127.500000
RH,60,82.625000,P1,5,60,128.500000
RH,60,83.875000,P1,5,60,130.500000
RH,60,84.625000,P1,5,60,131.500000
RH,65,84.625000,P1,2,65,131.500000
RH,67,85.500000,P1,1,67,132.500000
RH,79,85.500000,P1,1,79,132.500000
RH,60,86.125000,P1,5,60,133.500000
RH,60,86.875000,P1,5,60,134.500000
RH,65,86.875000,P1,5,65,134.500000
RH,77,86.875000,P1,1,77,134.500000
RH,79,87.375000,P1,1,79,135.500000
RH,67,87.500000,P1,5,67,135.500000
RH,67,88.000000,P1,5,67,136.500000
RH,60,88.666667,P1,5,60,137.500000
LH,55,89.750000,P1,5,55,139.500000
RH,67,89.875000,P1,2,67,139.500000
RH,64,97.875000,P1,2,64,152.500000
LH,48,99.000000,P1,5,48,154.000000
RH,69,99.250000,P1,2,69,154.500000
LH,57,99.333333,P1,5,57,154.500000
RH,62,99.875000,P1,5,62,155.500000
RH,64,100.500000,P1,2,64,156.500000
RH,76,100.500000,P1,2,76,156.500000
LH,48,100.750000,P1,5,48,157.000000
LH,57,101.125000,P1,5,57,157.500000
RH,64,101.125000,P1,5,64,157.500000
RH,69,101.125000,P1,2,69,157.500000
RH,76,101.125000,P1,2,76,157.500000
LH,57,103.500000,P1,5,57,161.500000
LH,57,104.125000,P1,5,57,162.500000
RH,76,105.750000,P1,1,76,165.500000
LH,47,106.125000,P1,5,47,166.000000
RH,62,106.375000,P1,5,62,166.500000
LH,52,107.000000,P1,5,52,167.500000
RH,76,107.000000,P1,1,76,167.500000
LH,52,107.500000,P1,5,52,168.500000
RH,60,107.500000,P1,5,60,168.500000
RH,72,107.500000,P1,1,72,168.500000
RH,76,107.500000,P1,1,76,168.500000
RH,84,107.500000,P1,1,84,168.500000
LH,52,108.125000,P1,5,52,169.500000
RH,76,108.125000,P1,1,76,169.500000
LH,52,108.750000,P1,5,52,170.500000
RH,69,108.750000,P1,1,69,170.500000
RH,81,108.750000,P1,1,81,170.500000
LH,52,109.250000,P1,5,52,171.500000
RH,76,109.250000,P1,1,76,171.500000
LH,52,109.875000,P1,5,52,172.500000
LH,52,110.500000,P1,5,52,173.500000
RH,76,110.500000,P1,1,76,173.500000
LH,52,111.000000,P1,5,52,174.500000
LH,52,111.625000,P1,5,52,175.500000
RH,76,111.625000,P1,1,76,175.500000
LH,52,112.250000,P1,5,52,176.500000
RH,76,112.250000,P1,1,76,176.500000
RH,76,112.750000,P1,1,76,177.500000
RH,64,113.375000,P1,1,64,178.500000
RH,76,113.375000,P1,1,76,178.500000
RH,64,115.125000,P1,5,64,181.500000
RH,76,115.125000,P1,1,76,181.500000
LH,59,116.250000,P1,5,59,183.500000
LH,59,116.875000,P1,5,59,184.500000
RH,64,116.875000,P1,5,64,184.500000
RH,68,116.875000,P1,1,68,184.500000
RH,72,117.500000,P1,1,72,185.500000
RH,69,117.625000,P1,1,69,185.500000
RH,74,118.750000,P1,1,74,187.500000
RH,64,119.333333,P1,5,64,188.500000
RH,76,119.375000,P1,1,76,188.500000
LH,48,119.666667,P1,5,48,189.000000
RH,69,119.875000,P1,2,69,189.500000
RH,76,119.875000,P1,2,76,189.500000
RH,81,119.875000,P1,1,81,189.500000
LH,57,120.000000,P1,5,57,189.500000
RH,64,120.000000,P1,5,64,189.500000
LH,57,122.375000,P1,5,57,193.500000
LH,57,123.000000,P1,5,57,194.500000
RH,76,124.750000,P1,2,76,197.500000
RH,62,125.375000,P1,5,62,198.500000
LH,52,126.000000,P1,5,52,199.500000
LH,45,126.333333,P1,5,45,200.000000
LH,52,126.500000,P1,5,52,200.500000
RH,76,126.500000,P1,2,76,200.500000
RH,60,126.625000,P1,5,60,200.500000
RH,72,126.625000,P1,2,72,200.500000
LH,52,127.125000,P1,5,52,201.500000
RH,71,127.125000,P1,2,71,201.500000
RH,76,127.125000,P1,2,76,201.500000
RH,83,127.125000,P1,1,83,201.500000
LH,52,127.750000,P1,5,52,202.500000
RH,76,127.750000,P1,2,76,202.500000
RH,81,127.750000,P1,1,81,202.500000
RH,69,127.875000,P1,2,69,202.500000
LH,52,128.375000,P1,5,52,203.500000
RH,76,128.375000,P1,2,76,203.500000
LH,52,129.000000,P1,5,52,204.500000
RH,76,129.000000,P1,2,76,204.500000
LH,52,129.625000,P1,5,52,205.500000
RH,76,129.666667,P1,2,76,205.500000
LH,52,130.250000,P1,5,52,206.500000
RH,76,130.250000,P1,1,76,206.500000
LH,52,130.875000,P1,5,52,207.500000
RH,76,130.875000,P1,2,76,207.500000
RH,62,133.125000,P1,5,62,210.500000
RH,62,134.625000,P1,6,62,212.500000
RH,65,135.750000,P1,2,65,214.500000
LH,53,135.875000,P1,5,53,214.500000
LH,52,136.375000,P1,5,52,215.500000
LH,57,137.000000,P1,5,57,216.500000
LH,57,138.250000,P1,5,57,218.500000
RH,64,138.250000,P1,2,64,218.500000
RH,65,138.750000,P1,2,65,219.500000
LH,53,138.875000,P1,5,53,219.500000
LH,52,139.500000,P1,5,52,220.500000
LH,52,140.125000,P1,5,52,221.500000
RH,69,140.125000,P1,2,69,221.500000
LH,53,140.750000,P1,5,53,222.500000
RH,65,140.750000,P1,2,65,222.500000
LH,52,141.375000,P1,5,52,223.500000
LH,57,142.000000,P1,5,57,224.500000
LH,57,142.625000,P1,5,57,225.500000
LH,52,143.250000,P1,5,52,226.500000
RH,60,143.250000,P1,2,60,226.500000
RH,64,143.250000,P1,2,64,226.500000
RH,66,145.875000,P1,5,66,230.500000
LH,57,147.875000,P1,5,57,233.500000
LH,53,148.375000,P1,5,53,234.500000
RH,65,148.375000,P1,2,65,234.500000
LH,53,150.250000,P1,5,53,237.500000
LH,57,150.250000,P1,5,57,237.500000
LH,57,152.750000,P1,5,57,241.500000
RH,69,152.750000,P1,1,69,241.500000
RH,65,153.250000,P1,1,65,242.500000
LH,52,154.000000,P1,5,52,243.500000
LH,57,154.500000,P1,5,57,244.500000
LH,57,155.250000,P1,5,57,245.500000
LH,57,155.875000,P1,5,57,246.500000
LH,57,156.666667,P1,5,57,247.500000
LH,45,157.125000,P1,5,45,248.000000
