hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
RH,66,3.125000,P1,1,66,0.000000
RH,75,3.125000,P1,1,75,0.000000
LH,56,3.875000,P1,5,56,0.333333
LH,51,4.250000,P1,5,51,0.666667
RH,66,4.250000,P1,1,66,0.666667
RH,75,4.250000,P1,1,75,0.666667
LH,56,4.625000,P1,5,56,1.000000
RH,68,4.625000,P1,1,68,1.000000
RH,77,4.625000,P1,1,77,1.000000
LH,51,4.875000,P1,5,51,1.333333
RH,60,4.875000,P1,5,60,1.333333
RH,66,4.875000,P1,1,66,1.333333
RH,75,4.875000,P1,1,75,1.333333
LH,48,5.250000,P1,5,48,1.666667
RH,68,5.250000,P1,1,68,1.666667
RH,77,5.250000,P1,1,77,1.666667
LH,37,5.500000,P1,5,37,2.000000
RH,73,5.500000,P1,1,73,2.000000
RH,65,5.625000,P1,1,65,2.000000
LH,56,5.875000,P1,5,56,2.333333
RH,66,5.875000,P1,1,66,2.333333
RH,75,5.875000,P1,1,75,2.333333
LH,53,6.125000,P1,5,53,2.666667
RH,67,6.125000,P1,1,67,2.666667
RH,76,6.125000,P1,1,76,2.666667
LH,49,6.333333,P1,5,49,3.000000
RH,70,6.333333,P1,1,70,3.000000
RH,78,6.375000,P1,1,78,3.000000
RH,61,6.625000,P1,5,61,3.333333
RH,68,6.625000,P1,1,68,3.333333
RH,77,6.625000,P1,1,77,3.333333
RH,73,6.875000,P1,1,73,3.666667
RH,65,7.000000,P1,1,65,3.666667
LH,44,7.125000,P1,5,44,4.000000
RH,68,7.250000,P1,1,68,4.000000
RH,77,7.250000,P1,1,77,4.000000
LH,56,7.500000,P1,5,56,4.333333
RH,66,7.500000,P1,1,66,4.333333
RH,75,7.500000,P1,1,75,4.333333
LH,51,7.750000,P1,5,51,4.666667
RH,68,7.750000,P1,1,68,4.666667
RH,77,7.750000,P1,1,77,4.666667
LH,56,8.000000,P1,5,56,5.000000
RH,63,8.000000,P1,5,63,5.000000
RH,66,8.000000,P1,1,66,5.000000
RH,75,8.000000,P1,1,75,5.000000
LH,51,8.250000,P1,5,51,5.333333
RH,60,8.250000,P1,5,60,5.333333
RH,68,8.250000,P1,1,68,5.333333
RH,77,8.250000,P1,1,77,5.333333
LH,48,8.500000,P1,5,48,5.666667
LH,56,8.500000,P1,5,56,5.666667
RH,66,8.500000,P1,1,66,5.666667
RH,75,8.500000,P1,1,75,5.666667
LH,37,8.750000,P1,5,37,6.000000
RH,65,8.750000,P1,1,65,6.000000
RH,73,8.750000,P1,1,73,6.000000
RH,76,9.250000,P1,1,76,6.666667
RH,76,9.333333,P1,1,76,6.666667
RH,61,9.375000,P1,5,61,6.666667
RH,67,9.375000,P1,1,67,6.666667
LH,49,9.625000,P1,5,49,7.000000
RH,70,9.625000,P1,1,70,7.000000
RH,78,9.625000,P1,1,78,7.000000
RH,61,9.875000,P1,5,61,7.333333
RH,68,9.875000,P1,1,68,7.333333
RH,77,9.875000,P1,1,77,7.333333
LH,49,10.000000,P1,5,49,7.666667
RH,65,10.125000,P1,1,65,7.666667
RH,73,10.125000,P1,1,73,7.666667
LH,39,10.375000,P1,5,39,8.000000
RH,67,10.375000,P1,1,67,8.000000
RH,61,10.666667,P1,5,61,8.333333
RH,68,10.666667,P1,1,68,8.333333
RH,77,10.666667,P1,1,77,8.333333
LH,51,10.750000,P1,5,51,8.333333
LH,58,10.875000,P1,5,58,8.666667
RH,69,10.875000,P1,1,69,8.666667
RH,78,10.875000,P1,1,78,8.666667
RH,79,11.250000,P1,1,79,9.000000
RH,61,11.375000,P1,5,61,9.000000
RH,72,11.500000,P1,1,72,9.333333
RH,80,11.500000,P1,1,80,9.333333
LH,58,11.625000,P1,5,58,9.333333
RH,82,11.666667,P1,1,82,9.666667
RH,73,11.750000,P1,1,73,9.666667
LH,44,12.000000,P1,5,44,10.000000
RH,74,12.000000,P1,1,74,10.000000
RH,83,12.000000,P1,1,83,10.000000
LH,56,12.250000,P1,5,56,10.333333
RH,84,12.250000,P1,1,84,10.333333
RH,63,12.333333,P1,5,63,10.333333
RH,68,12.375000,P1,5,68,10.666667
RH,76,12.500000,P1,1,76,10.666667
RH,84,12.500000,P1,1,84,10.666667
LH,49,12.750000,P1,5,49,11.000000
RH,79,12.750000,P1,1,79,11.000000
RH,87,12.750000,P1,1,87,11.000000
RH,61,13.000000,P1,5,61,11.333333
RH,77,13.000000,P1,1,77,11.333333
RH,85,13.000000,P1,1,85,11.333333
LH,53,13.125000,P1,5,53,11.333333
RH,72,13.333333,P1,1,72,11.666667
RH,80,13.333333,P1,1,80,11.666667
LH,51,13.500000,P1,5,51,12.000000
RH,84,13.500000,P1,1,84,12.000000
RH,75,13.625000,P1,1,75,12.000000
LH,55,13.875000,P1,5,55,12.333333
RH,63,13.875000,P1,5,63,12.333333
RH,73,13.875000,P1,1,73,12.333333
RH,82,13.875000,P1,1,82,12.333333
LH,58,14.125000,P1,5,58,12.666667
RH,67,14.125000,P1,5,67,12.666667
RH,75,14.125000,P1,1,75,12.666667
RH,84,14.125000,P1,1,84,12.666667
RH,61,14.333333,P1,5,61,13.000000
RH,70,14.333333,P1,5,70,13.000000
RH,73,14.333333,P1,1,73,13.000000
RH,82,14.333333,P1,1,82,13.000000
LH,58,14.625000,P1,5,58,13.333333
RH,67,14.625000,P1,5,67,13.333333
RH,75,14.625000,P1,1,75,13.333333
RH,84,14.625000,P1,1,84,13.333333
LH,55,14.875000,P1,5,55,13.666667
RH,63,14.875000,P1,5,63,13.666667
RH,73,14.875000,P1,1,73,13.666667
RH,82,14.875000,P1,1,82,13.666667
RH,60,15.125000,P1,5,60,14.000000
RH,68,15.125000,P1,5,68,14.000000
RH,72,15.125000,P1,1,72,14.000000
RH,80,15.125000,P1,1,80,14.000000
LH,56,15.375000,P1,5,56,14.333333
RH,65,15.375000,P1,5,65,14.333333
RH,73,15.375000,P1,1,73,14.333333
RH,82,15.375000,P1,1,82,14.333333
LH,58,15.666667,P1,5,58,14.666667
RH,66,15.666667,P1,5,66,14.666667
RH,70,15.666667,P1,1,70,14.666667
RH,78,15.666667,P1,1,78,14.666667
LH,54,16.000000,P1,5,54,15.000000
RH,63,16.000000,P1,5,63,15.000000
RH,72,16.000000,P1,1,72,15.000000
RH,80,16.000000,P1,1,80,15.000000
RH,65,16.250000,P1,5,65,15.333333
RH,68,16.250000,P1,1,68,15.333333
RH,77,16.250000,P1,1,77,15.333333
LH,56,16.333333,P1,5,56,15.333333
LH,53,16.500000,P1,5,53,15.666667
RH,70,16.500000,P1,1,70,15.666667
RH,78,16.500000,P1,1,78,15.666667
RH,75,17.125000,P1,1,75,16.000000
LH,48,17.625000,P1,5,48,16.333333
LH,56,17.625000,P1,5,56,16.333333
RH,68,17.625000,P1,1,68,16.333333
RH,77,17.625000,P1,1,77,16.333333
LH,51,17.875000,P1,5,51,16.666667
RH,66,17.875000,P1,1,66,16.666667
RH,75,17.875000,P1,1,75,16.666667
LH,56,18.125000,P1,5,56,17.000000
RH,68,18.125000,P1,1,68,17.000000
RH,77,18.125000,P1,1,77,17.000000
LH,51,18.375000,P1,5,51,17.333333
RH,66,18.375000,P1,1,66,17.333333
RH,75,18.375000,P1,1,75,17.333333
RH,60,18.500000,P1,5,60,17.333333
LH,48,18.666667,P1,5,48,17.666667
