hand,pitch,onset_ql,reference_part,reference_voice,reference_pitch,reference_onset_ql
LH,46,1.875000,P1,6,46,0.000000
LH,45,3.000000,P1,6,45,2.000000
LH,57,3.000000,P1,1,57,2.000000
LH,46,3.125000,P1,6,46,2.333333
LH,58,3.125000,P1,1,58,2.333333
LH,49,3.250000,P1,6,49,2.666667
RH,61,3.250000,P1,1,61,2.666667
LH,53,3.333333,P1,6,53,3.000000
RH,65,3.333333,P1,1,65,3.000000
LH,45,4.250000,P1,6,45,5.000000
LH,57,4.250000,P1,1,57,5.000000
LH,46,4.375000,P1,6,46,5.333333
LH,58,4.375000,P1,1,58,5.333333
LH,49,4.500000,P1,6,49,5.666667
RH,61,4.500000,P1,1,61,5.666667
RH,65,4.625000,P1,1,65,6.000000
LH,53,4.666667,P1,6,53,6.000000
LH,34,7.250000,P1,6,34,12.000000
LH,46,7.250000,P1,6,46,12.000000
LH,58,7.250000,P1,1,58,12.000000
LH,58,8.750000,P1,6,58,15.000000
RH,60,8.750000,P1,6,60,15.000000
RH,63,8.750000,P1,6,63,15.000000
RH,66,8.750000,P1,6,66,15.000000
RH,70,8.750000,P1,6,70,15.000000
RH,82,8.750000,P1,1,82,15.000000
RH,90,8.750000,P1,1,90,15.000000
RH,94,8.750000,P1,1,94,15.000000
LH,58,11.125000,P1,6,58,21.000000
RH,60,11.125000,P1,6,60,21.000000
RH,63,11.125000,P1,6,63,21.000000
RH,66,11.125000,P1,6,66,21.000000
RH,70,11.125000,P1,6,70,21.000000
RH,75,11.125000,P1,1,75,21.000000
RH,84,11.125000,P1,1,84,21.000000
RH,87,11.125000,P1,1,87,21.000000
LH,58,11.666667,P1,6,58,22.500000
RH,63,11.666667,P1,6,63,22.500000
RH,66,11.666667,P1,6,66,22.500000
RH,70,11.666667,P1,6,70,22.500000
RH,77,11.666667,P1,1,77,22.500000
RH,84,11.666667,P1,1,84,22.500000
RH,89,11.666667,P1,1,89,22.500000
RH,70,11.750000,P1,6,70,23.000000
RH,78,11.750000,P1,1,78,23.000000
RH,84,11.750000,P1,1,84,22.500000
RH,90,11.750000,P1,1,90,23.000000
LH,58,12.375000,P1,6,58,24.000000
RH,61,12.375000,P1,6,61,24.000000
RH,65,12.375000,P1,6,65,24.000000
RH,70,12.375000,P1,6,70,24.000000
RH,77,12.375000,P1,1,77,24.000000
RH,85,12.375000,P1,1,85,24.000000
RH,89,12.375000,P1,1,89,24.000000
LH,57,13.333333,P1,1,57,26.000000
LH,45,13.375000,P1,6,45,26.000000
LH,46,13.500000,P1,6,46,26.333333
LH,58,13.500000,P1,1,58,26.333333
RH,61,13.625000,P1,1,61,26.666667
LH,49,13.666667,P1,6,49,26.666667
RH,65,13.750000,P1,1,65,27.000000
LH,53,13.875000,P1,6,53,27.000000
LH,45,14.666667,P1,6,45,29.000000
LH,57,14.666667,P1,1,57,29.000000
LH,46,14.875000,P1,6,46,29.333333
LH,58,14.875000,P1,1,58,29.333333
LH,49,15.000000,P1,6,49,29.666667
RH,61,15.000000,P1,1,61,29.666667
LH,53,15.125000,P1,6,53,30.000000
RH,65,15.125000,P1,1,65,30.000000
LH,32,18.000000,P1,6,32,36.000000
LH,44,18.000000,P1,6,44,36.000000
LH,56,18.000000,P1,1,56,36.000000
RH,65,19.625000,P1,6,65,39.000000
RH,73,19.625000,P1,6,73,39.000000
RH,80,19.625000,P1,1,80,39.000000
RH,89,19.625000,P1,1,89,39.000000
RH,92,19.625000,P1,1,92,39.000000
LH,56,22.000000,P1,6,56,45.000000
RH,63,22.000000,P1,6,63,45.000000
RH,66,22.000000,P1,6,66,45.000000
RH,68,22.000000,P1,6,68,45.000000
RH,75,22.000000,P1,1,75,45.000000
RH,84,22.000000,P1,1,84,45.000000
RH,87,22.000000,P1,1,87,45.000000
LH,56,22.500000,P1,6,56,46.500000
RH,63,22.500000,P1,6,63,46.500000
RH,66,22.500000,P1,6,66,46.500000
RH,68,22.500000,P1,6,68,46.500000
RH,77,22.500000,P1,1,77,46.500000
RH,84,22.500000,P1,1,84,46.500000
RH,89,22.500000,P1,1,89,46.500000
RH,66,22.625000,P1,6,66,47.000000
RH,68,22.625000,P1,6,68,47.000000
RH,78,22.625000,P1,1,78,47.000000
RH,84,22.625000,P1,1,84,47.000000
RH,90,22.625000,P1,1,90,47.000000
RH,63,22.666667,P1,6,63,47.000000
RH,61,23.250000,P1,6,61,48.000000
RH,65,23.250000,P1,6,65,48.000000
RH,68,23.250000,P1,6,68,48.000000
RH,77,23.250000,P1,1,77,48.000000
RH,85,23.250000,P1,1,85,48.000000
RH,89,23.250000,P1,1,89,48.000000
LH,53,24.250000,P1,6,53,51.000000
RH,60,24.250000,P1,6,60,51.000000
RH,65,24.250000,P1,6,65,51.000000
RH,69,24.250000,P1,1,69,51.000000
RH,77,24.250000,P1,1,77,51.000000
LH,41,25.500000,P1,6,41,54.000000
LH,48,25.500000,P1,6,48,54.000000
LH,53,25.500000,P1,6,53,54.000000
LH,57,25.500000,P1,1,57,54.000000
RH,65,25.500000,P1,1,65,54.000000
LH,29,27.250000,P1,6,29,57.000000
LH,41,27.250000,P1,6,41,57.000000
LH,30,31.333333,P1,6,30,64.000000
LH,42,31.333333,P1,6,42,64.000000
LH,45,37.250000,P1,6,45,74.000000
LH,57,37.250000,P1,1,57,74.000000
LH,46,37.375000,P1,6,46,74.333333
LH,58,37.375000,P1,1,58,74.333333
LH,49,37.500000,P1,6,49,74.666667
RH,61,37.500000,P1,1,61,74.666667
LH,53,37.666667,P1,6,53,75.000000
RH,65,37.666667,P1,1,65,75.000000
LH,45,38.500000,P1,6,45,77.000000
LH,57,38.500000,P1,1,57,77.000000
LH,46,38.666667,P1,6,46,77.333333
LH,58,38.666667,P1,1,58,77.333333
LH,49,38.875000,P1,6,49,77.666667
RH,61,38.875000,P1,1,61,77.666667
LH,53,39.000000,P1,6,53,78.000000
RH,65,39.000000,P1,1,65,78.000000
LH,34,41.625000,P1,6,34,84.000000
LH,46,41.625000,P1,6,46,84.000000
LH,58,41.625000,P1,1,58,84.000000
LH,58,43.250000,P1,6,58,87.000000
RH,60,43.250000,P1,6,60,87.000000
RH,63,43.250000,P1,6,63,87.000000
RH,66,43.250000,P1,6,66,87.000000
RH,70,43.250000,P1,6,70,87.000000
RH,82,43.250000,P1,1,82,87.000000
RH,90,43.250000,P1,1,90,87.000000
RH,94,43.250000,P1,1,94,87.000000
LH,58,45.000000,P1,6,58,91.500000
RH,60,45.000000,P1,6,60,91.500000
RH,63,45.000000,P1,6,63,91.500000
RH,66,45.000000,P1,6,66,91.500000
